Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
118,8230DB004713,"Bianconi Avenue, stop 4713",53.29128922,-6.427136411,10485.3.60-65B-b12-1.283.I,07:00:00,07:00:00,1, Poolbeg St,0.0,60-65B-b12-1,65B,b12
119,8230DB004714,"Castle Drive, stop 4714",53.28874724,-6.423854925,10485.3.60-65B-b12-1.283.I,07:00:47,07:00:47,2, Poolbeg St,394.98,60-65B-b12-1,65B,b12
120,8230DB004960,"Citywest Road, stop 4960",53.28505059,-6.421621287,10485.3.60-65B-b12-1.283.I,07:01:42,07:01:42,3, Poolbeg St,860.17,60-65B-b12-1,65B,b12
121,8230DB004932,"Magna Drive, stop 4932",53.27886099,-6.42049975,10485.3.60-65B-b12-1.283.I,07:03:08,07:03:08,4, Poolbeg St,1574.03,60-65B-b12-1,65B,b12
122,8230DB004933,"Belfry, stop 4933",53.2776403,-6.419270143,10485.3.60-65B-b12-1.283.I,07:03:27,07:03:27,5, Poolbeg St,1739.42,60-65B-b12-1,65B,b12
123,8230DB002590,"Belfry Downs, stop 2590",53.27514543,-6.415493584,10485.3.60-65B-b12-1.283.I,07:04:08,07:04:08,6, Poolbeg St,2137.12,60-65B-b12-1,65B,b12
124,8230DB002591,"De Selby Estate, stop 2591",53.27461086,-6.410445221,10485.3.60-65B-b12-1.283.I,07:04:43,07:04:43,7, Poolbeg St,2479.1,60-65B-b12-1,65B,b12
125,8230DB002592,"Kiltalown Cottages, stop 2592",53.2743035,-6.406273192,10485.3.60-65B-b12-1.283.I,07:05:12,07:05:12,8, Poolbeg St,2759.02,60-65B-b12-1,65B,b12
126,8230DB002357,"Jobstown House, stop 2357",53.27796896,-6.39676451,10485.3.60-65B-b12-1.283.I,07:06:35,07:06:35,9, Poolbeg St,3567.85,60-65B-b12-1,65B,b12
127,8230DB002566,"Killinarden School, stop 2566",53.27775591,-6.394958014,10485.3.60-65B-b12-1.283.I,07:06:58,07:06:58,10, Poolbeg St,3736.9,60-65B-b12-1,65B,b12
128,8230DB002567,"Hazelgrove, stop 2567",53.27576591,-6.394687695,10485.3.60-65B-b12-1.283.I,07:07:33,07:07:33,11, Poolbeg St,3958.29,60-65B-b12-1,65B,b12
129,8230DB002568,"Killinarden Heights, stop 2568",53.27372358,-6.390535859,10485.3.60-65B-b12-1.283.I,07:08:37,07:08:37,12, Poolbeg St,4354.13,60-65B-b12-1,65B,b12
130,8230DB002569,"Donomore Avenue, stop 2569",53.27309171,-6.386346283,10485.3.60-65B-b12-1.283.I,07:09:23,07:09:23,13, Poolbeg St,4641.68,60-65B-b12-1,65B,b12
131,8230DB007550,"Donomore Crescent, stop 7550",53.27352574,-6.380572175,10485.3.60-65B-b12-1.283.I,07:10:29,07:10:29,14, Poolbeg St,5053.49,60-65B-b12-1,65B,b12
132,8230DB002570,"Health Care Centre, stop 2570",53.27624655,-6.379059773,10485.3.60-65B-b12-1.283.I,07:11:21,07:11:21,15, Poolbeg St,5388.64,60-65B-b12-1,65B,b12
133,8230DB007222,"Killinarden Park, stop 7222",53.27720719,-6.377658833,10485.3.60-65B-b12-1.283.I,07:11:54,07:11:54,16, Poolbeg St,5587.45,60-65B-b12-1,65B,b12
134,8230DB006170,"Cushlawn, stop 6170",53.2770992,-6.375008732,10485.3.60-65B-b12-1.283.I,07:12:23,07:12:23,17, Poolbeg St,5764.06,60-65B-b12-1,65B,b12
135,8230DB007183,"Firhouse Road West, stop 7183",53.27706403,-6.372430853,10485.3.60-65B-b12-1.283.I,07:12:52,07:12:52,18, Poolbeg St,5952.08,60-65B-b12-1,65B,b12
136,8230DB004880,"St Martin De Porres, stop 4880",53.2769457,-6.366407202,10485.3.60-65B-b12-1.283.I,07:13:56,07:13:56,19, Poolbeg St,6489.51,60-65B-b12-1,65B,b12
137,8230DB002539,"Kiltipper Road, stop 2539",53.2765355,-6.356181079,10485.3.60-65B-b12-1.283.I,07:15:50,07:15:50,20, Poolbeg St,7502.0,60-65B-b12-1,65B,b12
138,8230DB002540,"Old Bawn Centre, stop 2540",53.2755316,-6.35377543,10485.3.60-65B-b12-1.283.I,07:16:21,07:16:21,21, Poolbeg St,7699.99,60-65B-b12-1,65B,b12
