Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
1138,8230DB003400,"Newcastle Manor, stop 3400",53.29538072,-6.490578143,10633.3.60-68-b12-1.284.I,24:15:00,24:15:00,1, Conyngham Rd,0.0,60-68-b12-1,68,b12
1139,8230DB003401,"Aylmer Road, stop 3401",53.29775805,-6.493779843,10633.3.60-68-b12-1.284.I,24:15:18,24:15:18,2, Conyngham Rd,377.47,60-68-b12-1,68,b12
1140,8230DB003402,"Orchard Grove, stop 3402",53.29960676,-6.497120483,10633.3.60-68-b12-1.284.I,24:15:33,24:15:33,3, Conyngham Rd,701.0,60-68-b12-1,68,b12
1141,8230DB003403,"Newcastle, stop 3403",53.29977614,-6.500580258,10633.3.60-68-b12-1.284.I,24:15:45,24:15:45,4, Conyngham Rd,931.91,60-68-b12-1,68,b12
1142,8230DB003404,"Peamount Road, stop 3404",53.30096095,-6.501168898,10633.3.60-68-b12-1.284.I,24:15:53,24:15:53,5, Conyngham Rd,1104.19,60-68-b12-1,68,b12
1143,8230DB003405,"Cornerpark, stop 3405",53.30360492,-6.499860935,10633.3.60-68-b12-1.284.I,24:16:09,24:16:09,6, Conyngham Rd,1412.03,60-68-b12-1,68,b12
1144,8230DB003406,"Westmanstown, stop 3406",53.30593567,-6.497948581,10633.3.60-68-b12-1.284.I,24:16:24,24:16:24,7, Conyngham Rd,1699.54,60-68-b12-1,68,b12
1145,8230DB003410,"Westmanstown, stop 3410",53.3078623,-6.496065225,10633.3.60-68-b12-1.284.I,24:16:37,24:16:37,8, Conyngham Rd,1947.25,60-68-b12-1,68,b12
1146,8230DB003407,"Keeloges, stop 3407",53.31125725,-6.49088847,10633.3.60-68-b12-1.284.I,24:17:06,24:17:06,9, Conyngham Rd,2463.76,60-68-b12-1,68,b12
1147,8230DB003408,"Peamount, stop 3408",53.31227387,-6.489546953,10633.3.60-68-b12-1.284.I,24:17:15,24:17:15,10, Conyngham Rd,2607.97,60-68-b12-1,68,b12
1148,8230DB003409,"Peamount Hospital, stop 3409",53.31595493,-6.480036452,10633.3.60-68-b12-1.284.I,24:18:05,24:18:05,11, Conyngham Rd,3396.14,60-68-b12-1,68,b12
1149,8230DB004558,"Newcastle Golf C, stop 4558",53.31757554,-6.471813739,10633.3.60-68-b12-1.284.I,24:18:40,24:18:40,12, Conyngham Rd,3991.56,60-68-b12-1,68,b12
1150,8230DB003411,"The Lodge, stop 3411",53.31825504,-6.467331589,10633.3.60-68-b12-1.284.I,24:18:59,24:18:59,13, Conyngham Rd,4306.93,60-68-b12-1,68,b12
1151,8230DB003412,"Clutterland, stop 3412",53.31965594,-6.461652573,10633.3.60-68-b12-1.284.I,24:19:25,24:19:25,14, Conyngham Rd,4720.71,60-68-b12-1,68,b12
1152,8230DB003413,"New Nangor Road, stop 3413",53.32116383,-6.458010773,10633.3.60-68-b12-1.284.I,24:19:41,24:19:41,15, Conyngham Rd,4958.19,60-68-b12-1,68,b12
1153,8230DB003414,"Ballybane Green, stop 3414",53.32008134,-6.450769787,10633.3.60-68-b12-1.284.I,24:20:14,24:20:14,16, Conyngham Rd,5894.31,60-68-b12-1,68,b12
1154,8230DB003415,"Kilcarberry, stop 3415",53.31854145,-6.445016768,10633.3.60-68-b12-1.284.I,24:20:38,24:20:38,17, Conyngham Rd,6337.27,60-68-b12-1,68,b12
1155,8230DB003416,"Kilcarberry Park, stop 3416",53.31815327,-6.441443566,10633.3.60-68-b12-1.284.I,24:20:51,24:20:51,18, Conyngham Rd,6578.61,60-68-b12-1,68,b12
1156,8230DB003417,"Grange Castle GC, stop 3417",53.31834225,-6.435282677,10633.3.60-68-b12-1.284.I,24:21:20,24:21:20,20, Conyngham Rd,6996.25,60-68-b12-1,68,b12
1157,8230DB003418,"Castlegrange Green, stop 3418",53.32003321,-6.427175252,10633.3.60-68-b12-1.284.I,24:22:25,24:22:25,21, Conyngham Rd,7575.14,60-68-b12-1,68,b12
1158,8230DB003419,"Rath Gael Estate, stop 3419",53.32037851,-6.424055379,10633.3.60-68-b12-1.284.I,24:22:44,24:22:44,22, Conyngham Rd,7785.9,60-68-b12-1,68,b12
1159,8230DB003420,"Cherrywood Park, stop 3420",53.31900693,-6.420248342,10633.3.60-68-b12-1.284.I,24:23:20,24:23:20,23, Conyngham Rd,8177.46,60-68-b12-1,68,b12
1160,8230DB003421,"Old Church Avenue, stop 3421",53.31975517,-6.414997119,10633.3.60-68-b12-1.284.I,24:23:53,24:23:53,24, Conyngham Rd,8546.46,60-68-b12-1,68,b12
1161,8230DB003422,"Cherrywood Drive, stop 3422",53.32081764,-6.411760466,10633.3.60-68-b12-1.284.I,24:24:15,24:24:15,25, Conyngham Rd,8797.5,60-68-b12-1,68,b12
1162,8230DB003423,"Cherrywood Grove, stop 3423",53.32180331,-6.407490747,10633.3.60-68-b12-1.284.I,24:24:47,24:24:47,26, Conyngham Rd,9100.67,60-68-b12-1,68,b12
1163,8230DB002156,"New Nangor Road, stop 2156",53.32540236,-6.402402645,10633.3.60-68-b12-1.284.I,24:25:51,24:25:51,27, Conyngham Rd,9731.75,60-68-b12-1,68,b12
1164,8230DB006014,"Michael Collins Park, stop 6014",53.32744029,-6.397537339,10633.3.60-68-b12-1.284.I,24:26:16,24:26:16,28, Conyngham Rd,10126.17,60-68-b12-1,68,b12
1165,8230DB002158,"Oakfield, stop 2158",53.32548495,-6.395163606,10633.3.60-68-b12-1.284.I,24:26:46,24:26:46,29, Conyngham Rd,10528.87,60-68-b12-1,68,b12
1166,8230DB002159,"Clondalkin Garda Stn, stop 2159",53.32322072,-6.393882529,10633.3.60-68-b12-1.284.I,24:27:10,24:27:10,30, Conyngham Rd,10867.47,60-68-b12-1,68,b12
1167,8230DB004409,"Clondalkin Village, stop 4409",53.32234719,-6.393089718,10633.3.60-68-b12-1.284.I,24:27:19,24:27:19,31, Conyngham Rd,10977.85,60-68-b12-1,68,b12
1168,8230DB001972,"Monastery Road, stop 1972",53.3210323,-6.390227029,10633.3.60-68-b12-1.284.I,24:28:23,24:28:23,32, Conyngham Rd,11295.18,60-68-b12-1,68,b12
1169,8230DB001973,"Monastery Rise, stop 1973",53.32007192,-6.385669974,10633.3.60-68-b12-1.284.I,24:28:50,24:28:50,33, Conyngham Rd,11615.77,60-68-b12-1,68,b12
1170,8230DB001974,"Monastery Heath, stop 1974",53.31958949,-6.381905585,10633.3.60-68-b12-1.284.I,24:29:12,24:29:12,34, Conyngham Rd,11872.35,60-68-b12-1,68,b12
1171,8230DB007781,"Monastery Gate, stop 7781",53.31835704,-6.375873206,10633.3.60-68-b12-1.284.I,24:29:53,24:29:53,35, Conyngham Rd,12327.49,60-68-b12-1,68,b12
1172,8230DB001975,"Mount Talbot, stop 1975",53.3179325,-6.372422074,10633.3.60-68-b12-1.284.I,24:30:15,24:30:15,36, Conyngham Rd,12577.69,60-68-b12-1,68,b12
1173,8230DB001977,"Red Cow Hotel, stop 1977",53.32054682,-6.361830112,10633.3.60-68-b12-1.284.I,24:31:02,24:31:02,37, Conyngham Rd,13378.8,60-68-b12-1,68,b12
