Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
140,8220DB004495,"Hawkins Street, stop 4495",53.34649329,-6.25703271,10626.3.60-68-b12-1.285.O,14:30:00,14:30:00,1, Greenogue,0.0,60-68-b12-1,68,b12
141,8220DB001278,"College Green, stop 1278",53.34423662,-6.261300118,10626.3.60-68-b12-1.285.O,14:32:24,14:32:24,2, Greenogue,447.3,60-68-b12-1,68,b12
142,8220DB001282,"S Great George's St, stop 1282",53.3423418,-6.264501083,10626.3.60-68-b12-1.285.O,14:34:37,14:34:37,3, Greenogue,858.05,60-68-b12-1,68,b12
143,8220DB004456,"Whitefriars St, stop 4456",53.3399144,-6.265695957,10626.3.60-68-b12-1.285.O,14:35:57,14:35:57,4, Greenogue,1144.74,60-68-b12-1,68,b12
144,8220DB001284,"Redmond's Hill, stop 1284",53.33812835,-6.265873557,10626.3.60-68-b12-1.285.O,14:36:59,14:36:59,5, Greenogue,1347.67,60-68-b12-1,68,b12
145,8220DB001285,"Camden Street Lower, stop 1285",53.33437841,-6.265124754,10626.3.60-68-b12-1.285.O,14:39:06,14:39:06,6, Greenogue,1768.76,60-68-b12-1,68,b12
146,8220DB001286,"Harrington Street, stop 1286",53.33249965,-6.265726535,10626.3.60-68-b12-1.285.O,14:41:34,14:41:34,7, Greenogue,2030.06,60-68-b12-1,68,b12
147,8220DB001288,"Victoria Street, stop 1288",53.33232275,-6.269637622,10626.3.60-68-b12-1.285.O,14:42:50,14:42:50,8, Greenogue,2302.37,60-68-b12-1,68,b12
148,8220DB001289,"Longwood Avenue, stop 1289",53.33212936,-6.273038833,10626.3.60-68-b12-1.285.O,14:43:53,14:43:53,9, Greenogue,2529.2,60-68-b12-1,68,b12
149,8220DB001360,"Raymond Street, stop 1360",53.33198339,-6.276618278,10626.3.60-68-b12-1.285.O,14:44:58,14:44:58,10, Greenogue,2773.73,60-68-b12-1,68,b12
150,8220DB001362,"National Stadium, stop 1362",53.33120396,-6.279907874,10626.3.60-68-b12-1.285.O,14:46:02,14:46:02,11, Greenogue,3008.94,60-68-b12-1,68,b12
151,8220DB001363,"St Anne's Road S, stop 1363",53.33184593,-6.285167265,10626.3.60-68-b12-1.285.O,14:47:43,14:47:43,12, Greenogue,3372.84,60-68-b12-1,68,b12
152,8220DB001364,"Dolphin Avenue, stop 1364",53.33234587,-6.28806012,10626.3.60-68-b12-1.285.O,14:48:26,14:48:26,13, Greenogue,3575.25,60-68-b12-1,68,b12
153,8220DB001365,"Dolphins Barn Church, stop 1365",53.33290153,-6.290455313,10626.3.60-68-b12-1.285.O,14:49:05,14:49:05,14, Greenogue,3748.91,60-68-b12-1,68,b12
154,8220DB001366,"St Andrews Centre, stop 1366",53.33514987,-6.294314591,10626.3.60-68-b12-1.285.O,14:50:37,14:50:37,15, Greenogue,4114.22,60-68-b12-1,68,b12
155,8220DB001367,"Rialto Church, stop 1367",53.33568529,-6.296560663,10626.3.60-68-b12-1.285.O,14:51:15,14:51:15,16, Greenogue,4274.46,60-68-b12-1,68,b12
156,8220DB001369,"Mayfield Road, stop 1369",53.33886722,-6.30224552,10626.3.60-68-b12-1.285.O,14:53:50,14:53:50,17, Greenogue,4888.06,60-68-b12-1,68,b12
157,8220DB001370,"Hybreasal House, stop 1370",53.33918858,-6.305251246,10626.3.60-68-b12-1.285.O,14:54:41,14:54:41,18, Greenogue,5090.35,60-68-b12-1,68,b12
158,8220DB001371,"Suir Road, stop 1371",53.33887574,-6.307906689,10626.3.60-68-b12-1.285.O,14:55:39,14:55:39,19, Greenogue,5319.51,60-68-b12-1,68,b12
159,8220DB001372,"Goldenbridge Avenue, stop 1372",53.33810369,-6.309874446,10626.3.60-68-b12-1.285.O,14:56:23,14:56:23,20, Greenogue,5496.31,60-68-b12-1,68,b12
160,8220DB001373,"Stephen's Road, stop 1373",53.33777476,-6.312034865,10626.3.60-68-b12-1.285.O,14:57:00,14:57:00,21, Greenogue,5645.84,60-68-b12-1,68,b12
161,8220DB001374,"Southern Cross Ave, stop 1374",53.33921771,-6.313014071,10626.3.60-68-b12-1.285.O,14:57:53,14:57:53,22, Greenogue,5859.02,60-68-b12-1,68,b12
162,8220DB001946,"Richmond Park, stop 1946",53.3401188,-6.316357477,10626.3.60-68-b12-1.285.O,14:59:08,14:59:08,23, Greenogue,6156.67,60-68-b12-1,68,b12
163,8220DB001947,"Camac Close, stop 1947",53.33981786,-6.317961195,10626.3.60-68-b12-1.285.O,14:59:36,14:59:36,24, Greenogue,6268.7,60-68-b12-1,68,b12
164,8220DB001948,"Tyrconnell Road, stop 1948",53.338662,-6.322046302,10626.3.60-68-b12-1.285.O,15:01:01,15:01:01,25, Greenogue,6600.49,60-68-b12-1,68,b12
165,8220DB001949,"Tyrconnell Park, stop 1949",53.33764148,-6.32361808,10626.3.60-68-b12-1.285.O,15:01:24,15:01:24,26, Greenogue,6754.61,60-68-b12-1,68,b12
166,8220DB001950,"Oblates Church, stop 1950",53.33602104,-6.325994134,10626.3.60-68-b12-1.285.O,15:01:59,15:01:59,27, Greenogue,6995.59,60-68-b12-1,68,b12
167,8220DB001951,"Blackhorse Luas, stop 1951",53.33313484,-6.329125219,10626.3.60-68-b12-1.285.O,15:02:56,15:02:56,28, Greenogue,7382.77,60-68-b12-1,68,b12
168,8220DB001952,"Lansdowne Valley, stop 1952",53.33170952,-6.330036768,10626.3.60-68-b12-1.285.O,15:03:19,15:03:19,29, Greenogue,7552.38,60-68-b12-1,68,b12
