Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB004495,"Hawkins Street, stop 4495",53.34649329,-6.25703271,133.1.60-68A-b12-1.293.O,16:00:00,16:00:00,1, Bulfin Road,0.0,60-68A-b12-1,68A,b12
1,8220DB001278,"College Green, stop 1278",53.34423662,-6.261300118,133.1.60-68A-b12-1.293.O,16:02:40,16:02:40,2, Bulfin Road,447.3,60-68A-b12-1,68A,b12
2,8220DB001282,"S Great George's St, stop 1282",53.3423418,-6.264501083,133.1.60-68A-b12-1.293.O,16:05:08,16:05:08,3, Bulfin Road,858.05,60-68A-b12-1,68A,b12
3,8220DB004456,"Whitefriars St, stop 4456",53.3399144,-6.265695957,133.1.60-68A-b12-1.293.O,16:07:39,16:07:39,4, Bulfin Road,1144.74,60-68A-b12-1,68A,b12
4,8220DB001284,"Redmond's Hill, stop 1284",53.33812835,-6.265873557,133.1.60-68A-b12-1.293.O,16:08:47,16:08:47,5, Bulfin Road,1347.67,60-68A-b12-1,68A,b12
5,8220DB001285,"Camden Street Lower, stop 1285",53.33437841,-6.265124754,133.1.60-68A-b12-1.293.O,16:11:05,16:11:05,6, Bulfin Road,1768.76,60-68A-b12-1,68A,b12
6,8220DB001286,"Harrington Street, stop 1286",53.33249965,-6.265726535,133.1.60-68A-b12-1.293.O,16:13:25,16:13:25,7, Bulfin Road,2030.06,60-68A-b12-1,68A,b12
7,8220DB001288,"Victoria Street, stop 1288",53.33232275,-6.269637622,133.1.60-68A-b12-1.293.O,16:14:37,16:14:37,8, Bulfin Road,2302.37,60-68A-b12-1,68A,b12
8,8220DB001289,"Longwood Avenue, stop 1289",53.33212936,-6.273038833,133.1.60-68A-b12-1.293.O,16:15:37,16:15:37,9, Bulfin Road,2529.2,60-68A-b12-1,68A,b12
9,8220DB001360,"Raymond Street, stop 1360",53.33198339,-6.276618278,133.1.60-68A-b12-1.293.O,16:16:51,16:16:51,10, Bulfin Road,2773.73,60-68A-b12-1,68A,b12
10,8220DB001362,"National Stadium, stop 1362",53.33120396,-6.279907874,133.1.60-68A-b12-1.293.O,16:18:05,16:18:05,11, Bulfin Road,3008.94,60-68A-b12-1,68A,b12
11,8220DB001363,"St Anne's Road S, stop 1363",53.33184593,-6.285167265,133.1.60-68A-b12-1.293.O,16:20:00,16:20:00,12, Bulfin Road,3372.84,60-68A-b12-1,68A,b12
12,8220DB001364,"Dolphin Avenue, stop 1364",53.33234587,-6.28806012,133.1.60-68A-b12-1.293.O,16:21:14,16:21:14,13, Bulfin Road,3575.25,60-68A-b12-1,68A,b12
13,8220DB001365,"Dolphins Barn Church, stop 1365",53.33290153,-6.290455313,133.1.60-68A-b12-1.293.O,16:22:20,16:22:20,14, Bulfin Road,3748.91,60-68A-b12-1,68A,b12
14,8220DB001366,"St Andrews Centre, stop 1366",53.33514987,-6.294314591,133.1.60-68A-b12-1.293.O,16:23:21,16:23:21,15, Bulfin Road,4114.22,60-68A-b12-1,68A,b12
15,8220DB001367,"Rialto Church, stop 1367",53.33568529,-6.296560663,133.1.60-68A-b12-1.293.O,16:23:46,16:23:46,16, Bulfin Road,4274.46,60-68A-b12-1,68A,b12
16,8220DB001369,"Mayfield Road, stop 1369",53.33886722,-6.30224552,133.1.60-68A-b12-1.293.O,16:25:28,16:25:28,17, Bulfin Road,4888.06,60-68A-b12-1,68A,b12
17,8220DB001370,"Hybreasal House, stop 1370",53.33918858,-6.305251246,133.1.60-68A-b12-1.293.O,16:26:02,16:26:02,18, Bulfin Road,5090.35,60-68A-b12-1,68A,b12
18,8220DB001371,"Suir Road, stop 1371",53.33887574,-6.307906689,133.1.60-68A-b12-1.293.O,16:26:40,16:26:40,19, Bulfin Road,5319.51,60-68A-b12-1,68A,b12
19,8220DB001372,"Goldenbridge Avenue, stop 1372",53.33810369,-6.309874446,133.1.60-68A-b12-1.293.O,16:27:09,16:27:09,20, Bulfin Road,5496.31,60-68A-b12-1,68A,b12
20,8220DB001373,"Stephen's Road, stop 1373",53.33777476,-6.312034865,133.1.60-68A-b12-1.293.O,16:27:34,16:27:34,21, Bulfin Road,5645.84,60-68A-b12-1,68A,b12
21,8220DB001374,"Southern Cross Ave, stop 1374",53.33921771,-6.313014071,133.1.60-68A-b12-1.293.O,16:28:09,16:28:09,22, Bulfin Road,5859.02,60-68A-b12-1,68A,b12
22,8220DB001375,Bulfin Road,53.33955616,-6.312159732,133.1.60-68A-b12-1.293.O,16:28:25,16:28:25,23, Bulfin Road,5955.29,60-68A-b12-1,68A,b12
