Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
46,8220DB001375,Bulfin Road,53.33955616,-6.312159732,2285.1.60-68A-b12-1.294.I,09:15:00,09:15:00,1, Poolbeg St,0.0,60-68A-b12-1,68A,b12
47,8220DB001376,"South Circular Road, stop 1376",53.33950791,-6.308752672,2285.1.60-68A-b12-1.294.I,09:16:03,09:16:03,2, Poolbeg St,226.3,60-68A-b12-1,68A,b12
48,8220DB001377,"South Circular Road, stop 1377",53.33916336,-6.304741655,2285.1.60-68A-b12-1.294.I,09:17:21,09:17:21,3, Poolbeg St,495.51,60-68A-b12-1,68A,b12
49,8220DB001378,"Mayfield Road, stop 1378",53.33882787,-6.301376083,2285.1.60-68A-b12-1.294.I,09:18:26,09:18:26,4, Poolbeg St,721.91,60-68A-b12-1,68A,b12
50,8220DB001379,"Rialto Luas, stop 1379",53.3373397,-6.299122653,2285.1.60-68A-b12-1.294.I,09:19:41,09:19:41,5, Poolbeg St,982.79,60-68A-b12-1,68A,b12
51,8220DB001380,"Rialto Church, stop 1380",53.335641,-6.295976799,2285.1.60-68A-b12-1.294.I,09:21:12,09:21:12,6, Poolbeg St,1301.46,60-68A-b12-1,68A,b12
52,8220DB001381,"St Andrews Centre, stop 1381",53.33512375,-6.293745026,2285.1.60-68A-b12-1.294.I,09:21:58,09:21:58,7, Poolbeg St,1459.48,60-68A-b12-1,68A,b12
53,8220DB001382,"Dolphins Barn Church, stop 1382",53.33317317,-6.290594602,2285.1.60-68A-b12-1.294.I,09:23:23,09:23:23,8, Poolbeg St,1762.47,60-68A-b12-1,68A,b12
54,8220DB001383,"Dolphin Avenue, stop 1383",53.33227108,-6.286606663,2285.1.60-68A-b12-1.294.I,09:24:27,09:24:27,9, Poolbeg St,2059.38,60-68A-b12-1,68A,b12
55,8220DB001384,"Dufferin Avenue, stop 1384",53.3313562,-6.282364154,2285.1.60-68A-b12-1.294.I,09:25:30,09:25:30,10, Poolbeg St,2360.09,60-68A-b12-1,68A,b12
56,8220DB001385,"Griffith College, stop 1385",53.3318004,-6.278262272,2285.1.60-68A-b12-1.294.I,09:27:06,09:27:06,11, Poolbeg St,2654.52,60-68A-b12-1,68A,b12
57,8220DB001348,"Spencer St South, stop 1348",53.33224954,-6.273889833,2285.1.60-68A-b12-1.294.I,09:28:45,09:28:45,12, Poolbeg St,2951.45,60-68A-b12-1,68A,b12
58,8220DB001349,"Carlisle Street, stop 1349",53.33238573,-6.270881323,2285.1.60-68A-b12-1.294.I,09:30:03,09:30:03,13, Poolbeg St,3152.96,60-68A-b12-1,68A,b12
59,8220DB001350,"Harrington Street, stop 1350",53.33256109,-6.267480812,2285.1.60-68A-b12-1.294.I,09:31:31,09:31:31,14, Poolbeg St,3379.42,60-68A-b12-1,68A,b12
60,8220DB001352,"Camden Street Lower, stop 1352",53.33444543,-6.265407334,2285.1.60-68A-b12-1.294.I,09:33:59,09:33:59,15, Poolbeg St,3759.8,60-68A-b12-1,68A,b12
61,8220DB001353,"Pleasants Street, stop 1353",53.33600953,-6.265418938,2285.1.60-68A-b12-1.294.I,09:35:08,09:35:08,16, Poolbeg St,3936.67,60-68A-b12-1,68A,b12
62,8220DB001355,"Whitefriars Street, stop 1355",53.34009624,-6.265838755,2285.1.60-68A-b12-1.294.I,09:37:58,09:37:58,18, Poolbeg St,4395.72,60-68A-b12-1,68A,b12
63,8220DB001357,"Exchequer Street, stop 1357",53.34256789,-6.26459703,2285.1.60-68A-b12-1.294.I,09:40:04,09:40:04,19, Poolbeg St,4686.89,60-68A-b12-1,68A,b12
64,8220DB001358,"Dame Street, stop 1358",53.34430471,-6.262889389,2285.1.60-68A-b12-1.294.I,09:41:17,09:41:17,20, Poolbeg St,4968.91,60-68A-b12-1,68A,b12
65,8220DB007665,"Poolbeg Street, stop 7665",53.34682214,-6.256778971,2285.1.60-68A-b12-1.294.I,09:45:00,09:45:00,21, Poolbeg St,5818.94,60-68A-b12-1,68A,b12
