Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB004495,"Hawkins Street, stop 4495",53.34649329,-6.25703271,127.1.60-69-b12-1.295.O,06:15:00,06:15:00,1, Rathcoole,0.0,60-69-b12-1,69,b12
1,8220DB004720,"Aston Quay, stop 4720",53.34659451,-6.260272918,127.1.60-69-b12-1.295.O,06:17:06,06:17:06,2, Rathcoole,474.54,60-69-b12-1,69,b12
2,8220DB001443,"Civic Offices, stop 1443",53.34512939,-6.269539559,127.1.60-69-b12-1.295.O,06:19:44,06:19:44,3, Rathcoole,1112.28,60-69-b12-1,69,b12
3,8220DB001444,"Merchant's Quay, stop 1444",53.34507559,-6.274513197,127.1.60-69-b12-1.295.O,06:21:12,06:21:12,4, Rathcoole,1442.13,60-69-b12-1,69,b12
4,8220DB001445,"Usher's Quay, stop 1445",53.34598795,-6.279808388,127.1.60-69-b12-1.295.O,06:22:50,06:22:50,5, Rathcoole,1807.71,60-69-b12-1,69,b12
5,8220DB007078,"Parkgate Street, stop 7078",53.34791031,-6.292873904,127.1.60-69-b12-1.295.O,06:26:05,06:26:05,6, Rathcoole,2786.63,60-69-b12-1,69,b12
6,8220DB001449,"Phoenix Park Gate, stop 1449",53.34815283,-6.297896095,127.1.60-69-b12-1.295.O,06:27:02,06:27:02,7, Rathcoole,3123.72,60-69-b12-1,69,b12
7,8220DB001450,"Conyngham Road, stop 1450",53.3481554,-6.301861413,127.1.60-69-b12-1.295.O,06:27:31,06:27:31,8, Rathcoole,3386.86,60-69-b12-1,69,b12
8,8220DB001451,"Bridgewater House, stop 1451",53.34827828,-6.305446445,127.1.60-69-b12-1.295.O,06:27:57,06:27:57,9, Rathcoole,3625.11,60-69-b12-1,69,b12
9,8220DB001452,"Islandbridge, stop 1452",53.34542091,-6.308037999,127.1.60-69-b12-1.295.O,06:29:44,06:29:44,10, Rathcoole,4127.77,60-69-b12-1,69,b12
10,8220DB002640,"Inchicore Road, stop 2640",53.34204453,-6.308892572,127.1.60-69-b12-1.295.O,06:31:18,06:31:18,11, Rathcoole,4572.86,60-69-b12-1,69,b12
11,8220DB002641,"Camac Court, stop 2641",53.34196601,-6.315413635,127.1.60-69-b12-1.295.O,06:32:26,06:32:26,12, Rathcoole,5016.02,60-69-b12-1,69,b12
12,8220DB001948,"Tyrconnell Road, stop 1948",53.338662,-6.322046302,127.1.60-69-b12-1.295.O,06:34:02,06:34:02,13, Rathcoole,5644.94,60-69-b12-1,69,b12
13,8220DB001949,"Tyrconnell Park, stop 1949",53.33764148,-6.32361808,127.1.60-69-b12-1.295.O,06:34:33,06:34:33,14, Rathcoole,5799.06,60-69-b12-1,69,b12
14,8220DB001950,"Oblates Church, stop 1950",53.33602104,-6.325994134,127.1.60-69-b12-1.295.O,06:35:19,06:35:19,15, Rathcoole,6040.04,60-69-b12-1,69,b12
15,8220DB001951,"Blackhorse Luas, stop 1951",53.33313484,-6.329125219,127.1.60-69-b12-1.295.O,06:36:34,06:36:34,16, Rathcoole,6427.22,60-69-b12-1,69,b12
16,8220DB001952,"Lansdowne Valley, stop 1952",53.33170952,-6.330036768,127.1.60-69-b12-1.295.O,06:36:54,06:36:54,17, Rathcoole,6596.83,60-69-b12-1,69,b12
17,8220DB001953,"Bluebell Luas, stop 1953",53.3299945,-6.332085621,127.1.60-69-b12-1.295.O,06:37:22,06:37:22,18, Rathcoole,6828.64,60-69-b12-1,69,b12
18,8220DB001954,"Muirfield Drive, stop 1954",53.32877417,-6.334805659,127.1.60-69-b12-1.295.O,06:37:48,06:37:48,19, Rathcoole,7053.22,60-69-b12-1,69,b12
19,8220DB001955,"Carriglea Ind Estate, stop 1955",53.32794571,-6.337915663,127.1.60-69-b12-1.295.O,06:38:20,06:38:20,20, Rathcoole,7278.36,60-69-b12-1,69,b12
20,8220DB001956,"Kylemore Luas, stop 1956",53.32636542,-6.343847094,127.1.60-69-b12-1.295.O,06:39:24,06:39:24,21, Rathcoole,7712.11,60-69-b12-1,69,b12
21,8230DB001957,"Robinhood Road, stop 1957",53.32541157,-6.347006627,127.1.60-69-b12-1.295.O,06:39:45,06:39:45,22, Rathcoole,7947.2,60-69-b12-1,69,b12
22,8230DB001958,"Long Mile Road, stop 1958",53.32456342,-6.349366296,127.1.60-69-b12-1.295.O,06:40:01,06:40:01,23, Rathcoole,8131.52,60-69-b12-1,69,b12
23,8230DB001959,"Club Road, stop 1959",53.32223375,-6.35574596,127.1.60-69-b12-1.295.O,06:41:27,06:41:27,24, Rathcoole,8626.61,60-69-b12-1,69,b12
24,8230DB001960,"Red Cow Hotel, stop 1960",53.32006317,-6.361953712,127.1.60-69-b12-1.295.O,06:42:28,06:42:28,25, Rathcoole,9104.32,60-69-b12-1,69,b12
25,8230DB004379,"Red Cow Luas, stop 4379",53.31629635,-6.373715086,127.1.60-69-b12-1.295.O,06:44:15,06:44:15,26, Rathcoole,10071.47,60-69-b12-1,69,b12
26,8230DB007782,"Monastery Gate, stop 7782",53.31811367,-6.375161977,127.1.60-69-b12-1.295.O,06:45:23,06:45:23,27, Rathcoole,10485.33,60-69-b12-1,69,b12
27,8230DB001968,"Monastery Road, stop 1968",53.31951373,-6.382283708,127.1.60-69-b12-1.295.O,06:46:51,06:46:51,28, Rathcoole,10992.92,60-69-b12-1,69,b12
28,8230DB001969,"Monastery Walk, stop 1969",53.31981048,-6.384283876,127.1.60-69-b12-1.295.O,06:47:15,06:47:15,29, Rathcoole,11129.24,60-69-b12-1,69,b12
29,8230DB001970,"Floraville Avenue, stop 1970",53.32074248,-6.389397339,127.1.60-69-b12-1.295.O,06:48:04,06:48:04,30, Rathcoole,11485.37,60-69-b12-1,69,b12
30,8230DB001971,"Laurel Park, stop 1971",53.32112631,-6.391199195,127.1.60-69-b12-1.295.O,06:48:48,06:48:48,31, Rathcoole,11613.12,60-69-b12-1,69,b12
31,8230DB002160,"Convent Road, stop 2160",53.31957314,-6.394664957,127.1.60-69-b12-1.295.O,06:50:04,06:50:04,32, Rathcoole,11963.26,60-69-b12-1,69,b12
32,8230DB002161,"Clondalkin Church, stop 2161",53.31837259,-6.394950177,127.1.60-69-b12-1.295.O,06:50:33,06:50:33,33, Rathcoole,12098.0,60-69-b12-1,69,b12
33,8230DB004665,"St Joseph's NS, stop 4665",53.31723876,-6.395518057,127.1.60-69-b12-1.295.O,06:51:04,06:51:04,34, Rathcoole,12230.12,60-69-b12-1,69,b12
34,8230DB004666,"Fonthill Road, stop 4666",53.31682346,-6.398055201,127.1.60-69-b12-1.295.O,06:52:07,06:52:07,35, Rathcoole,12516.42,60-69-b12-1,69,b12
35,8230DB004667,"St John's Estate, stop 4667",53.31747882,-6.401347763,127.1.60-69-b12-1.295.O,06:52:41,06:52:41,36, Rathcoole,12749.05,60-69-b12-1,69,b12
36,8230DB002162,"St John's Road, stop 2162",53.31728638,-6.403756471,127.1.60-69-b12-1.295.O,06:53:10,06:53:10,37, Rathcoole,12940.82,60-69-b12-1,69,b12
37,8230DB002163,"St John's Close, stop 2163",53.31702283,-6.406227843,127.1.60-69-b12-1.295.O,06:53:40,06:53:40,38, Rathcoole,13133.66,60-69-b12-1,69,b12
38,8230DB002168,"St John's Lawn, stop 2168",53.31380144,-6.408644126,127.1.60-69-b12-1.295.O,06:54:51,06:54:51,39, Rathcoole,13618.68,60-69-b12-1,69,b12
39,8230DB004536,"Hazelwood Crescent, stop 4536",53.31211439,-6.40548024,127.1.60-69-b12-1.295.O,06:55:43,06:55:43,40, Rathcoole,13968.3,60-69-b12-1,69,b12
40,8230DB006003,"Green Isle Hotel, stop 6003",53.30999596,-6.403668325,127.1.60-69-b12-1.295.O,06:56:41,06:56:41,41, Rathcoole,14342.82,60-69-b12-1,69,b12
41,8230DB005123,"Green Isle Road, stop 5123",53.30704717,-6.406974591,127.1.60-69-b12-1.295.O,06:57:36,06:57:36,42, Rathcoole,14742.46,60-69-b12-1,69,b12
