Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
38,8230DB004564,"School Road, stop 4564",53.277325,-6.480042974,2448.1.60-69X-b12-1.299.I,07:30:00,07:30:00,1, Poolbeg St,0.0,60-69X-b12-1,69X,b12
39,8230DB003444,"Hillview, stop 3444",53.28118568,-6.474792107,2448.1.60-69X-b12-1.299.I,07:31:13,07:31:13,2, Poolbeg St,594.24,60-69X-b12-1,69X,b12
40,8230DB003447,"Rathcoole SC, stop 3447",53.28191739,-6.465272994,2448.1.60-69X-b12-1.299.I,07:32:46,07:32:46,3, Poolbeg St,1236.09,60-69X-b12-1,69X,b12
41,8230DB003454,"Millrace Estate, stop 3454",53.28165384,-6.44769112,2448.1.60-69X-b12-1.299.I,07:36:20,07:36:20,4, Poolbeg St,2728.66,60-69X-b12-1,69X,b12
42,8230DB003455,"Saggart, stop 3455",53.28034904,-6.444814108,2448.1.60-69X-b12-1.299.I,07:37:53,07:37:53,5, Poolbeg St,3026.13,60-69X-b12-1,69X,b12
43,8230DB005022,"Citywest Campus, stop 5022",53.29338046,-6.422829286,2448.1.60-69X-b12-1.299.I,07:43:07,07:43:07,6, Poolbeg St,5571.79,60-69X-b12-1,69X,b12
44,8230DB003461,"Green Isle Hotel, stop 3461",53.30959375,-6.404508704,2448.1.60-69X-b12-1.299.I,07:49:43,07:49:43,7, Poolbeg St,8979.15,60-69X-b12-1,69X,b12
45,8230DB004537,"Oak Way, stop 4537",53.31087221,-6.401984836,2448.1.60-69X-b12-1.299.I,07:50:20,07:50:20,8, Poolbeg St,9197.77,60-69X-b12-1,69X,b12
46,8230DB002176,"Newlands Cross, stop 2176",53.31370556,-6.388116451,2448.1.60-69X-b12-1.299.I,07:53:13,07:53:13,9, Poolbeg St,10210.23,60-69X-b12-1,69X,b12
47,8220DB001982,"Kylemore Road Junc, stop 1982",53.32722995,-6.342027049,2448.1.60-69X-b12-1.299.I,08:00:28,08:00:28,10, Poolbeg St,13756.94,60-69X-b12-1,69X,b12
48,8220DB007435,"Memorial Gardens, stop 7435",53.34317893,-6.315380836,2448.1.60-69X-b12-1.299.I,08:09:34,08:09:34,11, Poolbeg St,16438.58,60-69X-b12-1,69X,b12
49,8220DB004413,"Heuston Station, stop 4413",53.34615649,-6.292793782,2448.1.60-69X-b12-1.299.I,08:14:53,08:14:53,12, Poolbeg St,17996.94,60-69X-b12-1,69X,b12
50,8220DB001480,"Ormond Quay Upper, stop 1480",53.34576596,-6.270670298,2448.1.60-69X-b12-1.299.I,08:22:57,08:22:57,13, Poolbeg St,19582.06,60-69X-b12-1,69X,b12
51,8220DB001358,"Dame Street, stop 1358",53.34430471,-6.262889389,2448.1.60-69X-b12-1.299.I,08:25:42,08:25:42,14, Poolbeg St,20277.38,60-69X-b12-1,69X,b12
52,8220DB007665,"Poolbeg Street, stop 7665",53.34682214,-6.256778971,2448.1.60-69X-b12-1.299.I,08:29:02,08:29:02,15, Poolbeg St,21127.41,60-69X-b12-1,69X,b12
