Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB004495,"Hawkins Street, stop 4495",53.34649329,-6.25703271,134.1.60-69X-b12-1.298.O,17:45:00,17:45:00,1, Rathcoole,0.0,60-69X-b12-1,69X,b12
1,8220DB004720,"Aston Quay, stop 4720",53.34659451,-6.260272918,134.1.60-69X-b12-1.298.O,17:48:30,17:48:30,2, Rathcoole,474.54,60-69X-b12-1,69X,b12
2,8220DB001443,"Civic Offices, stop 1443",53.34512939,-6.269539559,134.1.60-69X-b12-1.298.O,17:52:52,17:52:52,3, Rathcoole,1112.28,60-69X-b12-1,69X,b12
3,8220DB001444,"Merchant's Quay, stop 1444",53.34507559,-6.274513197,134.1.60-69X-b12-1.298.O,17:57:08,17:57:08,4, Rathcoole,1442.13,60-69X-b12-1,69X,b12
4,8220DB001445,"Usher's Quay, stop 1445",53.34598795,-6.279808388,134.1.60-69X-b12-1.298.O,17:58:27,17:58:27,5, Rathcoole,1807.71,60-69X-b12-1,69X,b12
5,8220DB004407,"Victoria Quay, stop 4407",53.3464875,-6.285165429,134.1.60-69X-b12-1.298.O,17:59:45,17:59:45,6, Rathcoole,2170.3,60-69X-b12-1,69X,b12
6,8220DB002637,"Heuston Station, stop 2637",53.34584559,-6.294308178,134.1.60-69X-b12-1.298.O,18:02:07,18:02:07,7, Rathcoole,2824.7,60-69X-b12-1,69X,b12
7,8220DB001956,"Kylemore Luas, stop 1956",53.32636542,-6.343847094,134.1.60-69X-b12-1.298.O,18:15:17,18:15:17,8, Rathcoole,7126.91,60-69X-b12-1,69X,b12
8,8230DB002109,"Knockmeenagh Lane, stop 2109",53.31337181,-6.387363612,134.1.60-69X-b12-1.298.O,18:20:15,18:20:15,9, Rathcoole,10395.16,60-69X-b12-1,69X,b12
9,8230DB003427,"Newlands Cross, stop 3427",53.31251606,-6.39188321,134.1.60-69X-b12-1.298.O,18:20:43,18:20:43,10, Rathcoole,10707.74,60-69X-b12-1,69X,b12
10,8230DB003428,"Bushfield, stop 3428",53.31126016,-6.398743763,134.1.60-69X-b12-1.298.O,18:21:28,18:21:28,11, Rathcoole,11190.83,60-69X-b12-1,69X,b12
11,8230DB003432,"Bianconi Avenue, stop 3432",53.29136614,-6.428198608,134.1.60-69X-b12-1.298.O,18:26:41,18:26:41,12, Rathcoole,14588.56,60-69X-b12-1,69X,b12
12,8230DB003434,"Saggart, stop 3434",53.28029338,-6.444681162,134.1.60-69X-b12-1.298.O,18:31:16,18:31:16,13, Rathcoole,16500.96,60-69X-b12-1,69X,b12
13,8230DB003453,"Spring Bank, stop 3453",53.28296081,-6.452817826,134.1.60-69X-b12-1.298.O,18:32:57,18:32:57,15, Rathcoole,17243.66,60-69X-b12-1,69X,b12
14,8230DB003437,"Fitzmaurice Road, stop 3437",53.28342573,-6.458875011,134.1.60-69X-b12-1.298.O,18:34:04,18:34:04,16, Rathcoole,17785.75,60-69X-b12-1,69X,b12
15,8230DB003440,"Rathcoole SC, stop 3440",53.28182165,-6.465516376,134.1.60-69X-b12-1.298.O,18:35:08,18:35:08,17, Rathcoole,18290.72,60-69X-b12-1,69X,b12
16,8230DB003441,"Rathcoole Village, stop 3441",53.28118788,-6.472857459,134.1.60-69X-b12-1.298.O,18:36:07,18:36:07,18, Rathcoole,18785.26,60-69X-b12-1,69X,b12
17,8230DB004560,"School Road, stop 4560",53.27949507,-6.477536605,134.1.60-69X-b12-1.298.O,18:36:59,18:36:59,19, Rathcoole,19207.04,60-69X-b12-1,69X,b12
18,8230DB005126,"Holy Family Comm Sch, stop 5126",53.27729691,-6.479953999,134.1.60-69X-b12-1.298.O,18:37:37,18:37:37,20, Rathcoole,19505.69,60-69X-b12-1,69X,b12
