Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB004962,"Mountjoy Square, stop 4962",53.35703972,-6.258495314,1000.1.60-7-b12-1.136.O,10:15:00,10:15:00,1, Brides Glen,0.0,60-7-b12-1,7,b12
1,8220DB004725,"O'Connell St Upper, stop 4725",53.35211562,-6.261054534,1000.1.60-7-b12-1.136.O,10:18:58,10:18:58,2, Brides Glen,768.31,60-7-b12-1,7,b12
2,8220DB000273,"O'Connell Bridge, stop 273",53.34724742,-6.258819402,1000.1.60-7-b12-1.136.O,10:22:31,10:22:31,3, Brides Glen,1330.92,60-7-b12-1,7,b12
3,8220DB000405,"Nassau Street, stop 405",53.34248169,-6.255604373,1000.1.60-7-b12-1.136.O,10:27:34,10:27:34,4, Brides Glen,2131.1,60-7-b12-1,7,b12
4,8220DB000408,"Merrion Sq North, stop 408",53.34097078,-6.25001924,1000.1.60-7-b12-1.136.O,10:30:09,10:30:09,5, Brides Glen,2542.52,60-7-b12-1,7,b12
5,8220DB000409,"Holles Street, stop 409",53.34013673,-6.247695596,1000.1.60-7-b12-1.136.O,10:30:37,10:30:37,6, Brides Glen,2722.42,60-7-b12-1,7,b12
6,8220DB000410,"Mount Street Lower, stop 410",53.33881345,-6.24389039,1000.1.60-7-b12-1.136.O,10:31:42,10:31:42,7, Brides Glen,3014.91,60-7-b12-1,7,b12
7,8220DB000411,"Mount Street Bridge, stop 411",53.33811712,-6.241771554,1000.1.60-7-b12-1.136.O,10:32:18,10:32:18,8, Brides Glen,3175.14,60-7-b12-1,7,b12
8,8220DB000412,"Haddington Road, stop 412",53.33525551,-6.237279319,1000.1.60-7-b12-1.136.O,10:33:56,10:33:56,9, Brides Glen,3618.89,60-7-b12-1,7,b12
9,8220DB000413,"Lansdowne Park, stop 413",53.33409419,-6.236546394,1000.1.60-7-b12-1.136.O,10:34:23,10:34:23,10, Brides Glen,3756.25,60-7-b12-1,7,b12
10,8220DB000414,"Lansdowne Road, stop 414",53.33157381,-6.234473217,1000.1.60-7-b12-1.136.O,10:35:25,10:35:25,11, Brides Glen,4071.2,60-7-b12-1,7,b12
11,8220DB000415,"American Embassy, stop 415",53.33033782,-6.23294775,1000.1.60-7-b12-1.136.O,10:36:04,10:36:04,12, Brides Glen,4241.14,60-7-b12-1,7,b12
12,8220DB000416,"RDS Ballsbridge, stop 416",53.32863992,-6.229369569,1000.1.60-7-b12-1.136.O,10:37:18,10:37:18,13, Brides Glen,4553.24,60-7-b12-1,7,b12
13,8220DB000417,"Merrion Road, stop 417",53.32769959,-6.22597042,1000.1.60-7-b12-1.136.O,10:37:59,10:37:59,14, Brides Glen,4801.9,60-7-b12-1,7,b12
14,8220DB000418,"British Embassy, stop 418",53.32571981,-6.223395298,1000.1.60-7-b12-1.136.O,10:38:45,10:38:45,15, Brides Glen,5081.02,60-7-b12-1,7,b12
15,8220DB000419,"Shrewsbury Park, stop 419",53.32399511,-6.220449503,1000.1.60-7-b12-1.136.O,10:39:29,10:39:29,16, Brides Glen,5355.62,60-7-b12-1,7,b12
16,8220DB000420,"Merlyn Road, stop 420",53.3219108,-6.217503922,1000.1.60-7-b12-1.136.O,10:40:29,10:40:29,17, Brides Glen,5658.55,60-7-b12-1,7,b12
17,8220DB000421,"Merrion View Avenue, stop 421",53.32000518,-6.21449112,1000.1.60-7-b12-1.136.O,10:41:27,10:41:27,18, Brides Glen,5951.15,60-7-b12-1,7,b12
18,8220DB000422,"St Vincent's Hosp, stop 422",53.31806419,-6.210324281,1000.1.60-7-b12-1.136.O,10:42:36,10:42:36,19, Brides Glen,6307.7,60-7-b12-1,7,b12
19,8220DB000423,"Herbert Avenue, stop 423",53.3171485,-6.207405658,1000.1.60-7-b12-1.136.O,10:43:06,10:43:06,20, Brides Glen,6526.11,60-7-b12-1,7,b12
20,8220DB000424,"Merrion Gates, stop 424",53.31539438,-6.203726866,1000.1.60-7-b12-1.136.O,10:43:49,10:43:49,21, Brides Glen,6838.74,60-7-b12-1,7,b12
21,8250DB000425,"Merrion Road, stop 425",53.31250221,-6.201477017,1000.1.60-7-b12-1.136.O,10:44:40,10:44:40,22, Brides Glen,7190.3,60-7-b12-1,7,b12
22,8250DB000426,"Rock Road, stop 426",53.31096735,-6.19983067,1000.1.60-7-b12-1.136.O,10:45:10,10:45:10,23, Brides Glen,7398.05,60-7-b12-1,7,b12
23,8250DB000427,"Booterstown Station, stop 427",53.30827033,-6.195036945,1000.1.60-7-b12-1.136.O,10:46:09,10:46:09,24, Brides Glen,7836.01,60-7-b12-1,7,b12
24,8250DB000428,"Blackrock College, stop 428",53.30691071,-6.190727473,1000.1.60-7-b12-1.136.O,10:46:53,10:46:53,25, Brides Glen,8165.06,60-7-b12-1,7,b12
25,8250DB000429,"Blackrock Clinic, stop 429",53.3047081,-6.187144257,1000.1.60-7-b12-1.136.O,10:47:38,10:47:38,26, Brides Glen,8507.76,60-7-b12-1,7,b12
26,8250DB003032,"Blackrock Park, stop 3032",53.30232154,-6.182113757,1000.1.60-7-b12-1.136.O,10:49:19,10:49:19,27, Brides Glen,8937.92,60-7-b12-1,7,b12
27,8250DB003033,"Blackrock Main St, stop 3033",53.30199325,-6.178271522,1000.1.60-7-b12-1.136.O,10:50:25,10:50:25,28, Brides Glen,9214.72,60-7-b12-1,7,b12
28,8250DB003034,"Temple Road, stop 3034",53.29962882,-6.174711251,1000.1.60-7-b12-1.136.O,10:51:45,10:51:45,29, Brides Glen,9574.96,60-7-b12-1,7,b12
29,8250DB003036,"Monkstown Road, stop 3036",53.29584441,-6.167656458,1000.1.60-7-b12-1.136.O,10:53:50,10:53:50,30, Brides Glen,10229.15,60-7-b12-1,7,b12
30,8250DB003037,"Alma Road, stop 3037",53.29550052,-6.165750879,1000.1.60-7-b12-1.136.O,10:54:15,10:54:15,31, Brides Glen,10361.71,60-7-b12-1,7,b12
31,8250DB003038,"Belgrave Square, stop 3038",53.29475248,-6.16095226,1000.1.60-7-b12-1.136.O,10:54:57,10:54:57,32, Brides Glen,10690.63,60-7-b12-1,7,b12
32,8250DB003039,"Albany Avenue, stop 3039",53.29434621,-6.157924317,1000.1.60-7-b12-1.136.O,10:55:23,10:55:23,33, Brides Glen,10897.69,60-7-b12-1,7,b12
33,8250DB003040,"Monkstown Crescent, stop 3040",53.29382372,-6.154361374,1000.1.60-7-b12-1.136.O,10:55:55,10:55:55,34, Brides Glen,11144.11,60-7-b12-1,7,b12
34,8250DB003041,"Grosvenor Terrace, stop 3041",53.29402852,-6.149596951,1000.1.60-7-b12-1.136.O,10:57:15,10:57:15,35, Brides Glen,11468.25,60-7-b12-1,7,b12
35,8250DB003042,"De Vesci Terrace, stop 3042",53.29505493,-6.146237083,1000.1.60-7-b12-1.136.O,10:58:17,10:58:17,36, Brides Glen,11719.05,60-7-b12-1,7,b12
36,8250DB002035,"Crofton Road, stop 2035",53.29577235,-6.142665422,1000.1.60-7-b12-1.136.O,10:59:40,10:59:40,37, Brides Glen,12050.97,60-7-b12-1,7,b12
37,8250DB002036,"Crofton  Avenue, stop 2036",53.29579273,-6.13820879,1000.1.60-7-b12-1.136.O,11:01:06,11:01:06,38, Brides Glen,12373.1,60-7-b12-1,7,b12
38,8250DB002040,"Dun Laoghaire SC, stop 2040",53.29279119,-6.135369049,1000.1.60-7-b12-1.136.O,11:03:31,11:03:31,39, Brides Glen,12912.96,60-7-b12-1,7,b12
39,8250DB003047,"George's St Upper, stop 3047",53.29017029,-6.131013039,1000.1.60-7-b12-1.136.O,11:05:15,11:05:15,40, Brides Glen,13386.64,60-7-b12-1,7,b12
40,8250DB003202,"Glenageary Rd Lower, stop 3202",53.28885048,-6.129960649,1000.1.60-7-b12-1.136.O,11:05:59,11:05:59,41, Brides Glen,13581.65,60-7-b12-1,7,b12
41,8250DB003203,"Traverslea Close, stop 3203",53.2852205,-6.132339018,1000.1.60-7-b12-1.136.O,11:07:37,11:07:37,42, Brides Glen,14014.8,60-7-b12-1,7,b12
42,8250DB003204,"Silchester Park, stop 3204",53.28243534,-6.134140253,1000.1.60-7-b12-1.136.O,11:08:25,11:08:25,43, Brides Glen,14347.56,60-7-b12-1,7,b12
43,8250DB007641,"Glenageary Park, stop 7641",53.27867163,-6.135443965,1000.1.60-7-b12-1.136.O,11:09:46,11:09:46,44, Brides Glen,14796.1,60-7-b12-1,7,b12
44,8250DB007642,"Park Close, stop 7642",53.27431444,-6.134434034,1000.1.60-7-b12-1.136.O,11:10:45,11:10:45,45, Brides Glen,15285.38,60-7-b12-1,7,b12
45,8250DB007643,"Sallyglen Road, stop 7643",53.26732576,-6.134708361,1000.1.60-7-b12-1.136.O,11:12:02,11:12:02,46, Brides Glen,16062.86,60-7-b12-1,7,b12
46,8250DB003214,"Churchview Road, stop 3214",53.26460084,-6.134617098,1000.1.60-7-b12-1.136.O,11:13:11,11:13:11,47, Brides Glen,16443.7,60-7-b12-1,7,b12
47,8250DB003215,"Auburn Drive, stop 3215",53.26203127,-6.137562192,1000.1.60-7-b12-1.136.O,11:14:14,11:14:14,48, Brides Glen,16810.67,60-7-b12-1,7,b12
48,8250DB003216,"Kilbogget Park, stop 3216",53.25887231,-6.137879343,1000.1.60-7-b12-1.136.O,11:15:16,11:15:16,49, Brides Glen,17183.27,60-7-b12-1,7,b12
49,8250DB003217,"Ballybrack SC, stop 3217",53.2570426,-6.135830404,1000.1.60-7-b12-1.136.O,11:15:57,11:15:57,50, Brides Glen,17429.48,60-7-b12-1,7,b12
50,8250DB003218,"Pinewood, stop 3218",53.25492344,-6.13252024,1000.1.60-7-b12-1.136.O,11:16:53,11:16:53,51, Brides Glen,17761.0,60-7-b12-1,7,b12
51,8250DB003219,"Oakton Park, stop 3219",53.25311038,-6.130965577,1000.1.60-7-b12-1.136.O,11:17:44,11:17:44,52, Brides Glen,18058.34,60-7-b12-1,7,b12
52,8250DB003220,"Wyattville Close, stop 3220",53.25072349,-6.132942982,1000.1.60-7-b12-1.136.O,11:18:31,11:18:31,53, Brides Glen,18355.7,60-7-b12-1,7,b12
53,8250DB005046,"Valley Drive, stop 5046",53.24590618,-6.13929662,1000.1.60-7-b12-1.136.O,11:20:25,11:20:25,54, Brides Glen,19040.89,60-7-b12-1,7,b12
54,8250DB007639,"Brides Glen Luas, stop 7639",53.24139897,-6.143073229,1000.1.60-7-b12-1.136.O,11:22:23,11:22:23,55, Brides Glen,19798.89,60-7-b12-1,7,b12
