Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
110,8250DB007639,"Brides Glen Luas, stop 7639",53.24139897,-6.143073229,1001.1.60-7-b12-1.134.I,11:45:00,11:45:00,1, Mountjoy Square,0.0,60-7-b12-1,7,b12
111,8250DB007640,"Cherrywood Bus Pk, stop 7640",53.24334835,-6.140696243,1001.1.60-7-b12-1.134.I,11:45:56,11:45:56,2, Mountjoy Square,369.96,60-7-b12-1,7,b12
112,8250DB005047,"Valley Drive, stop 5047",53.24581195,-6.14016984,1001.1.60-7-b12-1.134.I,11:47:19,11:47:19,3, Mountjoy Square,815.83,60-7-b12-1,7,b12
113,8250DB003224,"Ashlawn, stop 3224",53.25194585,-6.132365195,1001.1.60-7-b12-1.134.I,11:49:32,11:49:32,4, Mountjoy Square,1684.57,60-7-b12-1,7,b12
114,8250DB003225,"Ballybrack SC, stop 3225",53.25529487,-6.13385301,1001.1.60-7-b12-1.134.I,11:51:07,11:51:07,5, Mountjoy Square,2223.26,60-7-b12-1,7,b12
115,8250DB003226,"Kilbogget Park, stop 3226",53.25854707,-6.137773558,1001.1.60-7-b12-1.134.I,11:52:28,11:52:28,6, Mountjoy Square,2668.29,60-7-b12-1,7,b12
116,8250DB003227,"Auburn Drive, stop 3227",53.26195417,-6.137805394,1001.1.60-7-b12-1.134.I,11:53:29,11:53:29,7, Mountjoy Square,3061.92,60-7-b12-1,7,b12
117,8250DB003228,"Church Road, stop 3228",53.26475425,-6.134655395,1001.1.60-7-b12-1.134.I,11:54:29,11:54:29,8, Mountjoy Square,3448.53,60-7-b12-1,7,b12
118,8250DB003229,"Churchview Road, stop 3229",53.26535278,-6.134419453,1001.1.60-7-b12-1.134.I,11:54:51,11:54:51,9, Mountjoy Square,3587.69,60-7-b12-1,7,b12
119,8250DB007644,"Sallyglen Road, stop 7644",53.26764248,-6.134844498,1001.1.60-7-b12-1.134.I,11:55:33,11:55:33,10, Mountjoy Square,3863.57,60-7-b12-1,7,b12
120,8250DB007645,"Park Close, stop 7645",53.27510035,-6.134684715,1001.1.60-7-b12-1.134.I,11:56:54,11:56:54,11, Mountjoy Square,4693.37,60-7-b12-1,7,b12
121,8250DB007646,"Glenageary Avenue, stop 7646",53.2790895,-6.135725706,1001.1.60-7-b12-1.134.I,11:57:54,11:57:54,12, Mountjoy Square,5145.12,60-7-b12-1,7,b12
122,8250DB003238,"Holmston Avenue, stop 3238",53.28330973,-6.133727199,1001.1.60-7-b12-1.134.I,11:59:02,11:59:02,13, Mountjoy Square,5659.92,60-7-b12-1,7,b12
123,8250DB003239,"Crosthwaite Park, stop 3239",53.2843865,-6.133035331,1001.1.60-7-b12-1.134.I,11:59:25,11:59:25,14, Mountjoy Square,5787.62,60-7-b12-1,7,b12
124,8250DB003240,"Corrig Road, stop 3240",53.28717187,-6.131248929,1001.1.60-7-b12-1.134.I,12:00:24,12:00:24,15, Mountjoy Square,6120.94,60-7-b12-1,7,b12
125,8250DB003068,"George's St Upper, stop 3068",53.28982949,-6.130487902,1001.1.60-7-b12-1.134.I,12:02:12,12:02:12,16, Mountjoy Square,6469.7,60-7-b12-1,7,b12
126,8250DB003069,"Corrig Avenue, stop 3069",53.29075303,-6.132637683,1001.1.60-7-b12-1.134.I,12:03:06,12:03:06,17, Mountjoy Square,6645.44,60-7-b12-1,7,b12
127,8250DB003070,"Dun Laoghaire SC, stop 3070",53.2921151,-6.135818534,1001.1.60-7-b12-1.134.I,12:04:25,12:04:25,18, Mountjoy Square,6906.24,60-7-b12-1,7,b12
128,8250DB002041,"St Michael's Hosp, stop 2041",53.2935976,-6.139234377,1001.1.60-7-b12-1.134.I,12:05:46,12:05:46,19, Mountjoy Square,7187.39,60-7-b12-1,7,b12
129,8250DB003071,"De Vesci Park, stop 3071",53.29498472,-6.145189969,1001.1.60-7-b12-1.134.I,12:07:45,12:07:45,20, Mountjoy Square,7628.48,60-7-b12-1,7,b12
130,8250DB003072,"Grosvenor Terrace, stop 3072",53.29418522,-6.148690061,1001.1.60-7-b12-1.134.I,12:08:25,12:08:25,21, Mountjoy Square,7885.73,60-7-b12-1,7,b12
131,8250DB003073,"Monkstown Road, stop 3073",53.29378259,-6.155188246,1001.1.60-7-b12-1.134.I,12:09:31,12:09:31,22, Mountjoy Square,8326.33,60-7-b12-1,7,b12
132,8250DB003074,"Drayton Close, stop 3074",53.29449303,-6.159283182,1001.1.60-7-b12-1.134.I,12:10:10,12:10:10,23, Mountjoy Square,8609.08,60-7-b12-1,7,b12
