Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
800,8240DB003340,"Littlepace, stop 3340",53.40866795,-6.428945869,15052.2.60-70-b12-1.206.I,23:05:06,23:05:06,9, Bachelors Walk,3429.1,60-70-b12-1,70,b12
801,8240DB004324,"Littlepace Gallops, stop 4324",53.40401779,-6.426635631,15052.2.60-70-b12-1.206.I,23:06:26,23:06:26,10, Bachelors Walk,4112.0,60-70-b12-1,70,b12
802,8240DB004769,"The Grove, stop 4769",53.4035715,-6.423463666,15052.2.60-70-b12-1.206.I,23:06:53,23:06:53,11, Bachelors Walk,4345.91,60-70-b12-1,70,b12
803,8240DB004770,"Deerhaven, stop 4770",53.40396944,-6.418215054,15052.2.60-70-b12-1.206.I,23:07:35,23:07:35,12, Bachelors Walk,4710.87,60-70-b12-1,70,b12
804,8240DB004765,"Huntstown Wood, stop 4765",53.40353211,-6.414381092,15052.2.60-70-b12-1.206.I,23:08:07,23:08:07,13, Bachelors Walk,4973.14,60-70-b12-1,70,b12
805,8240DB004766,"Deerhaven, stop 4766",53.40387301,-6.41839911,15052.2.60-70-b12-1.206.I,23:08:36,23:08:36,14, Bachelors Walk,5247.34,60-70-b12-1,70,b12
806,8240DB004767,"The Grove, stop 4767",53.40347308,-6.423497384,15052.2.60-70-b12-1.206.I,23:09:00,23:09:00,15, Bachelors Walk,5602.73,60-70-b12-1,70,b12
807,8240DB004768,"Littlepace Park, stop 4768",53.40379704,-6.426252741,15052.2.60-70-b12-1.206.I,23:09:14,23:09:14,16, Bachelors Walk,5802.14,60-70-b12-1,70,b12
808,8240DB001845,"Morgan Place, stop 1845",53.37902299,-6.352716929,15052.2.60-70-b12-1.206.I,23:17:13,23:17:13,17, Bachelors Walk,12790.91,60-70-b12-1,70,b12
809,8240DB007166,"Parkway Station, stop 7166",53.3770936,-6.345787136,15052.2.60-70-b12-1.206.I,23:17:49,23:17:49,18, Bachelors Walk,13301.96,60-70-b12-1,70,b12
810,8220DB001847,"Old Racecourse, stop 1847",53.37290201,-6.333926261,15052.2.60-70-b12-1.206.I,23:18:42,23:18:42,19, Bachelors Walk,14215.74,60-70-b12-1,70,b12
811,8220DB001696,"Ashtown Roundabout, stop 1696",53.37154152,-6.329831443,15052.2.60-70-b12-1.206.I,23:19:13,23:19:13,20, Bachelors Walk,14538.48,60-70-b12-1,70,b12
812,8220DB001697,"Kempton, stop 1697",53.37080115,-6.327666259,15052.2.60-70-b12-1.206.I,23:19:23,23:19:23,21, Bachelors Walk,14703.57,60-70-b12-1,70,b12
813,8220DB001698,"Ashtown Grove, stop 1698",53.3695773,-6.323716751,15052.2.60-70-b12-1.206.I,23:19:41,23:19:41,22, Bachelors Walk,14999.31,60-70-b12-1,70,b12
814,8220DB001699,"Baggot Road, stop 1699",53.36874361,-6.321314995,15052.2.60-70-b12-1.206.I,23:20:04,23:20:04,23, Bachelors Walk,15183.53,60-70-b12-1,70,b12
815,8220DB001700,"Baggot Road, stop 1700",53.36770883,-6.317403485,15052.2.60-70-b12-1.206.I,23:20:38,23:20:38,24, Bachelors Walk,15469.06,60-70-b12-1,70,b12
816,8220DB001701,"Our Lady's Church, stop 1701",53.36656726,-6.312940383,15052.2.60-70-b12-1.206.I,23:21:00,23:21:00,25, Bachelors Walk,15789.65,60-70-b12-1,70,b12
817,8220DB001702,"Navan Road Church, stop 1702",53.36561083,-6.310138139,15052.2.60-70-b12-1.206.I,23:21:15,23:21:15,26, Bachelors Walk,16004.66,60-70-b12-1,70,b12
818,8220DB001703,"Cabra Garda Station, stop 1703",53.3647354,-6.307347834,15052.2.60-70-b12-1.206.I,23:21:43,23:21:43,27, Bachelors Walk,16214.87,60-70-b12-1,70,b12
819,8220DB001905,"Skreen Road, stop 1905",53.36331755,-6.303076594,15052.2.60-70-b12-1.206.I,23:22:25,23:22:25,28, Bachelors Walk,16538.28,60-70-b12-1,70,b12
820,8220DB001906,"Old Cabra Road, stop 1906",53.36120076,-6.297075539,15052.2.60-70-b12-1.206.I,23:23:11,23:23:11,29, Bachelors Walk,17008.82,60-70-b12-1,70,b12
821,8220DB001907,"Glenbeigh Road, stop 1907",53.35990495,-6.293821785,15052.2.60-70-b12-1.206.I,23:23:30,23:23:30,30, Bachelors Walk,17267.14,60-70-b12-1,70,b12
822,8220DB001908,"Cabra Drive, stop 1908",53.3586908,-6.291256073,15052.2.60-70-b12-1.206.I,23:24:03,23:24:03,31, Bachelors Walk,17485.11,60-70-b12-1,70,b12
823,8220DB001909,"Prussia Street, stop 1909",53.35696026,-6.288410723,15052.2.60-70-b12-1.206.I,23:24:45,23:24:45,32, Bachelors Walk,17753.93,60-70-b12-1,70,b12
824,8220DB001713,"Manor Street, stop 1713",53.35190782,-6.283325473,15052.2.60-70-b12-1.206.I,23:26:06,23:26:06,33, Bachelors Walk,18418.09,60-70-b12-1,70,b12
825,8220DB001714,"Stoneybatter, stop 1714",53.35063781,-6.281889388,15052.2.60-70-b12-1.206.I,23:26:33,23:26:33,34, Bachelors Walk,18589.53,60-70-b12-1,70,b12
826,8220DB001715,"Blackhall Place, stop 1715",53.34771198,-6.2821873,15052.2.60-70-b12-1.206.I,23:27:25,23:27:25,35, Bachelors Walk,18914.81,60-70-b12-1,70,b12
827,8220DB007453,"Arran Quay, stop 7453",53.34633589,-6.278382504,15052.2.60-70-b12-1.206.I,23:28:24,23:28:24,36, Bachelors Walk,19292.26,60-70-b12-1,70,b12
828,8220DB001478,"Four Courts, stop 1478",53.3456082,-6.272809481,15052.2.60-70-b12-1.206.I,23:29:25,23:29:25,37, Bachelors Walk,19674.84,60-70-b12-1,70,b12
829,8220DB001479,"Ormond Quay, stop 1479",53.34598809,-6.268633628,15052.2.60-70-b12-1.206.I,23:30:13,23:30:13,38, Bachelors Walk,19957.99,60-70-b12-1,70,b12
830,8220DB000315,"Bachelors Walk, stop 315",53.34702829,-6.261667155,15052.2.60-70-b12-1.206.I,23:31:32,23:31:32,39, Bachelors Walk,20438.44,60-70-b12-1,70,b12
831,8220VIR08057,Bachelors Walk,53.3473839,-6.260165671,15052.2.60-70-b12-1.206.I,23:31:50,23:31:50,40, Bachelors Walk,20554.39,60-70-b12-1,70,b12
832,8240DB003340,"Littlepace, stop 3340",53.40866795,-6.428945869,15052.2.60-70-d12-1.206.I,23:05:06,23:05:06,9, Bachelors Walk,3429.1,60-70-d12-1,70,d12
833,8240DB004324,"Littlepace Gallops, stop 4324",53.40401779,-6.426635631,15052.2.60-70-d12-1.206.I,23:06:26,23:06:26,10, Bachelors Walk,4112.0,60-70-d12-1,70,d12
834,8240DB004769,"The Grove, stop 4769",53.4035715,-6.423463666,15052.2.60-70-d12-1.206.I,23:06:53,23:06:53,11, Bachelors Walk,4345.91,60-70-d12-1,70,d12
835,8240DB004770,"Deerhaven, stop 4770",53.40396944,-6.418215054,15052.2.60-70-d12-1.206.I,23:07:35,23:07:35,12, Bachelors Walk,4710.87,60-70-d12-1,70,d12
836,8240DB004765,"Huntstown Wood, stop 4765",53.40353211,-6.414381092,15052.2.60-70-d12-1.206.I,23:08:07,23:08:07,13, Bachelors Walk,4973.14,60-70-d12-1,70,d12
837,8240DB004766,"Deerhaven, stop 4766",53.40387301,-6.41839911,15052.2.60-70-d12-1.206.I,23:08:36,23:08:36,14, Bachelors Walk,5247.34,60-70-d12-1,70,d12
838,8240DB004767,"The Grove, stop 4767",53.40347308,-6.423497384,15052.2.60-70-d12-1.206.I,23:09:00,23:09:00,15, Bachelors Walk,5602.73,60-70-d12-1,70,d12
839,8240DB004768,"Littlepace Park, stop 4768",53.40379704,-6.426252741,15052.2.60-70-d12-1.206.I,23:09:14,23:09:14,16, Bachelors Walk,5802.14,60-70-d12-1,70,d12
840,8240DB001845,"Morgan Place, stop 1845",53.37902299,-6.352716929,15052.2.60-70-d12-1.206.I,23:17:13,23:17:13,17, Bachelors Walk,12790.91,60-70-d12-1,70,d12
841,8240DB007166,"Parkway Station, stop 7166",53.3770936,-6.345787136,15052.2.60-70-d12-1.206.I,23:17:49,23:17:49,18, Bachelors Walk,13301.96,60-70-d12-1,70,d12
842,8220DB001847,"Old Racecourse, stop 1847",53.37290201,-6.333926261,15052.2.60-70-d12-1.206.I,23:18:42,23:18:42,19, Bachelors Walk,14215.74,60-70-d12-1,70,d12
843,8220DB001696,"Ashtown Roundabout, stop 1696",53.37154152,-6.329831443,15052.2.60-70-d12-1.206.I,23:19:13,23:19:13,20, Bachelors Walk,14538.48,60-70-d12-1,70,d12
844,8220DB001697,"Kempton, stop 1697",53.37080115,-6.327666259,15052.2.60-70-d12-1.206.I,23:19:23,23:19:23,21, Bachelors Walk,14703.57,60-70-d12-1,70,d12
845,8220DB001698,"Ashtown Grove, stop 1698",53.3695773,-6.323716751,15052.2.60-70-d12-1.206.I,23:19:41,23:19:41,22, Bachelors Walk,14999.31,60-70-d12-1,70,d12
846,8220DB001699,"Baggot Road, stop 1699",53.36874361,-6.321314995,15052.2.60-70-d12-1.206.I,23:20:04,23:20:04,23, Bachelors Walk,15183.53,60-70-d12-1,70,d12
847,8220DB001700,"Baggot Road, stop 1700",53.36770883,-6.317403485,15052.2.60-70-d12-1.206.I,23:20:38,23:20:38,24, Bachelors Walk,15469.06,60-70-d12-1,70,d12
848,8220DB001701,"Our Lady's Church, stop 1701",53.36656726,-6.312940383,15052.2.60-70-d12-1.206.I,23:21:00,23:21:00,25, Bachelors Walk,15789.65,60-70-d12-1,70,d12
849,8220DB001702,"Navan Road Church, stop 1702",53.36561083,-6.310138139,15052.2.60-70-d12-1.206.I,23:21:15,23:21:15,26, Bachelors Walk,16004.66,60-70-d12-1,70,d12
850,8220DB001703,"Cabra Garda Station, stop 1703",53.3647354,-6.307347834,15052.2.60-70-d12-1.206.I,23:21:43,23:21:43,27, Bachelors Walk,16214.87,60-70-d12-1,70,d12
851,8220DB001905,"Skreen Road, stop 1905",53.36331755,-6.303076594,15052.2.60-70-d12-1.206.I,23:22:25,23:22:25,28, Bachelors Walk,16538.28,60-70-d12-1,70,d12
852,8220DB001906,"Old Cabra Road, stop 1906",53.36120076,-6.297075539,15052.2.60-70-d12-1.206.I,23:23:11,23:23:11,29, Bachelors Walk,17008.82,60-70-d12-1,70,d12
