Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
82,8220DB007333,"Mespil Hotel, stop 7333",53.33298967,-6.246982573,15043.2.60-70-b12-1.204.O,09:30:00,09:30:00,1, Dunboyne,0.0,60-70-b12-1,70,b12
83,8220DB000783,"Baggot St Lower, stop 783",53.33530854,-6.246977564,15043.2.60-70-b12-1.204.O,09:31:31,09:31:31,2, Dunboyne,406.54,60-70-b12-1,70,b12
84,8220DB000784,"Fitzwilliam Street, stop 784",53.33645673,-6.248657371,15043.2.60-70-b12-1.204.O,09:31:56,09:31:56,3, Dunboyne,576.78,60-70-b12-1,70,b12
85,8220DB000785,"Pembroke St Lower, stop 785",53.3371059,-6.251859373,15043.2.60-70-b12-1.204.O,09:32:39,09:32:39,4, Dunboyne,855.05,60-70-b12-1,70,b12
86,8220DB000786,"Embassy of Malta, stop 786",53.33518155,-6.256097534,15043.2.60-70-b12-1.204.O,09:34:08,09:34:08,5, Dunboyne,1342.87,60-70-b12-1,70,b12
87,8220DB000793,"Dawson Street, stop 793",53.34085979,-6.258403869,15043.2.60-70-b12-1.204.O,09:36:32,09:36:32,6, Dunboyne,2146.7,60-70-b12-1,70,b12
88,8220DB007586,"National Gallery, stop 7586",53.34197047,-6.253222288,15043.2.60-70-b12-1.204.O,09:38:35,09:38:35,8, Dunboyne,2642.2,60-70-b12-1,70,b12
89,8220DB007587,"Science Gallery, stop 7587",53.34445793,-6.25122816,15043.2.60-70-b12-1.204.O,09:40:51,09:40:51,9, Dunboyne,3199.04,60-70-b12-1,70,b12
90,8220DB007588,"Pearse Street, stop 7588",53.34498499,-6.254075317,15043.2.60-70-b12-1.204.O,09:41:38,09:41:38,10, Dunboyne,3397.43,60-70-b12-1,70,b12
91,8220DB000329,"Aston Quay, stop 329",53.34627351,-6.261682845,15043.2.60-70-b12-1.204.O,09:44:37,09:44:37,11, Dunboyne,4183.33,60-70-b12-1,70,b12
92,8220DB001443,"Civic Offices, stop 1443",53.34512939,-6.269539559,15043.2.60-70-b12-1.204.O,09:46:15,09:46:15,12, Dunboyne,4720.5,60-70-b12-1,70,b12
93,8220DB001444,"Merchant's Quay, stop 1444",53.34507559,-6.274513197,15043.2.60-70-b12-1.204.O,09:47:32,09:47:32,13, Dunboyne,5050.36,60-70-b12-1,70,b12
94,8220DB001445,"Usher's Quay, stop 1445",53.34598795,-6.279808388,15043.2.60-70-b12-1.204.O,09:48:57,09:48:57,14, Dunboyne,5415.93,60-70-b12-1,70,b12
95,8220DB001647,"Blackhall Place, stop 1647",53.34835106,-6.282251726,15043.2.60-70-b12-1.204.O,09:50:33,09:50:33,15, Dunboyne,5830.47,60-70-b12-1,70,b12
