Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
64,8220DB007571,"DCU Helix, stop 7571",53.38677565,-6.258724958,6440.1.60-70D-b12-1.208.O,17:05:00,17:05:00,1, Dunboyne,0.0,60-70D-b12-1,70D,b12
65,8220DB001644,"DCU Collins Avenue, stop 1644",53.38687004,-6.256571206,6440.1.60-70D-b12-1.208.O,17:07:04,17:07:04,2, Dunboyne,424.61,60-70D-b12-1,70D,b12
66,8220DB001605,"Albert College Pk, stop 1605",53.38825297,-6.26079959,6440.1.60-70D-b12-1.208.O,17:08:40,17:08:40,3, Dunboyne,746.72,60-70D-b12-1,70D,b12
67,8220DB000115,"Ballymun Road Church, stop 115",53.38796409,-6.2650361,6440.1.60-70D-b12-1.208.O,17:10:41,17:10:41,4, Dunboyne,1154.96,60-70D-b12-1,70D,b12
68,8220DB000037,"DCU Ballymun Road, stop 37",53.3853464,-6.264886981,6440.1.60-70D-b12-1.208.O,17:11:06,17:11:06,5, Dunboyne,1447.84,60-70D-b12-1,70D,b12
69,8220DB000038,"Hampstead Avenue, stop 38",53.38223659,-6.265509521,6440.1.60-70D-b12-1.208.O,17:11:46,17:11:46,6, Dunboyne,1796.07,60-70D-b12-1,70D,b12
70,8220DB000039,"The Rise, stop 39",53.38041419,-6.265658759,6440.1.60-70D-b12-1.208.O,17:12:10,17:12:10,7, Dunboyne,1998.95,60-70D-b12-1,70D,b12
71,8220DB000175,"Northland Grove, stop 175",53.37842425,-6.281567539,6440.1.60-70D-b12-1.208.O,17:16:20,17:16:20,8, Dunboyne,3398.94,60-70D-b12-1,70D,b12
72,8220DB005147,"Marian College, stop 5147",53.37182345,-6.305834409,6440.1.60-70D-b12-1.208.O,17:23:50,17:23:50,10, Dunboyne,6317.25,60-70D-b12-1,70D,b12
73,8220DB004498,"Nephin Road, stop 4498",53.36680375,-6.304260414,6440.1.60-70D-b12-1.208.O,17:25:27,17:25:27,11, Dunboyne,7069.62,60-70D-b12-1,70D,b12
