Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
138,8220DB000395,"Ringsend Road, stop 395",53.34194005,-6.235276454,15621.2.60-77A-b12-1.51.O,13:30:00,13:30:00,1, Citywest,0.0,60-77A-b12-1,77A,b12
139,8220DB000396,"Grand Canal Quay, stop 396",53.34244252,-6.239475948,15621.2.60-77A-b12-1.51.O,13:31:22,13:31:22,2, Citywest,292.56,60-77A-b12-1,77A,b12
140,8220DB000397,"Pearse Square, stop 397",53.34278556,-6.242015007,15621.2.60-77A-b12-1.51.O,13:32:15,13:32:15,3, Citywest,466.34,60-77A-b12-1,77A,b12
141,8220DB000398,"Erne Street, stop 398",53.34329494,-6.245478447,15621.2.60-77A-b12-1.51.O,13:33:03,13:33:03,4, Citywest,702.09,60-77A-b12-1,77A,b12
142,8220DB000399,"Pearse Station, stop 399",53.34386682,-6.248308601,15621.2.60-77A-b12-1.51.O,13:33:42,13:33:42,5, Citywest,902.06,60-77A-b12-1,77A,b12
143,8220DB000400,"Shaw Street, stop 400",53.34484912,-6.253389973,15621.2.60-77A-b12-1.51.O,13:34:55,13:34:55,6, Citywest,1255.93,60-77A-b12-1,77A,b12
144,8220DB004522,"College Green, stop 4522",53.34426249,-6.26060818,15621.2.60-77A-b12-1.51.O,13:39:13,13:39:13,7, Citywest,1813.1,60-77A-b12-1,77A,b12
145,8220DB001934,"Dame Street, stop 1934",53.34411836,-6.265525325,15621.2.60-77A-b12-1.51.O,13:40:46,13:40:46,8, Citywest,2139.94,60-77A-b12-1,77A,b12
146,8220DB002310,"Werburgh Street, stop 2310",53.3424457,-6.269798428,15621.2.60-77A-b12-1.51.O,13:42:57,13:42:57,9, Citywest,2571.72,60-77A-b12-1,77A,b12
147,8220DB002311,"Kevin Street, stop 2311",53.33828528,-6.270492467,15621.2.60-77A-b12-1.51.O,13:45:06,13:45:06,10, Citywest,3135.7,60-77A-b12-1,77A,b12
148,8220DB002312,"St Luke's Avenue, stop 2312",53.33887885,-6.275484235,15621.2.60-77A-b12-1.51.O,13:46:55,13:46:55,11, Citywest,3516.64,60-77A-b12-1,77A,b12
149,8220DB002313,"Ardee Court, stop 2313",53.33874233,-6.278478182,15621.2.60-77A-b12-1.51.O,13:47:52,13:47:52,12, Citywest,3714.47,60-77A-b12-1,77A,b12
150,8220DB002314,"Cork Street, stop 2314",53.33835368,-6.280821493,15621.2.60-77A-b12-1.51.O,13:48:30,13:48:30,13, Citywest,3878.2,60-77A-b12-1,77A,b12
151,8220DB002315,"Brickfield Lane, stop 2315",53.33753643,-6.285239284,15621.2.60-77A-b12-1.51.O,13:49:43,13:49:43,14, Citywest,4185.8,60-77A-b12-1,77A,b12
152,8220DB002094,"Coombe Hospital, stop 2094",53.33475197,-6.289750638,15621.2.60-77A-b12-1.51.O,13:50:44,13:50:44,15, Citywest,4644.98,60-77A-b12-1,77A,b12
153,8220DB001406,"Dolphin's Barn, stop 1406",53.33315293,-6.291691527,15621.2.60-77A-b12-1.51.O,13:52:23,13:52:23,16, Citywest,4889.36,60-77A-b12-1,77A,b12
154,8220DB001407,"Crumlin Road, stop 1407",53.3315385,-6.294443677,15621.2.60-77A-b12-1.51.O,13:53:18,13:53:18,17, Citywest,5144.38,60-77A-b12-1,77A,b12
155,8220DB001409,"Loreto College, stop 1409",53.33036674,-6.297358156,15621.2.60-77A-b12-1.51.O,13:54:08,13:54:08,18, Citywest,5378.61,60-77A-b12-1,77A,b12
156,8220DB002095,"Crumlin SC, stop 2095",53.32903747,-6.302470752,15621.2.60-77A-b12-1.51.O,13:55:06,13:55:06,19, Citywest,5749.52,60-77A-b12-1,77A,b12
157,8220DB002096,"Guinness RFC, stop 2096",53.32808359,-6.306817491,15621.2.60-77A-b12-1.51.O,13:55:56,13:55:56,20, Citywest,6057.05,60-77A-b12-1,77A,b12
158,8220DB002097,"Iveagh Gardens, stop 2097",53.32743275,-6.309725806,15621.2.60-77A-b12-1.51.O,13:56:34,13:56:34,21, Citywest,6263.14,60-77A-b12-1,77A,b12
159,8220DB002099,"Drimnagh Road, stop 2099",53.32556158,-6.316600469,15621.2.60-77A-b12-1.51.O,13:58:09,13:58:09,22, Citywest,6773.72,60-77A-b12-1,77A,b12
160,8220DB002101,"Crumlin Hospital, stop 2101",53.32495457,-6.318170639,15621.2.60-77A-b12-1.51.O,13:58:32,13:58:32,23, Citywest,6894.64,60-77A-b12-1,77A,b12
161,8220DB002102,"Balfe Road, stop 2102",53.32419485,-6.326141902,15621.2.60-77A-b12-1.51.O,14:00:13,14:00:13,24, Citywest,7432.96,60-77A-b12-1,77A,b12
162,8220DB002103,"Walkinstown Road, stop 2103",53.3220827,-6.329992417,15621.2.60-77A-b12-1.51.O,14:01:12,14:01:12,25, Citywest,7800.45,60-77A-b12-1,77A,b12
163,8220DB002332,"Walkinstown Mall, stop 2332",53.32087464,-6.3310153,15621.2.60-77A-b12-1.51.O,14:01:35,14:01:35,26, Citywest,7953.73,60-77A-b12-1,77A,b12
164,8220DB002333,"Walkinstown Rdbt, stop 2333",53.31784176,-6.332664654,15621.2.60-77A-b12-1.51.O,14:02:32,14:02:32,27, Citywest,8308.65,60-77A-b12-1,77A,b12
165,8230DB002334,"Greenhills Road, stop 2334",53.31553401,-6.33475081,15621.2.60-77A-b12-1.51.O,14:03:12,14:03:12,28, Citywest,8619.17,60-77A-b12-1,77A,b12
166,8230DB004662,"Hillcrest Park, stop 4662",53.31330519,-6.341216064,15621.2.60-77A-b12-1.51.O,14:04:16,14:04:16,29, Citywest,9117.54,60-77A-b12-1,77A,b12
167,8230DB002335,"Calmount Avenue, stop 2335",53.31165076,-6.343111144,15621.2.60-77A-b12-1.51.O,14:04:34,14:04:34,30, Citywest,9347.58,60-77A-b12-1,77A,b12
168,8230DB002336,"Tibradden Drive, stop 2336",53.30885602,-6.345740492,15621.2.60-77A-b12-1.51.O,14:05:04,14:05:04,31, Citywest,9719.02,60-77A-b12-1,77A,b12
169,8230DB002337,"Old Tymon Lane, stop 2337",53.30599144,-6.348522243,15621.2.60-77A-b12-1.51.O,14:05:37,14:05:37,32, Citywest,10090.08,60-77A-b12-1,77A,b12
170,8230DB002339,"Elmcastle Court, stop 2339",53.3025723,-6.351505034,15621.2.60-77A-b12-1.51.O,14:06:26,14:06:26,33, Citywest,10525.44,60-77A-b12-1,77A,b12
171,8230DB002420,"Tymonville, stop 2420",53.30118494,-6.351273401,15621.2.60-77A-b12-1.51.O,14:07:13,14:07:13,34, Citywest,10739.06,60-77A-b12-1,77A,b12
