Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8230DB004713,"Bianconi Avenue, stop 4713",53.29128922,-6.427136411,15620.2.60-77A-b12-1.52.I,12:00:00,12:00:00,1, Ringsend Road,0.0,60-77A-b12-1,77A,b12
1,8230DB004714,"Castle Drive, stop 4714",53.28874724,-6.423854925,15620.2.60-77A-b12-1.52.I,12:01:03,12:01:03,2, Ringsend Road,394.98,60-77A-b12-1,77A,b12
2,8230DB004960,"Citywest Road, stop 4960",53.28505059,-6.421621287,15620.2.60-77A-b12-1.52.I,12:02:16,12:02:16,3, Ringsend Road,860.17,60-77A-b12-1,77A,b12
3,8230DB004932,"Magna Drive, stop 4932",53.27886099,-6.42049975,15620.2.60-77A-b12-1.52.I,12:04:11,12:04:11,4, Ringsend Road,1574.03,60-77A-b12-1,77A,b12
4,8230DB004933,"Belfry, stop 4933",53.2776403,-6.419270143,15620.2.60-77A-b12-1.52.I,12:04:37,12:04:37,5, Ringsend Road,1739.42,60-77A-b12-1,77A,b12
5,8230DB002590,"Belfry Downs, stop 2590",53.27514543,-6.415493584,15620.2.60-77A-b12-1.52.I,12:05:36,12:05:36,6, Ringsend Road,2137.12,60-77A-b12-1,77A,b12
6,8230DB002591,"De Selby Estate, stop 2591",53.27461086,-6.410445221,15620.2.60-77A-b12-1.52.I,12:06:27,12:06:27,7, Ringsend Road,2479.1,60-77A-b12-1,77A,b12
7,8230DB002592,"Kiltalown Cottages, stop 2592",53.2743035,-6.406273192,15620.2.60-77A-b12-1.52.I,12:07:09,12:07:09,8, Ringsend Road,2759.02,60-77A-b12-1,77A,b12
8,8230DB002357,"Jobstown House, stop 2357",53.27796896,-6.39676451,15620.2.60-77A-b12-1.52.I,12:09:10,12:09:10,9, Ringsend Road,3567.85,60-77A-b12-1,77A,b12
9,8230DB002566,"Killinarden School, stop 2566",53.27775591,-6.394958014,15620.2.60-77A-b12-1.52.I,12:09:44,12:09:44,10, Ringsend Road,3736.9,60-77A-b12-1,77A,b12
10,8230DB002567,"Hazelgrove, stop 2567",53.27576591,-6.394687695,15620.2.60-77A-b12-1.52.I,12:10:27,12:10:27,11, Ringsend Road,3958.29,60-77A-b12-1,77A,b12
11,8230DB002568,"Killinarden Heights, stop 2568",53.27372358,-6.390535859,15620.2.60-77A-b12-1.52.I,12:11:45,12:11:45,12, Ringsend Road,4354.13,60-77A-b12-1,77A,b12
