Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB004962,"Mountjoy Square, stop 4962",53.35703972,-6.258495314,1004.1.60-7A-b12-1.139.O,16:15:00,16:15:00,1, Loughlinstown Pk,0.0,60-7A-b12-1,7A,b12
1,8220DB004725,"O'Connell St Upper, stop 4725",53.35211562,-6.261054534,1004.1.60-7A-b12-1.139.O,16:19:03,16:19:03,2, Loughlinstown Pk,768.31,60-7A-b12-1,7A,b12
2,8220DB000273,"O'Connell Bridge, stop 273",53.34724742,-6.258819402,1004.1.60-7A-b12-1.139.O,16:22:47,16:22:47,3, Loughlinstown Pk,1330.92,60-7A-b12-1,7A,b12
3,8220DB000405,"Nassau Street, stop 405",53.34248169,-6.255604373,1004.1.60-7A-b12-1.139.O,16:28:06,16:28:06,4, Loughlinstown Pk,2131.1,60-7A-b12-1,7A,b12
4,8220DB000408,"Merrion Sq North, stop 408",53.34097078,-6.25001924,1004.1.60-7A-b12-1.139.O,16:30:51,16:30:51,5, Loughlinstown Pk,2542.52,60-7A-b12-1,7A,b12
5,8220DB000409,"Holles Street, stop 409",53.34013673,-6.247695596,1004.1.60-7A-b12-1.139.O,16:31:27,16:31:27,6, Loughlinstown Pk,2722.42,60-7A-b12-1,7A,b12
6,8220DB000410,"Mount Street Lower, stop 410",53.33881345,-6.24389039,1004.1.60-7A-b12-1.139.O,16:32:47,16:32:47,7, Loughlinstown Pk,3014.91,60-7A-b12-1,7A,b12
7,8220DB000411,"Mount Street Bridge, stop 411",53.33811712,-6.241771554,1004.1.60-7A-b12-1.139.O,16:33:32,16:33:32,8, Loughlinstown Pk,3175.14,60-7A-b12-1,7A,b12
8,8220DB000412,"Haddington Road, stop 412",53.33525551,-6.237279319,1004.1.60-7A-b12-1.139.O,16:35:34,16:35:34,9, Loughlinstown Pk,3618.89,60-7A-b12-1,7A,b12
9,8220DB000413,"Lansdowne Park, stop 413",53.33409419,-6.236546394,1004.1.60-7A-b12-1.139.O,16:36:01,16:36:01,10, Loughlinstown Pk,3756.25,60-7A-b12-1,7A,b12
10,8220DB000414,"Lansdowne Road, stop 414",53.33157381,-6.234473217,1004.1.60-7A-b12-1.139.O,16:37:03,16:37:03,11, Loughlinstown Pk,4071.2,60-7A-b12-1,7A,b12
11,8220DB000415,"American Embassy, stop 415",53.33033782,-6.23294775,1004.1.60-7A-b12-1.139.O,16:37:44,16:37:44,12, Loughlinstown Pk,4241.14,60-7A-b12-1,7A,b12
12,8220DB000416,"RDS Ballsbridge, stop 416",53.32863992,-6.229369569,1004.1.60-7A-b12-1.139.O,16:39:02,16:39:02,13, Loughlinstown Pk,4553.24,60-7A-b12-1,7A,b12
13,8220DB000417,"Merrion Road, stop 417",53.32769959,-6.22597042,1004.1.60-7A-b12-1.139.O,16:40:08,16:40:08,14, Loughlinstown Pk,4801.9,60-7A-b12-1,7A,b12
14,8220DB000418,"British Embassy, stop 418",53.32571981,-6.223395298,1004.1.60-7A-b12-1.139.O,16:41:22,16:41:22,15, Loughlinstown Pk,5081.02,60-7A-b12-1,7A,b12
15,8220DB000419,"Shrewsbury Park, stop 419",53.32399511,-6.220449503,1004.1.60-7A-b12-1.139.O,16:42:35,16:42:35,16, Loughlinstown Pk,5355.62,60-7A-b12-1,7A,b12
16,8220DB000420,"Merlyn Road, stop 420",53.3219108,-6.217503922,1004.1.60-7A-b12-1.139.O,16:44:02,16:44:02,17, Loughlinstown Pk,5658.55,60-7A-b12-1,7A,b12
17,8220DB000421,"Merrion View Avenue, stop 421",53.32000518,-6.21449112,1004.1.60-7A-b12-1.139.O,16:45:26,16:45:26,18, Loughlinstown Pk,5951.15,60-7A-b12-1,7A,b12
18,8220DB000422,"St Vincent's Hosp, stop 422",53.31806419,-6.210324281,1004.1.60-7A-b12-1.139.O,16:47:09,16:47:09,19, Loughlinstown Pk,6307.7,60-7A-b12-1,7A,b12
19,8220DB000423,"Herbert Avenue, stop 423",53.3171485,-6.207405658,1004.1.60-7A-b12-1.139.O,16:47:52,16:47:52,20, Loughlinstown Pk,6526.11,60-7A-b12-1,7A,b12
20,8220DB000424,"Merrion Gates, stop 424",53.31539438,-6.203726866,1004.1.60-7A-b12-1.139.O,16:48:54,16:48:54,21, Loughlinstown Pk,6838.74,60-7A-b12-1,7A,b12
21,8250DB000425,"Merrion Road, stop 425",53.31250221,-6.201477017,1004.1.60-7A-b12-1.139.O,16:50:04,16:50:04,22, Loughlinstown Pk,7190.3,60-7A-b12-1,7A,b12
22,8250DB000426,"Rock Road, stop 426",53.31096735,-6.19983067,1004.1.60-7A-b12-1.139.O,16:50:45,16:50:45,23, Loughlinstown Pk,7398.05,60-7A-b12-1,7A,b12
23,8250DB000427,"Booterstown Station, stop 427",53.30827033,-6.195036945,1004.1.60-7A-b12-1.139.O,16:51:52,16:51:52,24, Loughlinstown Pk,7836.01,60-7A-b12-1,7A,b12
24,8250DB000428,"Blackrock College, stop 428",53.30691071,-6.190727473,1004.1.60-7A-b12-1.139.O,16:52:46,16:52:46,25, Loughlinstown Pk,8165.06,60-7A-b12-1,7A,b12
25,8250DB000429,"Blackrock Clinic, stop 429",53.3047081,-6.187144257,1004.1.60-7A-b12-1.139.O,16:53:42,16:53:42,26, Loughlinstown Pk,8507.76,60-7A-b12-1,7A,b12
26,8250DB003032,"Blackrock Park, stop 3032",53.30232154,-6.182113757,1004.1.60-7A-b12-1.139.O,16:55:37,16:55:37,27, Loughlinstown Pk,8937.92,60-7A-b12-1,7A,b12
27,8250DB003033,"Blackrock Main St, stop 3033",53.30199325,-6.178271522,1004.1.60-7A-b12-1.139.O,16:56:53,16:56:53,28, Loughlinstown Pk,9214.72,60-7A-b12-1,7A,b12
28,8250DB003034,"Temple Road, stop 3034",53.29962882,-6.174711251,1004.1.60-7A-b12-1.139.O,16:58:24,16:58:24,29, Loughlinstown Pk,9574.96,60-7A-b12-1,7A,b12
29,8250DB003036,"Monkstown Road, stop 3036",53.29584441,-6.167656458,1004.1.60-7A-b12-1.139.O,17:01:11,17:01:11,30, Loughlinstown Pk,10229.15,60-7A-b12-1,7A,b12
30,8250DB003037,"Alma Road, stop 3037",53.29550052,-6.165750879,1004.1.60-7A-b12-1.139.O,17:01:44,17:01:44,31, Loughlinstown Pk,10361.71,60-7A-b12-1,7A,b12
31,8250DB003038,"Belgrave Square, stop 3038",53.29475248,-6.16095226,1004.1.60-7A-b12-1.139.O,17:02:33,17:02:33,32, Loughlinstown Pk,10690.63,60-7A-b12-1,7A,b12
32,8250DB003039,"Albany Avenue, stop 3039",53.29434621,-6.157924317,1004.1.60-7A-b12-1.139.O,17:03:03,17:03:03,33, Loughlinstown Pk,10897.69,60-7A-b12-1,7A,b12
33,8250DB003040,"Monkstown Crescent, stop 3040",53.29382372,-6.154361374,1004.1.60-7A-b12-1.139.O,17:03:40,17:03:40,34, Loughlinstown Pk,11144.11,60-7A-b12-1,7A,b12
34,8250DB003041,"Grosvenor Terrace, stop 3041",53.29402852,-6.149596951,1004.1.60-7A-b12-1.139.O,17:05:09,17:05:09,35, Loughlinstown Pk,11468.25,60-7A-b12-1,7A,b12
35,8250DB002035,"Crofton Road, stop 2035",53.29577235,-6.142665422,1004.1.60-7A-b12-1.139.O,17:07:49,17:07:49,36, Loughlinstown Pk,12050.89,60-7A-b12-1,7A,b12
36,8250DB002036,"Crofton  Avenue, stop 2036",53.29579273,-6.13820879,1004.1.60-7A-b12-1.139.O,17:09:40,17:09:40,37, Loughlinstown Pk,12373.03,60-7A-b12-1,7A,b12
37,8250DB002040,"Dun Laoghaire SC, stop 2040",53.29279119,-6.135369049,1004.1.60-7A-b12-1.139.O,17:12:48,17:12:48,38, Loughlinstown Pk,12912.89,60-7A-b12-1,7A,b12
38,8250DB003047,"George's St Upper, stop 3047",53.29017029,-6.131013039,1004.1.60-7A-b12-1.139.O,17:15:07,17:15:07,39, Loughlinstown Pk,13386.57,60-7A-b12-1,7A,b12
39,8250DB003202,"Glenageary Rd Lower, stop 3202",53.28885048,-6.129960649,1004.1.60-7A-b12-1.139.O,17:16:05,17:16:05,40, Loughlinstown Pk,13581.58,60-7A-b12-1,7A,b12
40,8250DB003203,"Traverslea Close, stop 3203",53.2852205,-6.132339018,1004.1.60-7A-b12-1.139.O,17:18:18,17:18:18,41, Loughlinstown Pk,14014.73,60-7A-b12-1,7A,b12
41,8250DB003204,"Silchester Park, stop 3204",53.28243534,-6.134140253,1004.1.60-7A-b12-1.139.O,17:19:12,17:19:12,42, Loughlinstown Pk,14347.49,60-7A-b12-1,7A,b12
42,8250DB003205,"Sallynoggin Road, stop 3205",53.27939114,-6.137197256,1004.1.60-7A-b12-1.139.O,17:21:08,17:21:08,43, Loughlinstown Pk,14810.76,60-7A-b12-1,7A,b12
