Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
618,8250DB003222,"Loughlinstown Park, stop 3222",53.24660248,-6.128656806,10613.3.60-7A-b12-1.141.I,12:15:00,12:15:00,1, Mountjoy Square,0.0,60-7A-b12-1,7A,b12
619,8250DB003223,"Loughlinstown Drive, stop 3223",53.24915041,-6.132936556,10613.3.60-7A-b12-1.141.I,12:16:58,12:16:58,2, Mountjoy Square,660.82,60-7A-b12-1,7A,b12
620,8250DB003224,"Ashlawn, stop 3224",53.25194585,-6.132365195,10613.3.60-7A-b12-1.141.I,12:18:01,12:18:01,3, Mountjoy Square,1016.38,60-7A-b12-1,7A,b12
621,8250DB003225,"Ballybrack SC, stop 3225",53.25529487,-6.13385301,10613.3.60-7A-b12-1.141.I,12:19:35,12:19:35,4, Mountjoy Square,1555.08,60-7A-b12-1,7A,b12
622,8250DB003226,"Kilbogget Park, stop 3226",53.25854707,-6.137773558,10613.3.60-7A-b12-1.141.I,12:20:55,12:20:55,5, Mountjoy Square,2000.11,60-7A-b12-1,7A,b12
623,8250DB003227,"Auburn Drive, stop 3227",53.26195417,-6.137805394,10613.3.60-7A-b12-1.141.I,12:21:56,12:21:56,6, Mountjoy Square,2393.74,60-7A-b12-1,7A,b12
624,8250DB003228,"Church Road, stop 3228",53.26475425,-6.134655395,10613.3.60-7A-b12-1.141.I,12:22:55,12:22:55,7, Mountjoy Square,2780.35,60-7A-b12-1,7A,b12
625,8250DB003229,"Churchview Road, stop 3229",53.26535278,-6.134419453,10613.3.60-7A-b12-1.141.I,12:23:17,12:23:17,8, Mountjoy Square,2919.5,60-7A-b12-1,7A,b12
626,8250DB007472,"Killiney SC, stop 7472",53.26706808,-6.136623621,10613.3.60-7A-b12-1.141.I,12:23:56,12:23:56,9, Mountjoy Square,3165.92,60-7A-b12-1,7A,b12
627,8250DB003230,Drumkeen Manor,53.26850153,-6.139200039,10613.3.60-7A-b12-1.141.I,12:24:29,12:24:29,10, Mountjoy Square,3399.49,60-7A-b12-1,7A,b12
628,8250DB003232,"Pearse Villas, stop 3232",53.27160397,-6.140444733,10613.3.60-7A-b12-1.141.I,12:26:06,12:26:06,11, Mountjoy Square,3957.55,60-7A-b12-1,7A,b12
629,8250DB003233,"Pearse Street, stop 3233",53.27274148,-6.141340004,10613.3.60-7A-b12-1.141.I,12:26:38,12:26:38,12, Mountjoy Square,4149.75,60-7A-b12-1,7A,b12
630,8250DB003234,"Sallynoggin College, stop 3234",53.27360361,-6.139563206,10613.3.60-7A-b12-1.141.I,12:27:17,12:27:17,13, Mountjoy Square,4301.25,60-7A-b12-1,7A,b12
631,8250DB004462,"Sallynoggin, stop 4462",53.27516727,-6.137815818,10613.3.60-7A-b12-1.141.I,12:28:17,12:28:17,14, Mountjoy Square,4557.68,60-7A-b12-1,7A,b12
632,8250DB003235,"Pearse Park, stop 3235",53.27718071,-6.140697486,10613.3.60-7A-b12-1.141.I,12:29:37,12:29:37,15, Mountjoy Square,4886.07,60-7A-b12-1,7A,b12
633,8250DB003236,"Honey Park, stop 3236",53.2779835,-6.140302725,10613.3.60-7A-b12-1.141.I,12:30:07,12:30:07,16, Mountjoy Square,5011.79,60-7A-b12-1,7A,b12
634,8250DB003237,"Sarsfield Street, stop 3237",53.27914236,-6.137957911,10613.3.60-7A-b12-1.141.I,12:30:55,12:30:55,17, Mountjoy Square,5213.96,60-7A-b12-1,7A,b12
635,8250DB003238,"Holmston Avenue, stop 3238",53.28330973,-6.133727199,10613.3.60-7A-b12-1.141.I,12:32:17,12:32:17,18, Mountjoy Square,5779.52,60-7A-b12-1,7A,b12
636,8250DB003239,"Crosthwaite Park, stop 3239",53.2843865,-6.133035331,10613.3.60-7A-b12-1.141.I,12:32:42,12:32:42,19, Mountjoy Square,5907.22,60-7A-b12-1,7A,b12
637,8250DB003240,"Corrig Road, stop 3240",53.28717187,-6.131248929,10613.3.60-7A-b12-1.141.I,12:33:47,12:33:47,20, Mountjoy Square,6240.54,60-7A-b12-1,7A,b12
638,8250DB003068,"George's St Upper, stop 3068",53.28982949,-6.130487902,10613.3.60-7A-b12-1.141.I,12:35:41,12:35:41,21, Mountjoy Square,6589.3,60-7A-b12-1,7A,b12
639,8250DB003069,"Corrig Avenue, stop 3069",53.29075303,-6.132637683,10613.3.60-7A-b12-1.141.I,12:36:38,12:36:38,22, Mountjoy Square,6765.04,60-7A-b12-1,7A,b12
640,8250DB003070,"Dun Laoghaire SC, stop 3070",53.2921151,-6.135818534,10613.3.60-7A-b12-1.141.I,12:38:02,12:38:02,23, Mountjoy Square,7025.84,60-7A-b12-1,7A,b12
641,8250DB002041,"St Michael's Hosp, stop 2041",53.2935976,-6.139234377,10613.3.60-7A-b12-1.141.I,12:39:25,12:39:25,24, Mountjoy Square,7306.99,60-7A-b12-1,7A,b12
642,8250DB003071,"De Vesci Park, stop 3071",53.29498472,-6.145189969,10613.3.60-7A-b12-1.141.I,12:41:26,12:41:26,25, Mountjoy Square,7748.08,60-7A-b12-1,7A,b12
643,8250DB003072,"Grosvenor Terrace, stop 3072",53.29418522,-6.148690061,10613.3.60-7A-b12-1.141.I,12:42:10,12:42:10,26, Mountjoy Square,8005.33,60-7A-b12-1,7A,b12
644,8250DB003073,"Monkstown Road, stop 3073",53.29378259,-6.155188246,10613.3.60-7A-b12-1.141.I,12:43:23,12:43:23,27, Mountjoy Square,8445.93,60-7A-b12-1,7A,b12
645,8250DB003074,"Drayton Close, stop 3074",53.29449303,-6.159283182,10613.3.60-7A-b12-1.141.I,12:44:08,12:44:08,28, Mountjoy Square,8728.68,60-7A-b12-1,7A,b12
646,8250DB003075,"Queen's Park, stop 3075",53.29488038,-6.162251951,10613.3.60-7A-b12-1.141.I,12:44:39,12:44:39,29, Mountjoy Square,8930.45,60-7A-b12-1,7A,b12
647,8250DB003076,"Montpellier Parade, stop 3076",53.29543281,-6.166023823,10613.3.60-7A-b12-1.141.I,12:45:18,12:45:18,30, Mountjoy Square,9188.23,60-7A-b12-1,7A,b12
648,8250DB003077,"Montpellier Manor, stop 3077",53.29591972,-6.168463369,10613.3.60-7A-b12-1.141.I,12:46:15,12:46:15,31, Mountjoy Square,9358.94,60-7A-b12-1,7A,b12
649,8250DB003079,"Newtown Avenue, stop 3079",53.29830741,-6.170596685,10613.3.60-7A-b12-1.141.I,12:48:16,12:48:16,33, Mountjoy Square,9726.15,60-7A-b12-1,7A,b12
650,8250DB003080,"St John's Church, stop 3080",53.30036148,-6.174424933,10613.3.60-7A-b12-1.141.I,12:50:23,12:50:23,34, Mountjoy Square,10129.92,60-7A-b12-1,7A,b12
651,8250DB003081,"Patrick's Row, stop 3081",53.30061046,-6.177775234,10613.3.60-7A-b12-1.141.I,12:51:51,12:51:51,35, Mountjoy Square,10396.0,60-7A-b12-1,7A,b12
652,8250DB003084,"Frascati SC, stop 3084",53.30138125,-6.181163412,10613.3.60-7A-b12-1.141.I,12:53:21,12:53:21,36, Mountjoy Square,10723.11,60-7A-b12-1,7A,b12
653,8250DB000469,"Rock Road, stop 469",53.30284573,-6.184072133,10613.3.60-7A-b12-1.141.I,12:53:52,12:53:52,37, Mountjoy Square,11010.65,60-7A-b12-1,7A,b12
654,8250DB000470,"Blackrock Clinic, stop 470",53.30562585,-6.188981104,10613.3.60-7A-b12-1.141.I,12:54:45,12:54:45,38, Mountjoy Square,11462.69,60-7A-b12-1,7A,b12
655,8250DB000471,"Blackrock College, stop 471",53.30687081,-6.191059299,10613.3.60-7A-b12-1.141.I,12:55:09,12:55:09,39, Mountjoy Square,11664.02,60-7A-b12-1,7A,b12
656,8250DB000472,"Booterstown Station, stop 472",53.30788203,-6.194918267,10613.3.60-7A-b12-1.141.I,12:55:33,12:55:33,40, Mountjoy Square,11942.99,60-7A-b12-1,7A,b12
657,8250DB000473,"Grotto Avenue, stop 473",53.30924058,-6.197382139,10613.3.60-7A-b12-1.141.I,12:56:15,12:56:15,41, Mountjoy Square,12166.06,60-7A-b12-1,7A,b12
658,8250DB004705,"St Helen's Road, stop 4705",53.31081827,-6.200077066,10613.3.60-7A-b12-1.141.I,12:57:00,12:57:00,42, Mountjoy Square,12416.7,60-7A-b12-1,7A,b12
659,8250DB000475,"Bellevue Avenue, stop 475",53.31270616,-6.201888675,10613.3.60-7A-b12-1.141.I,12:57:39,12:57:39,43, Mountjoy Square,12655.79,60-7A-b12-1,7A,b12
660,8220DB000476,"Merrion Gates, stop 476",53.31575153,-6.204762523,10613.3.60-7A-b12-1.141.I,12:58:43,12:58:43,44, Mountjoy Square,13052.25,60-7A-b12-1,7A,b12
661,8220DB000477,"Herbert Avenue, stop 477",53.31686305,-6.20695232,10613.3.60-7A-b12-1.141.I,12:59:18,12:59:18,45, Mountjoy Square,13248.05,60-7A-b12-1,7A,b12
662,8220DB000478,"St Vincent's Hosp, stop 478",53.3181143,-6.211267825,10613.3.60-7A-b12-1.141.I,13:00:15,13:00:15,46, Mountjoy Square,13566.7,60-7A-b12-1,7A,b12
663,8220DB000479,"Merrion Centre, stop 479",53.31914397,-6.213401287,10613.3.60-7A-b12-1.141.I,13:00:43,13:00:43,47, Mountjoy Square,13748.5,60-7A-b12-1,7A,b12
