Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
122,8250DB003222,"Loughlinstown Park, stop 3222",53.24660248,-6.128656806,1005.1.60-7A-b12-1.142.I,18:00:00,18:00:00,1, Parnell Square,0.0,60-7A-b12-1,7A,b12
123,8250DB003223,"Loughlinstown Drive, stop 3223",53.24915041,-6.132936556,1005.1.60-7A-b12-1.142.I,18:01:56,18:01:56,2, Parnell Square,660.82,60-7A-b12-1,7A,b12
124,8250DB003224,"Ashlawn, stop 3224",53.25194585,-6.132365195,1005.1.60-7A-b12-1.142.I,18:02:58,18:02:58,3, Parnell Square,1016.38,60-7A-b12-1,7A,b12
125,8250DB003225,"Ballybrack SC, stop 3225",53.25529487,-6.13385301,1005.1.60-7A-b12-1.142.I,18:04:39,18:04:39,4, Parnell Square,1555.08,60-7A-b12-1,7A,b12
126,8250DB003226,"Kilbogget Park, stop 3226",53.25854707,-6.137773558,1005.1.60-7A-b12-1.142.I,18:06:04,18:06:04,5, Parnell Square,2000.11,60-7A-b12-1,7A,b12
127,8250DB003227,"Auburn Drive, stop 3227",53.26195417,-6.137805394,1005.1.60-7A-b12-1.142.I,18:07:02,18:07:02,6, Parnell Square,2393.74,60-7A-b12-1,7A,b12
128,8250DB003228,"Church Road, stop 3228",53.26475425,-6.134655395,1005.1.60-7A-b12-1.142.I,18:07:59,18:07:59,7, Parnell Square,2780.35,60-7A-b12-1,7A,b12
129,8250DB003229,"Churchview Road, stop 3229",53.26535278,-6.134419453,1005.1.60-7A-b12-1.142.I,18:08:20,18:08:20,8, Parnell Square,2919.5,60-7A-b12-1,7A,b12
130,8250DB007472,"Killiney SC, stop 7472",53.26706808,-6.136623621,1005.1.60-7A-b12-1.142.I,18:08:57,18:08:57,9, Parnell Square,3165.92,60-7A-b12-1,7A,b12
131,8250DB003230,Drumkeen Manor,53.26850153,-6.139200039,1005.1.60-7A-b12-1.142.I,18:09:30,18:09:30,10, Parnell Square,3399.49,60-7A-b12-1,7A,b12
132,8250DB003232,"Pearse Villas, stop 3232",53.27160397,-6.140444733,1005.1.60-7A-b12-1.142.I,18:11:13,18:11:13,11, Parnell Square,3957.55,60-7A-b12-1,7A,b12
133,8250DB003233,"Pearse Street, stop 3233",53.27274148,-6.141340004,1005.1.60-7A-b12-1.142.I,18:11:48,18:11:48,12, Parnell Square,4149.75,60-7A-b12-1,7A,b12
134,8250DB003234,"Sallynoggin College, stop 3234",53.27360361,-6.139563206,1005.1.60-7A-b12-1.142.I,18:12:23,18:12:23,13, Parnell Square,4301.25,60-7A-b12-1,7A,b12
135,8250DB004462,"Sallynoggin, stop 4462",53.27516727,-6.137815818,1005.1.60-7A-b12-1.142.I,18:13:17,18:13:17,14, Parnell Square,4557.68,60-7A-b12-1,7A,b12
136,8250DB003235,"Pearse Park, stop 3235",53.27718071,-6.140697486,1005.1.60-7A-b12-1.142.I,18:14:30,18:14:30,15, Parnell Square,4886.07,60-7A-b12-1,7A,b12
137,8250DB003236,"Honey Park, stop 3236",53.2779835,-6.140302725,1005.1.60-7A-b12-1.142.I,18:14:57,18:14:57,16, Parnell Square,5011.79,60-7A-b12-1,7A,b12
138,8250DB003237,"Sarsfield Street, stop 3237",53.27914236,-6.137957911,1005.1.60-7A-b12-1.142.I,18:15:41,18:15:41,17, Parnell Square,5213.96,60-7A-b12-1,7A,b12
139,8250DB003238,"Holmston Avenue, stop 3238",53.28330973,-6.133727199,1005.1.60-7A-b12-1.142.I,18:17:11,18:17:11,18, Parnell Square,5779.52,60-7A-b12-1,7A,b12
140,8250DB003239,"Crosthwaite Park, stop 3239",53.2843865,-6.133035331,1005.1.60-7A-b12-1.142.I,18:17:30,18:17:30,19, Parnell Square,5907.22,60-7A-b12-1,7A,b12
141,8250DB003240,"Corrig Road, stop 3240",53.28717187,-6.131248929,1005.1.60-7A-b12-1.142.I,18:18:20,18:18:20,20, Parnell Square,6240.54,60-7A-b12-1,7A,b12
142,8250DB003068,"George's St Upper, stop 3068",53.28982949,-6.130487902,1005.1.60-7A-b12-1.142.I,18:19:59,18:19:59,21, Parnell Square,6589.3,60-7A-b12-1,7A,b12
