Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8250DB003544,"Beechfield Manor, stop 3544",53.23436713,-6.122239394,1524.1.60-7B-b12-1.145.I,06:50:00,06:50:00,1, Mountjoy Square,0.0,60-7B-b12-1,7B,b12
1,8250DB003552,"Rathsallagh, stop 3552",53.23720289,-6.123089085,1524.1.60-7B-b12-1.145.I,06:50:59,06:50:59,2, Mountjoy Square,373.08,60-7B-b12-1,7B,b12
2,8250DB003553,"Hazelwood, stop 3553",53.23902653,-6.123024264,1524.1.60-7B-b12-1.145.I,06:51:30,06:51:30,3, Mountjoy Square,576.1,60-7B-b12-1,7B,b12
3,8250DB003554,"Shanganagh Bridge, stop 3554",53.24289815,-6.121731009,1524.1.60-7B-b12-1.145.I,06:52:40,06:52:40,4, Mountjoy Square,1022.64,60-7B-b12-1,7B,b12
4,8250DB003555,"Aran Avenue, stop 3555",53.2449123,-6.121777648,1524.1.60-7B-b12-1.145.I,06:53:36,06:53:36,5, Mountjoy Square,1263.21,60-7B-b12-1,7B,b12
5,8250DB003556,"The Elms, stop 3556",53.24811797,-6.123285668,1524.1.60-7B-b12-1.145.I,06:54:42,06:54:42,6, Mountjoy Square,1635.11,60-7B-b12-1,7B,b12
6,8250DB003557,"Sheelin Estate, stop 3557",53.24939627,-6.123409549,1524.1.60-7B-b12-1.145.I,06:55:07,06:55:07,7, Mountjoy Square,1776.57,60-7B-b12-1,7B,b12
7,8250DB007317,"The Nurseries, stop 7317",53.25217975,-6.124936306,1524.1.60-7B-b12-1.145.I,06:56:47,06:56:47,8, Mountjoy Square,2176.85,60-7B-b12-1,7B,b12
8,8250DB003224,"Ashlawn, stop 3224",53.25194585,-6.132365195,1524.1.60-7B-b12-1.145.I,06:59:12,06:59:12,9, Mountjoy Square,2767.72,60-7B-b12-1,7B,b12
9,8250DB003225,"Ballybrack SC, stop 3225",53.25529487,-6.13385301,1524.1.60-7B-b12-1.145.I,07:00:29,07:00:29,10, Mountjoy Square,3306.41,60-7B-b12-1,7B,b12
10,8250DB003226,"Kilbogget Park, stop 3226",53.25854707,-6.137773558,1524.1.60-7B-b12-1.145.I,07:01:34,07:01:34,11, Mountjoy Square,3751.44,60-7B-b12-1,7B,b12
11,8250DB003227,"Auburn Drive, stop 3227",53.26195417,-6.137805394,1524.1.60-7B-b12-1.145.I,07:02:41,07:02:41,12, Mountjoy Square,4145.07,60-7B-b12-1,7B,b12
12,8250DB003228,"Church Road, stop 3228",53.26475425,-6.134655395,1524.1.60-7B-b12-1.145.I,07:03:46,07:03:46,13, Mountjoy Square,4531.68,60-7B-b12-1,7B,b12
13,8250DB003229,"Churchview Road, stop 3229",53.26535278,-6.134419453,1524.1.60-7B-b12-1.145.I,07:04:10,07:04:10,14, Mountjoy Square,4670.84,60-7B-b12-1,7B,b12
14,8250DB007472,"Killiney SC, stop 7472",53.26706808,-6.136623621,1524.1.60-7B-b12-1.145.I,07:04:53,07:04:53,15, Mountjoy Square,4917.26,60-7B-b12-1,7B,b12
15,8250DB003230,Drumkeen Manor,53.26850153,-6.139200039,1524.1.60-7B-b12-1.145.I,07:05:31,07:05:31,16, Mountjoy Square,5150.83,60-7B-b12-1,7B,b12
16,8250DB003231,"Granitefield, stop 3231",53.27008949,-6.141889873,1524.1.60-7B-b12-1.145.I,07:06:37,07:06:37,17, Mountjoy Square,5401.41,60-7B-b12-1,7B,b12
17,8250DB003246,"Johnstown Road, stop 3246",53.27107628,-6.143496397,1524.1.60-7B-b12-1.145.I,07:07:13,07:07:13,18, Mountjoy Square,5555.34,60-7B-b12-1,7B,b12
18,8250DB003247,"Garden Centre, stop 3247",53.27264524,-6.146127392,1524.1.60-7B-b12-1.145.I,07:07:53,07:07:53,19, Mountjoy Square,5802.41,60-7B-b12-1,7B,b12
19,8250DB007056,"Somerton, stop 7056",53.27353131,-6.147618505,1524.1.60-7B-b12-1.145.I,07:08:14,07:08:14,20, Mountjoy Square,5943.57,60-7B-b12-1,7B,b12
20,8250DB004731,"National Rehab Hosp, stop 4731",53.27597606,-6.151666545,1524.1.60-7B-b12-1.145.I,07:09:13,07:09:13,21, Mountjoy Square,6323.99,60-7B-b12-1,7B,b12
21,8250DB002023,"Abbey Road, stop 2023",53.28129182,-6.158290931,1524.1.60-7B-b12-1.145.I,07:11:44,07:11:44,22, Mountjoy Square,7081.65,60-7B-b12-1,7B,b12
22,8250DB002024,"Rory O'Connor Park, stop 2024",53.2834493,-6.159472982,1524.1.60-7B-b12-1.145.I,07:12:34,07:12:34,23, Mountjoy Square,7335.17,60-7B-b12-1,7B,b12
23,8250DB002025,"Abbey Park, stop 2025",53.28490383,-6.16053536,1524.1.60-7B-b12-1.145.I,07:13:28,07:13:28,24, Mountjoy Square,7511.82,60-7B-b12-1,7B,b12
24,8250DB006086,"Grange Grove, stop 6086",53.28624448,-6.16529248,1524.1.60-7B-b12-1.145.I,07:15:26,07:15:26,25, Mountjoy Square,7894.52,60-7B-b12-1,7B,b12
25,8250DB007419,"Rowanbyrn, stop 7419",53.28738133,-6.170838578,1524.1.60-7B-b12-1.145.I,07:17:30,07:17:30,26, Mountjoy Square,8298.82,60-7B-b12-1,7B,b12
26,8250DB007420,"Annaville Terrace, stop 7420",53.28925902,-6.177238416,1524.1.60-7B-b12-1.145.I,07:20:03,07:20:03,27, Mountjoy Square,8798.58,60-7B-b12-1,7B,b12
27,8250DB003345,"Stillorgan Park, stop 3345",53.28940206,-6.185437424,1524.1.60-7B-b12-1.145.I,07:22:54,07:22:54,28, Mountjoy Square,9347.26,60-7B-b12-1,7B,b12
28,8250DB004727,"Laurence Park, stop 4727",53.29081171,-6.19778321,1524.1.60-7B-b12-1.145.I,07:26:19,07:26:19,29, Mountjoy Square,10322.69,60-7B-b12-1,7B,b12
29,8250DB004728,"Oatlands College, stop 4728",53.29333789,-6.201982289,1524.1.60-7B-b12-1.145.I,07:27:42,07:27:42,30, Mountjoy Square,10718.7,60-7B-b12-1,7B,b12
30,8250DB000461,"Stillorgan Pk Hotel, stop 461",53.2947995,-6.203541111,1524.1.60-7B-b12-1.145.I,07:28:22,07:28:22,31, Mountjoy Square,10908.7,60-7B-b12-1,7B,b12
31,8250DB002068,"Greenfield Road, stop 2068",53.29809576,-6.204573003,1524.1.60-7B-b12-1.145.I,07:29:28,07:29:28,32, Mountjoy Square,11281.15,60-7B-b12-1,7B,b12
