Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
464,8220DB004962,"Mountjoy Square, stop 4962",53.35703972,-6.258495314,4411.1.60-7B-b12-1.144.O,17:10:00,17:10:00,1, Shankill,0.0,60-7B-b12-1,7B,b12
465,8220DB006059,"The Spire of Dublin, stop 6059",53.35022443,-6.260185175,4411.1.60-7B-b12-1.144.O,17:14:34,17:14:34,2, Shankill,985.8,60-7B-b12-1,7B,b12
466,8220DB000334,"D'Olier Street, stop 334",53.34658116,-6.258125591,4411.1.60-7B-b12-1.144.O,17:17:34,17:17:34,3, Shankill,1420.96,60-7B-b12-1,7B,b12
467,8220DB000406,"Nassau Street, stop 406",53.34260615,-6.256124946,4411.1.60-7B-b12-1.144.O,17:22:12,17:22:12,4, Shankill,2093.08,60-7B-b12-1,7B,b12
468,8220DB000747,"Kildare Street, stop 747",53.3399308,-6.255723519,4411.1.60-7B-b12-1.144.O,17:24:46,17:24:46,5, Shankill,2468.09,60-7B-b12-1,7B,b12
469,8220DB000842,"Stephen's Green East, stop 842",53.33725198,-6.256313389,4411.1.60-7B-b12-1.144.O,17:26:53,17:26:53,6, Shankill,2823.58,60-7B-b12-1,7B,b12
470,8220DB000845,"Leeson St Lower, stop 845",53.33545345,-6.256251618,4411.1.60-7B-b12-1.144.O,17:28:16,17:28:16,7, Shankill,3061.45,60-7B-b12-1,7B,b12
471,8220DB000846,"Fitzwilliam Place, stop 846",53.33345373,-6.254110908,4411.1.60-7B-b12-1.144.O,17:30:05,17:30:05,8, Shankill,3324.35,60-7B-b12-1,7B,b12
472,8220DB000847,"Leeson St Upper, stop 847",53.33160145,-6.25221962,4411.1.60-7B-b12-1.144.O,17:31:44,17:31:44,9, Shankill,3564.61,60-7B-b12-1,7B,b12
473,8220DB000848,"Sussex Road, stop 848",53.32972799,-6.248887998,4411.1.60-7B-b12-1.144.O,17:33:12,17:33:12,10, Shankill,3886.76,60-7B-b12-1,7B,b12
474,8220DB002795,"Leeson Village, stop 2795",53.32852998,-6.246264621,4411.1.60-7B-b12-1.144.O,17:34:18,17:34:18,11, Shankill,4108.2,60-7B-b12-1,7B,b12
475,8220DB000756,"Royal Hospital, stop 756",53.32639976,-6.242598747,4411.1.60-7B-b12-1.144.O,17:35:35,17:35:35,12, Shankill,4449.1,60-7B-b12-1,7B,b12
476,8220DB000757,"Donnybrook Village, stop 757",53.32408134,-6.23958651,4411.1.60-7B-b12-1.144.O,17:36:48,17:36:48,13, Shankill,4775.54,60-7B-b12-1,7B,b12
477,8220DB000758,"Victoria Avenue, stop 758",53.32268694,-6.23767738,4411.1.60-7B-b12-1.144.O,17:37:27,17:37:27,14, Shankill,4975.61,60-7B-b12-1,7B,b12
478,8220DB000759,"Donnybrook Stadium, stop 759",53.32034885,-6.233345517,4411.1.60-7B-b12-1.144.O,17:38:46,17:38:46,15, Shankill,5372.06,60-7B-b12-1,7B,b12
479,8220DB000760,"Donnybrook Church, stop 760",53.31833019,-6.230561956,4411.1.60-7B-b12-1.144.O,17:39:45,17:39:45,16, Shankill,5664.31,60-7B-b12-1,7B,b12
480,8220DB000761,"Teresian School, stop 761",53.3161004,-6.227487214,4411.1.60-7B-b12-1.144.O,17:40:25,17:40:25,17, Shankill,5985.54,60-7B-b12-1,7B,b12
481,8220DB000762,"RTE, stop 762",53.31451706,-6.224370944,4411.1.60-7B-b12-1.144.O,17:41:00,17:41:00,18, Shankill,6264.85,60-7B-b12-1,7B,b12
482,8220DB000763,"Belfield Court, stop 763",53.31232014,-6.221100319,4411.1.60-7B-b12-1.144.O,17:42:15,17:42:15,19, Shankill,6592.55,60-7B-b12-1,7B,b12
483,8250DB002007,"Woodbine Road, stop 2007",53.30887504,-6.216111205,4411.1.60-7B-b12-1.144.O,17:43:29,17:43:29,20, Shankill,7111.9,60-7B-b12-1,7B,b12
484,8250DB002008,"Seafield Road, stop 2008",53.3056004,-6.211115757,4411.1.60-7B-b12-1.144.O,17:44:38,17:44:38,21, Shankill,7604.77,60-7B-b12-1,7B,b12
