Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
270,8220DB004962,"Mountjoy Square, stop 4962",53.35703972,-6.258495314,4415.1.60-7D-b12-1.146.O,17:35:00,17:35:00,1, Dalkey,0.0,60-7D-b12-1,7D,b12
271,8220DB004725,"O'Connell St Upper, stop 4725",53.35211562,-6.261054534,4415.1.60-7D-b12-1.146.O,17:39:10,17:39:10,2, Dalkey,768.31,60-7D-b12-1,7D,b12
272,8220DB006059,"The Spire of Dublin, stop 6059",53.35022443,-6.260185175,4415.1.60-7D-b12-1.146.O,17:40:43,17:40:43,3, Dalkey,985.8,60-7D-b12-1,7D,b12
273,8220DB000334,"D'Olier Street, stop 334",53.34658116,-6.258125591,4415.1.60-7D-b12-1.146.O,17:43:48,17:43:48,4, Dalkey,1420.96,60-7D-b12-1,7D,b12
274,8220DB000406,"Nassau Street, stop 406",53.34260615,-6.256124946,4415.1.60-7D-b12-1.146.O,17:48:35,17:48:35,5, Dalkey,2093.08,60-7D-b12-1,7D,b12
275,8220DB000747,"Kildare Street, stop 747",53.3399308,-6.255723519,4415.1.60-7D-b12-1.146.O,17:51:13,17:51:13,6, Dalkey,2468.09,60-7D-b12-1,7D,b12
276,8220DB000842,"Stephen's Green East, stop 842",53.33725198,-6.256313389,4415.1.60-7D-b12-1.146.O,17:53:13,17:53:13,7, Dalkey,2823.58,60-7D-b12-1,7D,b12
277,8220DB000845,"Leeson St Lower, stop 845",53.33545345,-6.256251618,4415.1.60-7D-b12-1.146.O,17:54:31,17:54:31,8, Dalkey,3061.45,60-7D-b12-1,7D,b12
278,8220DB000846,"Fitzwilliam Place, stop 846",53.33345373,-6.254110908,4415.1.60-7D-b12-1.146.O,17:56:14,17:56:14,9, Dalkey,3324.35,60-7D-b12-1,7D,b12
279,8220DB000847,"Leeson St Upper, stop 847",53.33160145,-6.25221962,4415.1.60-7D-b12-1.146.O,17:57:48,17:57:48,10, Dalkey,3564.61,60-7D-b12-1,7D,b12
280,8220DB000848,"Sussex Road, stop 848",53.32972799,-6.248887998,4415.1.60-7D-b12-1.146.O,17:59:13,17:59:13,11, Dalkey,3886.76,60-7D-b12-1,7D,b12
281,8220DB002795,"Leeson Village, stop 2795",53.32852998,-6.246264621,4415.1.60-7D-b12-1.146.O,18:00:17,18:00:17,12, Dalkey,4108.2,60-7D-b12-1,7D,b12
282,8220DB000756,"Royal Hospital, stop 756",53.32639976,-6.242598747,4415.1.60-7D-b12-1.146.O,18:01:32,18:01:32,13, Dalkey,4449.1,60-7D-b12-1,7D,b12
283,8220DB000757,"Donnybrook Village, stop 757",53.32408134,-6.23958651,4415.1.60-7D-b12-1.146.O,18:02:43,18:02:43,14, Dalkey,4775.54,60-7D-b12-1,7D,b12
284,8220DB000758,"Victoria Avenue, stop 758",53.32268694,-6.23767738,4415.1.60-7D-b12-1.146.O,18:03:25,18:03:25,15, Dalkey,4975.62,60-7D-b12-1,7D,b12
285,8220DB000759,"Donnybrook Stadium, stop 759",53.32034885,-6.233345517,4415.1.60-7D-b12-1.146.O,18:04:48,18:04:48,16, Dalkey,5372.06,60-7D-b12-1,7D,b12
286,8220DB000760,"Donnybrook Church, stop 760",53.31833019,-6.230561956,4415.1.60-7D-b12-1.146.O,18:05:49,18:05:49,17, Dalkey,5664.31,60-7D-b12-1,7D,b12
287,8220DB000761,"Teresian School, stop 761",53.3161004,-6.227487214,4415.1.60-7D-b12-1.146.O,18:06:43,18:06:43,18, Dalkey,5985.54,60-7D-b12-1,7D,b12
288,8220DB000762,"RTE, stop 762",53.31451706,-6.224370944,4415.1.60-7D-b12-1.146.O,18:07:29,18:07:29,19, Dalkey,6264.85,60-7D-b12-1,7D,b12
289,8220DB000763,"Belfield Court, stop 763",53.31232014,-6.221100319,4415.1.60-7D-b12-1.146.O,18:08:45,18:08:45,20, Dalkey,6592.55,60-7D-b12-1,7D,b12
290,8250DB002007,"Woodbine Road, stop 2007",53.30887504,-6.216111205,4415.1.60-7D-b12-1.146.O,18:10:01,18:10:01,21, Dalkey,7111.9,60-7D-b12-1,7D,b12
291,8250DB002008,"Seafield Road, stop 2008",53.3056004,-6.211115757,4415.1.60-7D-b12-1.146.O,18:11:11,18:11:11,22, Dalkey,7604.77,60-7D-b12-1,7D,b12
292,8250DB002009,"Radisson Hotel, stop 2009",53.30333957,-6.207804139,4415.1.60-7D-b12-1.146.O,18:12:07,18:12:07,23, Dalkey,7938.32,60-7D-b12-1,7D,b12
293,8250DB002010,"Booterstown Avenue, stop 2010",53.29889724,-6.20467441,4415.1.60-7D-b12-1.146.O,18:13:37,18:13:37,24, Dalkey,8473.64,60-7D-b12-1,7D,b12
294,8250DB000435,"Sycamore Crescent, stop 435",53.29598904,-6.203746226,4415.1.60-7D-b12-1.146.O,18:14:45,18:14:45,25, Dalkey,8803.78,60-7D-b12-1,7D,b12
295,8250DB007353,"Priory Grove, stop 7353",53.29349573,-6.201720633,4415.1.60-7D-b12-1.146.O,18:15:57,18:15:57,26, Dalkey,9117.68,60-7D-b12-1,7D,b12
296,8250DB007584,"Stillorgan Grove, stop 7584",53.29013296,-6.192726647,4415.1.60-7D-b12-1.146.O,18:17:44,18:17:44,27, Dalkey,9933.55,60-7D-b12-1,7D,b12
297,8250DB003344,"Coppinger Wood, stop 3344",53.28989966,-6.186241352,4415.1.60-7D-b12-1.146.O,18:19:00,18:19:00,28, Dalkey,10402.06,60-7D-b12-1,7D,b12
298,8250DB007421,"Annaville Terrace, stop 7421",53.28941319,-6.176151839,4415.1.60-7D-b12-1.146.O,18:22:45,18:22:45,29, Dalkey,11100.29,60-7D-b12-1,7D,b12
299,8250DB007422,"Rowanbyrn, stop 7422",53.28752413,-6.170772479,4415.1.60-7D-b12-1.146.O,18:23:38,18:23:38,30, Dalkey,11518.76,60-7D-b12-1,7D,b12
300,8250DB006085,"Grange Grove, stop 6085",53.28649209,-6.166196821,4415.1.60-7D-b12-1.146.O,18:25:25,18:25:25,31, Dalkey,11867.2,60-7D-b12-1,7D,b12
301,8250DB002053,"Abbey Park, stop 2053",53.28484623,-6.160297856,4415.1.60-7D-b12-1.146.O,18:27:28,18:27:28,32, Dalkey,12403.15,60-7D-b12-1,7D,b12
302,8250DB002054,"Rory O'Connor Park, stop 2054",53.28323854,-6.159212076,4415.1.60-7D-b12-1.146.O,18:28:12,18:28:12,33, Dalkey,12596.53,60-7D-b12-1,7D,b12
303,8250DB002055,"Casement Villas, stop 2055",53.28145994,-6.158118729,4415.1.60-7D-b12-1.146.O,18:28:58,18:28:58,34, Dalkey,12808.09,60-7D-b12-1,7D,b12
304,8250DB004565,"Kill Avenue, stop 4565",53.2813422,-6.155154305,4415.1.60-7D-b12-1.146.O,18:29:45,18:29:45,35, Dalkey,13076.83,60-7D-b12-1,7D,b12
305,8250DB004566,"IADT Dun Laoghaire, stop 4566",53.28192408,-6.152099718,4415.1.60-7D-b12-1.146.O,18:30:14,18:30:14,36, Dalkey,13290.63,60-7D-b12-1,7D,b12
306,8250DB004567,"Glenageary Road, stop 4567",53.28292892,-6.147346988,4415.1.60-7D-b12-1.146.O,18:31:20,18:31:20,37, Dalkey,13625.94,60-7D-b12-1,7D,b12
307,8250DB007553,"Park Pointe SC, stop 7553",53.28249651,-6.142086454,4415.1.60-7D-b12-1.146.O,18:32:39,18:32:39,38, Dalkey,14029.92,60-7D-b12-1,7D,b12
308,8250DB003238,"Holmston Avenue, stop 3238",53.28330973,-6.133727199,4415.1.60-7D-b12-1.146.O,18:35:32,18:35:32,39, Dalkey,14919.0,60-7D-b12-1,7D,b12
309,8250DB003239,"Crosthwaite Park, stop 3239",53.2843865,-6.133035331,4415.1.60-7D-b12-1.146.O,18:36:00,18:36:00,40, Dalkey,15046.7,60-7D-b12-1,7D,b12
310,8250DB003240,"Corrig Road, stop 3240",53.28717187,-6.131248929,4415.1.60-7D-b12-1.146.O,18:37:12,18:37:12,41, Dalkey,15380.01,60-7D-b12-1,7D,b12
311,8250DB003048,"Sandycove Station, stop 3048",53.28843609,-6.127038756,4415.1.60-7D-b12-1.146.O,18:38:58,18:38:58,42, Dalkey,15866.4,60-7D-b12-1,7D,b12
312,8250DB003049,"St Joseph's Church, stop 3049",53.2874061,-6.124413884,4415.1.60-7D-b12-1.146.O,18:39:32,18:39:32,43, Dalkey,16076.27,60-7D-b12-1,7D,b12
313,8250DB003050,"Glasthule, stop 3050",53.28694902,-6.122213987,4415.1.60-7D-b12-1.146.O,18:39:57,18:39:57,44, Dalkey,16231.09,60-7D-b12-1,7D,b12
314,8250DB003051,"Sandycove Road, stop 3051",53.28612433,-6.117795401,4415.1.60-7D-b12-1.146.O,18:40:49,18:40:49,45, Dalkey,16553.06,60-7D-b12-1,7D,b12
315,8250DB003052,"Elton Park, stop 3052",53.28590772,-6.114895095,4415.1.60-7D-b12-1.146.O,18:41:20,18:41:20,46, Dalkey,16746.22,60-7D-b12-1,7D,b12
316,8250DB003053,"Breffni Road, stop 3053",53.28558984,-6.111279331,4415.1.60-7D-b12-1.146.O,18:41:58,18:41:58,47, Dalkey,16988.6,60-7D-b12-1,7D,b12
317,8250DB003054,"Ulverton Road, stop 3054",53.28410202,-6.107580336,4415.1.60-7D-b12-1.146.O,18:42:34,18:42:34,48, Dalkey,17290.81,60-7D-b12-1,7D,b12
318,8250DB003055,"South Winds, stop 3055",53.2818349,-6.106885648,4415.1.60-7D-b12-1.146.O,18:43:06,18:43:06,49, Dalkey,17558.2,60-7D-b12-1,7D,b12
319,8250DB003056,"Church Road, stop 3056",53.28031008,-6.107088029,4415.1.60-7D-b12-1.146.O,18:43:26,18:43:26,50, Dalkey,17729.92,60-7D-b12-1,7D,b12
