Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8250DB003057,"Dalkey Village, stop 3057",53.27838434,-6.106948197,1491.1.60-7D-b12-1.148.I,05:20:00,05:20:00,1, Mountjoy Square,0.0,60-7D-b12-1,7D,b12
1,8250DB004830,"Barnhill Road, stop 4830",53.27725409,-6.114466208,1491.1.60-7D-b12-1.148.I,05:20:49,05:20:49,2, Mountjoy Square,533.0,60-7D-b12-1,7D,b12
2,8250DB007667,"Saval Park Road, stop 7667",53.27682755,-6.11932867,1491.1.60-7D-b12-1.148.I,05:21:20,05:21:20,3, Mountjoy Square,878.24,60-7D-b12-1,7D,b12
3,8250DB003091,"Avondale Road, stop 3091",53.27364541,-6.123876855,1491.1.60-7D-b12-1.148.I,05:22:07,05:22:07,4, Mountjoy Square,1371.77,60-7D-b12-1,7D,b12
4,8250DB003092,"Arnold Grove, stop 3092",53.27207385,-6.126824577,1491.1.60-7D-b12-1.148.I,05:22:31,05:22:31,5, Mountjoy Square,1637.39,60-7D-b12-1,7D,b12
5,8250DB003093,"Arnold Park, stop 3093",53.27034594,-6.13012376,1491.1.60-7D-b12-1.148.I,05:22:59,05:22:59,6, Mountjoy Square,1933.06,60-7D-b12-1,7D,b12
6,8250DB003535,"Church Road, stop 3535",53.25681752,-6.127206594,1491.1.60-7D-b12-1.148.I,05:25:47,05:25:47,7, Mountjoy Square,3719.94,60-7D-b12-1,7D,b12
7,8250DB003536,"Ballybrack Village, stop 3536",53.25386108,-6.124967677,1491.1.60-7D-b12-1.148.I,05:26:21,05:26:21,8, Mountjoy Square,4080.91,60-7D-b12-1,7D,b12
8,8250DB003537,"Ballybrack Cross, stop 3537",53.25195289,-6.123657329,1491.1.60-7D-b12-1.148.I,05:26:42,05:26:42,9, Mountjoy Square,4310.74,60-7D-b12-1,7D,b12
9,8250DB003538,"Sheelin Estate, stop 3538",53.24966244,-6.123188089,1491.1.60-7D-b12-1.148.I,05:27:06,05:27:06,10, Mountjoy Square,4569.66,60-7D-b12-1,7D,b12
10,8250DB007556,"The Elms, stop 7556",53.24804398,-6.123154034,1491.1.60-7D-b12-1.148.I,05:27:23,05:27:23,11, Mountjoy Square,4750.15,60-7D-b12-1,7D,b12
11,8250DB003539,"River Close, stop 3539",53.24401834,-6.121517115,1491.1.60-7D-b12-1.148.I,05:28:10,05:28:10,12, Mountjoy Square,5252.18,60-7D-b12-1,7D,b12
12,8250DB003540,"Shanganagh Bridge, stop 3540",53.24268093,-6.121635635,1491.1.60-7D-b12-1.148.I,05:28:24,05:28:24,13, Mountjoy Square,5403.55,60-7D-b12-1,7D,b12
13,8250DB003541,"Hazelwood, stop 3541",53.23882609,-6.122853245,1491.1.60-7D-b12-1.148.I,05:29:05,05:29:05,14, Mountjoy Square,5848.06,60-7D-b12-1,7D,b12
14,8250DB003542,"Rathsallagh, stop 3542",53.23640017,-6.122914465,1491.1.60-7D-b12-1.148.I,05:29:30,05:29:30,15, Mountjoy Square,6118.23,60-7D-b12-1,7D,b12
15,8250DB003543,"St Anne's Church, stop 3543",53.23372864,-6.123360944,1491.1.60-7D-b12-1.148.I,05:29:59,05:29:59,16, Mountjoy Square,6420.4,60-7D-b12-1,7D,b12
16,8250DB003141,"Station Road, stop 3141",53.23455658,-6.125137439,1491.1.60-7D-b12-1.148.I,05:30:23,05:30:23,17, Mountjoy Square,6692.02,60-7D-b12-1,7D,b12
17,8250DB003142,"Kentfield, stop 3142",53.2380654,-6.12763594,1491.1.60-7D-b12-1.148.I,05:31:03,05:31:03,18, Mountjoy Square,7123.41,60-7D-b12-1,7D,b12
18,8250DB003224,"Ashlawn, stop 3224",53.25194585,-6.132365195,1491.1.60-7D-b12-1.148.I,05:34:39,05:34:39,19, Mountjoy Square,9427.03,60-7D-b12-1,7D,b12
19,8250DB003225,"Ballybrack SC, stop 3225",53.25529487,-6.13385301,1491.1.60-7D-b12-1.148.I,05:35:28,05:35:28,20, Mountjoy Square,9965.72,60-7D-b12-1,7D,b12
