Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
136,8240DB000324,"Harristown, stop 324",53.41772268,-6.278644169,10001.3.60-83-b12-1.300.O,17:15:00,17:15:00,1, Kimmage,0.0,60-83-b12-1,83,b12
137,8240DB001555,"Harristown Lane, stop 1555",53.41825199,-6.306862732,10001.3.60-83-b12-1.300.O,17:20:13,17:20:13,3, Kimmage,4105.44,60-83-b12-1,83,b12
138,8240DB001556,"Rockmount, stop 1556",53.40952778,-6.303915052,10001.3.60-83-b12-1.300.O,17:21:35,17:21:35,4, Kimmage,5181.85,60-83-b12-1,83,b12
139,8240DB001557,"M50 Flyover, stop 1557",53.40772054,-6.300707908,10001.3.60-83-b12-1.300.O,17:21:58,17:21:58,5, Kimmage,5475.58,60-83-b12-1,83,b12
140,8240DB001181,"Charlestown, stop 1181",53.40570645,-6.300652822,10001.3.60-83-b12-1.300.O,17:22:31,17:22:31,6, Kimmage,5758.6,60-83-b12-1,83,b12
141,8240DB007350,"Lanesborough Park, stop 7350",53.40392506,-6.301791678,10001.3.60-83-b12-1.300.O,17:23:02,17:23:02,7, Kimmage,5971.6,60-83-b12-1,83,b12
142,8240DB006230,"Meakstown Centre, stop 6230",53.40140934,-6.296808594,10001.3.60-83-b12-1.300.O,17:24:23,17:24:23,8, Kimmage,6522.87,60-83-b12-1,83,b12
143,8240DB006228,"Melville, stop 6228",53.39983069,-6.292630722,10001.3.60-83-b12-1.300.O,17:25:12,17:25:12,9, Kimmage,6859.53,60-83-b12-1,83,b12
144,8220DB004788,"Oakwood Road, stop 4788",53.39693477,-6.292506062,10001.3.60-83-b12-1.300.O,17:26:13,17:26:13,10, Kimmage,7285.37,60-83-b12-1,83,b12
145,8220DB006273,"Sycamore Road, stop 6273",53.39527537,-6.290858265,10001.3.60-83-b12-1.300.O,17:27:12,17:27:12,11, Kimmage,7588.14,60-83-b12-1,83,b12
146,8220DB004891,"Grove Road, stop 4891",53.39310602,-6.286870335,10001.3.60-83-b12-1.300.O,17:28:28,17:28:28,12, Kimmage,7966.03,60-83-b12-1,83,b12
147,8220DB007458,"Collins Drive, stop 7458",53.39006655,-6.290525706,10001.3.60-83-b12-1.300.O,17:29:56,17:29:56,13, Kimmage,8463.19,60-83-b12-1,83,b12
148,8220DB007425,"Glasanaon Road, stop 7425",53.38887865,-6.292933788,10001.3.60-83-b12-1.300.O,17:30:51,17:30:51,14, Kimmage,8778.82,60-83-b12-1,83,b12
149,8220DB007424,"Ballygall Place, stop 7424",53.38801173,-6.2920213,10001.3.60-83-b12-1.300.O,17:31:11,17:31:11,15, Kimmage,8892.19,60-83-b12-1,83,b12
150,8220DB007423,"Ballygall Parade, stop 7423",53.3856752,-6.288281232,10001.3.60-83-b12-1.300.O,17:32:15,17:32:15,16, Kimmage,9254.25,60-83-b12-1,83,b12
151,8220DB001566,"Johnstown Park, stop 1566",53.38440742,-6.283867197,10001.3.60-83-b12-1.300.O,17:33:18,17:33:18,17, Kimmage,9595.26,60-83-b12-1,83,b12
152,8220DB001567,"Griffith Drive, stop 1567",53.38401396,-6.280260022,10001.3.60-83-b12-1.300.O,17:34:03,17:34:03,18, Kimmage,9834.14,60-83-b12-1,83,b12
153,8220DB004372,"Fitzmaurice Road, stop 4372",53.38204848,-6.276100071,10001.3.60-83-b12-1.300.O,17:35:16,17:35:16,19, Kimmage,10223.13,60-83-b12-1,83,b12
154,8220DB000179,"Ballygall Rd East, stop 179",53.38030343,-6.27600522,10001.3.60-83-b12-1.300.O,17:35:52,17:35:52,20, Kimmage,10416.23,60-83-b12-1,83,b12
