Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
1988,8220DB002492,"Stannaway Ave, stop 2492",53.31630636,-6.307884119,15684.2.60-83-b12-1.303.I,23:20:00,23:20:00,1, Westmoreland St,0.0,60-83-b12-1,83,b12
1989,8220DB002493,"Captain's Road, stop 2493",53.31833048,-6.308644599,15684.2.60-83-b12-1.303.I,23:20:44,23:20:44,2, Westmoreland St,357.7,60-83-b12-1,83,b12
1990,8220DB002465,"Armagh Road, stop 2465",53.31998846,-6.308939283,15684.2.60-83-b12-1.303.I,23:21:13,23:21:13,3, Westmoreland St,583.6,60-83-b12-1,83,b12
1991,8220DB002466,"Scoil Colm, stop 2466",53.32065423,-6.306451176,15684.2.60-83-b12-1.303.I,23:21:36,23:21:36,4, Westmoreland St,767.45,60-83-b12-1,83,b12
1992,8220DB002467,"Cashel Road, stop 2467",53.31923418,-6.303925628,15684.2.60-83-b12-1.303.I,23:22:11,23:22:11,5, Westmoreland St,1034.5,60-83-b12-1,83,b12
1993,8220DB002494,"Stannaway Road, stop 2494",53.31969667,-6.300424844,15684.2.60-83-b12-1.303.I,23:23:08,23:23:08,6, Westmoreland St,1387.63,60-83-b12-1,83,b12
1994,8220DB002495,"Ferns Road, stop 2495",53.32121991,-6.296941782,15684.2.60-83-b12-1.303.I,23:24:00,23:24:00,7, Westmoreland St,1674.57,60-83-b12-1,83,b12
1995,8220DB002496,"Eamonn Ceannt Park, stop 2496",53.32196775,-6.293924742,15684.2.60-83-b12-1.303.I,23:24:42,23:24:42,8, Westmoreland St,1930.55,60-83-b12-1,83,b12
1996,8220DB002497,"Sundrive Park, stop 2497",53.32032995,-6.291903584,15684.2.60-83-b12-1.303.I,23:25:14,23:25:14,9, Westmoreland St,2158.37,60-83-b12-1,83,b12
1997,8220DB002471,"Larkfield Park, stop 2471",53.31868158,-6.289147501,15684.2.60-83-b12-1.303.I,23:25:49,23:25:49,10, Westmoreland St,2417.4,60-83-b12-1,83,b12
1998,8220DB002472,"Harolds Cross NS, stop 2472",53.31767791,-6.285600295,15684.2.60-83-b12-1.303.I,23:26:23,23:26:23,11, Westmoreland St,2690.43,60-83-b12-1,83,b12
1999,8220DB002473,"Clareville Road, stop 2473",53.31788873,-6.283385384,15684.2.60-83-b12-1.303.I,23:26:41,23:26:41,12, Westmoreland St,2843.05,60-83-b12-1,83,b12
2000,8220DB002474,"Westfield Road, stop 2474",53.31875601,-6.281819529,15684.2.60-83-b12-1.303.I,23:26:58,23:26:58,13, Westmoreland St,2991.19,60-83-b12-1,83,b12
2001,8220DB002475,"Kenilworth Park, stop 2475",53.31886589,-6.280088932,15684.2.60-83-b12-1.303.I,23:27:15,23:27:15,14, Westmoreland St,3130.12,60-83-b12-1,83,b12
2002,8220DB002476,"Kenilworth Square N, stop 2476",53.31904381,-6.277469975,15684.2.60-83-b12-1.303.I,23:27:45,23:27:45,15, Westmoreland St,3325.86,60-83-b12-1,83,b12
2003,8220DB002477,"Kenilworth Road, stop 2477",53.31987794,-6.274239109,15684.2.60-83-b12-1.303.I,23:28:25,23:28:25,16, Westmoreland St,3559.23,60-83-b12-1,83,b12
2004,8220DB002478,"Grosvenor Road, stop 2478",53.32057759,-6.269797669,15684.2.60-83-b12-1.303.I,23:29:26,23:29:26,17, Westmoreland St,3918.69,60-83-b12-1,83,b12
2005,8220DB001170,"Rathmines Garda Stn, stop 1170",53.32168955,-6.266525249,15684.2.60-83-b12-1.303.I,23:30:07,23:30:07,18, Westmoreland St,4169.13,60-83-b12-1,83,b12
2006,8220DB001069,"Swan Centre, stop 1069",53.32328526,-6.265619895,15684.2.60-83-b12-1.303.I,23:30:38,23:30:38,19, Westmoreland St,4373.39,60-83-b12-1,83,b12
2007,8220DB001070,"Rathmines, stop 1070",53.32498018,-6.265355983,15684.2.60-83-b12-1.303.I,23:31:06,23:31:06,20, Westmoreland St,4577.09,60-83-b12-1,83,b12
2008,8220DB001071,"St Mary's College, stop 1071",53.32721804,-6.264724712,15684.2.60-83-b12-1.303.I,23:31:45,23:31:45,21, Westmoreland St,4831.08,60-83-b12-1,83,b12
2009,8220DB004528,"Grove Park, stop 4528",53.32889608,-6.26453649,15684.2.60-83-b12-1.303.I,23:32:20,23:32:20,22, Westmoreland St,5018.68,60-83-b12-1,83,b12
2010,8220DB001072,"South Richmond St, stop 1072",53.33102697,-6.264585114,15684.2.60-83-b12-1.303.I,23:33:08,23:33:08,23, Westmoreland St,5259.09,60-83-b12-1,83,b12
2011,8220DB001352,"Camden Street Lower, stop 1352",53.33444543,-6.265407334,15684.2.60-83-b12-1.303.I,23:34:24,23:34:24,24, Westmoreland St,5642.21,60-83-b12-1,83,b12
2012,8220DB001353,"Pleasants Street, stop 1353",53.33600953,-6.265418938,15684.2.60-83-b12-1.303.I,23:34:59,23:34:59,25, Westmoreland St,5819.08,60-83-b12-1,83,b12
2013,8220DB001355,"Whitefriars Street, stop 1355",53.34009624,-6.265838755,15684.2.60-83-b12-1.303.I,23:36:52,23:36:52,26, Westmoreland St,6278.13,60-83-b12-1,83,b12
2014,8220DB001357,"Exchequer Street, stop 1357",53.34256789,-6.26459703,15684.2.60-83-b12-1.303.I,23:37:42,23:37:42,27, Westmoreland St,6569.31,60-83-b12-1,83,b12
2015,8220DB001359,"College Green, stop 1359",53.34439941,-6.26136859,15684.2.60-83-b12-1.303.I,23:39:31,23:39:31,28, Westmoreland St,6954.69,60-83-b12-1,83,b12
