Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
132,8220DB002492,"Stannaway Ave, stop 2492",53.31630636,-6.307884119,15039.2.60-83A-b12-1.311.I,09:20:00,09:20:00,1, Charlestown,0.0,60-83A-b12-1,83A,b12
133,8220DB002493,"Captain's Road, stop 2493",53.31833048,-6.308644599,15039.2.60-83A-b12-1.311.I,09:20:58,09:20:58,2, Charlestown,357.7,60-83A-b12-1,83A,b12
134,8220DB002465,"Armagh Road, stop 2465",53.31998846,-6.308939283,15039.2.60-83A-b12-1.311.I,09:21:36,09:21:36,3, Charlestown,583.6,60-83A-b12-1,83A,b12
135,8220DB002466,"Scoil Colm, stop 2466",53.32065423,-6.306451176,15039.2.60-83A-b12-1.311.I,09:22:06,09:22:06,4, Charlestown,767.45,60-83A-b12-1,83A,b12
136,8220DB002467,"Cashel Road, stop 2467",53.31923418,-6.303925628,15039.2.60-83A-b12-1.311.I,09:22:51,09:22:51,5, Charlestown,1034.5,60-83A-b12-1,83A,b12
137,8220DB002494,"Stannaway Road, stop 2494",53.31969667,-6.300424844,15039.2.60-83A-b12-1.311.I,09:24:02,09:24:02,6, Charlestown,1387.63,60-83A-b12-1,83A,b12
138,8220DB002495,"Ferns Road, stop 2495",53.32121991,-6.296941782,15039.2.60-83A-b12-1.311.I,09:25:06,09:25:06,7, Charlestown,1674.57,60-83A-b12-1,83A,b12
139,8220DB002496,"Eamonn Ceannt Park, stop 2496",53.32196775,-6.293924742,15039.2.60-83A-b12-1.311.I,09:25:57,09:25:57,8, Charlestown,1930.55,60-83A-b12-1,83A,b12
140,8220DB002497,"Sundrive Park, stop 2497",53.32032995,-6.291903584,15039.2.60-83A-b12-1.311.I,09:26:40,09:26:40,9, Charlestown,2158.37,60-83A-b12-1,83A,b12
141,8220DB002471,"Larkfield Park, stop 2471",53.31868158,-6.289147501,15039.2.60-83A-b12-1.311.I,09:27:27,09:27:27,10, Charlestown,2417.4,60-83A-b12-1,83A,b12
142,8220DB002472,"Harolds Cross NS, stop 2472",53.31767791,-6.285600295,15039.2.60-83A-b12-1.311.I,09:28:01,09:28:01,11, Charlestown,2690.43,60-83A-b12-1,83A,b12
143,8220DB002473,"Clareville Road, stop 2473",53.31788873,-6.283385384,15039.2.60-83A-b12-1.311.I,09:28:19,09:28:19,12, Charlestown,2843.05,60-83A-b12-1,83A,b12
144,8220DB002474,"Westfield Road, stop 2474",53.31875601,-6.281819529,15039.2.60-83A-b12-1.311.I,09:28:36,09:28:36,13, Charlestown,2991.19,60-83A-b12-1,83A,b12
145,8220DB002475,"Kenilworth Park, stop 2475",53.31886589,-6.280088932,15039.2.60-83A-b12-1.311.I,09:28:54,09:28:54,14, Charlestown,3130.12,60-83A-b12-1,83A,b12
146,8220DB002476,"Kenilworth Square N, stop 2476",53.31904381,-6.277469975,15039.2.60-83A-b12-1.311.I,09:29:28,09:29:28,15, Charlestown,3325.86,60-83A-b12-1,83A,b12
