Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
3736,8220DB002492,"Stannaway Ave, stop 2492",53.31630636,-6.307884119,3691.1.60-83A-b12-1.310.I,21:40:00,21:40:00,1, Harristown,0.0,60-83A-b12-1,83A,b12
3737,8220DB002493,"Captain's Road, stop 2493",53.31833048,-6.308644599,3691.1.60-83A-b12-1.310.I,21:40:46,21:40:46,2, Harristown,357.7,60-83A-b12-1,83A,b12
3738,8220DB002465,"Armagh Road, stop 2465",53.31998846,-6.308939283,3691.1.60-83A-b12-1.310.I,21:41:17,21:41:17,3, Harristown,583.6,60-83A-b12-1,83A,b12
3739,8220DB002466,"Scoil Colm, stop 2466",53.32065423,-6.306451176,3691.1.60-83A-b12-1.310.I,21:41:41,21:41:41,4, Harristown,767.45,60-83A-b12-1,83A,b12
3740,8220DB002467,"Cashel Road, stop 2467",53.31923418,-6.303925628,3691.1.60-83A-b12-1.310.I,21:42:18,21:42:18,5, Harristown,1034.5,60-83A-b12-1,83A,b12
3741,8220DB002494,"Stannaway Road, stop 2494",53.31969667,-6.300424844,3691.1.60-83A-b12-1.310.I,21:43:16,21:43:16,6, Harristown,1387.63,60-83A-b12-1,83A,b12
3742,8220DB002495,"Ferns Road, stop 2495",53.32121991,-6.296941782,3691.1.60-83A-b12-1.310.I,21:44:08,21:44:08,7, Harristown,1674.57,60-83A-b12-1,83A,b12
3743,8220DB002496,"Eamonn Ceannt Park, stop 2496",53.32196775,-6.293924742,3691.1.60-83A-b12-1.310.I,21:44:50,21:44:50,8, Harristown,1930.55,60-83A-b12-1,83A,b12
3744,8220DB002497,"Sundrive Park, stop 2497",53.32032995,-6.291903584,3691.1.60-83A-b12-1.310.I,21:45:25,21:45:25,9, Harristown,2158.37,60-83A-b12-1,83A,b12
3745,8220DB002471,"Larkfield Park, stop 2471",53.31868158,-6.289147501,3691.1.60-83A-b12-1.310.I,21:46:03,21:46:03,10, Harristown,2417.4,60-83A-b12-1,83A,b12
3746,8220DB002472,"Harolds Cross NS, stop 2472",53.31767791,-6.285600295,3691.1.60-83A-b12-1.310.I,21:46:39,21:46:39,11, Harristown,2690.43,60-83A-b12-1,83A,b12
3747,8220DB002473,"Clareville Road, stop 2473",53.31788873,-6.283385384,3691.1.60-83A-b12-1.310.I,21:46:58,21:46:58,12, Harristown,2843.05,60-83A-b12-1,83A,b12
3748,8220DB002474,"Westfield Road, stop 2474",53.31875601,-6.281819529,3691.1.60-83A-b12-1.310.I,21:47:16,21:47:16,13, Harristown,2991.19,60-83A-b12-1,83A,b12
3749,8220DB002475,"Kenilworth Park, stop 2475",53.31886589,-6.280088932,3691.1.60-83A-b12-1.310.I,21:47:36,21:47:36,14, Harristown,3130.12,60-83A-b12-1,83A,b12
3750,8220DB002476,"Kenilworth Square N, stop 2476",53.31904381,-6.277469975,3691.1.60-83A-b12-1.310.I,21:48:15,21:48:15,15, Harristown,3325.86,60-83A-b12-1,83A,b12
3751,8220DB002477,"Kenilworth Road, stop 2477",53.31987794,-6.274239109,3691.1.60-83A-b12-1.310.I,21:49:06,21:49:06,16, Harristown,3559.23,60-83A-b12-1,83A,b12
3752,8220DB002478,"Grosvenor Road, stop 2478",53.32057759,-6.269797669,3691.1.60-83A-b12-1.310.I,21:50:24,21:50:24,17, Harristown,3918.69,60-83A-b12-1,83A,b12
3753,8220DB001170,"Rathmines Garda Stn, stop 1170",53.32168955,-6.266525249,3691.1.60-83A-b12-1.310.I,21:51:16,21:51:16,18, Harristown,4169.13,60-83A-b12-1,83A,b12
3754,8220DB001069,"Swan Centre, stop 1069",53.32328526,-6.265619895,3691.1.60-83A-b12-1.310.I,21:51:57,21:51:57,19, Harristown,4373.39,60-83A-b12-1,83A,b12
3755,8220DB001070,"Rathmines, stop 1070",53.32498018,-6.265355983,3691.1.60-83A-b12-1.310.I,21:52:34,21:52:34,20, Harristown,4577.09,60-83A-b12-1,83A,b12
3756,8220DB001071,"St Mary's College, stop 1071",53.32721804,-6.264724712,3691.1.60-83A-b12-1.310.I,21:53:25,21:53:25,21, Harristown,4831.08,60-83A-b12-1,83A,b12
3757,8220DB004528,"Grove Park, stop 4528",53.32889608,-6.26453649,3691.1.60-83A-b12-1.310.I,21:54:04,21:54:04,22, Harristown,5018.68,60-83A-b12-1,83A,b12
3758,8220DB001072,"South Richmond St, stop 1072",53.33102697,-6.264585114,3691.1.60-83A-b12-1.310.I,21:54:59,21:54:59,23, Harristown,5259.09,60-83A-b12-1,83A,b12
3759,8220DB001352,"Camden Street Lower, stop 1352",53.33444543,-6.265407334,3691.1.60-83A-b12-1.310.I,21:56:25,21:56:25,24, Harristown,5642.21,60-83A-b12-1,83A,b12
3760,8220DB001353,"Pleasants Street, stop 1353",53.33600953,-6.265418938,3691.1.60-83A-b12-1.310.I,21:57:04,21:57:04,25, Harristown,5819.08,60-83A-b12-1,83A,b12
3761,8220DB001355,"Whitefriars Street, stop 1355",53.34009624,-6.265838755,3691.1.60-83A-b12-1.310.I,21:59:16,21:59:16,26, Harristown,6278.13,60-83A-b12-1,83A,b12
3762,8220DB001357,"Exchequer Street, stop 1357",53.34256789,-6.26459703,3691.1.60-83A-b12-1.310.I,22:00:48,22:00:48,27, Harristown,6569.31,60-83A-b12-1,83A,b12
3763,8220DB001359,"College Green, stop 1359",53.34439941,-6.26136859,3691.1.60-83A-b12-1.310.I,22:03:46,22:03:46,28, Harristown,6954.69,60-83A-b12-1,83A,b12
3764,8220DB000319,"Westmoreland Street, stop 319",53.34627443,-6.259279614,3691.1.60-83A-b12-1.310.I,22:06:17,22:06:17,29, Harristown,7275.76,60-83A-b12-1,83A,b12
3765,8220DB001443,"Civic Offices, stop 1443",53.34512939,-6.269539559,3691.1.60-83A-b12-1.310.I,22:08:55,22:08:55,30, Harristown,8075.25,60-83A-b12-1,83A,b12
3766,8220DB001616,"St Michan's Church, stop 1616",53.34728507,-6.275024773,3691.1.60-83A-b12-1.310.I,22:12:35,22:12:35,31, Harristown,8728.3,60-83A-b12-1,83A,b12
3767,8220DB001617,"Capuchin Church, stop 1617",53.34933121,-6.274806964,3691.1.60-83A-b12-1.310.I,22:13:53,22:13:53,32, Harristown,8957.83,60-83A-b12-1,83A,b12
3768,8220DB001618,"Church Street Upper, stop 1618",53.35088706,-6.274248419,3691.1.60-83A-b12-1.310.I,22:14:27,22:14:27,33, Harristown,9134.41,60-83A-b12-1,83A,b12
3769,8220DB001619,"Constitution Hill, stop 1619",53.3529127,-6.273235199,3691.1.60-83A-b12-1.310.I,22:15:12,22:15:12,34, Harristown,9372.78,60-83A-b12-1,83A,b12
3770,8220DB000195,"Broadstone, stop 195",53.35501178,-6.27357098,3691.1.60-83A-b12-1.310.I,22:15:58,22:15:58,35, Harristown,9964.64,60-83A-b12-1,83A,b12
3771,8220DB000196,"Fire Station, stop 196",53.3568839,-6.273750704,3691.1.60-83A-b12-1.310.I,22:16:38,22:16:38,36, Harristown,10189.42,60-83A-b12-1,83A,b12
3772,8220DB000197,"Monck Place, stop 197",53.35895263,-6.273231374,3691.1.60-83A-b12-1.310.I,22:17:22,22:17:22,37, Harristown,10419.49,60-83A-b12-1,83A,b12
