Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8240DB000324,"Harristown, stop 324",53.41772268,-6.278644169,10003.3.60-83A-b12-1.308.O,20:20:00,20:20:00,1, Kimmage,0.0,60-83A-b12-1,83A,b12
1,8240DB001555,"Harristown Lane, stop 1555",53.41825199,-6.306862732,10003.3.60-83A-b12-1.308.O,20:24:53,20:24:53,3, Kimmage,4105.44,60-83A-b12-1,83A,b12
2,8240DB001556,"Rockmount, stop 1556",53.40952778,-6.303915052,10003.3.60-83A-b12-1.308.O,20:26:15,20:26:15,4, Kimmage,5181.85,60-83A-b12-1,83A,b12
3,8240DB001557,"M50 Flyover, stop 1557",53.40772054,-6.300707908,10003.3.60-83A-b12-1.308.O,20:26:37,20:26:37,5, Kimmage,5475.58,60-83A-b12-1,83A,b12
4,8240DB001181,"Charlestown, stop 1181",53.40570645,-6.300652822,10003.3.60-83A-b12-1.308.O,20:27:12,20:27:12,6, Kimmage,5758.6,60-83A-b12-1,83A,b12
5,8240DB007350,"Lanesborough Park, stop 7350",53.40392506,-6.301791678,10003.3.60-83A-b12-1.308.O,20:27:43,20:27:43,7, Kimmage,5971.6,60-83A-b12-1,83A,b12
6,8240DB006230,"Meakstown Centre, stop 6230",53.40140934,-6.296808594,10003.3.60-83A-b12-1.308.O,20:29:05,20:29:05,8, Kimmage,6522.87,60-83A-b12-1,83A,b12
7,8240DB006228,"Melville, stop 6228",53.39983069,-6.292630722,10003.3.60-83A-b12-1.308.O,20:29:54,20:29:54,9, Kimmage,6859.53,60-83A-b12-1,83A,b12
8,8220DB004788,"Oakwood Road, stop 4788",53.39693477,-6.292506062,10003.3.60-83A-b12-1.308.O,20:30:58,20:30:58,10, Kimmage,7285.37,60-83A-b12-1,83A,b12
9,8220DB006273,"Sycamore Road, stop 6273",53.39527537,-6.290858265,10003.3.60-83A-b12-1.308.O,20:31:51,20:31:51,11, Kimmage,7588.14,60-83A-b12-1,83A,b12
10,8220DB004891,"Grove Road, stop 4891",53.39310602,-6.286870335,10003.3.60-83A-b12-1.308.O,20:32:59,20:32:59,12, Kimmage,7966.03,60-83A-b12-1,83A,b12
11,8220DB007458,"Collins Drive, stop 7458",53.39006655,-6.290525706,10003.3.60-83A-b12-1.308.O,20:34:21,20:34:21,13, Kimmage,8463.19,60-83A-b12-1,83A,b12
12,8220DB007425,"Glasanaon Road, stop 7425",53.38887865,-6.292933788,10003.3.60-83A-b12-1.308.O,20:35:13,20:35:13,14, Kimmage,8778.82,60-83A-b12-1,83A,b12
13,8220DB007424,"Ballygall Place, stop 7424",53.38801173,-6.2920213,10003.3.60-83A-b12-1.308.O,20:35:32,20:35:32,15, Kimmage,8892.19,60-83A-b12-1,83A,b12
14,8220DB007423,"Ballygall Parade, stop 7423",53.3856752,-6.288281232,10003.3.60-83A-b12-1.308.O,20:36:32,20:36:32,16, Kimmage,9254.25,60-83A-b12-1,83A,b12
15,8220DB001566,"Johnstown Park, stop 1566",53.38440742,-6.283867197,10003.3.60-83A-b12-1.308.O,20:37:28,20:37:28,17, Kimmage,9595.26,60-83A-b12-1,83A,b12
16,8220DB001567,"Griffith Drive, stop 1567",53.38401396,-6.280260022,10003.3.60-83A-b12-1.308.O,20:38:08,20:38:08,18, Kimmage,9834.14,60-83A-b12-1,83A,b12
17,8220DB000173,"Glasnamana Place, stop 173",53.38212161,-6.280546748,10003.3.60-83A-b12-1.308.O,20:39:06,20:39:06,19, Kimmage,10177.65,60-83A-b12-1,83A,b12
18,8220DB000174,"Tolka Estate, stop 174",53.38068035,-6.280950562,10003.3.60-83A-b12-1.308.O,20:39:59,20:39:59,20, Kimmage,10426.49,60-83A-b12-1,83A,b12
19,8220DB000175,"Northland Grove, stop 175",53.37842425,-6.281567539,10003.3.60-83A-b12-1.308.O,20:40:47,20:40:47,21, Kimmage,10680.68,60-83A-b12-1,83A,b12
20,8220DB000176,"Old Finglas Road, stop 176",53.37803204,-6.279298606,10003.3.60-83A-b12-1.308.O,20:41:24,20:41:24,22, Kimmage,10876.41,60-83A-b12-1,83A,b12
21,8220DB000181,"Cremore Avenue, stop 181",53.37714984,-6.274223707,10003.3.60-83A-b12-1.308.O,20:42:31,20:42:31,23, Kimmage,11225.9,60-83A-b12-1,83A,b12
22,8220DB000182,"Met Eireann, stop 182",53.37565677,-6.26980506,10003.3.60-83A-b12-1.308.O,20:43:25,20:43:25,24, Kimmage,11562.44,60-83A-b12-1,83A,b12
23,8220DB000183,"Botanic Gardens, stop 183",53.37231593,-6.268753185,10003.3.60-83A-b12-1.308.O,20:44:31,20:44:31,25, Kimmage,11963.24,60-83A-b12-1,83A,b12
24,8220DB000184,"Botanic Road, stop 184",53.36970368,-6.268979354,10003.3.60-83A-b12-1.308.O,20:45:24,20:45:24,26, Kimmage,12290.55,60-83A-b12-1,83A,b12
25,8220DB000185,"St Teresa's Place, stop 185",53.36810094,-6.270021139,10003.3.60-83A-b12-1.308.O,20:46:15,20:46:15,27, Kimmage,12483.08,60-83A-b12-1,83A,b12
26,8220DB000186,"Lindsay Grove, stop 186",53.36535534,-6.271589978,10003.3.60-83A-b12-1.308.O,20:47:42,20:47:42,28, Kimmage,12806.77,60-83A-b12-1,83A,b12
27,8220DB000187,"Phibsborough Road, stop 187",53.36273425,-6.272447365,10003.3.60-83A-b12-1.308.O,20:48:39,20:48:39,29, Kimmage,13101.66,60-83A-b12-1,83A,b12
28,8220DB000188,"North Circular Road, stop 188",53.36012069,-6.272583149,10003.3.60-83A-b12-1.308.O,20:49:52,20:49:52,30, Kimmage,13399.32,60-83A-b12-1,83A,b12
29,8220DB000189,"Fire Station, stop 189",53.35716744,-6.273468816,10003.3.60-83A-b12-1.308.O,20:51:14,20:51:14,31, Kimmage,13733.83,60-83A-b12-1,83A,b12
30,8220DB000190,"Broadstone, stop 190",53.35512573,-6.273371074,10003.3.60-83A-b12-1.308.O,20:52:10,20:52:10,32, Kimmage,13961.03,60-83A-b12-1,83A,b12
31,8220DB001614,"Church Street Upper, stop 1614",53.35125739,-6.273752764,10003.3.60-83A-b12-1.308.O,20:53:57,20:53:57,33, Kimmage,14403.57,60-83A-b12-1,83A,b12
32,8220DB001615,"Church Street, stop 1615",53.34782717,-6.274597332,10003.3.60-83A-b12-1.308.O,20:57:06,20:57:06,34, Kimmage,14796.01,60-83A-b12-1,83A,b12
33,8220DB001478,"Four Courts, stop 1478",53.3456082,-6.272809481,10003.3.60-83A-b12-1.308.O,21:00:19,21:00:19,35, Kimmage,15206.0,60-83A-b12-1,83A,b12
34,8220DB001479,"Ormond Quay, stop 1479",53.34598809,-6.268633628,10003.3.60-83A-b12-1.308.O,21:02:39,21:02:39,36, Kimmage,15489.16,60-83A-b12-1,83A,b12
35,8220DB000315,"Bachelors Walk, stop 315",53.34702829,-6.261667155,10003.3.60-83A-b12-1.308.O,21:06:43,21:06:43,37, Kimmage,15969.61,60-83A-b12-1,83A,b12
36,8220DB000336,"D'Olier Street, stop 336",53.34625164,-6.257718467,10003.3.60-83A-b12-1.308.O,21:09:45,21:09:45,38, Kimmage,16327.25,60-83A-b12-1,83A,b12
37,8220DB001279,"College Green, stop 1279",53.34426049,-6.261704666,10003.3.60-83A-b12-1.308.O,21:13:02,21:13:02,39, Kimmage,16747.57,60-83A-b12-1,83A,b12
38,8220DB001283,"S Great George's St, stop 1283",53.34180872,-6.26492823,10003.3.60-83A-b12-1.308.O,21:16:35,21:16:35,40, Kimmage,17194.21,60-83A-b12-1,83A,b12
39,8220DB004456,"Whitefriars St, stop 4456",53.3399144,-6.265695957,10003.3.60-83A-b12-1.308.O,21:17:48,21:17:48,41, Kimmage,17417.99,60-83A-b12-1,83A,b12
40,8220DB001284,"Redmond's Hill, stop 1284",53.33812835,-6.265873557,10003.3.60-83A-b12-1.308.O,21:18:55,21:18:55,42, Kimmage,17620.92,60-83A-b12-1,83A,b12
41,8220DB001285,"Camden Street Lower, stop 1285",53.33437841,-6.265124754,10003.3.60-83A-b12-1.308.O,21:21:31,21:21:31,43, Kimmage,18042.0,60-83A-b12-1,83A,b12
42,8220DB001016,"South Richmond St, stop 1016",53.33115931,-6.26441458,10003.3.60-83A-b12-1.308.O,21:23:19,21:23:19,44, Kimmage,18403.84,60-83A-b12-1,83A,b12
43,8220DB001017,"Rathmines Rd Lower, stop 1017",53.32936933,-6.264322097,10003.3.60-83A-b12-1.308.O,21:24:17,21:24:17,45, Kimmage,18605.44,60-83A-b12-1,83A,b12
44,8220DB001018,"St Mary's College, stop 1018",53.32758546,-6.264649745,10003.3.60-83A-b12-1.308.O,21:25:17,21:25:17,46, Kimmage,18804.99,60-83A-b12-1,83A,b12
45,8220DB001019,"Military Road, stop 1019",53.3265476,-6.264977118,10003.3.60-83A-b12-1.308.O,21:25:53,21:25:53,47, Kimmage,18921.31,60-83A-b12-1,83A,b12
46,8220DB001020,"Rathmines, stop 1020",53.32513838,-6.265109364,10003.3.60-83A-b12-1.308.O,21:26:38,21:26:38,48, Kimmage,19078.89,60-83A-b12-1,83A,b12
47,8220DB001076,"Swan Centre, stop 1076",53.32313059,-6.265491063,10003.3.60-83A-b12-1.308.O,21:27:40,21:27:40,49, Kimmage,19303.49,60-83A-b12-1,83A,b12
48,8220DB001077,"Rathmines Garda Stn, stop 1077",53.32157299,-6.266544985,10003.3.60-83A-b12-1.308.O,21:28:37,21:28:37,50, Kimmage,19499.36,60-83A-b12-1,83A,b12
49,8220DB002479,"Grosvenor Road, stop 2479",53.320234,-6.270276905,10003.3.60-83A-b12-1.308.O,21:29:35,21:29:35,51, Kimmage,19789.25,60-83A-b12-1,83A,b12
50,8220DB002480,"Kenilworth Road, stop 2480",53.3197445,-6.274334558,10003.3.60-83A-b12-1.308.O,21:30:42,21:30:42,52, Kimmage,20121.87,60-83A-b12-1,83A,b12
51,8220DB002481,"Harolds Cross Road, stop 2481",53.31873807,-6.278082699,10003.3.60-83A-b12-1.308.O,21:31:35,21:31:35,53, Kimmage,20394.52,60-83A-b12-1,83A,b12
52,8220DB002482,"Clareville Road, stop 2482",53.31892063,-6.281392627,10003.3.60-83A-b12-1.308.O,21:32:25,21:32:25,54, Kimmage,20645.92,60-83A-b12-1,83A,b12
53,8220DB002483,"Larkfield Grove, stop 2483",53.31759799,-6.284417722,10003.3.60-83A-b12-1.308.O,21:32:59,21:32:59,55, Kimmage,20899.31,60-83A-b12-1,83A,b12
54,8220DB002484,"Larkfield Park, stop 2484",53.31854684,-6.289152891,10003.3.60-83A-b12-1.308.O,21:33:45,21:33:45,56, Kimmage,21240.46,60-83A-b12-1,83A,b12
55,8220DB002485,"Sundrive Road, stop 2485",53.31979158,-6.291339674,10003.3.60-83A-b12-1.308.O,21:34:28,21:34:28,57, Kimmage,21442.33,60-83A-b12-1,83A,b12
56,8220DB002486,"Blarney Park, stop 2486",53.3210754,-6.293119725,10003.3.60-83A-b12-1.308.O,21:35:08,21:35:08,58, Kimmage,21626.01,60-83A-b12-1,83A,b12
