Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8350DB004201,"Old Connaught Avenue, stop 4201",53.21112535,-6.117835856,13907.2.60-84-b12-1.315.I,11:56:16,11:56:16,55, Blackrock,22039.47,60-84-b12-1,84,b12
1,8250DB004202,"Woodbrook College, stop 4202",53.21600035,-6.11974851,13907.2.60-84-b12-1.315.I,11:57:16,11:57:16,56, Blackrock,22610.98,60-84-b12-1,84,b12
2,8250DB004203,"St James's Church, stop 4203",53.2197606,-6.120512294,13907.2.60-84-b12-1.315.I,11:57:50,11:57:50,57, Blackrock,23036.82,60-84-b12-1,84,b12
3,8250DB004204,"Shanganagh Castle, stop 4204",53.22332409,-6.12362126,13907.2.60-84-b12-1.315.I,11:58:21,11:58:21,58, Blackrock,23492.2,60-84-b12-1,84,b12
4,8250DB004205,"Crinken Lane, stop 4205",53.22453947,-6.124886148,13907.2.60-84-b12-1.315.I,11:58:32,11:58:32,59, Blackrock,23650.95,60-84-b12-1,84,b12
5,8250DB004206,"Claremount, stop 4206",53.22750292,-6.124711709,13907.2.60-84-b12-1.315.I,11:59:16,11:59:16,60, Blackrock,23985.69,60-84-b12-1,84,b12
6,8250DB003140,"Stonebridge Close, stop 3140",53.2297601,-6.124208608,13907.2.60-84-b12-1.315.I,11:59:50,11:59:50,61, Blackrock,24247.59,60-84-b12-1,84,b12
7,8250DB003141,"Station Road, stop 3141",53.23455658,-6.125137439,13907.2.60-84-b12-1.315.I,12:01:06,12:01:06,62, Blackrock,24811.16,60-84-b12-1,84,b12
8,8250DB003142,"Kentfield, stop 3142",53.2380654,-6.12763594,13907.2.60-84-b12-1.315.I,12:01:46,12:01:46,63, Blackrock,25242.54,60-84-b12-1,84,b12
9,8250DB003143,"St Columcille's Hosp, stop 3143",53.24269051,-6.130820383,13907.2.60-84-b12-1.315.I,12:02:44,12:02:44,64, Blackrock,25857.53,60-84-b12-1,84,b12
10,8250DB003144,"Cherrywood Road, stop 3144",53.24569052,-6.135275018,13907.2.60-84-b12-1.315.I,12:03:42,12:03:42,65, Blackrock,26309.23,60-84-b12-1,84,b12
11,8250DB007639,"Brides Glen Luas, stop 7639",53.24139897,-6.143073229,13907.2.60-84-b12-1.315.I,12:07:19,12:07:19,67, Blackrock,27677.91,60-84-b12-1,84,b12
12,8250DB007640,"Cherrywood Bus Pk, stop 7640",53.24334835,-6.140696243,13907.2.60-84-b12-1.315.I,12:07:56,12:07:56,68, Blackrock,28047.87,60-84-b12-1,84,b12
13,8250DB005047,"Valley Drive, stop 5047",53.24581195,-6.14016984,13907.2.60-84-b12-1.315.I,12:08:51,12:08:51,69, Blackrock,28493.74,60-84-b12-1,84,b12
14,8250DB003146,"St Laurence College, stop 3146",53.25084385,-6.14179493,13907.2.60-84-b12-1.315.I,12:10:21,12:10:21,70, Blackrock,29215.23,60-84-b12-1,84,b12
15,8250DB003147,"Kilbogget Grove, stop 3147",53.25526992,-6.145500025,13907.2.60-84-b12-1.315.I,12:11:14,12:11:14,71, Blackrock,29764.21,60-84-b12-1,84,b12
16,8250DB003148,"Shrewsbury Lawn, stop 3148",53.25873662,-6.146474241,13907.2.60-84-b12-1.315.I,12:11:51,12:11:51,72, Blackrock,30156.06,60-84-b12-1,84,b12
17,8250DB003149,"St Brigid's Church, stop 3149",53.26118248,-6.150011119,13907.2.60-84-b12-1.315.I,12:12:57,12:12:57,73, Blackrock,30622.95,60-84-b12-1,84,b12
18,8250DB003150,"Cabinteely Park, stop 3150",53.26233755,-6.153783901,13907.2.60-84-b12-1.315.I,12:13:45,12:13:45,74, Blackrock,30938.02,60-84-b12-1,84,b12
19,8250DB003151,"Glen Estate, stop 3151",53.26461406,-6.159172728,13907.2.60-84-b12-1.315.I,12:14:53,12:14:53,75, Blackrock,31387.75,60-84-b12-1,84,b12
20,8250DB003153,"Old Bray Road, stop 3153",53.26581631,-6.159031126,13907.2.60-84-b12-1.315.I,12:15:15,12:15:15,76, Blackrock,31544.42,60-84-b12-1,84,b12
21,8250DB003152,"Monaloe Crescent, stop 3152",53.2674087,-6.158542915,13907.2.60-84-b12-1.315.I,12:15:33,12:15:33,77, Blackrock,31735.3,60-84-b12-1,84,b12
22,8250DB002995,"South Park, stop 2995",53.27017193,-6.159953482,13907.2.60-84-b12-1.315.I,12:16:01,12:16:01,78, Blackrock,32054.72,60-84-b12-1,84,b12
23,8250DB003154,"Meadow Vale, stop 3154",53.27198344,-6.160850292,13907.2.60-84-b12-1.315.I,12:16:34,12:16:34,79, Blackrock,32265.74,60-84-b12-1,84,b12
24,8250DB003155,"Beech Park Road, stop 3155",53.27425629,-6.161937307,13907.2.60-84-b12-1.315.I,12:17:13,12:17:13,80, Blackrock,32527.96,60-84-b12-1,84,b12
25,8250DB003156,"Deansworth, stop 3156",53.2765381,-6.163024049,13907.2.60-84-b12-1.315.I,12:17:52,12:17:52,81, Blackrock,32791.86,60-84-b12-1,84,b12
26,8250DB003158,"Deansgrange Road, stop 3158",53.27893783,-6.164180832,13907.2.60-84-b12-1.315.I,12:18:35,12:18:35,82, Blackrock,33071.2,60-84-b12-1,84,b12
27,8250DB003159,"Deansgrange Cemetery, stop 3159",53.28246105,-6.165919514,13907.2.60-84-b12-1.315.I,12:19:16,12:19:16,83, Blackrock,33479.32,60-84-b12-1,84,b12
28,8250DB003160,"St Fintan's Villas, stop 3160",53.28437939,-6.166752253,13907.2.60-84-b12-1.315.I,12:19:44,12:19:44,84, Blackrock,33698.24,60-84-b12-1,84,b12
29,8250DB003161,"Deansgrange Park, stop 3161",53.28700456,-6.167959796,13907.2.60-84-b12-1.315.I,12:20:24,12:20:24,85, Blackrock,34005.95,60-84-b12-1,84,b12
30,8250DB003162,"Rowan Park, stop 3162",53.2897488,-6.167557356,13907.2.60-84-b12-1.315.I,12:21:06,12:21:06,86, Blackrock,34329.62,60-84-b12-1,84,b12
31,8250DB003163,"Stradbrook Road, stop 3163",53.29250686,-6.166884246,13907.2.60-84-b12-1.315.I,12:21:48,12:21:48,87, Blackrock,34656.73,60-84-b12-1,84,b12
32,8250DB003164,"Temple Hill, stop 3164",53.29560003,-6.169887273,13907.2.60-84-b12-1.315.I,12:23:24,12:23:24,88, Blackrock,35062.28,60-84-b12-1,84,b12
33,8250DB003079,"Newtown Avenue, stop 3079",53.29830741,-6.170596685,13907.2.60-84-b12-1.315.I,12:24:42,12:24:42,90, Blackrock,35393.16,60-84-b12-1,84,b12
34,8250DB003080,"St John's Church, stop 3080",53.30036148,-6.174424933,13907.2.60-84-b12-1.315.I,12:26:12,12:26:12,91, Blackrock,35796.93,60-84-b12-1,84,b12
35,8250DB003081,"Patrick's Row, stop 3081",53.30061046,-6.177775234,13907.2.60-84-b12-1.315.I,12:27:15,12:27:15,92, Blackrock,36063.02,60-84-b12-1,84,b12
36,8250DB007188,"Temple Road, stop 7188",53.29947658,-6.174747752,13907.2.60-84-b12-1.315.I,12:29:05,12:29:05,93, Blackrock,36346.84,60-84-b12-1,84,b12
37,8350DB004201,"Old Connaught Avenue, stop 4201",53.21112535,-6.117835856,13907.2.60-84-d12-1.314.I,11:56:16,11:56:16,55, Blackrock,22039.47,60-84-d12-1,84,d12
38,8250DB004202,"Woodbrook College, stop 4202",53.21600035,-6.11974851,13907.2.60-84-d12-1.314.I,11:57:16,11:57:16,56, Blackrock,22610.98,60-84-d12-1,84,d12
39,8250DB004203,"St James's Church, stop 4203",53.2197606,-6.120512294,13907.2.60-84-d12-1.314.I,11:57:50,11:57:50,57, Blackrock,23036.82,60-84-d12-1,84,d12
40,8250DB004204,"Shanganagh Castle, stop 4204",53.22332409,-6.12362126,13907.2.60-84-d12-1.314.I,11:58:21,11:58:21,58, Blackrock,23492.2,60-84-d12-1,84,d12
41,8250DB004205,"Crinken Lane, stop 4205",53.22453947,-6.124886148,13907.2.60-84-d12-1.314.I,11:58:32,11:58:32,59, Blackrock,23650.95,60-84-d12-1,84,d12
42,8250DB004206,"Claremount, stop 4206",53.22750292,-6.124711709,13907.2.60-84-d12-1.314.I,11:59:16,11:59:16,60, Blackrock,23985.69,60-84-d12-1,84,d12
43,8250DB003140,"Stonebridge Close, stop 3140",53.2297601,-6.124208608,13907.2.60-84-d12-1.314.I,11:59:50,11:59:50,61, Blackrock,24247.59,60-84-d12-1,84,d12
44,8250DB003141,"Station Road, stop 3141",53.23455658,-6.125137439,13907.2.60-84-d12-1.314.I,12:01:06,12:01:06,62, Blackrock,24811.16,60-84-d12-1,84,d12
45,8250DB003142,"Kentfield, stop 3142",53.2380654,-6.12763594,13907.2.60-84-d12-1.314.I,12:01:46,12:01:46,63, Blackrock,25242.54,60-84-d12-1,84,d12
46,8250DB003143,"St Columcille's Hosp, stop 3143",53.24269051,-6.130820383,13907.2.60-84-d12-1.314.I,12:02:44,12:02:44,64, Blackrock,25857.53,60-84-d12-1,84,d12
47,8250DB003144,"Cherrywood Road, stop 3144",53.24569052,-6.135275018,13907.2.60-84-d12-1.314.I,12:03:42,12:03:42,65, Blackrock,26309.23,60-84-d12-1,84,d12
48,8250DB007639,"Brides Glen Luas, stop 7639",53.24139897,-6.143073229,13907.2.60-84-d12-1.314.I,12:07:19,12:07:19,67, Blackrock,27677.91,60-84-d12-1,84,d12
49,8250DB007640,"Cherrywood Bus Pk, stop 7640",53.24334835,-6.140696243,13907.2.60-84-d12-1.314.I,12:07:56,12:07:56,68, Blackrock,28047.87,60-84-d12-1,84,d12
50,8250DB005047,"Valley Drive, stop 5047",53.24581195,-6.14016984,13907.2.60-84-d12-1.314.I,12:08:51,12:08:51,69, Blackrock,28493.74,60-84-d12-1,84,d12
51,8250DB003146,"St Laurence College, stop 3146",53.25084385,-6.14179493,13907.2.60-84-d12-1.314.I,12:10:21,12:10:21,70, Blackrock,29215.23,60-84-d12-1,84,d12
52,8250DB003147,"Kilbogget Grove, stop 3147",53.25526992,-6.145500025,13907.2.60-84-d12-1.314.I,12:11:14,12:11:14,71, Blackrock,29764.21,60-84-d12-1,84,d12
53,8250DB003148,"Shrewsbury Lawn, stop 3148",53.25873662,-6.146474241,13907.2.60-84-d12-1.314.I,12:11:51,12:11:51,72, Blackrock,30156.06,60-84-d12-1,84,d12
54,8250DB003149,"St Brigid's Church, stop 3149",53.26118248,-6.150011119,13907.2.60-84-d12-1.314.I,12:12:57,12:12:57,73, Blackrock,30622.95,60-84-d12-1,84,d12
55,8250DB003150,"Cabinteely Park, stop 3150",53.26233755,-6.153783901,13907.2.60-84-d12-1.314.I,12:13:45,12:13:45,74, Blackrock,30938.02,60-84-d12-1,84,d12
56,8250DB003151,"Glen Estate, stop 3151",53.26461406,-6.159172728,13907.2.60-84-d12-1.314.I,12:14:53,12:14:53,75, Blackrock,31387.75,60-84-d12-1,84,d12
57,8250DB003153,"Old Bray Road, stop 3153",53.26581631,-6.159031126,13907.2.60-84-d12-1.314.I,12:15:15,12:15:15,76, Blackrock,31544.42,60-84-d12-1,84,d12
58,8250DB003152,"Monaloe Crescent, stop 3152",53.2674087,-6.158542915,13907.2.60-84-d12-1.314.I,12:15:33,12:15:33,77, Blackrock,31735.3,60-84-d12-1,84,d12
59,8250DB002995,"South Park, stop 2995",53.27017193,-6.159953482,13907.2.60-84-d12-1.314.I,12:16:01,12:16:01,78, Blackrock,32054.72,60-84-d12-1,84,d12
60,8250DB003154,"Meadow Vale, stop 3154",53.27198344,-6.160850292,13907.2.60-84-d12-1.314.I,12:16:34,12:16:34,79, Blackrock,32265.74,60-84-d12-1,84,d12
61,8250DB003155,"Beech Park Road, stop 3155",53.27425629,-6.161937307,13907.2.60-84-d12-1.314.I,12:17:13,12:17:13,80, Blackrock,32527.96,60-84-d12-1,84,d12
62,8250DB003156,"Deansworth, stop 3156",53.2765381,-6.163024049,13907.2.60-84-d12-1.314.I,12:17:52,12:17:52,81, Blackrock,32791.86,60-84-d12-1,84,d12
63,8250DB003158,"Deansgrange Road, stop 3158",53.27893783,-6.164180832,13907.2.60-84-d12-1.314.I,12:18:35,12:18:35,82, Blackrock,33071.2,60-84-d12-1,84,d12
64,8250DB003159,"Deansgrange Cemetery, stop 3159",53.28246105,-6.165919514,13907.2.60-84-d12-1.314.I,12:19:16,12:19:16,83, Blackrock,33479.32,60-84-d12-1,84,d12
65,8250DB003160,"St Fintan's Villas, stop 3160",53.28437939,-6.166752253,13907.2.60-84-d12-1.314.I,12:19:44,12:19:44,84, Blackrock,33698.24,60-84-d12-1,84,d12
66,8250DB003161,"Deansgrange Park, stop 3161",53.28700456,-6.167959796,13907.2.60-84-d12-1.314.I,12:20:24,12:20:24,85, Blackrock,34005.95,60-84-d12-1,84,d12
67,8250DB003162,"Rowan Park, stop 3162",53.2897488,-6.167557356,13907.2.60-84-d12-1.314.I,12:21:06,12:21:06,86, Blackrock,34329.62,60-84-d12-1,84,d12
68,8250DB003163,"Stradbrook Road, stop 3163",53.29250686,-6.166884246,13907.2.60-84-d12-1.314.I,12:21:48,12:21:48,87, Blackrock,34656.73,60-84-d12-1,84,d12
69,8250DB003164,"Temple Hill, stop 3164",53.29560003,-6.169887273,13907.2.60-84-d12-1.314.I,12:23:24,12:23:24,88, Blackrock,35062.28,60-84-d12-1,84,d12
70,8250DB003079,"Newtown Avenue, stop 3079",53.29830741,-6.170596685,13907.2.60-84-d12-1.314.I,12:24:42,12:24:42,90, Blackrock,35393.16,60-84-d12-1,84,d12
71,8250DB003080,"St John's Church, stop 3080",53.30036148,-6.174424933,13907.2.60-84-d12-1.314.I,12:26:12,12:26:12,91, Blackrock,35796.93,60-84-d12-1,84,d12
72,8250DB003081,"Patrick's Row, stop 3081",53.30061046,-6.177775234,13907.2.60-84-d12-1.314.I,12:27:15,12:27:15,92, Blackrock,36063.02,60-84-d12-1,84,d12
73,8250DB007188,"Temple Road, stop 7188",53.29947658,-6.174747752,13907.2.60-84-d12-1.314.I,12:29:05,12:29:05,93, Blackrock,36346.84,60-84-d12-1,84,d12
144,8350DB004201,"Old Connaught Avenue, stop 4201",53.21112535,-6.117835856,13909.2.60-84-b12-1.314.I,15:26:29,15:26:29,53, Blackrock,20453.25,60-84-b12-1,84,b12
145,8250DB004202,"Woodbrook College, stop 4202",53.21600035,-6.11974851,13909.2.60-84-b12-1.314.I,15:27:24,15:27:24,54, Blackrock,21024.76,60-84-b12-1,84,b12
146,8250DB004203,"St James's Church, stop 4203",53.2197606,-6.120512294,13909.2.60-84-b12-1.314.I,15:27:55,15:27:55,55, Blackrock,21450.6,60-84-b12-1,84,b12
147,8250DB004204,"Shanganagh Castle, stop 4204",53.22332409,-6.12362126,13909.2.60-84-b12-1.314.I,15:28:44,15:28:44,56, Blackrock,21905.98,60-84-b12-1,84,b12
148,8250DB004205,"Crinken Lane, stop 4205",53.22453947,-6.124886148,13909.2.60-84-b12-1.314.I,15:29:01,15:29:01,57, Blackrock,22064.73,60-84-b12-1,84,b12
149,8250DB004206,"Claremount, stop 4206",53.22750292,-6.124711709,13909.2.60-84-b12-1.314.I,15:29:51,15:29:51,58, Blackrock,22399.47,60-84-b12-1,84,b12
150,8250DB003140,"Stonebridge Close, stop 3140",53.2297601,-6.124208608,13909.2.60-84-b12-1.314.I,15:30:30,15:30:30,59, Blackrock,22661.37,60-84-b12-1,84,b12
151,8250DB003141,"Station Road, stop 3141",53.23455658,-6.125137439,13909.2.60-84-b12-1.314.I,15:31:50,15:31:50,60, Blackrock,23224.94,60-84-b12-1,84,b12
