Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
74,8250DB007188,"Temple Road, stop 7188",53.29947658,-6.174747752,13908.2.60-84-b12-1.312.O,12:55:00,12:55:00,1, Newcastle,0.0,60-84-b12-1,84,b12
75,8250DB003082,"Frascati Road, stop 3082",53.30045359,-6.178096999,13908.2.60-84-b12-1.312.O,12:56:04,12:56:04,2, Newcastle,310.95,60-84-b12-1,84,b12
76,8250DB007660,"Frascati Road, stop 7660",53.29914606,-6.174881877,13908.2.60-84-b12-1.312.O,12:57:16,12:57:16,3, Newcastle,639.38,60-84-b12-1,84,b12
77,8250DB003114,"Temple Hill, stop 3114",53.29580501,-6.169773491,13908.2.60-84-b12-1.312.O,12:59:03,12:59:03,4, Newcastle,1163.3,60-84-b12-1,84,b12
78,8250DB003115,"Stradbrook Road, stop 3115",53.29399219,-6.167615733,13908.2.60-84-b12-1.312.O,12:59:39,12:59:39,5, Newcastle,1420.51,60-84-b12-1,84,b12
79,8250DB003116,"Rowan Park, stop 3116",53.28992269,-6.167174904,13908.2.60-84-b12-1.312.O,13:00:44,13:00:44,6, Newcastle,1887.65,60-84-b12-1,84,b12
80,8250DB003117,"Deansgrange Road, stop 3117",53.28560537,-6.166984741,13908.2.60-84-b12-1.312.O,13:01:56,13:01:56,7, Newcastle,2412.49,60-84-b12-1,84,b12
81,8250DB003118,"St Fintan's Villas, stop 3118",53.28399613,-6.166378705,13908.2.60-84-b12-1.312.O,13:02:21,13:02:21,8, Newcastle,2595.95,60-84-b12-1,84,b12
82,8250DB003119,"Deansgrange Cemetery, stop 3119",53.28156165,-6.165298146,13908.2.60-84-b12-1.312.O,13:02:55,13:02:55,9, Newcastle,2876.2,60-84-b12-1,84,b12
83,8250DB003120,"Clonkeen Road, stop 3120",53.27744994,-6.163284861,13908.2.60-84-b12-1.312.O,13:05:13,13:05:13,10, Newcastle,3353.22,60-84-b12-1,84,b12
84,8250DB003122,"Beech Park Road, stop 3122",53.27398219,-6.161649171,13908.2.60-84-b12-1.312.O,13:05:43,13:05:43,11, Newcastle,3753.65,60-84-b12-1,84,b12
85,8250DB003123,"Meadow Vale, stop 3123",53.27176324,-6.160559864,13908.2.60-84-b12-1.312.O,13:06:02,13:06:02,12, Newcastle,4011.73,60-84-b12-1,84,b12
86,8250DB003124,"South Park, stop 3124",53.26944409,-6.159385013,13908.2.60-84-b12-1.312.O,13:06:21,13:06:21,13, Newcastle,4281.21,60-84-b12-1,84,b12
87,8250DB003125,"Monaloe Crescent, stop 3125",53.26727165,-6.158398881,13908.2.60-84-b12-1.312.O,13:06:38,13:06:38,14, Newcastle,4530.19,60-84-b12-1,84,b12
88,8250DB003126,"Old Bray Road, stop 3126",53.2654128,-6.159093438,13908.2.60-84-b12-1.312.O,13:07:36,13:07:36,15, Newcastle,4742.67,60-84-b12-1,84,b12
89,8250DB003127,"Cabinteely Park, stop 3127",53.26262824,-6.15398125,13908.2.60-84-b12-1.312.O,13:09:57,13:09:57,16, Newcastle,5279.26,60-84-b12-1,84,b12
90,8250DB003128,"Cabinteely PO, stop 3128",53.26129755,-6.15105548,13908.2.60-84-b12-1.312.O,13:11:04,13:11:04,17, Newcastle,5524.78,60-84-b12-1,84,b12
91,8250DB003130,"Shrewsbury Lawn, stop 3130",53.25860364,-6.146015318,13908.2.60-84-b12-1.312.O,13:12:49,13:12:49,19, Newcastle,6055.38,60-84-b12-1,84,b12
92,8250DB003131,"Kilbogget Grove, stop 3131",53.255517,-6.145204556,13908.2.60-84-b12-1.312.O,13:13:22,13:13:22,20, Newcastle,6403.18,60-84-b12-1,84,b12
93,8250DB003132,"Shanganagh Vale, stop 3132",53.25271382,-6.142972818,13908.2.60-84-b12-1.312.O,13:14:01,13:14:01,21, Newcastle,6749.8,60-84-b12-1,84,b12
94,8250DB003133,"St Laurence College, stop 3133",53.25038947,-6.14090044,13908.2.60-84-b12-1.312.O,13:14:34,13:14:34,22, Newcastle,7043.4,60-84-b12-1,84,b12
95,8250DB005046,"Valley Drive, stop 5046",53.24590618,-6.13929662,13908.2.60-84-b12-1.312.O,13:15:47,13:15:47,23, Newcastle,7715.54,60-84-b12-1,84,b12
96,8250DB007639,"Brides Glen Luas, stop 7639",53.24139897,-6.143073229,13908.2.60-84-b12-1.312.O,13:18:49,13:18:49,24, Newcastle,8473.55,60-84-b12-1,84,b12
97,8250DB007640,"Cherrywood Bus Pk, stop 7640",53.24334835,-6.140696243,13908.2.60-84-b12-1.312.O,13:19:37,13:19:37,25, Newcastle,8843.51,60-84-b12-1,84,b12
98,8250DB003134,"Wyattville Road, stop 3134",53.2469068,-6.136031335,13908.2.60-84-b12-1.312.O,13:21:34,13:21:34,26, Newcastle,9666.41,60-84-b12-1,84,b12
99,8250DB003135,"St Columcille's Hosp, stop 3135",53.24292904,-6.130555257,13908.2.60-84-b12-1.312.O,13:22:12,13:22:12,27, Newcastle,10242.89,60-84-b12-1,84,b12
100,8250DB003136,"Kentfield, stop 3136",53.23773734,-6.127350617,13908.2.60-84-b12-1.312.O,13:23:22,13:23:22,28, Newcastle,10894.39,60-84-b12-1,84,b12
