Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8350DB004201,"Old Connaught Avenue, stop 4201",53.21112535,-6.117835856,1699.1.60-84A-b12-1.319.I,15:38:07,15:38:07,6, Blackrock,1694.69,60-84A-b12-1,84A,b12
1,8250DB004202,"Woodbrook College, stop 4202",53.21600035,-6.11974851,1699.1.60-84A-b12-1.319.I,15:39:25,15:39:25,7, Blackrock,2266.21,60-84A-b12-1,84A,b12
2,8250DB004203,"St James's Church, stop 4203",53.2197606,-6.120512294,1699.1.60-84A-b12-1.319.I,15:40:02,15:40:02,8, Blackrock,2692.05,60-84A-b12-1,84A,b12
3,8250DB004204,"Shanganagh Castle, stop 4204",53.22332409,-6.12362126,1699.1.60-84A-b12-1.319.I,15:40:41,15:40:41,9, Blackrock,3147.43,60-84A-b12-1,84A,b12
4,8250DB004205,"Crinken Lane, stop 4205",53.22453947,-6.124886148,1699.1.60-84A-b12-1.319.I,15:40:54,15:40:54,10, Blackrock,3306.18,60-84A-b12-1,84A,b12
5,8250DB004206,"Claremount, stop 4206",53.22750292,-6.124711709,1699.1.60-84A-b12-1.319.I,15:41:56,15:41:56,11, Blackrock,3640.92,60-84A-b12-1,84A,b12
6,8250DB003140,"Stonebridge Close, stop 3140",53.2297601,-6.124208608,1699.1.60-84A-b12-1.319.I,15:42:44,15:42:44,12, Blackrock,3902.81,60-84A-b12-1,84A,b12
7,8250DB003141,"Station Road, stop 3141",53.23455658,-6.125137439,1699.1.60-84A-b12-1.319.I,15:44:15,15:44:15,13, Blackrock,4466.39,60-84A-b12-1,84A,b12
8,8250DB003142,"Kentfield, stop 3142",53.2380654,-6.12763594,1699.1.60-84A-b12-1.319.I,15:45:16,15:45:16,14, Blackrock,4897.77,60-84A-b12-1,84A,b12
9,8250DB003143,"St Columcille's Hosp, stop 3143",53.24269051,-6.130820383,1699.1.60-84A-b12-1.319.I,15:46:45,15:46:45,15, Blackrock,5512.76,60-84A-b12-1,84A,b12
