Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
68,8250DB007188,"Temple Road, stop 7188",53.29947658,-6.174747752,1700.1.60-84A-b12-1.318.O,16:20:00,16:20:00,1, Bray Station,0.0,60-84A-b12-1,84A,b12
69,8250DB003082,"Frascati Road, stop 3082",53.30045359,-6.178096999,1700.1.60-84A-b12-1.318.O,16:21:50,16:21:50,2, Bray Station,310.95,60-84A-b12-1,84A,b12
70,8250DB003114,"Temple Hill, stop 3114",53.29580501,-6.169773491,1700.1.60-84A-b12-1.318.O,16:26:58,16:26:58,3, Bray Station,1163.26,60-84A-b12-1,84A,b12
71,8250DB003115,"Stradbrook Road, stop 3115",53.29399219,-6.167615733,1700.1.60-84A-b12-1.318.O,16:27:31,16:27:31,4, Bray Station,1420.47,60-84A-b12-1,84A,b12
72,8250DB003116,"Rowan Park, stop 3116",53.28992269,-6.167174904,1700.1.60-84A-b12-1.318.O,16:28:37,16:28:37,5, Bray Station,1887.61,60-84A-b12-1,84A,b12
73,8250DB003117,"Deansgrange Road, stop 3117",53.28560537,-6.166984741,1700.1.60-84A-b12-1.318.O,16:29:50,16:29:50,6, Bray Station,2412.45,60-84A-b12-1,84A,b12
74,8250DB003118,"St Fintan's Villas, stop 3118",53.28399613,-6.166378705,1700.1.60-84A-b12-1.318.O,16:30:55,16:30:55,7, Bray Station,2595.91,60-84A-b12-1,84A,b12
75,8250DB003119,"Deansgrange Cemetery, stop 3119",53.28156165,-6.165298146,1700.1.60-84A-b12-1.318.O,16:32:25,16:32:25,8, Bray Station,2876.16,60-84A-b12-1,84A,b12
76,8250DB003120,"Clonkeen Road, stop 3120",53.27744994,-6.163284861,1700.1.60-84A-b12-1.318.O,16:37:01,16:37:01,9, Bray Station,3353.18,60-84A-b12-1,84A,b12
77,8250DB003122,"Beech Park Road, stop 3122",53.27398219,-6.161649171,1700.1.60-84A-b12-1.318.O,16:37:37,16:37:37,10, Bray Station,3753.61,60-84A-b12-1,84A,b12
78,8250DB003123,"Meadow Vale, stop 3123",53.27176324,-6.160559864,1700.1.60-84A-b12-1.318.O,16:38:00,16:38:00,11, Bray Station,4011.69,60-84A-b12-1,84A,b12
79,8250DB003124,"South Park, stop 3124",53.26944409,-6.159385013,1700.1.60-84A-b12-1.318.O,16:38:39,16:38:39,12, Bray Station,4281.17,60-84A-b12-1,84A,b12
80,8250DB003125,"Monaloe Crescent, stop 3125",53.26727165,-6.158398881,1700.1.60-84A-b12-1.318.O,16:39:16,16:39:16,13, Bray Station,4530.15,60-84A-b12-1,84A,b12
81,8250DB003126,"Old Bray Road, stop 3126",53.2654128,-6.159093438,1700.1.60-84A-b12-1.318.O,16:40:19,16:40:19,14, Bray Station,4742.63,60-84A-b12-1,84A,b12
82,8250DB003127,"Cabinteely Park, stop 3127",53.26262824,-6.15398125,1700.1.60-84A-b12-1.318.O,16:42:52,16:42:52,15, Bray Station,5279.22,60-84A-b12-1,84A,b12
83,8250DB003128,"Cabinteely PO, stop 3128",53.26129755,-6.15105548,1700.1.60-84A-b12-1.318.O,16:44:04,16:44:04,16, Bray Station,5524.74,60-84A-b12-1,84A,b12
84,8250DB003130,"Shrewsbury Lawn, stop 3130",53.25860364,-6.146015318,1700.1.60-84A-b12-1.318.O,16:45:52,16:45:52,18, Bray Station,6055.34,60-84A-b12-1,84A,b12
85,8250DB003131,"Kilbogget Grove, stop 3131",53.255517,-6.145204556,1700.1.60-84A-b12-1.318.O,16:46:23,16:46:23,19, Bray Station,6403.14,60-84A-b12-1,84A,b12
86,8250DB003132,"Shanganagh Vale, stop 3132",53.25271382,-6.142972818,1700.1.60-84A-b12-1.318.O,16:47:06,16:47:06,20, Bray Station,6749.76,60-84A-b12-1,84A,b12
87,8250DB003133,"St Laurence College, stop 3133",53.25038947,-6.14090044,1700.1.60-84A-b12-1.318.O,16:47:42,16:47:42,21, Bray Station,7043.36,60-84A-b12-1,84A,b12
88,8250DB005046,"Valley Drive, stop 5046",53.24590618,-6.13929662,1700.1.60-84A-b12-1.318.O,16:49:04,16:49:04,22, Bray Station,7715.5,60-84A-b12-1,84A,b12
89,8250DB007639,"Brides Glen Luas, stop 7639",53.24139897,-6.143073229,1700.1.60-84A-b12-1.318.O,16:52:22,16:52:22,23, Bray Station,8473.51,60-84A-b12-1,84A,b12
90,8250DB007640,"Cherrywood Bus Pk, stop 7640",53.24334835,-6.140696243,1700.1.60-84A-b12-1.318.O,16:53:14,16:53:14,24, Bray Station,8843.47,60-84A-b12-1,84A,b12
91,8250DB003134,"Wyattville Road, stop 3134",53.2469068,-6.136031335,1700.1.60-84A-b12-1.318.O,16:55:21,16:55:21,25, Bray Station,9666.38,60-84A-b12-1,84A,b12
92,8250DB003135,"St Columcille's Hosp, stop 3135",53.24292904,-6.130555257,1700.1.60-84A-b12-1.318.O,16:56:24,16:56:24,26, Bray Station,10242.85,60-84A-b12-1,84A,b12
93,8250DB003136,"Kentfield, stop 3136",53.23773734,-6.127350617,1700.1.60-84A-b12-1.318.O,16:57:55,16:57:55,27, Bray Station,10894.35,60-84A-b12-1,84A,b12
94,8250DB003138,"Station Road, stop 3138",53.23435261,-6.124741866,1700.1.60-84A-b12-1.318.O,16:58:54,16:58:54,28, Bray Station,11315.96,60-84A-b12-1,84A,b12
95,8250DB003139,"Stonebridge Close, stop 3139",53.23006385,-6.124090471,1700.1.60-84A-b12-1.318.O,17:00:30,17:00:30,29, Bray Station,11837.47,60-84A-b12-1,84A,b12
96,8250DB004124,"Claremount, stop 4124",53.22783032,-6.124382846,1700.1.60-84A-b12-1.318.O,17:00:58,17:00:58,30, Bray Station,12091.3,60-84A-b12-1,84A,b12
97,8250DB004125,"Shanganagh Castle, stop 4125",53.22343165,-6.12360158,1700.1.60-84A-b12-1.318.O,17:01:55,17:01:55,31, Bray Station,12615.28,60-84A-b12-1,84A,b12
98,8250DB004126,"Shanganagh Cemetery, stop 4126",53.22218317,-6.121948811,1700.1.60-84A-b12-1.318.O,17:02:09,17:02:09,32, Bray Station,12791.78,60-84A-b12-1,84A,b12
99,8250DB004127,"St James's Church, stop 4127",53.2187787,-6.119806509,1700.1.60-84A-b12-1.318.O,17:02:42,17:02:42,33, Bray Station,13198.02,60-84A-b12-1,84A,b12
100,8250DB004128,"Woodbrook College, stop 4128",53.21592353,-6.119437408,1700.1.60-84A-b12-1.318.O,17:03:11,17:03:11,34, Bray Station,13514.72,60-84A-b12-1,84A,b12
101,8350DB004129,"Old Connaught Avenue, stop 4129",53.21085564,-6.117263738,1700.1.60-84A-b12-1.318.O,17:08:49,17:08:49,35, Bray Station,14115.27,60-84A-b12-1,84A,b12
