Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
340,8350DB004201,"Old Connaught Avenue, stop 4201",53.21112535,-6.117835856,2303.1.60-84A-b12-1.320.I,08:22:34,08:22:34,6, St Vincents Hosp,1694.69,60-84A-b12-1,84A,b12
341,8250DB004202,"Woodbrook College, stop 4202",53.21600035,-6.11974851,2303.1.60-84A-b12-1.320.I,08:24:03,08:24:03,7, St Vincents Hosp,2266.21,60-84A-b12-1,84A,b12
342,8250DB004203,"St James's Church, stop 4203",53.2197606,-6.120512294,2303.1.60-84A-b12-1.320.I,08:24:34,08:24:34,8, St Vincents Hosp,2692.05,60-84A-b12-1,84A,b12
343,8250DB004204,"Shanganagh Castle, stop 4204",53.22332409,-6.12362126,2303.1.60-84A-b12-1.320.I,08:25:12,08:25:12,9, St Vincents Hosp,3147.43,60-84A-b12-1,84A,b12
344,8250DB004205,"Crinken Lane, stop 4205",53.22453947,-6.124886148,2303.1.60-84A-b12-1.320.I,08:25:25,08:25:25,10, St Vincents Hosp,3306.18,60-84A-b12-1,84A,b12
345,8250DB004206,"Claremount, stop 4206",53.22750292,-6.124711709,2303.1.60-84A-b12-1.320.I,08:26:31,08:26:31,11, St Vincents Hosp,3640.92,60-84A-b12-1,84A,b12
346,8250DB003140,"Stonebridge Close, stop 3140",53.2297601,-6.124208608,2303.1.60-84A-b12-1.320.I,08:27:22,08:27:22,12, St Vincents Hosp,3902.81,60-84A-b12-1,84A,b12
347,8250DB003141,"Station Road, stop 3141",53.23455658,-6.125137439,2303.1.60-84A-b12-1.320.I,08:30:11,08:30:11,13, St Vincents Hosp,4466.39,60-84A-b12-1,84A,b12
348,8250DB003142,"Kentfield, stop 3142",53.2380654,-6.12763594,2303.1.60-84A-b12-1.320.I,08:31:09,08:31:09,14, St Vincents Hosp,4897.77,60-84A-b12-1,84A,b12
349,8250DB003143,"St Columcille's Hosp, stop 3143",53.24269051,-6.130820383,2303.1.60-84A-b12-1.320.I,08:32:32,08:32:32,15, St Vincents Hosp,5512.76,60-84A-b12-1,84A,b12
350,8250DB003144,"Cherrywood Road, stop 3144",53.24569052,-6.135275018,2303.1.60-84A-b12-1.320.I,08:33:53,08:33:53,16, St Vincents Hosp,5964.46,60-84A-b12-1,84A,b12
351,8250DB007639,"Brides Glen Luas, stop 7639",53.24139897,-6.143073229,2303.1.60-84A-b12-1.320.I,08:38:56,08:38:56,18, St Vincents Hosp,7333.14,60-84A-b12-1,84A,b12
352,8250DB007640,"Cherrywood Bus Pk, stop 7640",53.24334835,-6.140696243,2303.1.60-84A-b12-1.320.I,08:39:47,08:39:47,19, St Vincents Hosp,7703.1,60-84A-b12-1,84A,b12
353,8250DB005047,"Valley Drive, stop 5047",53.24581195,-6.14016984,2303.1.60-84A-b12-1.320.I,08:41:04,08:41:04,20, St Vincents Hosp,8148.97,60-84A-b12-1,84A,b12
354,8250DB003146,"St Laurence College, stop 3146",53.25084385,-6.14179493,2303.1.60-84A-b12-1.320.I,08:43:08,08:43:08,21, St Vincents Hosp,8870.46,60-84A-b12-1,84A,b12
