Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
32,8250DB003143,"St Columcille's Hosp, stop 3143",53.24269051,-6.130820383,3466.1.60-84X-b12-1.335.I,07:30:48,07:30:48,22, Eden Quay,24315.99,60-84X-b12-1,84X,b12
33,8250DB003144,"Cherrywood Road, stop 3144",53.24569052,-6.135275018,3466.1.60-84X-b12-1.335.I,07:31:57,07:31:57,23, Eden Quay,24767.69,60-84X-b12-1,84X,b12
34,8250DB003145,"Willow Court, stop 3145",53.24792099,-6.13823511,3466.1.60-84X-b12-1.335.I,07:32:42,07:32:42,24, Eden Quay,25085.02,60-84X-b12-1,84X,b12
35,8250DB005128,"Clonkeen Road, stop 5128",53.2655267,-6.157739276,3466.1.60-84X-b12-1.335.I,07:36:55,07:36:55,25, Eden Quay,27517.56,60-84X-b12-1,84X,b12
36,8250DB002060,"Foxrock Church, stop 2060",53.27395494,-6.175085679,3466.1.60-84X-b12-1.335.I,07:39:46,07:39:46,26, Eden Quay,29016.28,60-84X-b12-1,84X,b12
37,8250DB002062,"Newtownpark Avenue, stop 2062",53.27902411,-6.186851925,3466.1.60-84X-b12-1.335.I,07:41:58,07:41:58,27, Eden Quay,29988.83,60-84X-b12-1,84X,b12
38,8250DB002064,"Brewery Road, stop 2064",53.28272564,-6.193849161,3466.1.60-84X-b12-1.335.I,07:44:05,07:44:05,28, Eden Quay,30618.15,60-84X-b12-1,84X,b12
39,8250DB004727,"Laurence Park, stop 4727",53.29081171,-6.19778321,3466.1.60-84X-b12-1.335.I,07:46:45,07:46:45,29, Eden Quay,31596.84,60-84X-b12-1,84X,b12
40,8250DB000768,"UCD Belfield, stop 768",53.30941819,-6.21877483,3466.1.60-84X-b12-1.335.I,07:53:49,07:53:49,30, Eden Quay,34170.13,60-84X-b12-1,84X,b12
41,8220DB000772,"Donnybrook Garage, stop 772",53.31848526,-6.231321064,3466.1.60-84X-b12-1.335.I,07:56:50,07:56:50,31, Eden Quay,35505.22,60-84X-b12-1,84X,b12
42,8220DB000775,"Donnybrook Village, stop 775",53.32348971,-6.239085447,3466.1.60-84X-b12-1.335.I,07:59:15,07:59:15,32, Eden Quay,36274.34,60-84X-b12-1,84X,b12
43,8220DB000906,"Leeson St Upper, stop 906",53.32881077,-6.247634377,3466.1.60-84X-b12-1.335.I,08:03:20,08:03:20,33, Eden Quay,37106.3,60-84X-b12-1,84X,b12
44,8220DB000909,"Fitzwilliam Place, stop 909",53.33314766,-6.254078364,3466.1.60-84X-b12-1.335.I,08:06:41,08:06:41,34, Eden Quay,37786.9,60-84X-b12-1,84X,b12
45,8220DB000792,"Dawson Street, stop 792",53.34044899,-6.258585808,3466.1.60-84X-b12-1.335.I,08:12:28,08:12:28,37, Eden Quay,38805.5,60-84X-b12-1,84X,b12
46,8220DB007586,"National Gallery, stop 7586",53.34197047,-6.253222288,3466.1.60-84X-b12-1.335.I,08:14:19,08:14:19,38, Eden Quay,39347.44,60-84X-b12-1,84X,b12
47,8220DB007587,"Science Gallery, stop 7587",53.34445793,-6.25122816,3466.1.60-84X-b12-1.335.I,08:16:13,08:16:13,39, Eden Quay,39904.27,60-84X-b12-1,84X,b12
48,8220DB000303,"Eden Quay, stop 303",53.34806,-6.255992453,3466.1.60-84X-b12-1.335.I,08:18:33,08:18:33,40, Eden Quay,40585.42,60-84X-b12-1,84X,b12
49,8250DB003143,"St Columcille's Hosp, stop 3143",53.24269051,-6.130820383,3466.1.60-84X-d12-1.335.I,07:30:48,07:30:48,22, Eden Quay,24315.99,60-84X-d12-1,84X,d12
50,8250DB003144,"Cherrywood Road, stop 3144",53.24569052,-6.135275018,3466.1.60-84X-d12-1.335.I,07:31:57,07:31:57,23, Eden Quay,24767.69,60-84X-d12-1,84X,d12
51,8250DB003145,"Willow Court, stop 3145",53.24792099,-6.13823511,3466.1.60-84X-d12-1.335.I,07:32:42,07:32:42,24, Eden Quay,25085.02,60-84X-d12-1,84X,d12
52,8250DB005128,"Clonkeen Road, stop 5128",53.2655267,-6.157739276,3466.1.60-84X-d12-1.335.I,07:36:55,07:36:55,25, Eden Quay,27517.56,60-84X-d12-1,84X,d12
53,8250DB002060,"Foxrock Church, stop 2060",53.27395494,-6.175085679,3466.1.60-84X-d12-1.335.I,07:39:46,07:39:46,26, Eden Quay,29016.28,60-84X-d12-1,84X,d12
54,8250DB002062,"Newtownpark Avenue, stop 2062",53.27902411,-6.186851925,3466.1.60-84X-d12-1.335.I,07:41:58,07:41:58,27, Eden Quay,29988.83,60-84X-d12-1,84X,d12
55,8250DB002064,"Brewery Road, stop 2064",53.28272564,-6.193849161,3466.1.60-84X-d12-1.335.I,07:44:05,07:44:05,28, Eden Quay,30618.15,60-84X-d12-1,84X,d12
56,8250DB004727,"Laurence Park, stop 4727",53.29081171,-6.19778321,3466.1.60-84X-d12-1.335.I,07:46:45,07:46:45,29, Eden Quay,31596.84,60-84X-d12-1,84X,d12
57,8250DB000768,"UCD Belfield, stop 768",53.30941819,-6.21877483,3466.1.60-84X-d12-1.335.I,07:53:49,07:53:49,30, Eden Quay,34170.13,60-84X-d12-1,84X,d12
58,8220DB000772,"Donnybrook Garage, stop 772",53.31848526,-6.231321064,3466.1.60-84X-d12-1.335.I,07:56:50,07:56:50,31, Eden Quay,35505.22,60-84X-d12-1,84X,d12
59,8220DB000775,"Donnybrook Village, stop 775",53.32348971,-6.239085447,3466.1.60-84X-d12-1.335.I,07:59:15,07:59:15,32, Eden Quay,36274.34,60-84X-d12-1,84X,d12
60,8220DB000906,"Leeson St Upper, stop 906",53.32881077,-6.247634377,3466.1.60-84X-d12-1.335.I,08:03:20,08:03:20,33, Eden Quay,37106.3,60-84X-d12-1,84X,d12
61,8220DB000909,"Fitzwilliam Place, stop 909",53.33314766,-6.254078364,3466.1.60-84X-d12-1.335.I,08:06:41,08:06:41,34, Eden Quay,37786.9,60-84X-d12-1,84X,d12
62,8220DB000792,"Dawson Street, stop 792",53.34044899,-6.258585808,3466.1.60-84X-d12-1.335.I,08:12:28,08:12:28,37, Eden Quay,38805.5,60-84X-d12-1,84X,d12
63,8220DB007586,"National Gallery, stop 7586",53.34197047,-6.253222288,3466.1.60-84X-d12-1.335.I,08:14:19,08:14:19,38, Eden Quay,39347.44,60-84X-d12-1,84X,d12
64,8220DB007587,"Science Gallery, stop 7587",53.34445793,-6.25122816,3466.1.60-84X-d12-1.335.I,08:16:13,08:16:13,39, Eden Quay,39904.27,60-84X-d12-1,84X,d12
65,8220DB000303,"Eden Quay, stop 303",53.34806,-6.255992453,3466.1.60-84X-d12-1.335.I,08:18:33,08:18:33,40, Eden Quay,40585.42,60-84X-d12-1,84X,d12
66,8250DB003143,"St Columcille's Hosp, stop 3143",53.24269051,-6.130820383,3469.1.60-84X-b12-1.335.I,08:18:51,08:18:51,22, Eden Quay,24315.99,60-84X-b12-1,84X,b12
67,8250DB003144,"Cherrywood Road, stop 3144",53.24569052,-6.135275018,3469.1.60-84X-b12-1.335.I,08:20:00,08:20:00,23, Eden Quay,24767.69,60-84X-b12-1,84X,b12
68,8250DB003145,"Willow Court, stop 3145",53.24792099,-6.13823511,3469.1.60-84X-b12-1.335.I,08:20:46,08:20:46,24, Eden Quay,25085.02,60-84X-b12-1,84X,b12
69,8250DB005128,"Clonkeen Road, stop 5128",53.2655267,-6.157739276,3469.1.60-84X-b12-1.335.I,08:25:06,08:25:06,25, Eden Quay,27517.56,60-84X-b12-1,84X,b12
70,8250DB002060,"Foxrock Church, stop 2060",53.27395494,-6.175085679,3469.1.60-84X-b12-1.335.I,08:27:38,08:27:38,26, Eden Quay,29016.28,60-84X-b12-1,84X,b12
71,8250DB002062,"Newtownpark Avenue, stop 2062",53.27902411,-6.186851925,3469.1.60-84X-b12-1.335.I,08:29:25,08:29:25,27, Eden Quay,29988.83,60-84X-b12-1,84X,b12
72,8250DB002064,"Brewery Road, stop 2064",53.28272564,-6.193849161,3469.1.60-84X-b12-1.335.I,08:31:17,08:31:17,28, Eden Quay,30618.15,60-84X-b12-1,84X,b12
73,8250DB004727,"Laurence Park, stop 4727",53.29081171,-6.19778321,3469.1.60-84X-b12-1.335.I,08:33:37,08:33:37,29, Eden Quay,31596.84,60-84X-b12-1,84X,b12
74,8250DB000768,"UCD Belfield, stop 768",53.30941819,-6.21877483,3469.1.60-84X-b12-1.335.I,08:39:47,08:39:47,30, Eden Quay,34170.13,60-84X-b12-1,84X,b12
75,8220DB000772,"Donnybrook Garage, stop 772",53.31848526,-6.231321064,3469.1.60-84X-b12-1.335.I,08:42:41,08:42:41,31, Eden Quay,35505.22,60-84X-b12-1,84X,b12
76,8220DB000775,"Donnybrook Village, stop 775",53.32348971,-6.239085447,3469.1.60-84X-b12-1.335.I,08:45:10,08:45:10,32, Eden Quay,36274.34,60-84X-b12-1,84X,b12
77,8220DB000906,"Leeson St Upper, stop 906",53.32881077,-6.247634377,3469.1.60-84X-b12-1.335.I,08:49:55,08:49:55,33, Eden Quay,37106.3,60-84X-b12-1,84X,b12
78,8220DB000909,"Fitzwilliam Place, stop 909",53.33314766,-6.254078364,3469.1.60-84X-b12-1.335.I,08:53:49,08:53:49,34, Eden Quay,37786.9,60-84X-b12-1,84X,b12
79,8220DB000792,"Dawson Street, stop 792",53.34044899,-6.258585808,3469.1.60-84X-b12-1.335.I,09:00:14,09:00:14,37, Eden Quay,38805.5,60-84X-b12-1,84X,b12
80,8220DB007586,"National Gallery, stop 7586",53.34197047,-6.253222288,3469.1.60-84X-b12-1.335.I,09:02:05,09:02:05,38, Eden Quay,39347.44,60-84X-b12-1,84X,b12
81,8220DB007587,"Science Gallery, stop 7587",53.34445793,-6.25122816,3469.1.60-84X-b12-1.335.I,09:03:59,09:03:59,39, Eden Quay,39904.27,60-84X-b12-1,84X,b12
82,8220DB000303,"Eden Quay, stop 303",53.34806,-6.255992453,3469.1.60-84X-b12-1.335.I,09:06:19,09:06:19,40, Eden Quay,40585.42,60-84X-b12-1,84X,b12
83,8250DB003143,"St Columcille's Hosp, stop 3143",53.24269051,-6.130820383,3469.1.60-84X-d12-1.335.I,08:18:51,08:18:51,22, Eden Quay,24315.99,60-84X-d12-1,84X,d12
84,8250DB003144,"Cherrywood Road, stop 3144",53.24569052,-6.135275018,3469.1.60-84X-d12-1.335.I,08:20:00,08:20:00,23, Eden Quay,24767.69,60-84X-d12-1,84X,d12
85,8250DB003145,"Willow Court, stop 3145",53.24792099,-6.13823511,3469.1.60-84X-d12-1.335.I,08:20:46,08:20:46,24, Eden Quay,25085.02,60-84X-d12-1,84X,d12
86,8250DB005128,"Clonkeen Road, stop 5128",53.2655267,-6.157739276,3469.1.60-84X-d12-1.335.I,08:25:06,08:25:06,25, Eden Quay,27517.56,60-84X-d12-1,84X,d12
87,8250DB002060,"Foxrock Church, stop 2060",53.27395494,-6.175085679,3469.1.60-84X-d12-1.335.I,08:27:38,08:27:38,26, Eden Quay,29016.28,60-84X-d12-1,84X,d12
88,8250DB002062,"Newtownpark Avenue, stop 2062",53.27902411,-6.186851925,3469.1.60-84X-d12-1.335.I,08:29:25,08:29:25,27, Eden Quay,29988.83,60-84X-d12-1,84X,d12
89,8250DB002064,"Brewery Road, stop 2064",53.28272564,-6.193849161,3469.1.60-84X-d12-1.335.I,08:31:17,08:31:17,28, Eden Quay,30618.15,60-84X-d12-1,84X,d12
90,8250DB004727,"Laurence Park, stop 4727",53.29081171,-6.19778321,3469.1.60-84X-d12-1.335.I,08:33:37,08:33:37,29, Eden Quay,31596.84,60-84X-d12-1,84X,d12
91,8250DB000768,"UCD Belfield, stop 768",53.30941819,-6.21877483,3469.1.60-84X-d12-1.335.I,08:39:47,08:39:47,30, Eden Quay,34170.13,60-84X-d12-1,84X,d12
92,8220DB000772,"Donnybrook Garage, stop 772",53.31848526,-6.231321064,3469.1.60-84X-d12-1.335.I,08:42:41,08:42:41,31, Eden Quay,35505.22,60-84X-d12-1,84X,d12
93,8220DB000775,"Donnybrook Village, stop 775",53.32348971,-6.239085447,3469.1.60-84X-d12-1.335.I,08:45:10,08:45:10,32, Eden Quay,36274.34,60-84X-d12-1,84X,d12
94,8220DB000906,"Leeson St Upper, stop 906",53.32881077,-6.247634377,3469.1.60-84X-d12-1.335.I,08:49:55,08:49:55,33, Eden Quay,37106.3,60-84X-d12-1,84X,d12
95,8220DB000909,"Fitzwilliam Place, stop 909",53.33314766,-6.254078364,3469.1.60-84X-d12-1.335.I,08:53:49,08:53:49,34, Eden Quay,37786.9,60-84X-d12-1,84X,d12
96,8220DB000792,"Dawson Street, stop 792",53.34044899,-6.258585808,3469.1.60-84X-d12-1.335.I,09:00:14,09:00:14,37, Eden Quay,38805.5,60-84X-d12-1,84X,d12
97,8220DB007586,"National Gallery, stop 7586",53.34197047,-6.253222288,3469.1.60-84X-d12-1.335.I,09:02:05,09:02:05,38, Eden Quay,39347.44,60-84X-d12-1,84X,d12
98,8220DB007587,"Science Gallery, stop 7587",53.34445793,-6.25122816,3469.1.60-84X-d12-1.335.I,09:03:59,09:03:59,39, Eden Quay,39904.27,60-84X-d12-1,84X,d12
99,8220DB000303,"Eden Quay, stop 303",53.34806,-6.255992453,3469.1.60-84X-d12-1.335.I,09:06:19,09:06:19,40, Eden Quay,40585.42,60-84X-d12-1,84X,d12
100,8250DB003143,"St Columcille's Hosp, stop 3143",53.24269051,-6.130820383,3470.1.60-84X-b12-1.335.I,08:38:51,08:38:51,22, Eden Quay,24315.99,60-84X-b12-1,84X,b12
101,8250DB003144,"Cherrywood Road, stop 3144",53.24569052,-6.135275018,3470.1.60-84X-b12-1.335.I,08:40:00,08:40:00,23, Eden Quay,24767.69,60-84X-b12-1,84X,b12
102,8250DB003145,"Willow Court, stop 3145",53.24792099,-6.13823511,3470.1.60-84X-b12-1.335.I,08:40:46,08:40:46,24, Eden Quay,25085.02,60-84X-b12-1,84X,b12
103,8250DB005128,"Clonkeen Road, stop 5128",53.2655267,-6.157739276,3470.1.60-84X-b12-1.335.I,08:45:06,08:45:06,25, Eden Quay,27517.56,60-84X-b12-1,84X,b12
104,8250DB002060,"Foxrock Church, stop 2060",53.27395494,-6.175085679,3470.1.60-84X-b12-1.335.I,08:47:38,08:47:38,26, Eden Quay,29016.28,60-84X-b12-1,84X,b12
105,8250DB002062,"Newtownpark Avenue, stop 2062",53.27902411,-6.186851925,3470.1.60-84X-b12-1.335.I,08:49:25,08:49:25,27, Eden Quay,29988.83,60-84X-b12-1,84X,b12
106,8250DB002064,"Brewery Road, stop 2064",53.28272564,-6.193849161,3470.1.60-84X-b12-1.335.I,08:51:17,08:51:17,28, Eden Quay,30618.15,60-84X-b12-1,84X,b12
107,8250DB004727,"Laurence Park, stop 4727",53.29081171,-6.19778321,3470.1.60-84X-b12-1.335.I,08:53:37,08:53:37,29, Eden Quay,31596.84,60-84X-b12-1,84X,b12
108,8250DB000768,"UCD Belfield, stop 768",53.30941819,-6.21877483,3470.1.60-84X-b12-1.335.I,08:59:47,08:59:47,30, Eden Quay,34170.13,60-84X-b12-1,84X,b12
109,8220DB000772,"Donnybrook Garage, stop 772",53.31848526,-6.231321064,3470.1.60-84X-b12-1.335.I,09:02:41,09:02:41,31, Eden Quay,35505.22,60-84X-b12-1,84X,b12
