Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
168,8220DB004495,"Hawkins Street, stop 4495",53.34649329,-6.25703271,3481.1.60-84X-b12-1.337.O,16:50:00,16:50:00,1, Kilcoole,0.0,60-84X-b12-1,84X,b12
169,8220DB000746,"Kildare Street, stop 746",53.34015362,-6.255594282,3481.1.60-84X-b12-1.337.O,16:53:46,16:53:46,2, Kilcoole,709.4,60-84X-b12-1,84X,b12
170,8220DB000844,"Stephen's Green East, stop 844",53.33763187,-6.255862398,3481.1.60-84X-b12-1.337.O,16:55:29,16:55:29,3, Kilcoole,984.89,60-84X-b12-1,84X,b12
171,8220DB000846,"Fitzwilliam Place, stop 846",53.33345373,-6.254110908,3481.1.60-84X-b12-1.337.O,16:58:18,16:58:18,4, Kilcoole,1536.15,60-84X-b12-1,84X,b12
172,8220DB000848,"Sussex Road, stop 848",53.32972799,-6.248887998,3481.1.60-84X-b12-1.337.O,17:01:08,17:01:08,5, Kilcoole,2098.69,60-84X-b12-1,84X,b12
173,8220DB000758,"Victoria Avenue, stop 758",53.32268694,-6.23767738,3481.1.60-84X-b12-1.337.O,17:05:00,17:05:00,6, Kilcoole,3187.49,60-84X-b12-1,84X,b12
174,8220DB000760,"Donnybrook Church, stop 760",53.31833019,-6.230561956,3481.1.60-84X-b12-1.337.O,17:07:02,17:07:02,7, Kilcoole,3876.19,60-84X-b12-1,84X,b12
175,8250DB002007,"Woodbine Road, stop 2007",53.30887504,-6.216111205,3481.1.60-84X-b12-1.337.O,17:11:25,17:11:25,8, Kilcoole,5323.83,60-84X-b12-1,84X,b12
176,8250DB004571,"Stillorgan Park, stop 4571",53.28897905,-6.194875358,3481.1.60-84X-b12-1.337.O,17:17:43,17:17:43,9, Kilcoole,8007.32,60-84X-b12-1,84X,b12
177,8250DB002014,"Brewery Road, stop 2014",53.28211826,-6.192914933,3481.1.60-84X-b12-1.337.O,17:19:42,17:19:42,10, Kilcoole,8796.34,60-84X-b12-1,84X,b12
178,8250DB002016,"Newtownpark Avenue, stop 2016",53.27820873,-6.184067149,3481.1.60-84X-b12-1.337.O,17:21:51,17:21:51,11, Kilcoole,9537.77,60-84X-b12-1,84X,b12
179,8250DB002017,"Foxrock Church, stop 2017",53.27419654,-6.175015407,3481.1.60-84X-b12-1.337.O,17:23:25,17:23:25,12, Kilcoole,10297.6,60-84X-b12-1,84X,b12
180,8250DB007362,"Clonkeen Road, stop 7362",53.26593943,-6.157691547,3481.1.60-84X-b12-1.337.O,17:26:32,17:26:32,13, Kilcoole,11777.52,60-84X-b12-1,84X,b12
181,8250DB003134,"Wyattville Road, stop 3134",53.2469068,-6.136031335,3481.1.60-84X-b12-1.337.O,17:32:06,17:32:06,14, Kilcoole,14424.29,60-84X-b12-1,84X,b12
182,8250DB003135,"St Columcille's Hosp, stop 3135",53.24292904,-6.130555257,3481.1.60-84X-b12-1.337.O,17:33:10,17:33:10,15, Kilcoole,15000.76,60-84X-b12-1,84X,b12
