Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB000342,"College Street, stop 342",53.34556412,-6.256800261,2314.1.60-84X-b12-1.332.O,15:50:00,15:50:00,1, Newcastle,0.0,60-84X-b12-1,84X,b12
1,8220DB004495,"Hawkins Street, stop 4495",53.34649329,-6.25703271,2314.1.60-84X-b12-1.332.O,15:50:00,15:50:00,2, Newcastle,753.28,60-84X-b12-1,84X,b12
2,8220DB000746,"Kildare Street, stop 746",53.34015362,-6.255594282,2314.1.60-84X-b12-1.332.O,15:50:04,15:50:04,3, Newcastle,1462.68,60-84X-b12-1,84X,b12
3,8220DB000844,"Stephen's Green East, stop 844",53.33763187,-6.255862398,2314.1.60-84X-b12-1.332.O,15:51:43,15:51:43,4, Newcastle,1738.17,60-84X-b12-1,84X,b12
4,8220DB000846,"Fitzwilliam Place, stop 846",53.33345373,-6.254110908,2314.1.60-84X-b12-1.332.O,15:54:26,15:54:26,5, Newcastle,2289.43,60-84X-b12-1,84X,b12
5,8220DB000848,"Sussex Road, stop 848",53.32972799,-6.248887998,2314.1.60-84X-b12-1.332.O,15:57:09,15:57:09,6, Newcastle,2851.97,60-84X-b12-1,84X,b12
6,8220DB000758,"Victoria Avenue, stop 758",53.32268694,-6.23767738,2314.1.60-84X-b12-1.332.O,16:02:01,16:02:01,7, Newcastle,3940.77,60-84X-b12-1,84X,b12
7,8220DB000760,"Donnybrook Church, stop 760",53.31833019,-6.230561956,2314.1.60-84X-b12-1.332.O,16:05:32,16:05:32,8, Newcastle,4629.47,60-84X-b12-1,84X,b12
8,8250DB002007,"Woodbine Road, stop 2007",53.30887504,-6.216111205,2314.1.60-84X-b12-1.332.O,16:08:01,16:08:01,9, Newcastle,6077.11,60-84X-b12-1,84X,b12
9,8250DB004571,"Stillorgan Park, stop 4571",53.28897905,-6.194875358,2314.1.60-84X-b12-1.332.O,16:11:22,16:11:22,10, Newcastle,8760.6,60-84X-b12-1,84X,b12
10,8250DB002014,"Brewery Road, stop 2014",53.28211826,-6.192914933,2314.1.60-84X-b12-1.332.O,16:16:49,16:16:49,11, Newcastle,9549.62,60-84X-b12-1,84X,b12
11,8250DB002016,"Newtownpark Avenue, stop 2016",53.27820873,-6.184067149,2314.1.60-84X-b12-1.332.O,16:18:37,16:18:37,12, Newcastle,10291.05,60-84X-b12-1,84X,b12
12,8250DB002017,"Foxrock Church, stop 2017",53.27419654,-6.175015407,2314.1.60-84X-b12-1.332.O,16:20:57,16:20:57,13, Newcastle,11050.88,60-84X-b12-1,84X,b12
13,8250DB007362,"Clonkeen Road, stop 7362",53.26593943,-6.157691547,2314.1.60-84X-b12-1.332.O,16:21:22,16:21:22,14, Newcastle,12530.8,60-84X-b12-1,84X,b12
14,8250DB003134,"Wyattville Road, stop 3134",53.2469068,-6.136031335,2314.1.60-84X-b12-1.332.O,16:22:07,16:22:07,15, Newcastle,15177.57,60-84X-b12-1,84X,b12
15,8250DB003135,"St Columcille's Hosp, stop 3135",53.24292904,-6.130555257,2314.1.60-84X-b12-1.332.O,16:30:54,16:30:54,16, Newcastle,15754.04,60-84X-b12-1,84X,b12
