Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
132,8230DB004392,"Greenhills College, stop 4392",53.30696695,-6.334003825,14264.2.60-9-b12-1.12.I,10:20:00,10:20:00,1, Charlestown,0.0,60-9-b12-1,9,b12
133,8230DB002458,"St James's Road, stop 2458",53.30719119,-6.337191386,14264.2.60-9-b12-1.12.I,10:20:39,10:20:39,2, Charlestown,240.23,60-9-b12-1,9,b12
134,8230DB002446,"St Mel's Avenue, stop 2446",53.30834648,-6.340117766,14264.2.60-9-b12-1.12.I,10:21:18,10:21:18,3, Charlestown,479.02,60-9-b12-1,9,b12
135,8230DB002459,"St Killian's Avenue, stop 2459",53.31035955,-6.339454382,14264.2.60-9-b12-1.12.I,10:21:56,10:21:56,4, Charlestown,711.36,60-9-b12-1,9,b12
136,8230DB002460,"St Brendan's Cres, stop 2460",53.31218897,-6.336576909,14264.2.60-9-b12-1.12.I,10:22:41,10:22:41,5, Charlestown,990.11,60-9-b12-1,9,b12
137,8230DB002461,"St Joseph's Road, stop 2461",53.31274537,-6.332653189,14264.2.60-9-b12-1.12.I,10:23:27,10:23:27,6, Charlestown,1280.49,60-9-b12-1,9,b12
138,8220DB002462,"Greenhills CU, stop 2462",53.31382319,-6.330029732,14264.2.60-9-b12-1.12.I,10:24:07,10:24:07,7, Charlestown,1510.28,60-9-b12-1,9,b12
139,8220DB002463,"St Peter's Road, stop 2463",53.31530445,-6.331187624,14264.2.60-9-b12-1.12.I,10:24:42,10:24:42,8, Charlestown,1713.25,60-9-b12-1,9,b12
140,8220DB002431,"Cromwellsfort Road, stop 2431",53.31720321,-6.330708281,14264.2.60-9-b12-1.12.I,10:26:01,10:26:01,9, Charlestown,2161.88,60-9-b12-1,9,b12
141,8220DB002432,"Beechfield Avenue, stop 2432",53.31701347,-6.32550738,14264.2.60-9-b12-1.12.I,10:26:57,10:26:57,10, Charlestown,2507.53,60-9-b12-1,9,b12
142,8220DB002433,"Cherry Grove, stop 2433",53.31658623,-6.320691083,14264.2.60-9-b12-1.12.I,10:27:49,10:27:49,11, Charlestown,2831.17,60-9-b12-1,9,b12
143,8220DB002434,"Kimmage Road West, stop 2434",53.3160266,-6.316060201,14264.2.60-9-b12-1.12.I,10:28:41,10:28:41,12, Charlestown,3147.81,60-9-b12-1,9,b12
144,8220DB002435,"Westbrook, stop 2435",53.3143144,-6.311294833,14264.2.60-9-b12-1.12.I,10:29:40,10:29:40,13, Charlestown,3518.35,60-9-b12-1,9,b12
145,8220DB002436,"Lorcan O'Toole Park, stop 2436",53.31370591,-6.308947527,14264.2.60-9-b12-1.12.I,10:30:06,10:30:06,14, Charlestown,3688.29,60-9-b12-1,9,b12
146,8220DB002437,"Brookfield, stop 2437",53.31268882,-6.30251926,14264.2.60-9-b12-1.12.I,10:31:17,10:31:17,15, Charlestown,4133.39,60-9-b12-1,9,b12
147,8220DB002438,"Kimmage Road Lower, stop 2438",53.31248952,-6.299255424,14264.2.60-9-b12-1.12.I,10:31:59,10:31:59,16, Charlestown,4373.59,60-9-b12-1,9,b12
148,8220DB002439,"Ravensdale Park, stop 2439",53.31354587,-6.297697579,14264.2.60-9-b12-1.12.I,10:32:35,10:32:35,17, Charlestown,4532.6,60-9-b12-1,9,b12
149,8220DB002440,"Aideen Avenue, stop 2440",53.31640087,-6.294326915,14264.2.60-9-b12-1.12.I,10:33:57,10:33:57,18, Charlestown,4921.28,60-9-b12-1,9,b12
150,8220DB002441,"Kimmage Grove, stop 2441",53.31906116,-6.291173722,14264.2.60-9-b12-1.12.I,10:35:14,10:35:14,19, Charlestown,5284.76,60-9-b12-1,9,b12
151,8220DB002442,"Mount Argus Church, stop 2442",53.32045241,-6.28602946,14264.2.60-9-b12-1.12.I,10:36:17,10:36:17,20, Charlestown,5672.23,60-9-b12-1,9,b12
152,8220DB002443,"Brookfield, stop 2443",53.32189218,-6.283644996,14264.2.60-9-b12-1.12.I,10:36:54,10:36:54,21, Charlestown,5903.61,60-9-b12-1,9,b12
153,8220DB002444,"Mount Argus Road, stop 2444",53.32429774,-6.279675293,14264.2.60-9-b12-1.12.I,10:37:57,10:37:57,22, Charlestown,6293.19,60-9-b12-1,9,b12
154,8220DB001344,"St Claire's NS, stop 1344",53.32717106,-6.277607963,14264.2.60-9-b12-1.12.I,10:38:55,10:38:55,23, Charlestown,6640.68,60-9-b12-1,9,b12
155,8220DB001345,"Le Vere Terrace, stop 1345",53.32879608,-6.276236296,14264.2.60-9-b12-1.12.I,10:39:50,10:39:50,24, Charlestown,6842.59,60-9-b12-1,9,b12
156,8220DB001347,"Clanbrassil St Upper, stop 1347",53.33118301,-6.275344273,14264.2.60-9-b12-1.12.I,10:41:11,10:41:11,25, Charlestown,7120.6,60-9-b12-1,9,b12
157,8220DB001348,"Spencer St South, stop 1348",53.33224954,-6.273889833,14264.2.60-9-b12-1.12.I,10:42:12,10:42:12,26, Charlestown,7328.43,60-9-b12-1,9,b12
158,8220DB001349,"Carlisle Street, stop 1349",53.33238573,-6.270881323,14264.2.60-9-b12-1.12.I,10:42:55,10:42:55,27, Charlestown,7529.94,60-9-b12-1,9,b12
159,8220DB001350,"Harrington Street, stop 1350",53.33256109,-6.267480812,14264.2.60-9-b12-1.12.I,10:43:44,10:43:44,28, Charlestown,7756.41,60-9-b12-1,9,b12
160,8220DB001352,"Camden Street Lower, stop 1352",53.33444543,-6.265407334,14264.2.60-9-b12-1.12.I,10:45:06,10:45:06,29, Charlestown,8136.78,60-9-b12-1,9,b12
161,8220DB001353,"Pleasants Street, stop 1353",53.33600953,-6.265418938,14264.2.60-9-b12-1.12.I,10:45:44,10:45:44,30, Charlestown,8313.65,60-9-b12-1,9,b12
162,8220DB001355,"Whitefriars Street, stop 1355",53.34009624,-6.265838755,14264.2.60-9-b12-1.12.I,10:47:29,10:47:29,32, Charlestown,8772.7,60-9-b12-1,9,b12
163,8220DB001357,"Exchequer Street, stop 1357",53.34256789,-6.26459703,14264.2.60-9-b12-1.12.I,10:49:31,10:49:31,33, Charlestown,9063.88,60-9-b12-1,9,b12
164,8220DB001359,"College Green, stop 1359",53.34439941,-6.26136859,14264.2.60-9-b12-1.12.I,10:52:02,10:52:02,34, Charlestown,9449.26,60-9-b12-1,9,b12
165,8220DB000319,"Westmoreland Street, stop 319",53.34627443,-6.259279614,14264.2.60-9-b12-1.12.I,10:54:10,10:54:10,35, Charlestown,9770.33,60-9-b12-1,9,b12
166,8220DB000281,"O'Connell St Upper, stop 281",53.35134353,-6.261116008,14264.2.60-9-b12-1.12.I,10:56:47,10:56:47,36, Charlestown,10354.49,60-9-b12-1,9,b12
167,8220DB000004,"Parnell Square West, stop 4",53.35257451,-6.264175486,14264.2.60-9-b12-1.12.I,10:59:01,10:59:01,37, Charlestown,10701.35,60-9-b12-1,9,b12
168,8220DB000194,"Western Way, stop 194",53.35504065,-6.269979311,14264.2.60-9-b12-1.12.I,11:00:40,11:00:40,38, Charlestown,11188.17,60-9-b12-1,9,b12
169,8220DB000195,"Broadstone, stop 195",53.35501178,-6.27357098,14264.2.60-9-b12-1.12.I,11:01:44,11:01:44,39, Charlestown,11884.29,60-9-b12-1,9,b12
170,8220DB000196,"Fire Station, stop 196",53.3568839,-6.273750704,14264.2.60-9-b12-1.12.I,11:02:23,11:02:23,40, Charlestown,12109.07,60-9-b12-1,9,b12
171,8220DB000197,"Monck Place, stop 197",53.35895263,-6.273231374,14264.2.60-9-b12-1.12.I,11:03:23,11:03:23,41, Charlestown,12339.14,60-9-b12-1,9,b12
172,8220DB000198,"Phibsborough SC, stop 198",53.36162538,-6.27283781,14264.2.60-9-b12-1.12.I,11:04:42,11:04:42,42, Charlestown,12644.81,60-9-b12-1,9,b12
