Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8240DB007132,"Charlestown SC, stop 7132",53.40308897,-6.30430656,14263.2.60-9-b12-1.10.O,09:00:00,09:00:00,1, Limekiln Avenue,0.0,60-9-b12-1,9,b12
1,8240DB006230,"Meakstown Centre, stop 6230",53.40140934,-6.296808594,14263.2.60-9-b12-1.10.O,09:01:18,09:01:18,2, Limekiln Avenue,534.4,60-9-b12-1,9,b12
2,8240DB006228,"Melville, stop 6228",53.39983069,-6.292630722,14263.2.60-9-b12-1.10.O,09:02:06,09:02:06,3, Limekiln Avenue,871.06,60-9-b12-1,9,b12
3,8220DB004788,"Oakwood Road, stop 4788",53.39693477,-6.292506062,14263.2.60-9-b12-1.10.O,09:03:06,09:03:06,4, Limekiln Avenue,1296.9,60-9-b12-1,9,b12
4,8220DB006273,"Sycamore Road, stop 6273",53.39527537,-6.290858265,14263.2.60-9-b12-1.10.O,09:03:54,09:03:54,5, Limekiln Avenue,1599.68,60-9-b12-1,9,b12
5,8220DB000136,"McKee Road, stop 136",53.3943802,-6.289856597,14263.2.60-9-b12-1.10.O,09:04:18,09:04:18,6, Limekiln Avenue,1740.9,60-9-b12-1,9,b12
6,8220DB000137,"Clancy Avenue, stop 137",53.39231672,-6.292630795,14263.2.60-9-b12-1.10.O,09:05:06,09:05:06,7, Limekiln Avenue,2035.37,60-9-b12-1,9,b12
7,8220DB000193,"Finglas Park, stop 193",53.39119631,-6.294104035,14263.2.60-9-b12-1.10.O,09:05:32,09:05:32,8, Limekiln Avenue,2194.29,60-9-b12-1,9,b12
8,8220DB000138,"St Canice's BNS, stop 138",53.38999501,-6.291806573,14263.2.60-9-b12-1.10.O,09:06:22,09:06:22,9, Limekiln Avenue,2501.92,60-9-b12-1,9,b12
9,8220DB000167,"Beneavin Road, stop 167",53.3901866,-6.286987585,14263.2.60-9-b12-1.10.O,09:07:17,09:07:17,10, Limekiln Avenue,2834.1,60-9-b12-1,9,b12
10,8220DB000168,"Beneavin Park, stop 168",53.38925997,-6.284423735,14263.2.60-9-b12-1.10.O,09:07:51,09:07:51,11, Limekiln Avenue,3047.56,60-9-b12-1,9,b12
11,8220DB000169,"Beneavin Court, stop 169",53.38843393,-6.28011191,14263.2.60-9-b12-1.10.O,09:08:40,09:08:40,12, Limekiln Avenue,3347.06,60-9-b12-1,9,b12
12,8220DB000141,"Willow Park Road, stop 141",53.39044509,-6.278091245,14263.2.60-9-b12-1.10.O,09:09:47,09:09:47,13, Limekiln Avenue,3766.33,60-9-b12-1,9,b12
13,8220DB000142,"Glasnevin Park, stop 142",53.39019829,-6.274071722,14263.2.60-9-b12-1.10.O,09:10:31,09:10:31,14, Limekiln Avenue,4032.47,60-9-b12-1,9,b12
14,8220DB000143,"Willow Park Avenue, stop 143",53.38987671,-6.26924337,14263.2.60-9-b12-1.10.O,09:11:23,09:11:23,15, Limekiln Avenue,4354.73,60-9-b12-1,9,b12
15,8220DB000115,"Ballymun Road Church, stop 115",53.38796409,-6.2650361,14263.2.60-9-b12-1.10.O,09:12:35,09:12:35,16, Limekiln Avenue,4803.73,60-9-b12-1,9,b12
16,8220DB000037,"DCU Ballymun Road, stop 37",53.3853464,-6.264886981,14263.2.60-9-b12-1.10.O,09:13:12,09:13:12,17, Limekiln Avenue,5096.6,60-9-b12-1,9,b12
17,8220DB000038,"Hampstead Avenue, stop 38",53.38223659,-6.265509521,14263.2.60-9-b12-1.10.O,09:13:57,09:13:57,18, Limekiln Avenue,5444.84,60-9-b12-1,9,b12
18,8220DB000039,"The Rise, stop 39",53.38041419,-6.265658759,14263.2.60-9-b12-1.10.O,09:14:23,09:14:23,19, Limekiln Avenue,5647.72,60-9-b12-1,9,b12
19,8220DB000040,"Stella Avenue, stop 40",53.37666077,-6.264668969,14263.2.60-9-b12-1.10.O,09:15:25,09:15:25,20, Limekiln Avenue,6070.5,60-9-b12-1,9,b12
20,8220DB000146,"Na Fianna GAA Club, stop 146",53.37504013,-6.265095586,14263.2.60-9-b12-1.10.O,09:15:51,09:15:51,21, Limekiln Avenue,6254.14,60-9-b12-1,9,b12
21,8220DB000147,"Tolka Bridge, stop 147",53.37248023,-6.265830862,14263.2.60-9-b12-1.10.O,09:16:34,09:16:34,22, Limekiln Avenue,6543.94,60-9-b12-1,9,b12
22,8220DB000184,"Botanic Road, stop 184",53.36970368,-6.268979354,14263.2.60-9-b12-1.10.O,09:17:29,09:17:29,23, Limekiln Avenue,6916.02,60-9-b12-1,9,b12
23,8220DB000185,"St Teresa's Place, stop 185",53.36810094,-6.270021139,14263.2.60-9-b12-1.10.O,09:18:05,09:18:05,24, Limekiln Avenue,7108.56,60-9-b12-1,9,b12
24,8220DB000186,"Lindsay Grove, stop 186",53.36535534,-6.271589978,14263.2.60-9-b12-1.10.O,09:19:06,09:19:06,25, Limekiln Avenue,7432.24,60-9-b12-1,9,b12
25,8220DB000187,"Phibsborough Road, stop 187",53.36273425,-6.272447365,14263.2.60-9-b12-1.10.O,09:20:22,09:20:22,26, Limekiln Avenue,7727.13,60-9-b12-1,9,b12
26,8220DB000188,"North Circular Road, stop 188",53.36012069,-6.272583149,14263.2.60-9-b12-1.10.O,09:21:18,09:21:18,27, Limekiln Avenue,8024.8,60-9-b12-1,9,b12
27,8220DB000189,"Fire Station, stop 189",53.35716744,-6.273468816,14263.2.60-9-b12-1.10.O,09:22:21,09:22:21,28, Limekiln Avenue,8359.3,60-9-b12-1,9,b12
28,8220DB000190,"Broadstone, stop 190",53.35512573,-6.273371074,14263.2.60-9-b12-1.10.O,09:23:04,09:23:04,29, Limekiln Avenue,8586.51,60-9-b12-1,9,b12
29,8220DB000191,"Western Way, stop 191",53.35501795,-6.269033781,14263.2.60-9-b12-1.10.O,09:24:22,09:24:22,30, Limekiln Avenue,9008.08,60-9-b12-1,9,b12
30,8220DB000819,"Blessington Street, stop 819",53.35630402,-6.265991986,14263.2.60-9-b12-1.10.O,09:25:32,09:25:32,31, Limekiln Avenue,9380.81,60-9-b12-1,9,b12
31,8220DB000263,"Parnell Square East, stop 263",53.35374562,-6.262505454,14263.2.60-9-b12-1.10.O,09:27:04,09:27:04,32, Limekiln Avenue,9870.01,60-9-b12-1,9,b12
32,8220DB000277,"O'Connell St Upper, stop 277",53.35082233,-6.26050632,14263.2.60-9-b12-1.10.O,09:28:55,09:28:55,33, Limekiln Avenue,10225.33,60-9-b12-1,9,b12
33,8220DB000336,"D'Olier Street, stop 336",53.34625164,-6.257718467,14263.2.60-9-b12-1.10.O,09:32:10,09:32:10,34, Limekiln Avenue,10776.03,60-9-b12-1,9,b12
34,8220DB001278,"College Green, stop 1278",53.34423662,-6.261300118,14263.2.60-9-b12-1.10.O,09:34:28,09:34:28,35, Limekiln Avenue,11169.23,60-9-b12-1,9,b12
35,8220DB001282,"S Great George's St, stop 1282",53.3423418,-6.264501083,14263.2.60-9-b12-1.10.O,09:36:55,09:36:55,36, Limekiln Avenue,11579.99,60-9-b12-1,9,b12
36,8220DB004456,"Whitefriars St, stop 4456",53.3399144,-6.265695957,14263.2.60-9-b12-1.10.O,09:37:52,09:37:52,37, Limekiln Avenue,11866.68,60-9-b12-1,9,b12
37,8220DB001284,"Redmond's Hill, stop 1284",53.33812835,-6.265873557,14263.2.60-9-b12-1.10.O,09:38:41,09:38:41,38, Limekiln Avenue,12069.61,60-9-b12-1,9,b12
38,8220DB001285,"Camden Street Lower, stop 1285",53.33437841,-6.265124754,14263.2.60-9-b12-1.10.O,09:40:20,09:40:20,39, Limekiln Avenue,12490.69,60-9-b12-1,9,b12
39,8220DB001286,"Harrington Street, stop 1286",53.33249965,-6.265726535,14263.2.60-9-b12-1.10.O,09:42:04,09:42:04,40, Limekiln Avenue,12751.99,60-9-b12-1,9,b12
40,8220DB001288,"Victoria Street, stop 1288",53.33232275,-6.269637622,14263.2.60-9-b12-1.10.O,09:42:58,09:42:58,41, Limekiln Avenue,13024.3,60-9-b12-1,9,b12
41,8220DB001289,"Longwood Avenue, stop 1289",53.33212936,-6.273038833,14263.2.60-9-b12-1.10.O,09:43:43,09:43:43,42, Limekiln Avenue,13251.14,60-9-b12-1,9,b12
42,8220DB001290,"Clanbrassil St Upper, stop 1290",53.33073105,-6.275167319,14263.2.60-9-b12-1.10.O,09:44:52,09:44:52,43, Limekiln Avenue,13565.78,60-9-b12-1,9,b12
43,8220DB001291,"Harold's Cross Road, stop 1291",53.32844661,-6.276310441,14263.2.60-9-b12-1.10.O,09:45:51,09:45:51,44, Limekiln Avenue,13829.48,60-9-b12-1,9,b12
44,8220DB002389,"St Clare's Avenue, stop 2389",53.32492903,-6.279199521,14263.2.60-9-b12-1.10.O,09:46:58,09:46:58,45, Limekiln Avenue,14266.72,60-9-b12-1,9,b12
45,8220DB002390,"Mount Argus Park, stop 2390",53.32152863,-6.283989835,14263.2.60-9-b12-1.10.O,09:48:17,09:48:17,46, Limekiln Avenue,14780.92,60-9-b12-1,9,b12
46,8220DB002391,"Mount Argus Church, stop 2391",53.32019751,-6.286429956,14263.2.60-9-b12-1.10.O,09:48:51,09:48:51,47, Limekiln Avenue,15002.72,60-9-b12-1,9,b12
47,8220DB002392,"Kimmage Grove, stop 2392",53.31874912,-6.291351302,14263.2.60-9-b12-1.10.O,09:49:50,09:49:50,48, Limekiln Avenue,15388.02,60-9-b12-1,9,b12
48,8220DB002393,"Corrib Road, stop 2393",53.31520361,-6.295455305,14263.2.60-9-b12-1.10.O,09:50:48,09:50:48,49, Limekiln Avenue,15867.84,60-9-b12-1,9,b12
