Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
102,8220DB000381,"St John's Church, stop 381",53.32432377,-6.212374193,12431.3.60-C1-b12-1.339.O,13:07:00,13:07:00,1, Adamstown Station,0.0,60-C1-b12-1,C1,b12
103,8220DB007740,"Park Avenue, stop 7740",53.32687574,-6.214729665,12431.3.60-C1-b12-1.339.O,13:08:10,13:08:10,2, Adamstown Station,543.75,60-C1-b12-1,C1,b12
104,8220DB007741,"Gilford Road, stop 7741",53.32927948,-6.214989623,12431.3.60-C1-b12-1.339.O,13:09:15,13:09:15,3, Adamstown Station,844.36,60-C1-b12-1,C1,b12
105,8220DB000387,"Sandymount, stop 387",53.33249951,-6.215741058,12431.3.60-C1-b12-1.339.O,13:11:34,13:11:34,4, Adamstown Station,1221.98,60-C1-b12-1,C1,b12
106,8220DB000388,"Farney Park, stop 388",53.33450886,-6.218480173,12431.3.60-C1-b12-1.339.O,13:12:44,13:12:44,5, Adamstown Station,1510.71,60-C1-b12-1,C1,b12
107,8220DB000389,"Star of the Sea, stop 389",53.33529008,-6.219633889,12431.3.60-C1-b12-1.339.O,13:13:12,13:13:12,6, Adamstown Station,1626.72,60-C1-b12-1,C1,b12
108,8220DB000393,"Tritonville Road, stop 393",53.33690389,-6.222374797,12431.3.60-C1-b12-1.339.O,13:14:21,13:14:21,7, Adamstown Station,1906.31,60-C1-b12-1,C1,b12
109,8220DB000371,"Irishtown Road, stop 371",53.33861278,-6.223054583,12431.3.60-C1-b12-1.339.O,13:15:27,13:15:27,8, Adamstown Station,2105.88,60-C1-b12-1,C1,b12
110,8220DB000391,"Bath Street, stop 391",53.34006386,-6.223925352,12431.3.60-C1-b12-1.339.O,13:16:26,13:16:26,9, Adamstown Station,2284.74,60-C1-b12-1,C1,b12
111,8220DB000392,"Ringsend, stop 392",53.34173363,-6.227415321,12431.3.60-C1-b12-1.339.O,13:18:11,13:18:11,10, Adamstown Station,2606.12,60-C1-b12-1,C1,b12
112,8220DB000395,"Ringsend Road, stop 395",53.34194005,-6.235276454,12431.3.60-C1-b12-1.339.O,13:20:27,13:20:27,11, Adamstown Station,3139.73,60-C1-b12-1,C1,b12
113,8220DB000396,"Grand Canal Quay, stop 396",53.34244252,-6.239475948,12431.3.60-C1-b12-1.339.O,13:21:54,13:21:54,12, Adamstown Station,3432.29,60-C1-b12-1,C1,b12
114,8220DB000397,"Pearse Square, stop 397",53.34278556,-6.242015007,12431.3.60-C1-b12-1.339.O,13:22:57,13:22:57,13, Adamstown Station,3606.07,60-C1-b12-1,C1,b12
