Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8230DB006290,"Adamstown Station, stop 6290",53.33626172,-6.466941256,12818.3.60-C2-b12-1.344.I,05:31:00,05:31:00,1, Sandymount,0.0,60-C2-b12-1,C2,b12
1,8230DB007892,"Adamstown Boulevard, stop 7892",53.33867825,-6.469647709,12818.3.60-C2-b12-1.344.I,05:31:12,05:31:12,2, Sandymount,401.89,60-C2-b12-1,C2,b12
2,8230DB007893,"Shackleton Park, stop 7893",53.34635025,-6.472872488,12818.3.60-C2-b12-1.344.I,05:31:37,05:31:37,3, Sandymount,4577.85,60-C2-b12-1,C2,b12
3,8230DB007955,"Shackleton Hall, stop 7955",53.34679723,-6.469176687,12818.3.60-C2-b12-1.344.I,05:31:44,05:31:44,4, Sandymount,5354.98,60-C2-b12-1,C2,b12
4,8230DB007896,Gandon Park. stop 7896,53.34660546,-6.462650016,12818.3.60-C2-b12-1.344.I,05:31:56,05:31:56,5, Sandymount,7219.73,60-C2-b12-1,C2,b12
5,8230DB007899,"Somerton Court, stop 7899",53.34526806,-6.453746703,12818.3.60-C2-b12-1.344.I,05:34:14,05:34:14,6, Sandymount,7666.65,60-C2-b12-1,C2,b12
6,8230DB003368,"Finnstown Abbey, stop 3368",53.3445579,-6.449582115,12818.3.60-C2-b12-1.344.I,05:36:08,05:36:08,7, Sandymount,7971.78,60-C2-b12-1,C2,b12
7,8230DB007762,"Haydens Lane, stop 7762",53.34299827,-6.446454801,12818.3.60-C2-b12-1.344.I,05:37:12,05:37:12,8, Sandymount,8492.3,60-C2-b12-1,C2,b12
8,8230DB007137,"Griffeen Avenue, stop 7137",53.34066969,-6.443641057,12818.3.60-C2-b12-1.344.I,05:37:56,05:37:56,9, Sandymount,8844.47,60-C2-b12-1,C2,b12
9,8230DB007139,"Rossberry Avenue, stop 7139",53.3392745,-6.437294576,12818.3.60-C2-b12-1.344.I,05:38:57,05:38:57,10, Sandymount,9312.36,60-C2-b12-1,C2,b12
10,8230DB004623,"Balgaddy Road, stop 4623",53.34041837,-6.43063002,12818.3.60-C2-b12-1.344.I,05:40:00,05:40:00,11, Sandymount,9795.44,60-C2-b12-1,C2,b12
11,8230DB004619,"Foxborough, stop 4619",53.33989448,-6.426339277,12818.3.60-C2-b12-1.344.I,05:41:02,05:41:02,12, Sandymount,10086.09,60-C2-b12-1,C2,b12
12,8230DB004561,"Foxborough Road, stop 4561",53.3417655,-6.423732333,12818.3.60-C2-b12-1.344.I,05:42:17,05:42:17,13, Sandymount,10428.78,60-C2-b12-1,C2,b12
13,8230DB004629,"Foxborough Hall, stop 4629",53.34348906,-6.422211948,12818.3.60-C2-b12-1.344.I,05:43:06,05:43:06,14, Sandymount,10678.34,60-C2-b12-1,C2,b12
14,8230DB004630,"Earlsfort, stop 4630",53.34465692,-6.41877452,12818.3.60-C2-b12-1.344.I,05:44:20,05:44:20,15, Sandymount,11049.56,60-C2-b12-1,C2,b12
15,8230DB004631,"Castle Road, stop 4631",53.34662267,-6.422651962,12818.3.60-C2-b12-1.344.I,05:45:35,05:45:35,16, Sandymount,11427.85,60-C2-b12-1,C2,b12
16,8230DB004632,"Ballyowen Road, stop 4632",53.34758571,-6.424794318,12818.3.60-C2-b12-1.344.I,05:46:18,05:46:18,17, Sandymount,11648.93,60-C2-b12-1,C2,b12
17,8230DB005164,"Fforster Green, stop 5164",53.35037673,-6.423114197,12818.3.60-C2-b12-1.344.I,05:47:22,05:47:22,18, Sandymount,11978.72,60-C2-b12-1,C2,b12
18,8230DB004633,"Ballyowen Park, stop 4633",53.35498016,-6.421877643,12818.3.60-C2-b12-1.344.I,05:49:06,05:49:06,19, Sandymount,12518.11,60-C2-b12-1,C2,b12
19,8230DB002234,"Lucan Retail Park, stop 2234",53.35933655,-6.424390974,12818.3.60-C2-b12-1.344.I,05:51:16,05:51:16,20, Sandymount,13187.56,60-C2-b12-1,C2,b12
20,8230DB002236,"Hermitage Bridge, stop 2236",53.35886946,-6.410856513,12818.3.60-C2-b12-1.344.I,05:52:41,05:52:41,21, Sandymount,14107.31,60-C2-b12-1,C2,b12
