Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
60,8220DB000395,"Ringsend Road, stop 395",53.34194005,-6.235276454,12343.3.60-C3-b12-1.347.O,12:57:00,12:57:00,1, Maynooth,0.0,60-C3-b12-1,C3,b12
61,8220DB000396,"Grand Canal Quay, stop 396",53.34244252,-6.239475948,12343.3.60-C3-b12-1.347.O,12:58:12,12:58:12,2, Maynooth,292.56,60-C3-b12-1,C3,b12
62,8220DB000397,"Pearse Square, stop 397",53.34278556,-6.242015007,12343.3.60-C3-b12-1.347.O,12:59:12,12:59:12,3, Maynooth,466.34,60-C3-b12-1,C3,b12
63,8220DB000398,"Erne Street, stop 398",53.34329494,-6.245478447,12343.3.60-C3-b12-1.347.O,13:00:22,13:00:22,4, Maynooth,702.09,60-C3-b12-1,C3,b12
64,8220DB000399,"Pearse Station, stop 399",53.34386682,-6.248308601,12343.3.60-C3-b12-1.347.O,13:01:19,13:01:19,5, Maynooth,902.06,60-C3-b12-1,C3,b12
65,8220DB007859,"Shaw Street, stop 7859",53.34477987,-6.25295724,12343.3.60-C3-b12-1.347.O,13:02:50,13:02:50,6, Maynooth,1225.66,60-C3-b12-1,C3,b12
66,8220DB007732,"Tara Street, Stop no 7732",53.34722107,-6.255170542,12343.3.60-C3-b12-1.347.O,13:05:07,13:05:07,7, Maynooth,1596.39,60-C3-b12-1,C3,b12
67,8220DB007392,"Aston Quay, stop 7392",53.34640871,-6.261091564,12343.3.60-C3-b12-1.347.O,13:07:53,13:07:53,8, Maynooth,2046.13,60-C3-b12-1,C3,b12
68,8220DB000312,"Wellington Quay, stop 312",53.34547647,-6.266206155,12343.3.60-C3-b12-1.347.O,13:10:00,13:10:00,9, Maynooth,2401.38,60-C3-b12-1,C3,b12
69,8220DB007857,"Merchant's Quay, stop 7857",53.34504365,-6.274169038,12343.3.60-C3-b12-1.347.O,13:12:27,13:12:27,10, Maynooth,2934.42,60-C3-b12-1,C3,b12
70,8220DB007855,"Usher's Quay, stop 7855",53.34592009,-6.279465664,12343.3.60-C3-b12-1.347.O,13:14:09,13:14:09,11, Maynooth,3298.17,60-C3-b12-1,C3,b12
71,8220DB004407,"Victoria Quay, stop 4407",53.3464875,-6.285165429,12343.3.60-C3-b12-1.347.O,13:15:36,13:15:36,12, Maynooth,3684.72,60-C3-b12-1,C3,b12
