Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8260DB003999,"Cooldrinagh Terrace, stop 3999",53.36183677,-6.483482274,12439.3.60-C5-b12-1.351.I,24:03:37,24:03:37,27, Ringsend Road,13514.85,60-C5-b12-1,C5,b12
1,8260DB004000,"Springfield Hotel, stop 4000",53.36053966,-6.478314833,12439.3.60-C5-b12-1.351.I,24:04:09,24:04:09,28, Ringsend Road,13887.04,60-C5-b12-1,C5,b12
2,8230DB004001,"Liffey Valley Golf, stop 4001",53.35892285,-6.472062381,12439.3.60-C5-b12-1.351.I,24:04:49,24:04:49,29, Ringsend Road,14348.24,60-C5-b12-1,C5,b12
3,8230DB003949,"Leixlip Road, stop 3949",53.35551692,-6.460211074,12439.3.60-C5-b12-1.351.I,24:06:09,24:06:09,30, Ringsend Road,15229.92,60-C5-b12-1,C5,b12
4,8230DB003950,"Ball Alley House, stop 3950",53.35560249,-6.455010094,12439.3.60-C5-b12-1.351.I,24:06:59,24:06:59,31, Ringsend Road,15587.87,60-C5-b12-1,C5,b12
5,8230DB003372,"Lucan Village, stop 3372",53.35656433,-6.448094691,12439.3.60-C5-b12-1.351.I,24:08:05,24:08:05,32, Ringsend Road,16059.48,60-C5-b12-1,C5,b12
6,8230DB003373,"Lucan Heights, stop 3373",53.35808279,-6.441849744,12439.3.60-C5-b12-1.351.I,24:09:04,24:09:04,33, Ringsend Road,16533.07,60-C5-b12-1,C5,b12
7,8230DB003374,"St Mary's Church, stop 3374",53.35963427,-6.439524473,12439.3.60-C5-b12-1.351.I,24:09:29,24:09:29,34, Ringsend Road,16764.42,60-C5-b12-1,C5,b12
8,8230DB002233,"Chalet Gardens, stop 2233",53.3600895,-6.435165776,12439.3.60-C5-b12-1.351.I,24:10:02,24:10:02,35, Ringsend Road,17060.36,60-C5-b12-1,C5,b12
9,8230DB002232,"Ballydowd Grove, stop 2232",53.35973763,-6.430956834,12439.3.60-C5-b12-1.351.I,24:10:32,24:10:32,36, Ringsend Road,17345.86,60-C5-b12-1,C5,b12
10,8230DB002234,"Lucan Retail Park, stop 2234",53.35933655,-6.424390974,12439.3.60-C5-b12-1.351.I,24:11:19,24:11:19,37, Ringsend Road,17783.18,60-C5-b12-1,C5,b12
11,8230DB002236,"Hermitage Bridge, stop 2236",53.35886946,-6.410856513,12439.3.60-C5-b12-1.351.I,24:12:43,24:12:43,38, Ringsend Road,18702.92,60-C5-b12-1,C5,b12
12,8230DB005056,"Hermitage Clinic, stop 5056",53.35752149,-6.402793928,12439.3.60-C5-b12-1.351.I,24:13:35,24:13:35,39, Ringsend Road,19261.59,60-C5-b12-1,C5,b12
13,8230DB002239,"Liffey Valley SC, stop 2239",53.35616847,-6.3917274,12439.3.60-C5-b12-1.351.I,24:14:44,24:14:44,40, Ringsend Road,20080.83,60-C5-b12-1,C5,b12
14,8230DB002241,"Kennelsfort Road, stop 2241",53.35492926,-6.371268023,12439.3.60-C5-b12-1.351.I,24:16:40,24:16:40,41, Ringsend Road,21500.25,60-C5-b12-1,C5,b12
15,8230DB002242,"The Oval, stop 2242",53.35392732,-6.367009818,12439.3.60-C5-b12-1.351.I,24:17:08,24:17:08,42, Ringsend Road,21805.65,60-C5-b12-1,C5,b12
16,8220DB002243,"Glenaulin, stop 2243",53.35197438,-6.355697995,12439.3.60-C5-b12-1.351.I,24:18:40,24:18:40,43, Ringsend Road,22599.29,60-C5-b12-1,C5,b12
