Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
94,8220DB007890,"Castleforbes Road, stop 7890",53.34896384,-6.231907021,13107.3.60-G1-b12-1.354.O,08:16:00,08:16:00,1, Red Cow Luas,0.0,60-G1-b12-1,G1,b12
95,8220DB007842,"New Wapping Street, stop 7842",53.34833993,-6.235297491,13107.3.60-G1-b12-1.354.O,08:17:05,08:17:05,2, Red Cow Luas,311.3,60-G1-b12-1,G1,b12
96,8220DB007611,"North Wall Quay, stop 7611",53.34734131,-6.236450249,13107.3.60-G1-b12-1.354.O,08:17:41,08:17:41,3, Red Cow Luas,488.72,60-G1-b12-1,G1,b12
97,8220DB007398,"Convention Centre, stop 7398",53.34749942,-6.239853363,13107.3.60-G1-b12-1.354.O,08:18:18,08:18:18,4, Red Cow Luas,715.7,60-G1-b12-1,G1,b12
98,8220DB007397,"Guild Street, stop 7397",53.34769403,-6.243300061,13107.3.60-G1-b12-1.354.O,08:19:34,08:19:34,5, Red Cow Luas,945.69,60-G1-b12-1,G1,b12
99,8220DB006252,"CHQ, stop 6252",53.34796481,-6.247044075,13107.3.60-G1-b12-1.354.O,08:20:28,08:20:28,6, Red Cow Luas,1195.6,60-G1-b12-1,G1,b12
100,8220DB000303,"Eden Quay, stop 303",53.34806,-6.255992453,13107.3.60-G1-b12-1.354.O,08:22:40,08:22:40,7, Red Cow Luas,1808.17,60-G1-b12-1,G1,b12
101,8220DB007889,"Burgh Quay, stop 7889",53.34707565,-6.258135471,13107.3.60-G1-b12-1.354.O,08:23:46,08:23:46,8, Red Cow Luas,2035.31,60-G1-b12-1,G1,b12
102,8220DB007891,"Wellington Quay, stop 7891",53.34542803,-6.266583613,13107.3.60-G1-b12-1.354.O,08:26:40,08:26:40,9, Red Cow Luas,2623.92,60-G1-b12-1,G1,b12
103,8220DB007888,"Winetavern Street, stop 7888",53.34456126,-6.271890565,13107.3.60-G1-b12-1.354.O,08:28:43,08:28:43,10, Red Cow Luas,3044.62,60-G1-b12-1,G1,b12
104,8220DB001937,"High Street, stop 1937",53.3430875,-6.273151674,13107.3.60-G1-b12-1.354.O,08:30:02,08:30:02,11, Red Cow Luas,3311.03,60-G1-b12-1,G1,b12
105,8220DB001938,"Thomas Street, stop 1938",53.34297789,-6.276760608,13107.3.60-G1-b12-1.354.O,08:31:01,08:31:01,12, Red Cow Luas,3562.45,60-G1-b12-1,G1,b12
106,8220DB001939,"Bridgefoot Street, stop 1939",53.34299827,-6.280664667,13107.3.60-G1-b12-1.354.O,08:31:49,08:31:49,13, Red Cow Luas,3826.36,60-G1-b12-1,G1,b12
107,8220DB001940,"James Street, stop 1940",53.3435386,-6.285734348,13107.3.60-G1-b12-1.354.O,08:32:37,08:32:37,14, Red Cow Luas,4170.34,60-G1-b12-1,G1,b12
108,8220DB001941,"Steeven's Lane, stop 1941",53.3433454,-6.28918142,13107.3.60-G1-b12-1.354.O,08:33:09,08:33:09,15, Red Cow Luas,4399.69,60-G1-b12-1,G1,b12
109,8220DB001942,"St James Hospital, stop 1942",53.34225498,-6.294631729,13107.3.60-G1-b12-1.354.O,08:34:07,08:34:07,16, Red Cow Luas,4783.14,60-G1-b12-1,G1,b12
110,8220DB001943,"Mount Brown, stop 1943",53.34137326,-6.298346366,13107.3.60-G1-b12-1.354.O,08:34:33,08:34:33,17, Red Cow Luas,5048.68,60-G1-b12-1,G1,b12
111,8220DB001944,"Old Kilmainham, stop 1944",53.34067533,-6.303615405,13107.3.60-G1-b12-1.354.O,08:35:11,08:35:11,18, Red Cow Luas,5408.0,60-G1-b12-1,G1,b12
112,8220DB001945,"Inchicore Library, stop 1945",53.34055478,-6.3096874,13107.3.60-G1-b12-1.354.O,08:35:55,08:35:55,19, Red Cow Luas,5811.77,60-G1-b12-1,G1,b12
113,8220DB001946,"Richmond Park, stop 1946",53.3401188,-6.316357477,13107.3.60-G1-b12-1.354.O,08:36:40,08:36:40,20, Red Cow Luas,6264.77,60-G1-b12-1,G1,b12
114,8220DB001947,"Camac Close, stop 1947",53.33981786,-6.317961195,13107.3.60-G1-b12-1.354.O,08:36:51,08:36:51,21, Red Cow Luas,6376.79,60-G1-b12-1,G1,b12
115,8220DB002642,"Grattan Crescent, stop 2642",53.34120909,-6.319738637,13107.3.60-G1-b12-1.354.O,08:38:12,08:38:12,22, Red Cow Luas,6796.04,60-G1-b12-1,G1,b12
116,8220DB002643,"Sarsfield Road, stop 2643",53.3415404,-6.320927062,13107.3.60-G1-b12-1.354.O,08:38:49,08:38:49,23, Red Cow Luas,6984.96,60-G1-b12-1,G1,b12
117,8220DB002644,"Sarsfield Medical, stop 2644",53.34199059,-6.327382266,13107.3.60-G1-b12-1.354.O,08:39:51,08:39:51,24, Red Cow Luas,7428.83,60-G1-b12-1,G1,b12
118,8220DB002709,"Longmeadows, stop 2709",53.34299278,-6.333485665,13107.3.60-G1-b12-1.354.O,08:40:36,08:40:36,25, Red Cow Luas,7850.22,60-G1-b12-1,G1,b12
119,8220DB002710,"Ballyfermot Road, stop 2710",53.34211509,-6.339512208,13107.3.60-G1-b12-1.354.O,08:41:24,08:41:24,26, Red Cow Luas,8292.75,60-G1-b12-1,G1,b12
120,8220DB002711,"Markievicz Park, stop 2711",53.34178353,-6.341522513,13107.3.60-G1-b12-1.354.O,08:41:38,08:41:38,27, Red Cow Luas,8432.19,60-G1-b12-1,G1,b12
121,8220DB002712,"St Gabriel's School, stop 2712",53.34245985,-6.34556626,13107.3.60-G1-b12-1.354.O,08:42:07,08:42:07,28, Red Cow Luas,8712.68,60-G1-b12-1,G1,b12
122,8220DB002655,"Ballyfermot Parade, stop 2655",53.34213816,-6.352847576,13107.3.60-G1-b12-1.354.O,08:43:30,08:43:30,29, Red Cow Luas,9226.45,60-G1-b12-1,G1,b12
123,8220DB002656,"Ballyfermot, stop 2656",53.34262349,-6.358716107,13107.3.60-G1-b12-1.354.O,08:45:10,08:45:10,30, Red Cow Luas,9619.2,60-G1-b12-1,G1,b12
124,8220DB002657,"Clifden Road, stop 2657",53.34131706,-6.361754866,13107.3.60-G1-b12-1.354.O,08:46:12,08:46:12,31, Red Cow Luas,10007.04,60-G1-b12-1,G1,b12
125,8220DB002658,"Oranmore Road, stop 2658",53.33916244,-6.361281823,13107.3.60-G1-b12-1.354.O,08:46:41,08:46:41,32, Red Cow Luas,10250.35,60-G1-b12-1,G1,b12
126,8220DB002659,"Raheen Park Estate, stop 2659",53.33702124,-6.360477948,13107.3.60-G1-b12-1.354.O,08:47:11,08:47:11,33, Red Cow Luas,10493.49,60-G1-b12-1,G1,b12
127,8220DB002660,"Cherry Orchard Ave, stop 2660",53.33577504,-6.360705943,13107.3.60-G1-b12-1.354.O,08:47:37,08:47:37,34, Red Cow Luas,10663.6,60-G1-b12-1,G1,b12
128,8220DB002661,"Cherry Orchard Drive, stop 2661",53.33548606,-6.365191777,13107.3.60-G1-b12-1.354.O,08:48:22,08:48:22,35, Red Cow Luas,10964.22,60-G1-b12-1,G1,b12
129,8220DB002662,"Cherry Orchard Way, stop 2662",53.33679352,-6.370097177,13107.3.60-G1-b12-1.354.O,08:49:03,08:49:03,36, Red Cow Luas,11340.69,60-G1-b12-1,G1,b12
130,8220DB002909,"Saint Ultans School, stop 2909",53.33740924,-6.37372273,13107.3.60-G1-b12-1.354.O,08:49:40,08:49:40,37, Red Cow Luas,11610.07,60-G1-b12-1,G1,b12
131,8220DB006020,"Barnville Green, stop 6020",53.33806916,-6.376640917,13107.3.60-G1-b12-1.354.O,08:50:09,08:50:09,38, Red Cow Luas,11821.06,60-G1-b12-1,G1,b12
132,8220DB006023,"Cedar Brook Place, stop 6023",53.33729944,-6.378862568,13107.3.60-G1-b12-1.354.O,08:50:41,08:50:41,39, Red Cow Luas,12054.03,60-G1-b12-1,G1,b12
133,8220DB006026,"Barnville Walk, stop 6026",53.33559198,-6.379542983,13107.3.60-G1-b12-1.354.O,08:51:36,08:51:36,40, Red Cow Luas,12320.59,60-G1-b12-1,G1,b12
134,8220DB006027,"Park West Station, stop 6027",53.33455462,-6.378606297,13107.3.60-G1-b12-1.354.O,08:52:14,08:52:14,41, Red Cow Luas,12496.45,60-G1-b12-1,G1,b12
135,8220DB006029,"Park West Hotel, stop 6029",53.33250825,-6.374855126,13107.3.60-G1-b12-1.354.O,08:53:13,08:53:13,42, Red Cow Luas,12833.72,60-G1-b12-1,G1,b12
136,8220DB007868,"Park West Road, stop 7868",53.33061246,-6.371609054,13107.3.60-G1-b12-1.354.O,08:53:46,08:53:46,43, Red Cow Luas,13160.43,60-G1-b12-1,G1,b12
137,8230DB006149,"Riverview Park, stop 6149",53.32829282,-6.374850218,13107.3.60-G1-b12-1.354.O,08:55:00,08:55:00,44, Red Cow Luas,13878.32,60-G1-b12-1,G1,b12
138,8230DB004551,"Woodford Walk, stop 4551",53.32649703,-6.38292027,13107.3.60-G1-b12-1.354.O,08:56:16,08:56:16,45, Red Cow Luas,14696.65,60-G1-b12-1,G1,b12
139,8230DB001965,"Woodford Grove, stop 1965",53.32386831,-6.37929675,13107.3.60-G1-b12-1.354.O,08:57:08,08:57:08,46, Red Cow Luas,15081.72,60-G1-b12-1,G1,b12
140,8230DB001966,"Woodford Hill, stop 1966",53.32054306,-6.377996756,13107.3.60-G1-b12-1.354.O,08:58:14,08:58:14,47, Red Cow Luas,15565.37,60-G1-b12-1,G1,b12
141,8230DB007781,"Monastery Gate, stop 7781",53.31835704,-6.375873206,13107.3.60-G1-b12-1.354.O,08:59:08,08:59:08,48, Red Cow Luas,15944.22,60-G1-b12-1,G1,b12
142,8230DB007886,"Red Cow Luas, stop 7886",53.31665374,-6.370924775,13107.3.60-G1-b12-1.354.O,09:00:22,09:00:22,49, Red Cow Luas,16447.1,60-G1-b12-1,G1,b12
