Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB007890,"Castleforbes Road, stop 7890",53.34896384,-6.231907021,13105.3.60-G2-b12-1.356.O,06:14:00,06:14:00,1, Liffey Valley SC,0.0,60-G2-b12-1,G2,b12
1,8220DB007842,"New Wapping Street, stop 7842",53.34833993,-6.235297491,13105.3.60-G2-b12-1.356.O,06:14:48,06:14:48,2, Liffey Valley SC,311.3,60-G2-b12-1,G2,b12
2,8220DB007611,"North Wall Quay, stop 7611",53.34734131,-6.236450249,13105.3.60-G2-b12-1.356.O,06:15:15,06:15:15,3, Liffey Valley SC,488.72,60-G2-b12-1,G2,b12
3,8220DB007398,"Convention Centre, stop 7398",53.34749942,-6.239853363,13105.3.60-G2-b12-1.356.O,06:15:44,06:15:44,4, Liffey Valley SC,715.7,60-G2-b12-1,G2,b12
4,8220DB007397,"Guild Street, stop 7397",53.34769403,-6.243300061,13105.3.60-G2-b12-1.356.O,06:16:58,06:16:58,5, Liffey Valley SC,945.69,60-G2-b12-1,G2,b12
5,8220DB006252,"CHQ, stop 6252",53.34796481,-6.247044075,13105.3.60-G2-b12-1.356.O,06:17:49,06:17:49,6, Liffey Valley SC,1195.6,60-G2-b12-1,G2,b12
6,8220DB000303,"Eden Quay, stop 303",53.34806,-6.255992453,13105.3.60-G2-b12-1.356.O,06:19:53,06:19:53,7, Liffey Valley SC,1808.17,60-G2-b12-1,G2,b12
7,8220DB007889,"Burgh Quay, stop 7889",53.34707565,-6.258135471,13105.3.60-G2-b12-1.356.O,06:20:45,06:20:45,8, Liffey Valley SC,2035.31,60-G2-b12-1,G2,b12
8,8220DB007891,"Wellington Quay, stop 7891",53.34542803,-6.266583613,13105.3.60-G2-b12-1.356.O,06:23:01,06:23:01,9, Liffey Valley SC,2623.92,60-G2-b12-1,G2,b12
9,8220DB007888,"Winetavern Street, stop 7888",53.34456126,-6.271890565,13105.3.60-G2-b12-1.356.O,06:24:37,06:24:37,10, Liffey Valley SC,3044.62,60-G2-b12-1,G2,b12
10,8220DB001937,"High Street, stop 1937",53.3430875,-6.273151674,13105.3.60-G2-b12-1.356.O,06:25:38,06:25:38,11, Liffey Valley SC,3311.03,60-G2-b12-1,G2,b12
11,8220DB001938,"Thomas Street, stop 1938",53.34297789,-6.276760608,13105.3.60-G2-b12-1.356.O,06:26:23,06:26:23,12, Liffey Valley SC,3562.45,60-G2-b12-1,G2,b12
12,8220DB001939,"Bridgefoot Street, stop 1939",53.34299827,-6.280664667,13105.3.60-G2-b12-1.356.O,06:27:43,06:27:43,13, Liffey Valley SC,3826.36,60-G2-b12-1,G2,b12
13,8220DB001940,"James Street, stop 1940",53.3435386,-6.285734348,13105.3.60-G2-b12-1.356.O,06:28:27,06:28:27,14, Liffey Valley SC,4170.34,60-G2-b12-1,G2,b12
14,8220DB001941,"Steeven's Lane, stop 1941",53.3433454,-6.28918142,13105.3.60-G2-b12-1.356.O,06:28:56,06:28:56,15, Liffey Valley SC,4399.69,60-G2-b12-1,G2,b12
15,8220DB001942,"St James Hospital, stop 1942",53.34225498,-6.294631729,13105.3.60-G2-b12-1.356.O,06:29:55,06:29:55,16, Liffey Valley SC,4783.14,60-G2-b12-1,G2,b12
16,8220DB001943,"Mount Brown, stop 1943",53.34137326,-6.298346366,13105.3.60-G2-b12-1.356.O,06:30:21,06:30:21,17, Liffey Valley SC,5048.68,60-G2-b12-1,G2,b12
17,8220DB001944,"Old Kilmainham, stop 1944",53.34067533,-6.303615405,13105.3.60-G2-b12-1.356.O,06:31:05,06:31:05,18, Liffey Valley SC,5408.0,60-G2-b12-1,G2,b12
18,8220DB001945,"Inchicore Library, stop 1945",53.34055478,-6.3096874,13105.3.60-G2-b12-1.356.O,06:31:55,06:31:55,19, Liffey Valley SC,5811.77,60-G2-b12-1,G2,b12
19,8220DB001946,"Richmond Park, stop 1946",53.3401188,-6.316357477,13105.3.60-G2-b12-1.356.O,06:32:58,06:32:58,20, Liffey Valley SC,6264.77,60-G2-b12-1,G2,b12
20,8220DB001947,"Camac Close, stop 1947",53.33981786,-6.317961195,13105.3.60-G2-b12-1.356.O,06:33:14,06:33:14,21, Liffey Valley SC,6376.79,60-G2-b12-1,G2,b12
21,8220DB002642,"Grattan Crescent, stop 2642",53.34120909,-6.319738637,13105.3.60-G2-b12-1.356.O,06:34:25,06:34:25,22, Liffey Valley SC,6796.04,60-G2-b12-1,G2,b12
22,8220DB002643,"Sarsfield Road, stop 2643",53.3415404,-6.320927062,13105.3.60-G2-b12-1.356.O,06:34:58,06:34:58,23, Liffey Valley SC,6984.96,60-G2-b12-1,G2,b12
23,8220DB002644,"Sarsfield Medical, stop 2644",53.34199059,-6.327382266,13105.3.60-G2-b12-1.356.O,06:35:40,06:35:40,24, Liffey Valley SC,7428.83,60-G2-b12-1,G2,b12
24,8220DB002709,"Longmeadows, stop 2709",53.34299278,-6.333485665,13105.3.60-G2-b12-1.356.O,06:36:20,06:36:20,25, Liffey Valley SC,7850.22,60-G2-b12-1,G2,b12
25,8220DB002710,"Ballyfermot Road, stop 2710",53.34211509,-6.339512208,13105.3.60-G2-b12-1.356.O,06:37:03,06:37:03,26, Liffey Valley SC,8292.75,60-G2-b12-1,G2,b12
26,8220DB002711,"Markievicz Park, stop 2711",53.34178353,-6.341522513,13105.3.60-G2-b12-1.356.O,06:37:22,06:37:22,27, Liffey Valley SC,8432.19,60-G2-b12-1,G2,b12
