Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
106,8230DB007976,"Liffey Valley West, stop 7976",53.35271276,-6.396078675,13106.3.60-G2-b12-1.357.I,07:13:00,07:13:00,1, Spencer Dock,0.0,60-G2-b12-1,G2,b12
107,8230DB07755,"Clayton Hotel, stop 7755",53.35354586,-6.401230057,13106.3.60-G2-b12-1.357.I,07:13:43,07:13:43,2, Spencer Dock,412.76,60-G2-b12-1,G2,b12
108,8230DB004688,"Shancastle Park, stop 4688",53.35040934,-6.404607022,13106.3.60-G2-b12-1.357.I,07:14:43,07:14:43,3, Spencer Dock,943.35,60-G2-b12-1,G2,b12
109,8230DB004689,"Fonthill Retail Park, stop 4689",53.3476992,-6.405594414,13106.3.60-G2-b12-1.357.I,07:15:35,07:15:35,4, Spencer Dock,1265.79,60-G2-b12-1,G2,b12
110,8230DB004410,"St Mark's Grove, stop 4410",53.34524896,-6.406526926,13106.3.60-G2-b12-1.357.I,07:15:59,07:15:59,5, Spencer Dock,1546.16,60-G2-b12-1,G2,b12
111,8230DB002678,"Rowlagh, stop 2678",53.34350401,-6.407102633,13106.3.60-G2-b12-1.357.I,07:16:13,07:16:13,6, Spencer Dock,1744.64,60-G2-b12-1,G2,b12
112,8230DB002679,"Rowlagh Crescent, stop 2679",53.34155623,-6.40797119,13106.3.60-G2-b12-1.357.I,07:16:47,07:16:47,7, Spencer Dock,1968.33,60-G2-b12-1,G2,b12
113,8230DB002680,"Foxdene Gardens, stop 2680",53.33876117,-6.407985208,13106.3.60-G2-b12-1.357.I,07:17:34,07:17:34,8, Spencer Dock,2279.64,60-G2-b12-1,G2,b12
114,8230DB002676,"Wood Avens, stop 2676",53.33662312,-6.404701207,13106.3.60-G2-b12-1.357.I,07:18:11,07:18:11,9, Spencer Dock,2652.54,60-G2-b12-1,G2,b12
115,8230DB002118,"Neilstown Road, stop 2118",53.33562399,-6.400564075,13106.3.60-G2-b12-1.357.I,07:19:21,07:19:21,10, Spencer Dock,3071.21,60-G2-b12-1,G2,b12
116,8230DB002119,"St Peter School, stop 2119",53.33704793,-6.400180428,13106.3.60-G2-b12-1.357.I,07:19:48,07:19:48,11, Spencer Dock,3234.97,60-G2-b12-1,G2,b12
117,8230DB002120,"Collinstown College, stop 2120",53.34116327,-6.399425654,13106.3.60-G2-b12-1.357.I,07:21:04,07:21:04,12, Spencer Dock,3707.89,60-G2-b12-1,G2,b12
118,8230DB002121,"Rowlagh, stop 2121",53.34387558,-6.398603156,13106.3.60-G2-b12-1.357.I,07:21:55,07:21:55,13, Spencer Dock,4029.05,60-G2-b12-1,G2,b12
119,8230DB002123,"St Mark's Avenue, stop 2123",53.34717603,-6.398073913,13106.3.60-G2-b12-1.357.I,07:22:53,07:22:53,14, Spencer Dock,4406.34,60-G2-b12-1,G2,b12
120,8230DB002685,"Coldcut Road, stop 2685",53.34795509,-6.395851745,13106.3.60-G2-b12-1.357.I,07:23:32,07:23:32,15, Spencer Dock,4655.95,60-G2-b12-1,G2,b12
121,8230DB002686,"Sports Club, stop 2686",53.34765219,-6.388713524,13106.3.60-G2-b12-1.357.I,07:24:29,07:24:29,16, Spencer Dock,5131.81,60-G2-b12-1,G2,b12
122,8230DB007510,"Cloverhill Road, stop 7510",53.34719069,-6.384495287,13106.3.60-G2-b12-1.357.I,07:25:03,07:25:03,17, Spencer Dock,5413.11,60-G2-b12-1,G2,b12
123,8230DB004799,"Ballyfermot Road, stop 4799",53.34519374,-6.379073722,13106.3.60-G2-b12-1.357.I,07:26:13,07:26:13,18, Spencer Dock,5856.34,60-G2-b12-1,G2,b12
124,8230DB002205,"Cherry Orchard Hosp, stop 2205",53.34459064,-6.377023963,13106.3.60-G2-b12-1.357.I,07:26:37,07:26:37,19, Spencer Dock,6011.98,60-G2-b12-1,G2,b12
125,8230DB002687,"Cherry Orchard IE, stop 2687",53.34396112,-6.373037829,13106.3.60-G2-b12-1.357.I,07:27:13,07:27:13,20, Spencer Dock,6287.37,60-G2-b12-1,G2,b12
126,8220DB002688,"Cleggan Park, stop 2688",53.34346351,-6.368190708,13106.3.60-G2-b12-1.357.I,07:27:53,07:27:53,21, Spencer Dock,6615.22,60-G2-b12-1,G2,b12
127,8220DB002689,"Blackditch Drive, stop 2689",53.343106,-6.363743832,13106.3.60-G2-b12-1.357.I,07:28:30,07:28:30,22, Spencer Dock,6912.13,60-G2-b12-1,G2,b12
128,8220DB002696,"Ballyfermot, stop 2696",53.34268762,-6.358803755,13106.3.60-G2-b12-1.357.I,07:29:41,07:29:41,23, Spencer Dock,7243.37,60-G2-b12-1,G2,b12
129,8220DB002697,"Ballyfermot Parade, stop 2697",53.34227747,-6.35317261,13106.3.60-G2-b12-1.357.I,07:30:44,07:30:44,24, Spencer Dock,7621.22,60-G2-b12-1,G2,b12
