Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8240DB000950,"Baldoyle Church, stop 950",53.39964609,-6.128037574,1129.1.60-H1-b12-1.116.I,07:26:00,07:26:00,1, Abbey St Lower,0.0,60-H1-b12-1,H1,b12
1,8240DB000915,"College Street, stop 915",53.398463,-6.129397876,1129.1.60-H1-b12-1.116.I,07:26:24,07:26:24,2, Abbey St Lower,199.76,60-H1-b12-1,H1,b12
2,8240DB000916,"Georgian Hamlet, stop 916",53.39782041,-6.131411138,1129.1.60-H1-b12-1.116.I,07:26:42,07:26:42,3, Abbey St Lower,352.03,60-H1-b12-1,H1,b12
3,8240DB000917,"Admiral Park, stop 917",53.3972551,-6.133195382,1129.1.60-H1-b12-1.116.I,07:27:15,07:27:15,4, Abbey St Lower,485.02,60-H1-b12-1,H1,b12
4,8240DB000918,"Baldoyle Youth Club, stop 918",53.3972217,-6.136234561,1129.1.60-H1-b12-1.116.I,07:28:02,07:28:02,5, Abbey St Lower,696.98,60-H1-b12-1,H1,b12
5,8240DB000919,"Laurence O'Toole Ch, stop 919",53.39666492,-6.139146193,1129.1.60-H1-b12-1.116.I,07:28:51,07:28:51,6, Abbey St Lower,910.12,60-H1-b12-1,H1,b12
6,8240DB007551,"Abbey Park, stop 7551",53.39715948,-6.143199954,1129.1.60-H1-b12-1.116.I,07:30:08,07:30:08,7, Abbey St Lower,1179.87,60-H1-b12-1,H1,b12
7,8240DB004800,"Industrial Estate, stop 4800",53.39759732,-6.147662306,1129.1.60-H1-b12-1.116.I,07:31:35,07:31:35,8, Abbey St Lower,1481.11,60-H1-b12-1,H1,b12
8,8220DB005157,"Grange Abbey Grove, stop 5157",53.39816906,-6.153818294,1129.1.60-H1-b12-1.116.I,07:33:15,07:33:15,9, Abbey St Lower,1896.53,60-H1-b12-1,H1,b12
9,8220DB005154,"Grange Abbey Drive, stop 5154",53.3982344,-6.156883321,1129.1.60-H1-b12-1.116.I,07:34:04,07:34:04,10, Abbey St Lower,2099.86,60-H1-b12-1,H1,b12
10,8220DB004804,"Old Grange Abbey, stop 4804",53.39852469,-6.159968727,1129.1.60-H1-b12-1.116.I,07:34:54,07:34:54,11, Abbey St Lower,2306.43,60-H1-b12-1,H1,b12
11,8220DB000738,"Grange Road, stop 738",53.39760036,-6.161813205,1129.1.60-H1-b12-1.116.I,07:35:53,07:35:53,12, Abbey St Lower,2547.24,60-H1-b12-1,H1,b12
12,8220DB000739,"Holy Trinity Church, stop 739",53.39514509,-6.163467889,1129.1.60-H1-b12-1.116.I,07:37:17,07:37:17,13, Abbey St Lower,2842.49,60-H1-b12-1,H1,b12
13,8220DB000740,"Ardara Avenue, stop 740",53.39314128,-6.167012615,1129.1.60-H1-b12-1.116.I,07:39:16,07:39:16,14, Abbey St Lower,3176.09,60-H1-b12-1,H1,b12
14,8220DB000741,"St Donagh's Road, stop 741",53.39190773,-6.167456571,1129.1.60-H1-b12-1.116.I,07:40:06,07:40:06,15, Abbey St Lower,3318.28,60-H1-b12-1,H1,b12
15,8220DB000742,"Raheny Road, stop 742",53.38982341,-6.169861588,1129.1.60-H1-b12-1.116.I,07:41:25,07:41:25,16, Abbey St Lower,3648.4,60-H1-b12-1,H1,b12
16,8220DB000743,"Woodbine Park, stop 743",53.38802486,-6.172735238,1129.1.60-H1-b12-1.116.I,07:42:31,07:42:31,17, Abbey St Lower,3924.56,60-H1-b12-1,H1,b12
17,8220DB000744,"Belmont Park, stop 744",53.3850922,-6.174920484,1129.1.60-H1-b12-1.116.I,07:44:26,07:44:26,18, Abbey St Lower,4293.74,60-H1-b12-1,H1,b12
18,8220DB000745,"Raheny Station, stop 745",53.38134357,-6.175471677,1129.1.60-H1-b12-1.116.I,07:46:44,07:46:44,19, Abbey St Lower,4737.23,60-H1-b12-1,H1,b12
19,8220DB000600,"Raheny, stop 600",53.38024793,-6.176119811,1129.1.60-H1-b12-1.116.I,07:48:13,07:48:13,20, Abbey St Lower,4919.75,60-H1-b12-1,H1,b12
20,8220DB000654,"Watermill Road, stop 654",53.37921008,-6.177020981,1129.1.60-H1-b12-1.116.I,07:49:13,07:49:13,21, Abbey St Lower,5197.43,60-H1-b12-1,H1,b12
21,8220DB000655,"Watermill Drive, stop 655",53.37773867,-6.175430402,1129.1.60-H1-b12-1.116.I,07:50:14,07:50:14,22, Abbey St Lower,5480.45,60-H1-b12-1,H1,b12
22,8220DB000656,"St Anne's Avenue, stop 656",53.3764702,-6.177709192,1129.1.60-H1-b12-1.116.I,07:50:59,07:50:59,23, Abbey St Lower,5687.32,60-H1-b12-1,H1,b12
23,8220DB000657,"All Saints Park, stop 657",53.3755454,-6.178951117,1129.1.60-H1-b12-1.116.I,07:51:33,07:51:33,24, Abbey St Lower,5845.56,60-H1-b12-1,H1,b12
24,8220DB000658,"Waterfall Road, stop 658",53.37498005,-6.18313862,1129.1.60-H1-b12-1.116.I,07:52:37,07:52:37,25, Abbey St Lower,6139.87,60-H1-b12-1,H1,b12
25,8220DB000659,"Sybil Hill Avenue, stop 659",53.37523744,-6.185878213,1129.1.60-H1-b12-1.116.I,07:53:16,07:53:16,26, Abbey St Lower,6324.97,60-H1-b12-1,H1,b12
26,8220DB000604,"All Saints Road, stop 604",53.37635464,-6.19079086,1129.1.60-H1-b12-1.116.I,07:54:28,07:54:28,27, Abbey St Lower,6705.04,60-H1-b12-1,H1,b12
27,8220DB000605,"The Meadows, stop 605",53.37566666,-6.193435327,1129.1.60-H1-b12-1.116.I,07:55:44,07:55:44,28, Abbey St Lower,6895.91,60-H1-b12-1,H1,b12
28,8220DB000606,"St Brigid's Church, stop 606",53.37470898,-6.19786466,1129.1.60-H1-b12-1.116.I,07:56:42,07:56:42,29, Abbey St Lower,7208.36,60-H1-b12-1,H1,b12
29,8220DB000607,"The Demesne, stop 607",53.37251578,-6.202030214,1129.1.60-H1-b12-1.116.I,07:57:53,07:57:53,30, Abbey St Lower,7589.34,60-H1-b12-1,H1,b12
30,8220DB000608,"Killester, stop 608",53.37107838,-6.204465315,1129.1.60-H1-b12-1.116.I,07:58:39,07:58:39,31, Abbey St Lower,7842.35,60-H1-b12-1,H1,b12
31,8220DB000609,"Castle Grove, stop 609",53.36983754,-6.208620256,1129.1.60-H1-b12-1.116.I,07:59:39,07:59:39,32, Abbey St Lower,8167.18,60-H1-b12-1,H1,b12
