Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
172,8220DB007591,"Abbey Street Lower, stop 7591",53.34889015,-6.256829774,11475.3.60-H1-b12-1.115.O,06:20:00,06:20:00,1, Baldoyle,0.0,60-H1-b12-1,H1,b12
173,8220DB000496,"Busáras, stop 496",53.34949688,-6.252223579,11475.3.60-H1-b12-1.115.O,06:20:59,06:20:59,2, Baldoyle,317.87,60-H1-b12-1,H1,b12
174,8220DB000515,"Portland Row, stop 515",53.35353487,-6.248092401,11475.3.60-H1-b12-1.115.O,06:22:40,06:22:40,3, Baldoyle,876.5,60-H1-b12-1,H1,b12
175,8220DB000516,"North Strand Road, stop 516",53.35568392,-6.245705684,11475.3.60-H1-b12-1.115.O,06:23:38,06:23:38,4, Baldoyle,1161.18,60-H1-b12-1,H1,b12
176,8220DB004384,"Bayview Avenue, stop 4384",53.35768013,-6.242709027,11475.3.60-H1-b12-1.115.O,06:24:19,06:24:19,5, Baldoyle,1460.21,60-H1-b12-1,H1,b12
177,8220DB000518,"Waterloo Avenue, stop 518",53.35890416,-6.240990944,11475.3.60-H1-b12-1.115.O,06:24:45,06:24:45,6, Baldoyle,1637.32,60-H1-b12-1,H1,b12
178,8220DB000519,"North Strand Fire Station, stop 519",53.36033876,-6.239534529,11475.3.60-H1-b12-1.115.O,06:25:10,06:25:10,7, Baldoyle,1826.36,60-H1-b12-1,H1,b12
179,8220DB000521,"Annesley Bridge, stop 521",53.36163705,-6.237978461,11475.3.60-H1-b12-1.115.O,06:25:41,06:25:41,8, Baldoyle,2002.88,60-H1-b12-1,H1,b12
180,8220DB000522,"Fairview, stop 522",53.36328895,-6.235415975,11475.3.60-H1-b12-1.115.O,06:26:26,06:26:26,9, Baldoyle,2254.85,60-H1-b12-1,H1,b12
181,8220DB000523,"Marino College, stop 523",53.36428545,-6.231693332,11475.3.60-H1-b12-1.115.O,06:27:12,06:27:12,10, Baldoyle,2523.65,60-H1-b12-1,H1,b12
