Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8220DB007591,"Abbey Street Lower, stop 7591",53.34889015,-6.256829774,11753.3.60-H2-b12-1.358.O,14:37:00,14:37:00,1, Malahide,0.0,60-H2-b12-1,H2,b12
1,8220DB000496,"Busáras, stop 496",53.34949688,-6.252223579,11753.3.60-H2-b12-1.358.O,14:38:10,14:38:10,2, Malahide,317.87,60-H2-b12-1,H2,b12
2,8220DB000515,"Portland Row, stop 515",53.35353487,-6.248092401,11753.3.60-H2-b12-1.358.O,14:40:11,14:40:11,3, Malahide,876.5,60-H2-b12-1,H2,b12
3,8220DB000516,"North Strand Road, stop 516",53.35568392,-6.245705684,11753.3.60-H2-b12-1.358.O,14:41:24,14:41:24,4, Malahide,1161.18,60-H2-b12-1,H2,b12
4,8220DB004384,"Bayview Avenue, stop 4384",53.35768013,-6.242709027,11753.3.60-H2-b12-1.358.O,14:42:19,14:42:19,5, Malahide,1460.21,60-H2-b12-1,H2,b12
5,8220DB000518,"Waterloo Avenue, stop 518",53.35890416,-6.240990944,11753.3.60-H2-b12-1.358.O,14:42:54,14:42:54,6, Malahide,1637.32,60-H2-b12-1,H2,b12
6,8220DB000519,"North Strand Fire Station, stop 519",53.36033876,-6.239534529,11753.3.60-H2-b12-1.358.O,14:43:27,14:43:27,7, Malahide,1826.36,60-H2-b12-1,H2,b12
7,8220DB000521,"Annesley Bridge, stop 521",53.36163705,-6.237978461,11753.3.60-H2-b12-1.358.O,14:44:09,14:44:09,8, Malahide,2002.88,60-H2-b12-1,H2,b12
8,8220DB000522,"Fairview, stop 522",53.36328895,-6.235415975,11753.3.60-H2-b12-1.358.O,14:45:09,14:45:09,9, Malahide,2254.85,60-H2-b12-1,H2,b12
9,8220DB000523,"Marino College, stop 523",53.36428545,-6.231693332,11753.3.60-H2-b12-1.358.O,14:46:26,14:46:26,10, Malahide,2523.65,60-H2-b12-1,H2,b12
10,8220DB000525,"Howth Road, stop 525",53.36496087,-6.226330911,11753.3.60-H2-b12-1.358.O,14:48:14,14:48:14,11, Malahide,2909.86,60-H2-b12-1,H2,b12
11,8220DB000526,"Copeland Grove, stop 526",53.36686957,-6.221112279,11753.3.60-H2-b12-1.358.O,14:49:11,14:49:11,12, Malahide,3314.33,60-H2-b12-1,H2,b12
12,8220DB000527,"Ashbrook, stop 527",53.36801988,-6.212678881,11753.3.60-H2-b12-1.358.O,14:50:34,14:50:34,13, Malahide,3901.18,60-H2-b12-1,H2,b12
13,8220DB000528,"Castle Grove, stop 528",53.36926408,-6.209936745,11753.3.60-H2-b12-1.358.O,14:51:24,14:51:24,14, Malahide,4133.35,60-H2-b12-1,H2,b12
14,8220DB000529,"Collins Avenue, stop 529",53.37057741,-6.207612345,11753.3.60-H2-b12-1.358.O,14:52:12,14:52:12,15, Malahide,4345.03,60-H2-b12-1,H2,b12
15,8220DB000530,"Killester, stop 530",53.37122453,-6.20402333,11753.3.60-H2-b12-1.358.O,14:53:07,14:53:07,16, Malahide,4598.64,60-H2-b12-1,H2,b12
16,8220DB000531,"The Demesne, stop 531",53.37325091,-6.201307885,11753.3.60-H2-b12-1.358.O,14:53:55,14:53:55,17, Malahide,4911.83,60-H2-b12-1,H2,b12
17,8220DB000709,"St Brigid's Church, stop 709",53.37503806,-6.197039132,11753.3.60-H2-b12-1.358.O,14:54:49,14:54:49,18, Malahide,5258.88,60-H2-b12-1,H2,b12
18,8220DB000532,"The Meadows, stop 532",53.37580208,-6.193474686,11753.3.60-H2-b12-1.358.O,14:56:22,14:56:22,19, Malahide,5509.78,60-H2-b12-1,H2,b12
19,8220DB000533,"Ennafort Park, stop 533",53.37758328,-6.18705614,11753.3.60-H2-b12-1.358.O,14:57:16,14:57:16,20, Malahide,5984.79,60-H2-b12-1,H2,b12
20,8220DB000534,"Cill Eanna, stop 534",53.37875024,-6.18164029,11753.3.60-H2-b12-1.358.O,14:58:34,14:58:34,21, Malahide,6371.86,60-H2-b12-1,H2,b12
21,8220DB000535,"Raheny, stop 535",53.38025707,-6.177306957,11753.3.60-H2-b12-1.358.O,14:59:38,14:59:38,22, Malahide,6702.95,60-H2-b12-1,H2,b12
22,8220DB000536,"Raheny Library, stop 536",53.38042376,-6.173511727,11753.3.60-H2-b12-1.358.O,15:01:27,15:01:27,23, Malahide,6953.74,60-H2-b12-1,H2,b12
23,8220DB000537,"Avondale Park, stop 537",53.3799012,-6.168152635,11753.3.60-H2-b12-1.358.O,15:02:12,15:02:12,24, Malahide,7315.49,60-H2-b12-1,H2,b12
24,8220DB000538,"Maywood, stop 538",53.38013806,-6.164264183,11753.3.60-H2-b12-1.358.O,15:02:44,15:02:44,25, Malahide,7576.4,60-H2-b12-1,H2,b12
25,8220DB000539,"Foxfield, stop 539",53.38067366,-6.159355642,11753.3.60-H2-b12-1.358.O,15:03:19,15:03:19,26, Malahide,7907.58,60-H2-b12-1,H2,b12
26,8220DB000540,"Lonsdale,stop 540",53.38133628,-6.155117944,11753.3.60-H2-b12-1.358.O,15:03:48,15:03:48,27, Malahide,8199.83,60-H2-b12-1,H2,b12
27,8220DB000541,"James Larkin Road, stop 541",53.38187271,-6.152028068,11753.3.60-H2-b12-1.358.O,15:04:09,15:04:09,28, Malahide,8413.58,60-H2-b12-1,H2,b12
28,8220DB000542,"Strand View, stop 542",53.38366192,-6.14626795,11753.3.60-H2-b12-1.358.O,15:05:37,15:05:37,29, Malahide,8859.67,60-H2-b12-1,H2,b12
29,8240DB000543,"Kilbarrack Road, stop 543",53.3850577,-6.142388693,11753.3.60-H2-b12-1.358.O,15:06:37,15:06:37,30, Malahide,9158.75,60-H2-b12-1,H2,b12
30,8240DB000544,"Bayside, stop 544",53.38616389,-6.137815203,11753.3.60-H2-b12-1.358.O,15:07:16,15:07:16,31, Malahide,9484.95,60-H2-b12-1,H2,b12
31,8240DB000545,"Kilbarrack Cemetery, stop 545",53.38711198,-6.133488944,11753.3.60-H2-b12-1.358.O,15:07:52,15:07:52,32, Malahide,9791.42,60-H2-b12-1,H2,b12
32,8240DB000546,"Sutton Park, stop 546",53.38802025,-6.128352347,11753.3.60-H2-b12-1.358.O,15:08:34,15:08:34,33, Malahide,10145.83,60-H2-b12-1,H2,b12
33,8240DB000910,"Baldoyle Road, stop 910",53.38900818,-6.124294566,11753.3.60-H2-b12-1.358.O,15:09:26,15:09:26,34, Malahide,10478.56,60-H2-b12-1,H2,b12
34,8240DB000911,"St Domhnach's Well, stop 911",53.39104237,-6.124475759,11753.3.60-H2-b12-1.358.O,15:10:03,15:10:03,35, Malahide,10714.05,60-H2-b12-1,H2,b12
35,8240DB000912,"Moyclare, stop 912",53.39349255,-6.125390521,11753.3.60-H2-b12-1.358.O,15:10:46,15:10:46,36, Malahide,10993.48,60-H2-b12-1,H2,b12
36,8240DB000913,"Baldoyle, stop 913",53.39685463,-6.126566078,11753.3.60-H2-b12-1.358.O,15:11:57,15:11:57,37, Malahide,11373.94,60-H2-b12-1,H2,b12
37,8240DB000914,"Willie Nolan Road, stop 914",53.3987569,-6.127505138,11753.3.60-H2-b12-1.358.O,15:12:52,15:12:52,38, Malahide,11596.65,60-H2-b12-1,H2,b12
38,8240DB000938,"Red Arches Rd, stop 938",53.40154306,-6.130360646,11753.3.60-H2-b12-1.358.O,15:13:30,15:13:30,39, Malahide,11963.01,60-H2-b12-1,H2,b12
39,8240DB000940,"Moyne Cottages, stop 940",53.40655491,-6.134728496,11753.3.60-H2-b12-1.358.O,15:14:23,15:14:23,40, Malahide,12606.04,60-H2-b12-1,H2,b12
40,8240DB000941,"Moyne Bridge, stop 941",53.4100761,-6.136890986,11753.3.60-H2-b12-1.358.O,15:15:06,15:15:06,41, Malahide,13022.58,60-H2-b12-1,H2,b12
41,8240DB000942,"St Rita's House, stop 942",53.41503798,-6.13864489,11753.3.60-H2-b12-1.358.O,15:16:05,15:16:05,42, Malahide,13595.18,60-H2-b12-1,H2,b12
42,8240DB000943,"Portmarnock Bridge, stop 943",53.41824783,-6.142175806,11753.3.60-H2-b12-1.358.O,15:16:59,15:16:59,43, Malahide,14106.14,60-H2-b12-1,H2,b12
43,8240DB004503,"Hazel Grove, stop 4503",53.41907085,-6.140770743,11753.3.60-H2-b12-1.358.O,15:17:25,15:17:25,44, Malahide,14237.42,60-H2-b12-1,H2,b12
44,8240DB003599,"Portmarnock, stop 3599",53.42164641,-6.136475335,11753.3.60-H2-b12-1.358.O,15:18:49,15:18:49,45, Malahide,14641.88,60-H2-b12-1,H2,b12
45,8240DB003610,"Carrickhill Rd Lower, stop 3610",53.42574786,-6.134354688,11753.3.60-H2-b12-1.358.O,15:20:03,15:20:03,46, Malahide,15163.64,60-H2-b12-1,H2,b12
46,8240DB003611,"Ardilaun, stop 3611",53.42884648,-6.133632042,11753.3.60-H2-b12-1.358.O,15:20:53,15:20:53,47, Malahide,15511.55,60-H2-b12-1,H2,b12
47,8240DB006135,"Hillcourt, stop 6135",53.43124552,-6.134730931,11753.3.60-H2-b12-1.358.O,15:21:36,15:21:36,48, Malahide,15813.7,60-H2-b12-1,H2,b12
48,8240DB003612,"Community School, stop 3612",53.43336886,-6.136594556,11753.3.60-H2-b12-1.358.O,15:22:14,15:22:14,49, Malahide,16084.98,60-H2-b12-1,H2,b12
49,8240DB003613,"Redfern Avenue, stop 3613",53.43509975,-6.134622317,11753.3.60-H2-b12-1.358.O,15:22:55,15:22:55,50, Malahide,16380.4,60-H2-b12-1,H2,b12
50,8240DB003615,"Briar Walk, stop 3615",53.4353132,-6.131602634,11753.3.60-H2-b12-1.358.O,15:23:29,15:23:29,51, Malahide,16581.3,60-H2-b12-1,H2,b12
51,8240DB007982,"Dewberry Park, stop 7982",53.43421833,-6.127120234,11753.3.60-H2-b12-1.358.O,15:24:35,15:24:35,52, Malahide,16951.78,60-H2-b12-1,H2,b12
52,8240DB003616,"Wendell Avenue, stop 3616",53.43427606,-6.123926816,11753.3.60-H2-b12-1.358.O,15:25:16,15:25:16,53, Malahide,17188.61,60-H2-b12-1,H2,b12
53,8240DB003618,"Monks Meadow, stop 3618",53.438694,-6.123084884,11753.3.60-H2-b12-1.358.O,15:26:00,15:26:00,54, Malahide,17715.67,60-H2-b12-1,H2,b12
54,8240DB003619,"Robswall Crescent, stop 3619",53.44470427,-6.128059033,11753.3.60-H2-b12-1.358.O,15:27:10,15:27:10,55, Malahide,18531.01,60-H2-b12-1,H2,b12
55,8240DB003620,"Biscayne, stop 3620",53.44647239,-6.134214302,11753.3.60-H2-b12-1.358.O,15:27:49,15:27:49,56, Malahide,18995.25,60-H2-b12-1,H2,b12
56,8240DB003621,"Muldowney Court, stop 3621",53.44838222,-6.136795546,11753.3.60-H2-b12-1.358.O,15:28:13,15:28:13,57, Malahide,19279.51,60-H2-b12-1,H2,b12
57,8240DB003622,"Sea Park, stop 3622",53.4494644,-6.139910069,11753.3.60-H2-b12-1.358.O,15:28:35,15:28:35,58, Malahide,19520.15,60-H2-b12-1,H2,b12
58,8240DB003623,"Mayfair, stop 3623",53.45065654,-6.143742691,11753.3.60-H2-b12-1.358.O,15:29:02,15:29:02,59, Malahide,19817.42,60-H2-b12-1,H2,b12
59,8240DB004387,"Malahide Village, stop 4387",53.45086534,-6.152572118,11753.3.60-H2-b12-1.358.O,15:32:02,15:32:02,60, Malahide,20419.26,60-H2-b12-1,H2,b12
