Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
106,8220DB007591,"Abbey Street Lower, stop 7591",53.34889015,-6.256829774,11749.3.60-H3-b12-1.360.O,09:52:00,09:52:00,1, Howth Summit,0.0,60-H3-b12-1,H3,b12
107,8220DB000496,"Busáras, stop 496",53.34949688,-6.252223579,11749.3.60-H3-b12-1.360.O,09:53:20,09:53:20,2, Howth Summit,317.87,60-H3-b12-1,H3,b12
108,8220DB000515,"Portland Row, stop 515",53.35353487,-6.248092401,11749.3.60-H3-b12-1.360.O,09:55:38,09:55:38,3, Howth Summit,876.5,60-H3-b12-1,H3,b12
109,8220DB000516,"North Strand Road, stop 516",53.35568392,-6.245705684,11749.3.60-H3-b12-1.360.O,09:56:37,09:56:37,4, Howth Summit,1161.18,60-H3-b12-1,H3,b12
110,8220DB004384,"Bayview Avenue, stop 4384",53.35768013,-6.242709027,11749.3.60-H3-b12-1.360.O,09:57:33,09:57:33,5, Howth Summit,1460.21,60-H3-b12-1,H3,b12
111,8220DB000518,"Waterloo Avenue, stop 518",53.35890416,-6.240990944,11749.3.60-H3-b12-1.360.O,09:58:08,09:58:08,6, Howth Summit,1637.32,60-H3-b12-1,H3,b12
112,8220DB000519,"North Strand Fire Station, stop 519",53.36033876,-6.239534529,11749.3.60-H3-b12-1.360.O,09:58:41,09:58:41,7, Howth Summit,1826.36,60-H3-b12-1,H3,b12
113,8220DB000521,"Annesley Bridge, stop 521",53.36163705,-6.237978461,11749.3.60-H3-b12-1.360.O,09:59:27,09:59:27,8, Howth Summit,2002.88,60-H3-b12-1,H3,b12
114,8220DB000522,"Fairview, stop 522",53.36328895,-6.235415975,11749.3.60-H3-b12-1.360.O,10:00:31,10:00:31,9, Howth Summit,2254.85,60-H3-b12-1,H3,b12
115,8220DB000523,"Marino College, stop 523",53.36428545,-6.231693332,11749.3.60-H3-b12-1.360.O,10:01:30,10:01:30,10, Howth Summit,2523.65,60-H3-b12-1,H3,b12
116,8220DB000525,"Howth Road, stop 525",53.36496087,-6.226330911,11749.3.60-H3-b12-1.360.O,10:02:53,10:02:53,11, Howth Summit,2909.86,60-H3-b12-1,H3,b12
117,8220DB000526,"Copeland Grove, stop 526",53.36686957,-6.221112279,11749.3.60-H3-b12-1.360.O,10:03:43,10:03:43,12, Howth Summit,3314.33,60-H3-b12-1,H3,b12
118,8220DB000527,"Ashbrook, stop 527",53.36801988,-6.212678881,11749.3.60-H3-b12-1.360.O,10:04:55,10:04:55,13, Howth Summit,3901.18,60-H3-b12-1,H3,b12
119,8220DB000528,"Castle Grove, stop 528",53.36926408,-6.209936745,11749.3.60-H3-b12-1.360.O,10:05:36,10:05:36,14, Howth Summit,4133.35,60-H3-b12-1,H3,b12
120,8220DB000529,"Collins Avenue, stop 529",53.37057741,-6.207612345,11749.3.60-H3-b12-1.360.O,10:06:14,10:06:14,15, Howth Summit,4345.03,60-H3-b12-1,H3,b12
121,8220DB000530,"Killester, stop 530",53.37122453,-6.20402333,11749.3.60-H3-b12-1.360.O,10:06:58,10:06:58,16, Howth Summit,4598.64,60-H3-b12-1,H3,b12
122,8220DB000531,"The Demesne, stop 531",53.37325091,-6.201307885,11749.3.60-H3-b12-1.360.O,10:07:42,10:07:42,17, Howth Summit,4911.83,60-H3-b12-1,H3,b12
123,8220DB000709,"St Brigid's Church, stop 709",53.37503806,-6.197039132,11749.3.60-H3-b12-1.360.O,10:08:31,10:08:31,18, Howth Summit,5258.88,60-H3-b12-1,H3,b12
124,8220DB000532,"The Meadows, stop 532",53.37580208,-6.193474686,11749.3.60-H3-b12-1.360.O,10:09:31,10:09:31,19, Howth Summit,5509.78,60-H3-b12-1,H3,b12
125,8220DB000533,"Ennafort Park, stop 533",53.37758328,-6.18705614,11749.3.60-H3-b12-1.360.O,10:10:24,10:10:24,20, Howth Summit,5984.79,60-H3-b12-1,H3,b12
126,8220DB000534,"Cill Eanna, stop 534",53.37875024,-6.18164029,11749.3.60-H3-b12-1.360.O,10:11:29,10:11:29,21, Howth Summit,6371.86,60-H3-b12-1,H3,b12
127,8220DB000535,"Raheny, stop 535",53.38025707,-6.177306957,11749.3.60-H3-b12-1.360.O,10:12:22,10:12:22,22, Howth Summit,6702.95,60-H3-b12-1,H3,b12
128,8220DB000536,"Raheny Library, stop 536",53.38042376,-6.173511727,11749.3.60-H3-b12-1.360.O,10:13:51,10:13:51,23, Howth Summit,6953.74,60-H3-b12-1,H3,b12
129,8220DB000537,"Avondale Park, stop 537",53.3799012,-6.168152635,11749.3.60-H3-b12-1.360.O,10:14:31,10:14:31,24, Howth Summit,7315.49,60-H3-b12-1,H3,b12
130,8220DB000538,"Maywood, stop 538",53.38013806,-6.164264183,11749.3.60-H3-b12-1.360.O,10:15:00,10:15:00,25, Howth Summit,7576.4,60-H3-b12-1,H3,b12
131,8220DB000539,"Foxfield, stop 539",53.38067366,-6.159355642,11749.3.60-H3-b12-1.360.O,10:15:31,10:15:31,26, Howth Summit,7907.58,60-H3-b12-1,H3,b12
132,8220DB000540,"Lonsdale,stop 540",53.38133628,-6.155117944,11749.3.60-H3-b12-1.360.O,10:15:59,10:15:59,27, Howth Summit,8199.83,60-H3-b12-1,H3,b12
133,8220DB000541,"James Larkin Road, stop 541",53.38187271,-6.152028068,11749.3.60-H3-b12-1.360.O,10:16:20,10:16:20,28, Howth Summit,8413.58,60-H3-b12-1,H3,b12
134,8220DB000542,"Strand View, stop 542",53.38366192,-6.14626795,11749.3.60-H3-b12-1.360.O,10:17:40,10:17:40,29, Howth Summit,8859.67,60-H3-b12-1,H3,b12
135,8240DB000543,"Kilbarrack Road, stop 543",53.3850577,-6.142388693,11749.3.60-H3-b12-1.360.O,10:18:35,10:18:35,30, Howth Summit,9158.75,60-H3-b12-1,H3,b12
136,8240DB000544,"Bayside, stop 544",53.38616389,-6.137815203,11749.3.60-H3-b12-1.360.O,10:19:18,10:19:18,31, Howth Summit,9484.95,60-H3-b12-1,H3,b12
137,8240DB000545,"Kilbarrack Cemetery, stop 545",53.38711198,-6.133488944,11749.3.60-H3-b12-1.360.O,10:19:59,10:19:59,32, Howth Summit,9791.42,60-H3-b12-1,H3,b12
138,8240DB000546,"Sutton Park, stop 546",53.38802025,-6.128352347,11749.3.60-H3-b12-1.360.O,10:20:51,10:20:51,33, Howth Summit,10145.83,60-H3-b12-1,H3,b12
139,8240DB000547,"Binn Eadair View, stop 547",53.3886222,-6.123183898,11749.3.60-H3-b12-1.360.O,10:21:50,10:21:50,34, Howth Summit,10495.1,60-H3-b12-1,H3,b12
140,8240DB000548,"St Fintans High Sch, stop 548",53.38887433,-6.118075839,11749.3.60-H3-b12-1.360.O,10:22:47,10:22:47,35, Howth Summit,10834.75,60-H3-b12-1,H3,b12
141,8240DB000549,"Sutton,stop 549",53.38908807,-6.114533094,11749.3.60-H3-b12-1.360.O,10:23:27,10:23:27,36, Howth Summit,11072.24,60-H3-b12-1,H3,b12
142,8240DB000550,"Sutton Cross, stop 550",53.38968905,-6.10820661,11749.3.60-H3-b12-1.360.O,10:25:04,10:25:04,37, Howth Summit,11497.43,60-H3-b12-1,H3,b12
143,8240DB000551,"Church Road, stop 551",53.39004596,-6.104642344,11749.3.60-H3-b12-1.360.O,10:25:59,10:25:59,38, Howth Summit,11737.35,60-H3-b12-1,H3,b12
144,8240DB000552,"Burrow School, stop 552",53.39068948,-6.101020149,11749.3.60-H3-b12-1.360.O,10:26:26,10:26:26,39, Howth Summit,11989.77,60-H3-b12-1,H3,b12
145,8240DB000553,"Claremont Road, stop 553",53.39098288,-6.090677284,11749.3.60-H3-b12-1.360.O,10:27:40,10:27:40,40, Howth Summit,12680.88,60-H3-b12-1,H3,b12
146,8240DB000554,"Howth Lodge, stop 554",53.39061453,-6.086198012,11749.3.60-H3-b12-1.360.O,10:28:07,10:28:07,41, Howth Summit,12981.85,60-H3-b12-1,H3,b12
147,8240DB000555,"Howth Castle, stop 555",53.3888977,-6.079479041,11749.3.60-H3-b12-1.360.O,10:29:24,10:29:24,42, Howth Summit,13493.15,60-H3-b12-1,H3,b12
148,8240DB000557,"Howth Station, stop 557",53.38883265,-6.073212211,11749.3.60-H3-b12-1.360.O,10:30:29,10:30:29,43, Howth Summit,13911.26,60-H3-b12-1,H3,b12
149,8240DB000558,"Howth Harbour, stop 558",53.38841925,-6.070434327,11749.3.60-H3-b12-1.360.O,10:31:05,10:31:05,44, Howth Summit,14097.88,60-H3-b12-1,H3,b12
