Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8230DB004795,"Liffey Valley SC, stop 4795",53.35241802,-6.395548956,11453.3.60-L53-b12-1.167.I,07:05:00,07:05:00,1, Adamstown Station,0.0,60-L53-b12-1,L53,b12
1,8230DB007976,"Liffey Valley West, stop 7976",53.35271276,-6.396078675,11453.3.60-L53-b12-1.167.I,07:05:08,07:05:08,2, Adamstown Station,38.9,60-L53-b12-1,L53,b12
2,8230DB07755,"Clayton Hotel, stop 7755",53.35354586,-6.401230057,11453.3.60-L53-b12-1.167.I,07:05:57,07:05:57,3, Adamstown Station,451.66,60-L53-b12-1,L53,b12
3,8230DB004688,"Shancastle Park, stop 4688",53.35040934,-6.404607022,11453.3.60-L53-b12-1.167.I,07:07:01,07:07:01,4, Adamstown Station,982.24,60-L53-b12-1,L53,b12
4,8230DB004689,"Fonthill Retail Park, stop 4689",53.3476992,-6.405594414,11453.3.60-L53-b12-1.167.I,07:07:34,07:07:34,5, Adamstown Station,1304.68,60-L53-b12-1,L53,b12
5,8230DB004410,"St Mark's Grove, stop 4410",53.34524896,-6.406526926,11453.3.60-L53-b12-1.167.I,07:07:53,07:07:53,6, Adamstown Station,1585.06,60-L53-b12-1,L53,b12
6,8230DB002678,"Rowlagh, stop 2678",53.34350401,-6.407102633,11453.3.60-L53-b12-1.167.I,07:08:07,07:08:07,7, Adamstown Station,1783.54,60-L53-b12-1,L53,b12
7,8230DB007784,"Foxdene Avenue, stop 7784",53.34118561,-6.411183798,11453.3.60-L53-b12-1.167.I,07:08:56,07:08:56,8, Adamstown Station,2287.6,60-L53-b12-1,L53,b12
8,8230DB007780,"Méile an Rí, stop 7780",53.33982891,-6.415273908,11453.3.60-L53-b12-1.167.I,07:09:40,07:09:40,9, Adamstown Station,2719.91,60-L53-b12-1,L53,b12
9,8230DB007803,"Tor an Rí, stop 7803",53.33905085,-6.41827614,11453.3.60-L53-b12-1.167.I,07:10:12,07:10:12,10, Adamstown Station,2939.33,60-L53-b12-1,L53,b12
10,8230DB007386,"Foxborough Park, stop 7386",53.34005247,-6.427414714,11453.3.60-L53-b12-1.167.I,07:11:16,07:11:16,11, Adamstown Station,3570.52,60-L53-b12-1,L53,b12
11,8230DB004607,"Moy Glas Dene, stop 4607",53.34034117,-6.430227382,11453.3.60-L53-b12-1.167.I,07:11:40,07:11:40,12, Adamstown Station,3761.13,60-L53-b12-1,L53,b12
12,8230DB007140,"Rossberry Avenue, stop 7140",53.33923077,-6.437386277,11453.3.60-L53-b12-1.167.I,07:12:40,07:12:40,13, Adamstown Station,4272.53,60-L53-b12-1,L53,b12
13,8230DB007141,"Haydens Park, stop 7141",53.33973468,-6.440866878,11453.3.60-L53-b12-1.167.I,07:13:01,07:13:01,14, Adamstown Station,4522.36,60-L53-b12-1,L53,b12
14,8230DB007138,"Johnsbridge Avenue, stop 7138",53.34129234,-6.445210268,11453.3.60-L53-b12-1.167.I,07:13:29,07:13:29,15, Adamstown Station,4858.98,60-L53-b12-1,L53,b12
15,8230DB007763,"Haydens Lane, stop 7763",53.34345214,-6.446107892,11453.3.60-L53-b12-1.167.I,07:14:01,07:14:01,16, Adamstown Station,5159.44,60-L53-b12-1,L53,b12
16,8230DB003370,"Finnstown Abbey, stop 3370",53.34447042,-6.447692905,11453.3.60-L53-b12-1.167.I,07:14:34,07:14:34,17, Adamstown Station,5463.12,60-L53-b12-1,L53,b12
17,8230DB007797,"Somerton, stop 7797",53.34289196,-6.452105571,11453.3.60-L53-b12-1.167.I,07:15:19,07:15:19,18, Adamstown Station,5926.19,60-L53-b12-1,L53,b12
18,8230DB007231,"Finnstown Castle, stop 7231",53.34031891,-6.452604239,11453.3.60-L53-b12-1.167.I,07:15:47,07:15:47,19, Adamstown Station,6214.2,60-L53-b12-1,L53,b12
19,8230DB007128,"Castlegate Walk, stop 7128",53.33796708,-6.456999159,11453.3.60-L53-b12-1.167.I,07:16:54,07:16:54,20, Adamstown Station,6699.9,60-L53-b12-1,L53,b12
20,8230DB007117,"Castlegate Drive, stop 7117",53.33764017,-6.46091525,11453.3.60-L53-b12-1.167.I,07:17:33,07:17:33,21, Adamstown Station,6987.49,60-L53-b12-1,L53,b12
21,8230DB007118,"Stratton Grove, stop 7118",53.33733864,-6.464019484,11453.3.60-L53-b12-1.167.I,07:18:03,07:18:03,22, Adamstown Station,7198.9,60-L53-b12-1,L53,b12
22,8230DB006289,"Adamstown Station, stop 6289",53.33626245,-6.468397781,11453.3.60-L53-b12-1.167.I,07:19:00,07:19:00,23, Adamstown Station,7605.12,60-L53-b12-1,L53,b12
