Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
46,8230DB006290,"Adamstown Station, stop 6290",53.33626172,-6.466941256,11454.3.60-L53-b12-1.166.O,07:44:00,07:44:00,1, Liffey Valley SC,0.0,60-L53-b12-1,L53,b12
47,8230DB007120,"Stratton Grove, stop 7120",53.33755685,-6.463516099,11454.3.60-L53-b12-1.166.O,07:44:35,07:44:35,2, Liffey Valley SC,348.29,60-L53-b12-1,L53,b12
48,8230DB007119,"Castlegate Drive, stop 7119",53.33781333,-6.45970769,11454.3.60-L53-b12-1.166.O,07:45:10,07:45:10,3, Liffey Valley SC,601.04,60-L53-b12-1,L53,b12
49,8230DB007127,"Castlegate Walk, stop 7127",53.33820711,-6.456795276,11454.3.60-L53-b12-1.166.O,07:45:41,07:45:41,4, Liffey Valley SC,826.9,60-L53-b12-1,L53,b12
50,8230DB007143,"Castlegate Way, stop 7143",53.33934709,-6.453210076,11454.3.60-L53-b12-1.166.O,07:46:30,07:46:30,5, Liffey Valley SC,1181.64,60-L53-b12-1,L53,b12
51,8230DB007796,"Somerton, stop 7796",53.34296656,-6.452313126,11454.3.60-L53-b12-1.166.O,07:47:21,07:47:21,6, Liffey Valley SC,1588.37,60-L53-b12-1,L53,b12
52,8230DB003368,"Finnstown Abbey, stop 3368",53.3445579,-6.449582115,11454.3.60-L53-b12-1.166.O,07:48:05,07:48:05,7, Liffey Valley SC,1920.6,60-L53-b12-1,L53,b12
53,8230DB007762,"Haydens Lane, stop 7762",53.34299827,-6.446454801,11454.3.60-L53-b12-1.166.O,07:48:55,07:48:55,8, Liffey Valley SC,2441.12,60-L53-b12-1,L53,b12
54,8230DB007137,"Griffeen Avenue, stop 7137",53.34066969,-6.443641057,11454.3.60-L53-b12-1.166.O,07:49:30,07:49:30,9, Liffey Valley SC,2793.3,60-L53-b12-1,L53,b12
55,8230DB007139,"Rossberry Avenue, stop 7139",53.3392745,-6.437294576,11454.3.60-L53-b12-1.166.O,07:50:26,07:50:26,10, Liffey Valley SC,3261.18,60-L53-b12-1,L53,b12
56,8230DB004623,"Balgaddy Road, stop 4623",53.34041837,-6.43063002,11454.3.60-L53-b12-1.166.O,07:51:24,07:51:24,11, Liffey Valley SC,3744.26,60-L53-b12-1,L53,b12
57,8230DB004619,"Foxborough, stop 4619",53.33989448,-6.426339277,11454.3.60-L53-b12-1.166.O,07:52:13,07:52:13,12, Liffey Valley SC,4034.92,60-L53-b12-1,L53,b12
58,8230DB007776,"Buirg an Rí, stop 7776",53.33916061,-6.41909802,11454.3.60-L53-b12-1.166.O,07:53:40,07:53:40,13, Liffey Valley SC,4534.78,60-L53-b12-1,L53,b12
59,8230DB007748,"Divine Mercy NS, stop 7748",53.33991115,-6.415375979,11454.3.60-L53-b12-1.166.O,07:54:17,07:54:17,14, Liffey Valley SC,4812.59,60-L53-b12-1,L53,b12
60,8230DB007783,"Foxdene Avenue, stop 7783",53.34128563,-6.411270187,11454.3.60-L53-b12-1.166.O,07:55:17,07:55:17,15, Liffey Valley SC,5263.36,60-L53-b12-1,L53,b12
61,8230DB002681,"Fonthill Road, stop 2681",53.34174508,-6.407979172,11454.3.60-L53-b12-1.166.O,07:55:57,07:55:57,16, Liffey Valley SC,5572.84,60-L53-b12-1,L53,b12
62,8230DB004691,"Rowlagh Crescent, stop 4691",53.34350862,-6.40744789,11454.3.60-L53-b12-1.166.O,07:56:08,07:56:08,17, Liffey Valley SC,5771.34,60-L53-b12-1,L53,b12
63,8230DB002682,"St Mark's Grove, stop 2682",53.34559234,-6.406664314,11454.3.60-L53-b12-1.166.O,07:56:21,07:56:21,18, Liffey Valley SC,6008.61,60-L53-b12-1,L53,b12
64,8230DB004796,"Glenfield, stop 4796",53.34736324,-6.406012492,11454.3.60-L53-b12-1.166.O,07:56:42,07:56:42,19, Liffey Valley SC,6210.42,60-L53-b12-1,L53,b12
65,8230DB004690,"Fonthill Retail Park, stop 4690",53.34950944,-6.405196397,11454.3.60-L53-b12-1.166.O,07:57:10,07:57:10,20, Liffey Valley SC,6475.71,60-L53-b12-1,L53,b12
66,8230DB004411,"Shancastle Park, stop 4411",53.35096772,-6.404691318,11454.3.60-L53-b12-1.166.O,07:57:28,07:57:28,21, Liffey Valley SC,6641.48,60-L53-b12-1,L53,b12
67,8230DB007754,"Clayton Hotel, stop 7754",53.353797,-6.401190613,11454.3.60-L53-b12-1.166.O,07:58:29,07:58:29,22, Liffey Valley SC,7187.11,60-L53-b12-1,L53,b12
68,8230DB004715,"Liffey Valley West, stop 4715",53.35267935,-6.395599228,11454.3.60-L53-b12-1.166.O,07:58:38,07:58:38,23, Liffey Valley SC,7675.42,60-L53-b12-1,L53,b12
69,8230DB004795,"Liffey Valley SC, stop 4795",53.35241802,-6.395548956,11454.3.60-L53-b12-1.166.O,07:59:22,07:59:22,24, Liffey Valley SC,7705.66,60-L53-b12-1,L53,b12
