Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
64,8230DB007791,"Red Cow Luas, stop 7791",53.31713696,-6.370110868,11471.3.60-L54-b12-1.132.O,07:07:00,07:07:00,1, River Forest,0.0,60-L54-b12-1,L54,b12
65,8230DB007782,"Monastery Gate, stop 7782",53.31811367,-6.375161977,11471.3.60-L54-b12-1.132.O,07:08:34,07:08:34,2, River Forest,593.14,60-L54-b12-1,L54,b12
66,8230DB001963,"Woodford Hill, stop 1963",53.32003814,-6.378541273,11471.3.60-L54-b12-1.132.O,07:09:37,07:09:37,3, River Forest,985.29,60-L54-b12-1,L54,b12
67,8230DB004549,"Woodford Drive, stop 4549",53.32125662,-6.377594419,11471.3.60-L54-b12-1.132.O,07:09:51,07:09:51,4, River Forest,1131.77,60-L54-b12-1,L54,b12
68,8230DB001964,"Woodford Walk, stop 1964",53.32321009,-6.378481047,11471.3.60-L54-b12-1.132.O,07:10:19,07:10:19,5, River Forest,1419.36,60-L54-b12-1,L54,b12
69,8230DB004674,"Yellow Meadows Dr, stop 4674",53.32608156,-6.382770845,11471.3.60-L54-b12-1.132.O,07:11:01,07:11:01,6, River Forest,1847.75,60-L54-b12-1,L54,b12
70,8230DB004663,"Watery Lane, stop 4663",53.32514232,-6.389081493,11471.3.60-L54-b12-1.132.O,07:12:06,07:12:06,7, River Forest,2445.99,60-L54-b12-1,L54,b12
71,8230DB004664,"Clondalkin Town C, stop 4664",53.3222848,-6.39246159,11471.3.60-L54-b12-1.132.O,07:13:14,07:13:14,8, River Forest,2872.18,60-L54-b12-1,L54,b12
72,8230DB002114,"Ninth Lock Road, stop 2114",53.32421455,-6.395601595,11471.3.60-L54-b12-1.132.O,07:15:08,07:15:08,9, River Forest,3585.3,60-L54-b12-1,L54,b12
73,8230DB002115,"Oakfield, stop 2115",53.3256299,-6.39524824,11471.3.60-L54-b12-1.132.O,07:15:29,07:15:29,10, River Forest,3744.87,60-L54-b12-1,L54,b12
74,8230DB006011,"Michael Collins Park, stop 6011",53.3275797,-6.39654125,11471.3.60-L54-b12-1.132.O,07:16:09,07:16:09,11, River Forest,4065.49,60-L54-b12-1,L54,b12
75,8230DB002133,"Dunawley, stop 2133",53.32480454,-6.403400768,11471.3.60-L54-b12-1.132.O,07:16:48,07:16:48,12, River Forest,4618.82,60-L54-b12-1,L54,b12
76,8230DB006247,"Dunawley Avenue, stop 6247",53.32548462,-6.405191867,11471.3.60-L54-b12-1.132.O,07:17:10,07:17:10,13, River Forest,4869.08,60-L54-b12-1,L54,b12
77,8230DB007757,"Clondalkin Fonthill, stop 7757",53.3335523,-6.406947967,11471.3.60-L54-b12-1.132.O,07:18:34,07:18:34,14, River Forest,5781.95,60-L54-b12-1,L54,b12
78,8230DB007473,"Foxdene Gardens, stop 7473",53.33905265,-6.408274692,11471.3.60-L54-b12-1.132.O,07:19:39,07:19:39,15, River Forest,6400.78,60-L54-b12-1,L54,b12
79,8230DB007784,"Foxdene Avenue, stop 7784",53.34118561,-6.411183798,11471.3.60-L54-b12-1.132.O,07:20:29,07:20:29,16, River Forest,6822.76,60-L54-b12-1,L54,b12
80,8230DB007780,"Méile an Rí, stop 7780",53.33982891,-6.415273908,11471.3.60-L54-b12-1.132.O,07:21:22,07:21:22,17, River Forest,7255.08,60-L54-b12-1,L54,b12
81,8230DB007803,"Tor an Rí, stop 7803",53.33905085,-6.41827614,11471.3.60-L54-b12-1.132.O,07:21:58,07:21:58,18, River Forest,7474.5,60-L54-b12-1,L54,b12
82,8230DB007386,"Foxborough Park, stop 7386",53.34005247,-6.427414714,11471.3.60-L54-b12-1.132.O,07:23:08,07:23:08,19, River Forest,8105.69,60-L54-b12-1,L54,b12
83,8230DB007761,"Glen Vale, stop 7761",53.34425843,-6.426704227,11471.3.60-L54-b12-1.132.O,07:24:17,07:24:17,20, River Forest,9545.73,60-L54-b12-1,L54,b12
84,8230DB004632,"Ballyowen Road, stop 4632",53.34758571,-6.424794318,11471.3.60-L54-b12-1.132.O,07:25:04,07:25:04,21, River Forest,11106.77,60-L54-b12-1,L54,b12
85,8230DB005164,"Fforster Green, stop 5164",53.35037673,-6.423114197,11471.3.60-L54-b12-1.132.O,07:25:33,07:25:33,22, River Forest,11436.56,60-L54-b12-1,L54,b12
86,8230DB004633,"Ballyowen Park, stop 4633",53.35498016,-6.421877643,11471.3.60-L54-b12-1.132.O,07:26:19,07:26:19,23, River Forest,11975.94,60-L54-b12-1,L54,b12
87,8230DB002217,"Esker Lane, stop 2217",53.3595962,-6.427040693,11471.3.60-L54-b12-1.132.O,07:27:22,07:27:22,24, River Forest,12639.54,60-L54-b12-1,L54,b12
88,8230DB002218,"Roselawn, stop 2218",53.35967652,-6.43246151,11471.3.60-L54-b12-1.132.O,07:27:56,07:27:56,25, River Forest,12999.32,60-L54-b12-1,L54,b12
89,8230DB002219,"St Andrews NS, stop 2219",53.36005568,-6.436699507,11471.3.60-L54-b12-1.132.O,07:28:18,07:28:18,26, River Forest,13283.91,60-L54-b12-1,L54,b12
