Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
120,8220DB007844,"Point Village, stop 7844",53.34808067,-6.229930804,13353.3.60-N4-b12-1.117.O,06:40:00,06:40:00,1, Blanchardstown SC,0.0,60-N4-b12-1,N4,b12
121,8220DB002502,"New Wapping Street, stop 2502",53.34966038,-6.235242944,13353.3.60-N4-b12-1.117.O,06:41:17,06:41:17,2, Blanchardstown SC,461.4,60-N4-b12-1,N4,b12
122,8220DB004469,"East Road, stop 4469",53.35420697,-6.23029286,13353.3.60-N4-b12-1.117.O,06:42:51,06:42:51,3, Blanchardstown SC,1068.5,60-N4-b12-1,N4,b12
123,8220DB007834,"East Wall Road, stop 7834",53.35641289,-6.231763908,13353.3.60-N4-b12-1.117.O,06:43:44,06:43:44,4, Blanchardstown SC,1410.88,60-N4-b12-1,N4,b12
124,8220DB007827,"Eastpoint, stop 7827",53.35993564,-6.231723214,13353.3.60-N4-b12-1.117.O,06:45:02,06:45:02,5, Blanchardstown SC,1921.43,60-N4-b12-1,N4,b12
125,8220DB001738,"Clontarf Rd Pitches, stop 1738",53.36345088,-6.223914334,13353.3.60-N4-b12-1.117.O,06:47:25,06:47:25,6, Blanchardstown SC,2839.96,60-N4-b12-1,N4,b12
126,8220DB000525,"Howth Road, stop 525",53.36496087,-6.226330911,13353.3.60-N4-b12-1.117.O,06:48:25,06:48:25,8, Blanchardstown SC,3258.03,60-N4-b12-1,N4,b12
127,8220DB000526,"Copeland Grove, stop 526",53.36686957,-6.221112279,13353.3.60-N4-b12-1.117.O,06:49:03,06:49:03,9, Blanchardstown SC,3662.49,60-N4-b12-1,N4,b12
128,8220DB000527,"Ashbrook, stop 527",53.36801988,-6.212678881,13353.3.60-N4-b12-1.117.O,06:49:55,06:49:55,10, Blanchardstown SC,4249.34,60-N4-b12-1,N4,b12
129,8220DB000528,"Castle Grove, stop 528",53.36926408,-6.209936745,13353.3.60-N4-b12-1.117.O,06:50:13,06:50:13,11, Blanchardstown SC,4481.52,60-N4-b12-1,N4,b12
130,8220DB000529,"Collins Avenue, stop 529",53.37057741,-6.207612345,13353.3.60-N4-b12-1.117.O,06:50:47,06:50:47,12, Blanchardstown SC,4693.2,60-N4-b12-1,N4,b12
131,8220DB004791,"Collins Avenue East, stop 4791",53.37161175,-6.207659085,13353.3.60-N4-b12-1.117.O,06:51:07,06:51:07,13, Blanchardstown SC,4853.32,60-N4-b12-1,N4,b12
132,8220DB004792,"Clanawley Road, stop 4792",53.3727989,-6.209502941,13353.3.60-N4-b12-1.117.O,06:51:31,06:51:31,14, Blanchardstown SC,5039.77,60-N4-b12-1,N4,b12
133,8220DB000662,"Clanmoyle Road, stop 662",53.37387042,-6.212629275,13353.3.60-N4-b12-1.117.O,06:51:55,06:51:55,15, Blanchardstown SC,5283.05,60-N4-b12-1,N4,b12
134,8220DB007843,"Parnell Park, stop 7843",53.37451024,-6.215743752,13353.3.60-N4-b12-1.117.O,06:52:14,06:52:14,16, Blanchardstown SC,5502.52,60-N4-b12-1,N4,b12
135,8220DB007840,"Malahide Road, stop 7840",53.37512911,-6.218062593,13353.3.60-N4-b12-1.117.O,06:52:51,06:52:51,17, Blanchardstown SC,5670.1,60-N4-b12-1,N4,b12
136,8220DB001185,"Oak Road, stop 1185",53.37636701,-6.221513046,13353.3.60-N4-b12-1.117.O,06:53:46,06:53:46,18, Blanchardstown SC,5940.04,60-N4-b12-1,N4,b12
137,8220DB001186,"Belton Park Road, stop 1186",53.37764311,-6.226329938,13353.3.60-N4-b12-1.117.O,06:54:26,06:54:26,19, Blanchardstown SC,6290.42,60-N4-b12-1,N4,b12
138,8220DB001187,"Celtic Park Road, stop 1187",53.37860751,-6.231355441,13353.3.60-N4-b12-1.117.O,06:55:05,06:55:05,20, Blanchardstown SC,6640.5,60-N4-b12-1,N4,b12
