Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8240DB004747,"Blanchardstown SC, stop 4747",53.39433278,-6.391852482,13352.3.60-N4-b12-1.118.I,05:20:00,05:20:00,1, Point Village,0.0,60-N4-b12-1,N4,b12
1,8240DB002960,"Retail Park, stop 2960",53.39432332,-6.388484642,13352.3.60-N4-b12-1.118.I,05:20:39,05:20:39,2, Point Village,320.07,60-N4-b12-1,N4,b12
2,8240DB001545,"Westend Office Park, stop 1545",53.39275663,-6.384288631,13352.3.60-N4-b12-1.118.I,05:21:22,05:21:22,3, Point Village,672.29,60-N4-b12-1,N4,b12
3,8240DB001840,"Blanchardstown Vlge, stop 1840",53.38796115,-6.379283399,13352.3.60-N4-b12-1.118.I,05:22:48,05:22:48,4, Point Village,1357.54,60-N4-b12-1,N4,b12
4,8240DB001841,"Church Road, stop 1841",53.3861214,-6.375519687,13352.3.60-N4-b12-1.118.I,05:23:18,05:23:18,5, Point Village,1683.73,60-N4-b12-1,N4,b12
5,8240DB001842,"Old Navan Road, stop 1842",53.3849679,-6.37133924,13352.3.60-N4-b12-1.118.I,05:23:54,05:23:54,6, Point Village,1991.37,60-N4-b12-1,N4,b12
6,8240DB007298,"Connolly Hospital, stop 7298",53.3875691,-6.370292779,13352.3.60-N4-b12-1.118.I,05:26:12,05:26:12,7, Point Village,2920.7,60-N4-b12-1,N4,b12
7,8240DB002294,"Mill Road, stop 2294",53.39008646,-6.370346957,13352.3.60-N4-b12-1.118.I,05:27:15,05:27:15,8, Point Village,3270.95,60-N4-b12-1,N4,b12
8,8240DB006039,"Waterville Terrace, stop 6039",53.39156199,-6.375733494,13352.3.60-N4-b12-1.118.I,05:28:42,05:28:42,9, Point Village,3873.52,60-N4-b12-1,N4,b12
9,8240DB001816,"Waterville Row, stop 1816",53.39308998,-6.378381821,13352.3.60-N4-b12-1.118.I,05:29:31,05:29:31,10, Point Village,4213.15,60-N4-b12-1,N4,b12
10,8240DB006171,"Waterville Road, stop 6171",53.39601518,-6.374060176,13352.3.60-N4-b12-1.118.I,05:30:05,05:30:05,11, Point Village,4649.78,60-N4-b12-1,N4,b12
11,8240DB004974,"Aquatic Centre, stop 4974",53.39899879,-6.369419893,13352.3.60-N4-b12-1.118.I,05:30:50,05:30:50,12, Point Village,5101.16,60-N4-b12-1,N4,b12
12,8240DB004976,"Indoor Arena, stop 4976",53.40198373,-6.36226733,13352.3.60-N4-b12-1.118.I,05:31:32,05:31:32,13, Point Village,5680.76,60-N4-b12-1,N4,b12
13,8240DB002510,"Rosemount Park, stop 2510",53.40218843,-6.355581957,13352.3.60-N4-b12-1.118.I,05:32:50,05:32:50,14, Point Village,6345.15,60-N4-b12-1,N4,b12
