Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
58,8220DB000395,"Ringsend Road, stop 395",53.34194005,-6.235276454,6018.1.60-P29-b12-1.92.O,17:00:00,17:00:00,1, Adamstown Station,0.0,60-P29-b12-1,P29,b12
59,8220DB000396,"Grand Canal Quay, stop 396",53.34244252,-6.239475948,6018.1.60-P29-b12-1.92.O,17:01:19,17:01:19,2, Adamstown Station,292.56,60-P29-b12-1,P29,b12
60,8220DB000397,"Pearse Square, stop 397",53.34278556,-6.242015007,6018.1.60-P29-b12-1.92.O,17:02:10,17:02:10,3, Adamstown Station,466.34,60-P29-b12-1,P29,b12
61,8220DB000398,"Erne Street, stop 398",53.34329494,-6.245478447,6018.1.60-P29-b12-1.92.O,17:03:10,17:03:10,4, Adamstown Station,702.09,60-P29-b12-1,P29,b12
62,8220DB000399,"Pearse Station, stop 399",53.34386682,-6.248308601,6018.1.60-P29-b12-1.92.O,17:03:59,17:03:59,5, Adamstown Station,902.06,60-P29-b12-1,P29,b12
63,8220DB007859,"Shaw Street, stop 7859",53.34477987,-6.25295724,6018.1.60-P29-b12-1.92.O,17:05:23,17:05:23,6, Adamstown Station,1225.66,60-P29-b12-1,P29,b12
64,8220DB007732,"Tara Street, Stop no 7732",53.34722107,-6.255170542,6018.1.60-P29-b12-1.92.O,17:08:08,17:08:08,7, Adamstown Station,1596.39,60-P29-b12-1,P29,b12
65,8220DB007392,"Aston Quay, stop 7392",53.34640871,-6.261091564,6018.1.60-P29-b12-1.92.O,17:11:31,17:11:31,8, Adamstown Station,2046.13,60-P29-b12-1,P29,b12
66,8220DB000312,"Wellington Quay, stop 312",53.34547647,-6.266206155,6018.1.60-P29-b12-1.92.O,17:14:13,17:14:13,9, Adamstown Station,2401.38,60-P29-b12-1,P29,b12
67,8220DB007857,"Merchant's Quay, stop 7857",53.34504365,-6.274169038,6018.1.60-P29-b12-1.92.O,17:18:43,17:18:43,10, Adamstown Station,2934.42,60-P29-b12-1,P29,b12
68,8220DB007855,"Usher's Quay, stop 7855",53.34592009,-6.279465664,6018.1.60-P29-b12-1.92.O,17:21:50,17:21:50,11, Adamstown Station,3298.17,60-P29-b12-1,P29,b12
69,8220DB001447,"Victoria Quay, stop 1447",53.34650253,-6.285585386,6018.1.60-P29-b12-1.92.O,17:23:13,17:23:13,12, Adamstown Station,3712.66,60-P29-b12-1,P29,b12
70,8220DB002637,"Heuston Station, stop 2637",53.34584559,-6.294308178,6018.1.60-P29-b12-1.92.O,17:25:19,17:25:19,13, Adamstown Station,4339.13,60-P29-b12-1,P29,b12
71,8220DB002721,"South Circular Road, stop 2721",53.34327186,-6.310511085,6018.1.60-P29-b12-1.92.O,17:29:55,17:29:55,14, Adamstown Station,5473.69,60-P29-b12-1,P29,b12
72,8220DB007012,"Memorial Gardens, stop 7012",53.34295414,-6.315374679,6018.1.60-P29-b12-1.92.O,17:31:14,17:31:14,15, Adamstown Station,5798.12,60-P29-b12-1,P29,b12
73,8230DB002201,"Palmerstown Drive, stop 2201",53.35327375,-6.364571165,6018.1.60-P29-b12-1.92.O,17:36:32,17:36:32,16, Adamstown Station,9525.92,60-P29-b12-1,P29,b12
74,8230DB007239,"The Oval, stop 7239",53.35406141,-6.368927567,6018.1.60-P29-b12-1.92.O,17:37:43,17:37:43,17, Adamstown Station,9827.66,60-P29-b12-1,P29,b12
75,8230DB004401,"Kennelsfort Road, stop 4401",53.35475553,-6.371710305,6018.1.60-P29-b12-1.92.O,17:38:33,17:38:33,18, Adamstown Station,10028.04,60-P29-b12-1,P29,b12
76,8230DB002213,"Liffey Valley SC, stop 2213",53.35577765,-6.392072623,6018.1.60-P29-b12-1.92.O,17:40:25,17:40:25,19, Adamstown Station,11442.75,60-P29-b12-1,P29,b12
77,8230DB002214,"Clayton Hotel, stop 2214",53.35609004,-6.399932976,6018.1.60-P29-b12-1.92.O,17:41:07,17:41:07,20, Adamstown Station,11973.6,60-P29-b12-1,P29,b12
78,8230DB002215,"St Loman's Hospital, stop 2215",53.35820623,-6.408973166,6018.1.60-P29-b12-1.92.O,17:41:59,17:41:59,21, Adamstown Station,12618.19,60-P29-b12-1,P29,b12
79,8230DB002216,"Ballyowen Lane, stop 2216",53.35886528,-6.415949824,6018.1.60-P29-b12-1.92.O,17:42:59,17:42:59,22, Adamstown Station,13092.04,60-P29-b12-1,P29,b12
80,8230DB004599,"Hermitage Road, stop 4599",53.35775874,-6.423337433,6018.1.60-P29-b12-1.92.O,17:44:06,17:44:06,23, Adamstown Station,13621.13,60-P29-b12-1,P29,b12
81,8230DB007184,"Esker Lane, stop 7184",53.35215768,-6.436192411,6018.1.60-P29-b12-1.92.O,17:47:03,17:47:03,24, Adamstown Station,14678.71,60-P29-b12-1,P29,b12
82,8230DB002225,"St Patricks Church, stop 2225",53.34955221,-6.450046763,6018.1.60-P29-b12-1.92.O,17:49:58,17:49:58,25, Adamstown Station,15645.66,60-P29-b12-1,P29,b12
83,8230DB004620,"Lucan Comm College, stop 4620",53.34723636,-6.45097189,6018.1.60-P29-b12-1.92.O,17:50:55,17:50:55,26, Adamstown Station,15922.26,60-P29-b12-1,P29,b12
84,8230DB007563,"Weston Hockey Club, stop 7563",53.34557008,-6.451392762,6018.1.60-P29-b12-1.92.O,17:51:44,17:51:44,27, Adamstown Station,16108.28,60-P29-b12-1,P29,b12
85,8230DB007797,"Somerton, stop 7797",53.34289196,-6.452105571,6018.1.60-P29-b12-1.92.O,17:53:03,17:53:03,28, Adamstown Station,16410.82,60-P29-b12-1,P29,b12
86,8230DB007231,"Finnstown Castle, stop 7231",53.34031891,-6.452604239,6018.1.60-P29-b12-1.92.O,17:54:18,17:54:18,29, Adamstown Station,16698.82,60-P29-b12-1,P29,b12
87,8230DB007128,"Castlegate Walk, stop 7128",53.33796708,-6.456999159,6018.1.60-P29-b12-1.92.O,17:56:12,17:56:12,30, Adamstown Station,17184.53,60-P29-b12-1,P29,b12
88,8230DB007117,"Castlegate Drive, stop 7117",53.33764017,-6.46091525,6018.1.60-P29-b12-1.92.O,17:57:19,17:57:19,31, Adamstown Station,17472.12,60-P29-b12-1,P29,b12
89,8230DB007118,"Stratton Grove, stop 7118",53.33733864,-6.464019484,6018.1.60-P29-b12-1.92.O,17:58:08,17:58:08,32, Adamstown Station,17683.53,60-P29-b12-1,P29,b12
90,8230DB006289,"Adamstown Station, stop 6289",53.33626245,-6.468397781,6018.1.60-P29-b12-1.92.O,17:59:43,17:59:43,33, Adamstown Station,18089.74,60-P29-b12-1,P29,b12
