Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8230DB006290,"Adamstown Station, stop 6290",53.33626172,-6.466941256,6017.1.60-P29-b12-1.93.I,07:21:00,07:21:00,1, Ringsend Road,0.0,60-P29-b12-1,P29,b12
1,8230DB007120,"Stratton Grove, stop 7120",53.33755685,-6.463516099,6017.1.60-P29-b12-1.93.I,07:22:15,07:22:15,2, Ringsend Road,348.29,60-P29-b12-1,P29,b12
2,8230DB007119,"Castlegate Drive, stop 7119",53.33781333,-6.45970769,6017.1.60-P29-b12-1.93.I,07:23:10,07:23:10,3, Ringsend Road,601.04,60-P29-b12-1,P29,b12
3,8230DB007127,"Castlegate Walk, stop 7127",53.33820711,-6.456795276,6017.1.60-P29-b12-1.93.I,07:23:58,07:23:58,4, Ringsend Road,826.9,60-P29-b12-1,P29,b12
4,8230DB007143,"Castlegate Way, stop 7143",53.33934709,-6.453210076,6017.1.60-P29-b12-1.93.I,07:25:14,07:25:14,5, Ringsend Road,1181.64,60-P29-b12-1,P29,b12
5,8230DB007796,"Somerton, stop 7796",53.34296656,-6.452313126,6017.1.60-P29-b12-1.93.I,07:27:17,07:27:17,6, Ringsend Road,1588.37,60-P29-b12-1,P29,b12
6,8230DB007168,"Newcastle Road, stop 7168",53.34521483,-6.45172104,6017.1.60-P29-b12-1.93.I,07:28:34,07:28:34,7, Ringsend Road,1841.68,60-P29-b12-1,P29,b12
7,8230DB004616,"Lucan Comm College, stop 4616",53.34769648,-6.451105409,6017.1.60-P29-b12-1.93.I,07:29:31,07:29:31,8, Ringsend Road,2120.28,60-P29-b12-1,P29,b12
8,8230DB002227,"St Patricks Church, stop 2227",53.34956392,-6.450256628,6017.1.60-P29-b12-1.93.I,07:31:03,07:31:03,9, Ringsend Road,2343.98,60-P29-b12-1,P29,b12
9,8230DB007049,"Vesey Park, stop 7049",53.35130539,-6.449397323,6017.1.60-P29-b12-1.93.I,07:32:52,07:32:52,10, Ringsend Road,2593.67,60-P29-b12-1,P29,b12
10,8230DB002236,"Hermitage Bridge, stop 2236",53.35886946,-6.410856513,6017.1.60-P29-b12-1.93.I,07:36:06,07:36:06,12, Ringsend Road,5427.49,60-P29-b12-1,P29,b12
11,8230DB005056,"Hermitage Clinic, stop 5056",53.35752149,-6.402793928,6017.1.60-P29-b12-1.93.I,07:37:20,07:37:20,13, Ringsend Road,5986.16,60-P29-b12-1,P29,b12
12,8230DB002239,"Liffey Valley SC, stop 2239",53.35616847,-6.3917274,6017.1.60-P29-b12-1.93.I,07:39:08,07:39:08,14, Ringsend Road,6805.41,60-P29-b12-1,P29,b12
13,8230DB002241,"Kennelsfort Road, stop 2241",53.35492926,-6.371268023,6017.1.60-P29-b12-1.93.I,07:41:51,07:41:51,15, Ringsend Road,8224.82,60-P29-b12-1,P29,b12
14,8230DB002242,"The Oval, stop 2242",53.35392732,-6.367009818,6017.1.60-P29-b12-1.93.I,07:42:38,07:42:38,16, Ringsend Road,8530.23,60-P29-b12-1,P29,b12
15,8220DB007435,"Memorial Gardens, stop 7435",53.34317893,-6.315380836,6017.1.60-P29-b12-1.93.I,07:48:02,07:48:02,17, Ringsend Road,12431.86,60-P29-b12-1,P29,b12
16,8220DB002722,"South Circular Road, stop 2722",53.3434371,-6.311390663,6017.1.60-P29-b12-1.93.I,07:48:25,07:48:25,18, Ringsend Road,12700.41,60-P29-b12-1,P29,b12
17,8220DB004413,"Heuston Station, stop 4413",53.34615649,-6.292793782,6017.1.60-P29-b12-1.93.I,07:52:05,07:52:05,19, Ringsend Road,13990.25,60-P29-b12-1,P29,b12
18,8220DB001476,"Sarsfield Quay, stop 1476",53.34707369,-6.284676275,6017.1.60-P29-b12-1.93.I,07:54:04,07:54:04,20, Ringsend Road,14621.97,60-P29-b12-1,P29,b12
19,8220DB007854,"Arran Quay, stop 7854",53.34636761,-6.278711665,6017.1.60-P29-b12-1.93.I,07:56:28,07:56:28,21, Ringsend Road,15024.71,60-P29-b12-1,P29,b12
20,8220DB007856,"Four Courts, stop 7856",53.34562262,-6.273184391,6017.1.60-P29-b12-1.93.I,07:58:41,07:58:41,22, Ringsend Road,15404.13,60-P29-b12-1,P29,b12
21,8220DB007883,"Ormond Quay, stop 7883",53.346058,-6.268495617,6017.1.60-P29-b12-1.93.I,08:00:36,08:00:36,23, Ringsend Road,15723.37,60-P29-b12-1,P29,b12
