Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
192,8250DB004952,"UCD, stop 4952",53.30489662,-6.216937317,6047.1.60-X25-b12-1.94.O,16:14:00,16:14:00,1, Maynooth,0.0,60-X25-b12-1,X25,b12
193,8250DB000768,"UCD Belfield, stop 768",53.30941819,-6.21877483,6047.1.60-X25-b12-1.94.O,16:16:48,16:16:48,2, Maynooth,681.75,60-X25-b12-1,X25,b12
194,8220DB000769,"Belfield Court, stop 769",53.31190109,-6.221327857,6047.1.60-X25-b12-1.94.O,16:17:12,16:17:12,3, Maynooth,1009.31,60-X25-b12-1,X25,b12
195,8220DB000770,"RTE, stop 770",53.31463619,-6.225731811,6047.1.60-X25-b12-1.94.O,16:18:04,16:18:04,4, Maynooth,1452.34,60-X25-b12-1,X25,b12
196,8220DB000771,"Teresian School, stop 771",53.31588007,-6.227781522,6047.1.60-X25-b12-1.94.O,16:18:25,16:18:25,5, Maynooth,1643.14,60-X25-b12-1,X25,b12
197,8220DB000772,"Donnybrook Garage, stop 772",53.31848526,-6.231321064,6047.1.60-X25-b12-1.94.O,16:19:09,16:19:09,6, Maynooth,2016.7,60-X25-b12-1,X25,b12
198,8220DB000773,"Donnybrook Road, stop 773",53.31991635,-6.233273319,6047.1.60-X25-b12-1.94.O,16:19:37,16:19:37,7, Maynooth,2220.02,60-X25-b12-1,X25,b12
199,8220DB000774,"Donnybrook Garda Stn, stop 774",53.32161212,-6.235499996,6047.1.60-X25-b12-1.94.O,16:20:16,16:20:16,8, Maynooth,2461.9,60-X25-b12-1,X25,b12
200,8220DB000775,"Donnybrook Village, stop 775",53.32348971,-6.239085447,6047.1.60-X25-b12-1.94.O,16:21:09,16:21:09,9, Maynooth,2785.75,60-X25-b12-1,X25,b12
201,8220DB000776,"Morehampton Terrace, stop 776",53.32547924,-6.241735821,6047.1.60-X25-b12-1.94.O,16:22:04,16:22:04,10, Maynooth,3068.63,60-X25-b12-1,X25,b12
202,8220DB000777,"Royal Hospital, stop 777",53.32697216,-6.243626144,6047.1.60-X25-b12-1.94.O,16:22:53,16:22:53,11, Maynooth,3276.96,60-X25-b12-1,X25,b12
203,8220DB000906,"Leeson St Upper, stop 906",53.32881077,-6.247634377,6047.1.60-X25-b12-1.94.O,16:24:15,16:24:15,12, Maynooth,3617.68,60-X25-b12-1,X25,b12
204,8220DB000909,"Fitzwilliam Place, stop 909",53.33314766,-6.254078364,6047.1.60-X25-b12-1.94.O,16:26:59,16:26:59,13, Maynooth,4298.27,60-X25-b12-1,X25,b12
205,8220DB000786,"Embassy of Malta, stop 786",53.33518155,-6.256097534,6047.1.60-X25-b12-1.94.O,16:28:02,16:28:02,14, Maynooth,4559.51,60-X25-b12-1,X25,b12
206,8220DB002905,"Merrion Sq West, stop 2905",53.34002881,-6.251980091,6047.1.60-X25-b12-1.94.O,16:32:33,16:32:33,15, Maynooth,5417.45,60-X25-b12-1,X25,b12
207,8220DB000494,"Clare Street, stop 494",53.34143558,-6.251682252,6047.1.60-X25-b12-1.94.O,16:34:29,16:34:29,16, Maynooth,5640.0,60-X25-b12-1,X25,b12
208,8220DB007587,"Science Gallery, stop 7587",53.34445793,-6.25122816,6047.1.60-X25-b12-1.94.O,16:37:18,16:37:18,17, Maynooth,6227.49,60-X25-b12-1,X25,b12
209,8220DB007732,"Tara Street, Stop no 7732",53.34722107,-6.255170542,6047.1.60-X25-b12-1.94.O,16:39:40,16:39:40,18, Maynooth,6718.69,60-X25-b12-1,X25,b12
210,8220DB007392,"Aston Quay, stop 7392",53.34640871,-6.261091564,6047.1.60-X25-b12-1.94.O,16:42:47,16:42:47,19, Maynooth,7168.42,60-X25-b12-1,X25,b12
211,8220DB000312,"Wellington Quay, stop 312",53.34547647,-6.266206155,6047.1.60-X25-b12-1.94.O,16:45:16,16:45:16,20, Maynooth,7523.67,60-X25-b12-1,X25,b12
212,8220DB007857,"Merchant's Quay, stop 7857",53.34504365,-6.274169038,6047.1.60-X25-b12-1.94.O,16:50:07,16:50:07,21, Maynooth,8056.72,60-X25-b12-1,X25,b12
213,8220DB007855,"Usher's Quay, stop 7855",53.34592009,-6.279465664,6047.1.60-X25-b12-1.94.O,16:53:27,16:53:27,22, Maynooth,8420.46,60-X25-b12-1,X25,b12
214,8220DB001447,"Victoria Quay, stop 1447",53.34650253,-6.285585386,6047.1.60-X25-b12-1.94.O,16:55:04,16:55:04,23, Maynooth,8834.95,60-X25-b12-1,X25,b12
215,8220DB002637,"Heuston Station, stop 2637",53.34584559,-6.294308178,6047.1.60-X25-b12-1.94.O,16:57:31,16:57:31,24, Maynooth,9461.42,60-X25-b12-1,X25,b12
216,8220DB002721,"South Circular Road, stop 2721",53.34327186,-6.310511085,6047.1.60-X25-b12-1.94.O,17:01:39,17:01:39,25, Maynooth,10595.99,60-X25-b12-1,X25,b12
217,8220DB007012,"Memorial Gardens, stop 7012",53.34295414,-6.315374679,6047.1.60-X25-b12-1.94.O,17:02:50,17:02:50,26, Maynooth,10920.41,60-X25-b12-1,X25,b12
218,8230DB002201,"Palmerstown Drive, stop 2201",53.35327375,-6.364571165,6047.1.60-X25-b12-1.94.O,17:08:26,17:08:26,27, Maynooth,14648.22,60-X25-b12-1,X25,b12
219,8230DB004401,"Kennelsfort Road, stop 4401",53.35475553,-6.371710305,6047.1.60-X25-b12-1.94.O,17:10:37,17:10:37,28, Maynooth,15150.33,60-X25-b12-1,X25,b12
220,8230DB002213,"Liffey Valley SC, stop 2213",53.35577765,-6.392072623,6047.1.60-X25-b12-1.94.O,17:13:11,17:13:11,29, Maynooth,16565.04,60-X25-b12-1,X25,b12
221,8230DB002214,"Clayton Hotel, stop 2214",53.35609004,-6.399932976,6047.1.60-X25-b12-1.94.O,17:14:09,17:14:09,30, Maynooth,17095.9,60-X25-b12-1,X25,b12
222,8230DB002215,"St Loman's Hospital, stop 2215",53.35820623,-6.408973166,6047.1.60-X25-b12-1.94.O,17:15:25,17:15:25,31, Maynooth,17740.48,60-X25-b12-1,X25,b12
223,8230DB007184,"Esker Lane, stop 7184",53.35215768,-6.436192411,6047.1.60-X25-b12-1.94.O,17:18:40,17:18:40,32, Maynooth,19676.79,60-X25-b12-1,X25,b12
224,8230DB007050,"Hillcrest, stop 7050",53.3510214,-6.451059965,6047.1.60-X25-b12-1.94.O,17:20:16,17:20:16,33, Maynooth,20667.96,60-X25-b12-1,X25,b12
225,8230DB007185,"Woodview, stop 7185",53.35476222,-6.460929316,6047.1.60-X25-b12-1.94.O,17:22:04,17:22:04,34, Maynooth,21448.41,60-X25-b12-1,X25,b12
226,8230DB007186,"Lucan Spa Hotel, stop 7186",53.35679529,-6.465257861,6047.1.60-X25-b12-1.94.O,17:22:54,17:22:54,35, Maynooth,21815.66,60-X25-b12-1,X25,b12
227,8230DB007187,"Kew Park, stop 7187",53.35756283,-6.467634039,6047.1.60-X25-b12-1.94.O,17:23:50,17:23:50,36, Maynooth,21995.35,60-X25-b12-1,X25,b12
228,8260DB003954,"Springfield Hotel, stop 3954",53.36053546,-6.478690595,6047.1.60-X25-b12-1.94.O,17:26:33,17:26:33,37, Maynooth,22941.53,60-X25-b12-1,X25,b12
229,8260DB003955,"Cooldrinagh Terrace, stop 3955",53.3616766,-6.482901991,6047.1.60-X25-b12-1.94.O,17:27:26,17:27:26,38, Maynooth,23249.28,60-X25-b12-1,X25,b12
230,8260DB003956,"Salmon Leap, stop 3956",53.36213377,-6.484929158,6047.1.60-X25-b12-1.94.O,17:28:10,17:28:10,39, Maynooth,23392.97,60-X25-b12-1,X25,b12
