Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
272,8220DB000906,"Leeson St Upper, stop 906",53.32881077,-6.247634377,6054.1.60-X27-b12-1.101.O,17:50:00,17:50:00,1, Salesian College,0.0,60-X27-b12-1,X27,b12
273,8220DB000909,"Fitzwilliam Place, stop 909",53.33314766,-6.254078364,6054.1.60-X27-b12-1.101.O,17:52:29,17:52:29,2, Salesian College,680.59,60-X27-b12-1,X27,b12
274,8220DB000786,"Embassy of Malta, stop 786",53.33518155,-6.256097534,6054.1.60-X27-b12-1.101.O,17:53:27,17:53:27,3, Salesian College,941.83,60-X27-b12-1,X27,b12
275,8220DB002905,"Merrion Sq West, stop 2905",53.34002881,-6.251980091,6054.1.60-X27-b12-1.101.O,17:58:02,17:58:02,4, Salesian College,1799.77,60-X27-b12-1,X27,b12
276,8220DB000494,"Clare Street, stop 494",53.34143558,-6.251682252,6054.1.60-X27-b12-1.101.O,18:00:08,18:00:08,5, Salesian College,2022.32,60-X27-b12-1,X27,b12
277,8220DB007587,"Science Gallery, stop 7587",53.34445793,-6.25122816,6054.1.60-X27-b12-1.101.O,18:03:05,18:03:05,6, Salesian College,2609.81,60-X27-b12-1,X27,b12
278,8220DB007732,"Tara Street, Stop no 7732",53.34722107,-6.255170542,6054.1.60-X27-b12-1.101.O,18:05:33,18:05:33,7, Salesian College,3101.01,60-X27-b12-1,X27,b12
279,8220DB007392,"Aston Quay, stop 7392",53.34640871,-6.261091564,6054.1.60-X27-b12-1.101.O,18:09:02,18:09:02,8, Salesian College,3550.74,60-X27-b12-1,X27,b12
280,8220DB000312,"Wellington Quay, stop 312",53.34547647,-6.266206155,6054.1.60-X27-b12-1.101.O,18:11:49,18:11:49,9, Salesian College,3905.99,60-X27-b12-1,X27,b12
281,8220DB007857,"Merchant's Quay, stop 7857",53.34504365,-6.274169038,6054.1.60-X27-b12-1.101.O,18:16:21,18:16:21,10, Salesian College,4439.04,60-X27-b12-1,X27,b12
282,8220DB007855,"Usher's Quay, stop 7855",53.34592009,-6.279465664,6054.1.60-X27-b12-1.101.O,18:19:28,18:19:28,11, Salesian College,4802.78,60-X27-b12-1,X27,b12
283,8220DB001447,"Victoria Quay, stop 1447",53.34650253,-6.285585386,6054.1.60-X27-b12-1.101.O,18:20:41,18:20:41,12, Salesian College,5217.27,60-X27-b12-1,X27,b12
284,8220DB002637,"Heuston Station, stop 2637",53.34584559,-6.294308178,6054.1.60-X27-b12-1.101.O,18:22:31,18:22:31,13, Salesian College,5843.75,60-X27-b12-1,X27,b12
285,8220DB002721,"South Circular Road, stop 2721",53.34327186,-6.310511085,6054.1.60-X27-b12-1.101.O,18:25:26,18:25:26,14, Salesian College,6978.31,60-X27-b12-1,X27,b12
286,8220DB007012,"Memorial Gardens, stop 7012",53.34295414,-6.315374679,6054.1.60-X27-b12-1.101.O,18:26:17,18:26:17,15, Salesian College,7302.73,60-X27-b12-1,X27,b12
287,8230DB002201,"Palmerstown Drive, stop 2201",53.35327375,-6.364571165,6054.1.60-X27-b12-1.101.O,18:31:17,18:31:17,16, Salesian College,11030.54,60-X27-b12-1,X27,b12
288,8230DB004401,"Kennelsfort Road, stop 4401",53.35475553,-6.371710305,6054.1.60-X27-b12-1.101.O,18:33:26,18:33:26,17, Salesian College,11532.65,60-X27-b12-1,X27,b12
289,8230DB002213,"Liffey Valley SC, stop 2213",53.35577765,-6.392072623,6054.1.60-X27-b12-1.101.O,18:35:22,18:35:22,18, Salesian College,12947.36,60-X27-b12-1,X27,b12
290,8230DB002214,"Clayton Hotel, stop 2214",53.35609004,-6.399932976,6054.1.60-X27-b12-1.101.O,18:36:06,18:36:06,19, Salesian College,13478.22,60-X27-b12-1,X27,b12
291,8230DB002215,"St Loman's Hospital, stop 2215",53.35820623,-6.408973166,6054.1.60-X27-b12-1.101.O,18:37:11,18:37:11,20, Salesian College,14122.8,60-X27-b12-1,X27,b12
292,8230DB007184,"Esker Lane, stop 7184",53.35215768,-6.436192411,6054.1.60-X27-b12-1.101.O,18:39:55,18:39:55,21, Salesian College,16059.11,60-X27-b12-1,X27,b12
