Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
74,8230DB003943,"Dept of Agriculture, stop 3943",53.3470719,-6.494294919,6081.1.60-X28-b12-1.107.I,07:48:18,07:48:18,17, Leeson Street Lr,5914.8,60-X28-b12-1,X28,b12
75,8230DB003945,"Weston Aerodrome, stop 3945",53.35370171,-6.479865358,6081.1.60-X28-b12-1.107.I,07:49:40,07:49:40,18, Leeson Street Lr,7129.11,60-X28-b12-1,X28,b12
76,8230DB003946,"Weston Estate, stop 3946",53.35611534,-6.475317639,6081.1.60-X28-b12-1.107.I,07:50:43,07:50:43,19, Leeson Street Lr,7535.53,60-X28-b12-1,X28,b12
77,8230DB004001,"Liffey Valley Golf, stop 4001",53.35892285,-6.472062381,6081.1.60-X28-b12-1.107.I,07:52:17,07:52:17,20, Leeson Street Lr,8140.32,60-X28-b12-1,X28,b12
78,8230DB007193,"Tandy's Lane, stop 7193",53.3539992,-6.458913783,6081.1.60-X28-b12-1.107.I,07:54:15,07:54:15,21, Leeson Street Lr,9180.38,60-X28-b12-1,X28,b12
79,8230DB007049,"Vesey Park, stop 7049",53.35130539,-6.449397323,6081.1.60-X28-b12-1.107.I,07:55:24,07:55:24,22, Leeson Street Lr,9892.8,60-X28-b12-1,X28,b12
80,8230DB002236,"Hermitage Bridge, stop 2236",53.35886946,-6.410856513,6081.1.60-X28-b12-1.107.I,07:58:58,07:58:58,23, Leeson Street Lr,12726.61,60-X28-b12-1,X28,b12
81,8230DB002239,"Liffey Valley SC, stop 2239",53.35616847,-6.3917274,6081.1.60-X28-b12-1.107.I,08:01:14,08:01:14,24, Leeson Street Lr,14065.65,60-X28-b12-1,X28,b12
82,8230DB002241,"Kennelsfort Road, stop 2241",53.35492926,-6.371268023,6081.1.60-X28-b12-1.107.I,08:03:53,08:03:53,25, Leeson Street Lr,15485.06,60-X28-b12-1,X28,b12
83,8230DB002242,"The Oval, stop 2242",53.35392732,-6.367009818,6081.1.60-X28-b12-1.107.I,08:05:00,08:05:00,26, Leeson Street Lr,15790.47,60-X28-b12-1,X28,b12
84,8220DB007435,"Memorial Gardens, stop 7435",53.34317893,-6.315380836,6081.1.60-X28-b12-1.107.I,08:10:48,08:10:48,27, Leeson Street Lr,19692.1,60-X28-b12-1,X28,b12
85,8220DB002722,"South Circular Road, stop 2722",53.3434371,-6.311390663,6081.1.60-X28-b12-1.107.I,08:11:12,08:11:12,28, Leeson Street Lr,19960.65,60-X28-b12-1,X28,b12
86,8220DB004413,"Heuston Station, stop 4413",53.34615649,-6.292793782,6081.1.60-X28-b12-1.107.I,08:15:54,08:15:54,29, Leeson Street Lr,21250.49,60-X28-b12-1,X28,b12
87,8220DB001476,"Sarsfield Quay, stop 1476",53.34707369,-6.284676275,6081.1.60-X28-b12-1.107.I,08:18:22,08:18:22,30, Leeson Street Lr,21882.21,60-X28-b12-1,X28,b12
88,8220DB007854,"Arran Quay, stop 7854",53.34636761,-6.278711665,6081.1.60-X28-b12-1.107.I,08:21:23,08:21:23,31, Leeson Street Lr,22284.95,60-X28-b12-1,X28,b12
89,8220DB007856,"Four Courts, stop 7856",53.34562262,-6.273184391,6081.1.60-X28-b12-1.107.I,08:24:10,08:24:10,32, Leeson Street Lr,22664.37,60-X28-b12-1,X28,b12
90,8220DB007883,"Ormond Quay, stop 7883",53.346058,-6.268495617,6081.1.60-X28-b12-1.107.I,08:26:35,08:26:35,33, Leeson Street Lr,22983.61,60-X28-b12-1,X28,b12
91,8220DB000315,"Bachelors Walk, stop 315",53.34702829,-6.261667155,6081.1.60-X28-b12-1.107.I,08:29:29,08:29:29,34, Leeson Street Lr,23453.81,60-X28-b12-1,X28,b12
92,8220DB007733,"Moss Street, Stop no 7733",53.34701082,-6.251859656,6081.1.60-X28-b12-1.107.I,08:35:37,08:35:37,35, Leeson Street Lr,24309.63,60-X28-b12-1,X28,b12
93,8220DB007861,"Prince's St South, stop 7861",53.34561679,-6.249348317,6081.1.60-X28-b12-1.107.I,08:38:01,08:38:01,36, Leeson Street Lr,24543.19,60-X28-b12-1,X28,b12
94,8220DB002809,"Pearse Station, stop 2809",53.34288455,-6.2499709,6081.1.60-X28-b12-1.107.I,08:40:21,08:40:21,37, Leeson Street Lr,24848.4,60-X28-b12-1,X28,b12
95,8220DB002810,"Merrion Square West, stop 2810",53.34079491,-6.250897489,6081.1.60-X28-b12-1.107.I,08:41:59,08:41:59,38, Leeson Street Lr,25088.43,60-X28-b12-1,X28,b12
