Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8230DB003943,"Dept of Agriculture, stop 3943",53.3470719,-6.494294919,6080.1.60-X28-b12-1.106.I,07:35:36,07:35:36,17, UCD Belfield,5914.8,60-X28-b12-1,X28,b12
1,8230DB003945,"Weston Aerodrome, stop 3945",53.35370171,-6.479865358,6080.1.60-X28-b12-1.106.I,07:36:58,07:36:58,18, UCD Belfield,7129.11,60-X28-b12-1,X28,b12
2,8230DB003946,"Weston Estate, stop 3946",53.35611534,-6.475317639,6080.1.60-X28-b12-1.106.I,07:38:05,07:38:05,19, UCD Belfield,7535.53,60-X28-b12-1,X28,b12
3,8230DB004001,"Liffey Valley Golf, stop 4001",53.35892285,-6.472062381,6080.1.60-X28-b12-1.106.I,07:39:45,07:39:45,20, UCD Belfield,8140.32,60-X28-b12-1,X28,b12
4,8230DB007193,"Tandy's Lane, stop 7193",53.3539992,-6.458913783,6080.1.60-X28-b12-1.106.I,07:42:12,07:42:12,21, UCD Belfield,9180.38,60-X28-b12-1,X28,b12
5,8230DB007049,"Vesey Park, stop 7049",53.35130539,-6.449397323,6080.1.60-X28-b12-1.106.I,07:43:38,07:43:38,22, UCD Belfield,9892.8,60-X28-b12-1,X28,b12
6,8230DB002236,"Hermitage Bridge, stop 2236",53.35886946,-6.410856513,6080.1.60-X28-b12-1.106.I,07:47:20,07:47:20,23, UCD Belfield,12726.61,60-X28-b12-1,X28,b12
7,8230DB002239,"Liffey Valley SC, stop 2239",53.35616847,-6.3917274,6080.1.60-X28-b12-1.106.I,07:49:36,07:49:36,24, UCD Belfield,14065.65,60-X28-b12-1,X28,b12
8,8230DB002241,"Kennelsfort Road, stop 2241",53.35492926,-6.371268023,6080.1.60-X28-b12-1.106.I,07:52:06,07:52:06,25, UCD Belfield,15485.06,60-X28-b12-1,X28,b12
9,8230DB002242,"The Oval, stop 2242",53.35392732,-6.367009818,6080.1.60-X28-b12-1.106.I,07:53:04,07:53:04,26, UCD Belfield,15790.47,60-X28-b12-1,X28,b12
10,8220DB007435,"Memorial Gardens, stop 7435",53.34317893,-6.315380836,6080.1.60-X28-b12-1.106.I,07:58:29,07:58:29,27, UCD Belfield,19692.1,60-X28-b12-1,X28,b12
11,8220DB002722,"South Circular Road, stop 2722",53.3434371,-6.311390663,6080.1.60-X28-b12-1.106.I,07:58:52,07:58:52,28, UCD Belfield,19960.65,60-X28-b12-1,X28,b12
12,8220DB004413,"Heuston Station, stop 4413",53.34615649,-6.292793782,6080.1.60-X28-b12-1.106.I,08:02:55,08:02:55,29, UCD Belfield,21250.49,60-X28-b12-1,X28,b12
13,8220DB001476,"Sarsfield Quay, stop 1476",53.34707369,-6.284676275,6080.1.60-X28-b12-1.106.I,08:04:59,08:04:59,30, UCD Belfield,21882.21,60-X28-b12-1,X28,b12
14,8220DB007854,"Arran Quay, stop 7854",53.34636761,-6.278711665,6080.1.60-X28-b12-1.106.I,08:07:27,08:07:27,31, UCD Belfield,22284.95,60-X28-b12-1,X28,b12
15,8220DB007856,"Four Courts, stop 7856",53.34562262,-6.273184391,6080.1.60-X28-b12-1.106.I,08:09:44,08:09:44,32, UCD Belfield,22664.37,60-X28-b12-1,X28,b12
16,8220DB007883,"Ormond Quay, stop 7883",53.346058,-6.268495617,6080.1.60-X28-b12-1.106.I,08:11:41,08:11:41,33, UCD Belfield,22983.61,60-X28-b12-1,X28,b12
17,8220DB000315,"Bachelors Walk, stop 315",53.34702829,-6.261667155,6080.1.60-X28-b12-1.106.I,08:14:18,08:14:18,34, UCD Belfield,23453.81,60-X28-b12-1,X28,b12
18,8220DB007733,"Moss Street, Stop no 7733",53.34701082,-6.251859656,6080.1.60-X28-b12-1.106.I,08:19:54,08:19:54,35, UCD Belfield,24309.63,60-X28-b12-1,X28,b12
19,8220DB007861,"Prince's St South, stop 7861",53.34561679,-6.249348317,6080.1.60-X28-b12-1.106.I,08:22:06,08:22:06,36, UCD Belfield,24543.19,60-X28-b12-1,X28,b12
20,8220DB002809,"Pearse Station, stop 2809",53.34288455,-6.2499709,6080.1.60-X28-b12-1.106.I,08:24:40,08:24:40,37, UCD Belfield,24848.4,60-X28-b12-1,X28,b12
21,8220DB002810,"Merrion Square West, stop 2810",53.34079491,-6.250897489,6080.1.60-X28-b12-1.106.I,08:26:27,08:26:27,38, UCD Belfield,25088.43,60-X28-b12-1,X28,b12
22,8220DB002811,"Merrion Street, stop 2811",53.3393595,-6.252307819,6080.1.60-X28-b12-1.106.I,08:27:28,08:27:28,39, UCD Belfield,25274.39,60-X28-b12-1,X28,b12
23,8220DB000785,"Pembroke St Lower, stop 785",53.3371059,-6.251859373,6080.1.60-X28-b12-1.106.I,08:29:33,08:29:33,40, UCD Belfield,25646.56,60-X28-b12-1,X28,b12
24,8220DB000846,"Fitzwilliam Place, stop 846",53.33345373,-6.254110908,6080.1.60-X28-b12-1.106.I,08:32:25,08:32:25,41, UCD Belfield,26158.87,60-X28-b12-1,X28,b12
25,8220DB000847,"Leeson St Upper, stop 847",53.33160145,-6.25221962,6080.1.60-X28-b12-1.106.I,08:33:46,08:33:46,42, UCD Belfield,26399.14,60-X28-b12-1,X28,b12
26,8220DB000848,"Sussex Road, stop 848",53.32972799,-6.248887998,6080.1.60-X28-b12-1.106.I,08:34:54,08:34:54,43, UCD Belfield,26721.29,60-X28-b12-1,X28,b12
27,8220DB002795,"Leeson Village, stop 2795",53.32852998,-6.246264621,6080.1.60-X28-b12-1.106.I,08:35:53,08:35:53,44, UCD Belfield,26942.73,60-X28-b12-1,X28,b12
28,8220DB000756,"Royal Hospital, stop 756",53.32639976,-6.242598747,6080.1.60-X28-b12-1.106.I,08:37:19,08:37:19,45, UCD Belfield,27283.63,60-X28-b12-1,X28,b12
29,8220DB000757,"Donnybrook Village, stop 757",53.32408134,-6.23958651,6080.1.60-X28-b12-1.106.I,08:38:42,08:38:42,46, UCD Belfield,27610.06,60-X28-b12-1,X28,b12
30,8220DB000758,"Victoria Avenue, stop 758",53.32268694,-6.23767738,6080.1.60-X28-b12-1.106.I,08:39:30,08:39:30,47, UCD Belfield,27810.14,60-X28-b12-1,X28,b12
31,8220DB000759,"Donnybrook Stadium, stop 759",53.32034885,-6.233345517,6080.1.60-X28-b12-1.106.I,08:41:05,08:41:05,48, UCD Belfield,28206.59,60-X28-b12-1,X28,b12
32,8220DB000760,"Donnybrook Church, stop 760",53.31833019,-6.230561956,6080.1.60-X28-b12-1.106.I,08:42:16,08:42:16,49, UCD Belfield,28498.84,60-X28-b12-1,X28,b12
