Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
372,8250DB004952,"UCD, stop 4952",53.30489662,-6.216937317,6454.1.60-X30-b12-1.108.O,17:25:00,17:25:00,1, Dodsboro,0.0,60-X30-b12-1,X30,b12
373,8250DB000768,"UCD Belfield, stop 768",53.30941819,-6.21877483,6454.1.60-X30-b12-1.108.O,17:27:19,17:27:19,2, Dodsboro,681.75,60-X30-b12-1,X30,b12
374,8220DB000769,"Belfield Court, stop 769",53.31190109,-6.221327857,6454.1.60-X30-b12-1.108.O,17:27:45,17:27:45,3, Dodsboro,1009.31,60-X30-b12-1,X30,b12
375,8220DB000770,"RTE, stop 770",53.31463619,-6.225731811,6454.1.60-X30-b12-1.108.O,17:28:57,17:28:57,4, Dodsboro,1452.34,60-X30-b12-1,X30,b12
376,8220DB000771,"Teresian School, stop 771",53.31588007,-6.227781522,6454.1.60-X30-b12-1.108.O,17:29:26,17:29:26,5, Dodsboro,1643.14,60-X30-b12-1,X30,b12
377,8220DB000772,"Donnybrook Garage, stop 772",53.31848526,-6.231321064,6454.1.60-X30-b12-1.108.O,17:30:26,17:30:26,6, Dodsboro,2016.7,60-X30-b12-1,X30,b12
378,8220DB000773,"Donnybrook Road, stop 773",53.31991635,-6.233273319,6454.1.60-X30-b12-1.108.O,17:31:02,17:31:02,7, Dodsboro,2220.02,60-X30-b12-1,X30,b12
379,8220DB000774,"Donnybrook Garda Stn, stop 774",53.32161212,-6.235499996,6454.1.60-X30-b12-1.108.O,17:31:48,17:31:48,8, Dodsboro,2461.9,60-X30-b12-1,X30,b12
380,8220DB000775,"Donnybrook Village, stop 775",53.32348971,-6.239085447,6454.1.60-X30-b12-1.108.O,17:32:49,17:32:49,9, Dodsboro,2785.75,60-X30-b12-1,X30,b12
381,8220DB000776,"Morehampton Terrace, stop 776",53.32547924,-6.241735821,6454.1.60-X30-b12-1.108.O,17:33:48,17:33:48,10, Dodsboro,3068.63,60-X30-b12-1,X30,b12
382,8220DB000777,"Royal Hospital, stop 777",53.32697216,-6.243626144,6454.1.60-X30-b12-1.108.O,17:34:42,17:34:42,11, Dodsboro,3276.96,60-X30-b12-1,X30,b12
383,8220DB000906,"Leeson St Upper, stop 906",53.32881077,-6.247634377,6454.1.60-X30-b12-1.108.O,17:36:13,17:36:13,12, Dodsboro,3617.68,60-X30-b12-1,X30,b12
384,8220DB000909,"Fitzwilliam Place, stop 909",53.33314766,-6.254078364,6454.1.60-X30-b12-1.108.O,17:40:09,17:40:09,13, Dodsboro,4298.27,60-X30-b12-1,X30,b12
385,8220DB000786,"Embassy of Malta, stop 786",53.33518155,-6.256097534,6454.1.60-X30-b12-1.108.O,17:41:40,17:41:40,14, Dodsboro,4559.51,60-X30-b12-1,X30,b12
386,8220DB002905,"Merrion Sq West, stop 2905",53.34002881,-6.251980091,6454.1.60-X30-b12-1.108.O,17:47:52,17:47:52,15, Dodsboro,5417.45,60-X30-b12-1,X30,b12
387,8220DB000494,"Clare Street, stop 494",53.34143558,-6.251682252,6454.1.60-X30-b12-1.108.O,17:51:59,17:51:59,16, Dodsboro,5640.0,60-X30-b12-1,X30,b12
388,8220DB007587,"Science Gallery, stop 7587",53.34445793,-6.25122816,6454.1.60-X30-b12-1.108.O,17:55:08,17:55:08,17, Dodsboro,6227.49,60-X30-b12-1,X30,b12
389,8220DB007732,"Tara Street, Stop no 7732",53.34722107,-6.255170542,6454.1.60-X30-b12-1.108.O,17:57:46,17:57:46,18, Dodsboro,6718.69,60-X30-b12-1,X30,b12
390,8220DB007392,"Aston Quay, stop 7392",53.34640871,-6.261091564,6454.1.60-X30-b12-1.108.O,18:01:17,18:01:17,19, Dodsboro,7168.42,60-X30-b12-1,X30,b12
391,8220DB000312,"Wellington Quay, stop 312",53.34547647,-6.266206155,6454.1.60-X30-b12-1.108.O,18:04:05,18:04:05,20, Dodsboro,7523.67,60-X30-b12-1,X30,b12
392,8220DB007857,"Merchant's Quay, stop 7857",53.34504365,-6.274169038,6454.1.60-X30-b12-1.108.O,18:07:58,18:07:58,21, Dodsboro,8056.72,60-X30-b12-1,X30,b12
393,8220DB007855,"Usher's Quay, stop 7855",53.34592009,-6.279465664,6454.1.60-X30-b12-1.108.O,18:10:39,18:10:39,22, Dodsboro,8420.46,60-X30-b12-1,X30,b12
