Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
186,8220DB006074,"Earlsfort Terrace, stop 6074",53.33588573,-6.257540401,6090.1.60-X31-b12-1.111.O,17:20:00,17:20:00,1, River Forest,0.0,60-X31-b12-1,X31,b12
187,8220DB002905,"Merrion Sq West, stop 2905",53.34002881,-6.251980091,6090.1.60-X31-b12-1.111.O,17:23:27,17:23:27,2, River Forest,767.62,60-X31-b12-1,X31,b12
188,8220DB000494,"Clare Street, stop 494",53.34143558,-6.251682252,6090.1.60-X31-b12-1.111.O,17:27:05,17:27:05,3, River Forest,990.17,60-X31-b12-1,X31,b12
189,8220DB007859,"Shaw Street, stop 7859",53.34477987,-6.25295724,6090.1.60-X31-b12-1.111.O,17:29:54,17:29:54,4, River Forest,1698.25,60-X31-b12-1,X31,b12
190,8220DB007732,"Tara Street, Stop no 7732",53.34722107,-6.255170542,6090.1.60-X31-b12-1.111.O,17:32:18,17:32:18,5, River Forest,2068.99,60-X31-b12-1,X31,b12
191,8220DB007392,"Aston Quay, stop 7392",53.34640871,-6.261091564,6090.1.60-X31-b12-1.111.O,17:36:06,17:36:06,6, River Forest,2518.72,60-X31-b12-1,X31,b12
192,8220DB000312,"Wellington Quay, stop 312",53.34547647,-6.266206155,6090.1.60-X31-b12-1.111.O,17:39:08,17:39:08,7, River Forest,2873.97,60-X31-b12-1,X31,b12
193,8220DB007857,"Merchant's Quay, stop 7857",53.34504365,-6.274169038,6090.1.60-X31-b12-1.111.O,17:42:49,17:42:49,8, River Forest,3407.01,60-X31-b12-1,X31,b12
194,8220DB007855,"Usher's Quay, stop 7855",53.34592009,-6.279465664,6090.1.60-X31-b12-1.111.O,17:45:22,17:45:22,9, River Forest,3770.76,60-X31-b12-1,X31,b12
195,8220DB001447,"Victoria Quay, stop 1447",53.34650253,-6.285585386,6090.1.60-X31-b12-1.111.O,17:46:45,17:46:45,10, River Forest,4185.25,60-X31-b12-1,X31,b12
196,8220DB002637,"Heuston Station, stop 2637",53.34584559,-6.294308178,6090.1.60-X31-b12-1.111.O,17:48:49,17:48:49,11, River Forest,4811.72,60-X31-b12-1,X31,b12
197,8220DB002721,"South Circular Road, stop 2721",53.34327186,-6.310511085,6090.1.60-X31-b12-1.111.O,17:51:58,17:51:58,12, River Forest,5946.29,60-X31-b12-1,X31,b12
198,8220DB007012,"Memorial Gardens, stop 7012",53.34295414,-6.315374679,6090.1.60-X31-b12-1.111.O,17:52:52,17:52:52,13, River Forest,6270.71,60-X31-b12-1,X31,b12
199,8230DB002201,"Palmerstown Drive, stop 2201",53.35327375,-6.364571165,6090.1.60-X31-b12-1.111.O,17:58:24,17:58:24,14, River Forest,9998.51,60-X31-b12-1,X31,b12
200,8230DB004401,"Kennelsfort Road, stop 4401",53.35475553,-6.371710305,6090.1.60-X31-b12-1.111.O,18:00:09,18:00:09,15, River Forest,10500.63,60-X31-b12-1,X31,b12
201,8230DB002213,"Liffey Valley SC, stop 2213",53.35577765,-6.392072623,6090.1.60-X31-b12-1.111.O,18:02:18,18:02:18,16, River Forest,11915.34,60-X31-b12-1,X31,b12
202,8230DB002214,"Clayton Hotel, stop 2214",53.35609004,-6.399932976,6090.1.60-X31-b12-1.111.O,18:03:06,18:03:06,17, River Forest,12446.19,60-X31-b12-1,X31,b12
203,8230DB002215,"St Loman's Hospital, stop 2215",53.35820623,-6.408973166,6090.1.60-X31-b12-1.111.O,18:04:10,18:04:10,18, River Forest,13090.78,60-X31-b12-1,X31,b12
204,8230DB002216,"Ballyowen Lane, stop 2216",53.35886528,-6.415949824,6090.1.60-X31-b12-1.111.O,18:05:09,18:05:09,19, River Forest,13564.63,60-X31-b12-1,X31,b12
205,8230DB004599,"Hermitage Road, stop 4599",53.35775874,-6.423337433,6090.1.60-X31-b12-1.111.O,18:06:15,18:06:15,20, River Forest,14093.72,60-X31-b12-1,X31,b12
206,8230DB002217,"Esker Lane, stop 2217",53.3595962,-6.427040693,6090.1.60-X31-b12-1.111.O,18:08:20,18:08:20,21, River Forest,14526.3,60-X31-b12-1,X31,b12
207,8230DB002218,"Roselawn, stop 2218",53.35967652,-6.43246151,6090.1.60-X31-b12-1.111.O,18:09:27,18:09:27,22, River Forest,14886.07,60-X31-b12-1,X31,b12
208,8230DB002219,"St Andrews NS, stop 2219",53.36005568,-6.436699507,6090.1.60-X31-b12-1.111.O,18:10:22,18:10:22,23, River Forest,15170.67,60-X31-b12-1,X31,b12
209,8230DB003365,"St Mary's Church, stop 3365",53.3596569,-6.439193112,6090.1.60-X31-b12-1.111.O,18:10:56,18:10:56,24, River Forest,15345.81,60-X31-b12-1,X31,b12
210,8230DB003366,"Lucan Heights, stop 3366",53.35817573,-6.44139564,6090.1.60-X31-b12-1.111.O,18:11:40,18:11:40,25, River Forest,15569.38,60-X31-b12-1,X31,b12
211,8230DB003367,"Lucan Village, stop 3367",53.35642918,-6.448760619,6090.1.60-X31-b12-1.111.O,18:13:12,18:13:12,26, River Forest,16115.13,60-X31-b12-1,X31,b12
212,8230DB003886,"Primrose Lane, stop 3886",53.35569042,-6.454165634,6090.1.60-X31-b12-1.111.O,18:14:10,18:14:10,27, River Forest,16487.23,60-X31-b12-1,X31,b12
213,8230DB003887,"Ardeevin Avenue, stop 3887",53.3552288,-6.458779283,6090.1.60-X31-b12-1.111.O,18:15:00,18:15:00,28, River Forest,16800.64,60-X31-b12-1,X31,b12
214,8230DB007186,"Lucan Spa Hotel, stop 7186",53.35679529,-6.465257861,6090.1.60-X31-b12-1.111.O,18:17:14,18:17:14,29, River Forest,17644.38,60-X31-b12-1,X31,b12
215,8230DB007187,"Kew Park, stop 7187",53.35756283,-6.467634039,6090.1.60-X31-b12-1.111.O,18:17:57,18:17:57,30, River Forest,17824.08,60-X31-b12-1,X31,b12
216,8260DB003954,"Springfield Hotel, stop 3954",53.36053546,-6.478690595,6090.1.60-X31-b12-1.111.O,18:19:59,18:19:59,31, River Forest,18770.25,60-X31-b12-1,X31,b12
217,8260DB003955,"Cooldrinagh Terrace, stop 3955",53.3616766,-6.482901991,6090.1.60-X31-b12-1.111.O,18:20:38,18:20:38,32, River Forest,19078.0,60-X31-b12-1,X31,b12
218,8260DB003956,"Salmon Leap, stop 3956",53.36213377,-6.484929158,6090.1.60-X31-b12-1.111.O,18:21:10,18:21:10,33, River Forest,19221.69,60-X31-b12-1,X31,b12
