Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
0,8260DB003999,"Cooldrinagh Terrace, stop 3999",53.36183677,-6.483482274,6093.1.60-X32-b12-1.114.I,07:13:02,07:13:02,9, Earlsfort Terrace,3096.97,60-X32-b12-1,X32,b12
1,8260DB004000,"Springfield Hotel, stop 4000",53.36053966,-6.478314833,6093.1.60-X32-b12-1.114.I,07:13:45,07:13:45,10, Earlsfort Terrace,3469.16,60-X32-b12-1,X32,b12
2,8230DB004001,"Liffey Valley Golf, stop 4001",53.35892285,-6.472062381,6093.1.60-X32-b12-1.114.I,07:14:37,07:14:37,11, Earlsfort Terrace,3930.36,60-X32-b12-1,X32,b12
3,8230DB003949,"Leixlip Road, stop 3949",53.35551692,-6.460211074,6093.1.60-X32-b12-1.114.I,07:16:12,07:16:12,12, Earlsfort Terrace,4812.04,60-X32-b12-1,X32,b12
4,8230DB003950,"Ball Alley House, stop 3950",53.35560249,-6.455010094,6093.1.60-X32-b12-1.114.I,07:16:49,07:16:49,13, Earlsfort Terrace,5169.99,60-X32-b12-1,X32,b12
5,8230DB003372,"Lucan Village, stop 3372",53.35656433,-6.448094691,6093.1.60-X32-b12-1.114.I,07:18:14,07:18:14,14, Earlsfort Terrace,5641.6,60-X32-b12-1,X32,b12
6,8230DB003373,"Lucan Heights, stop 3373",53.35808279,-6.441849744,6093.1.60-X32-b12-1.114.I,07:19:12,07:19:12,15, Earlsfort Terrace,6115.19,60-X32-b12-1,X32,b12
7,8230DB003374,"St Mary's Church, stop 3374",53.35963427,-6.439524473,6093.1.60-X32-b12-1.114.I,07:19:53,07:19:53,16, Earlsfort Terrace,6346.54,60-X32-b12-1,X32,b12
8,8230DB002233,"Chalet Gardens, stop 2233",53.3600895,-6.435165776,6093.1.60-X32-b12-1.114.I,07:20:36,07:20:36,17, Earlsfort Terrace,6642.48,60-X32-b12-1,X32,b12
9,8230DB002232,"Ballydowd Grove, stop 2232",53.35973763,-6.430956834,6093.1.60-X32-b12-1.114.I,07:21:18,07:21:18,18, Earlsfort Terrace,6927.98,60-X32-b12-1,X32,b12
10,8230DB002234,"Lucan Retail Park, stop 2234",53.35933655,-6.424390974,6093.1.60-X32-b12-1.114.I,07:22:10,07:22:10,19, Earlsfort Terrace,7365.3,60-X32-b12-1,X32,b12
11,8230DB002236,"Hermitage Bridge, stop 2236",53.35886946,-6.410856513,6093.1.60-X32-b12-1.114.I,07:24:00,07:24:00,20, Earlsfort Terrace,8285.04,60-X32-b12-1,X32,b12
12,8230DB002239,"Liffey Valley SC, stop 2239",53.35616847,-6.3917274,6093.1.60-X32-b12-1.114.I,07:25:49,07:25:49,21, Earlsfort Terrace,9624.08,60-X32-b12-1,X32,b12
13,8230DB002241,"Kennelsfort Road, stop 2241",53.35492926,-6.371268023,6093.1.60-X32-b12-1.114.I,07:27:59,07:27:59,22, Earlsfort Terrace,11043.49,60-X32-b12-1,X32,b12
14,8230DB002242,"The Oval, stop 2242",53.35392732,-6.367009818,6093.1.60-X32-b12-1.114.I,07:28:41,07:28:41,23, Earlsfort Terrace,11348.89,60-X32-b12-1,X32,b12
15,8220DB007435,"Memorial Gardens, stop 7435",53.34317893,-6.315380836,6093.1.60-X32-b12-1.114.I,07:33:27,07:33:27,24, Earlsfort Terrace,15250.53,60-X32-b12-1,X32,b12
16,8220DB002722,"South Circular Road, stop 2722",53.3434371,-6.311390663,6093.1.60-X32-b12-1.114.I,07:33:47,07:33:47,25, Earlsfort Terrace,15519.08,60-X32-b12-1,X32,b12
17,8220DB004413,"Heuston Station, stop 4413",53.34615649,-6.292793782,6093.1.60-X32-b12-1.114.I,07:37:36,07:37:36,26, Earlsfort Terrace,16808.92,60-X32-b12-1,X32,b12
18,8220DB001476,"Sarsfield Quay, stop 1476",53.34707369,-6.284676275,6093.1.60-X32-b12-1.114.I,07:39:42,07:39:42,27, Earlsfort Terrace,17440.64,60-X32-b12-1,X32,b12
19,8220DB007854,"Arran Quay, stop 7854",53.34636761,-6.278711665,6093.1.60-X32-b12-1.114.I,07:41:54,07:41:54,28, Earlsfort Terrace,17843.37,60-X32-b12-1,X32,b12
20,8220DB007856,"Four Courts, stop 7856",53.34562262,-6.273184391,6093.1.60-X32-b12-1.114.I,07:43:56,07:43:56,29, Earlsfort Terrace,18222.8,60-X32-b12-1,X32,b12
21,8220DB007883,"Ormond Quay, stop 7883",53.346058,-6.268495617,6093.1.60-X32-b12-1.114.I,07:45:42,07:45:42,30, Earlsfort Terrace,18542.03,60-X32-b12-1,X32,b12
22,8220DB000315,"Bachelors Walk, stop 315",53.34702829,-6.261667155,6093.1.60-X32-b12-1.114.I,07:48:18,07:48:18,31, Earlsfort Terrace,19012.24,60-X32-b12-1,X32,b12
23,8220DB007733,"Moss Street, Stop no 7733",53.34701082,-6.251859656,6093.1.60-X32-b12-1.114.I,07:53:36,07:53:36,32, Earlsfort Terrace,19868.06,60-X32-b12-1,X32,b12
24,8220DB007861,"Prince's St South, stop 7861",53.34561679,-6.249348317,6093.1.60-X32-b12-1.114.I,07:55:41,07:55:41,33, Earlsfort Terrace,20101.61,60-X32-b12-1,X32,b12
25,8220DB002809,"Pearse Station, stop 2809",53.34288455,-6.2499709,6093.1.60-X32-b12-1.114.I,07:57:34,07:57:34,34, Earlsfort Terrace,20406.83,60-X32-b12-1,X32,b12
26,8220DB002810,"Merrion Square West, stop 2810",53.34079491,-6.250897489,6093.1.60-X32-b12-1.114.I,07:58:52,07:58:52,35, Earlsfort Terrace,20646.85,60-X32-b12-1,X32,b12
27,8220DB002811,"Merrion Street, stop 2811",53.3393595,-6.252307819,6093.1.60-X32-b12-1.114.I,07:59:48,07:59:48,36, Earlsfort Terrace,20832.82,60-X32-b12-1,X32,b12
28,8220DB000785,"Pembroke St Lower, stop 785",53.3371059,-6.251859373,6093.1.60-X32-b12-1.114.I,08:01:44,08:01:44,37, Earlsfort Terrace,21204.99,60-X32-b12-1,X32,b12
29,8220DB000786,"Embassy of Malta, stop 786",53.33518155,-6.256097534,6093.1.60-X32-b12-1.114.I,08:04:16,08:04:16,38, Earlsfort Terrace,21692.8,60-X32-b12-1,X32,b12
30,8220DB001013,"Earlsfort Terrace, stop 1013",53.33418076,-6.258345677,6093.1.60-X32-b12-1.114.I,08:06:06,08:06:06,39, Earlsfort Terrace,22044.12,60-X32-b12-1,X32,b12
31,8260DB003999,"Cooldrinagh Terrace, stop 3999",53.36183677,-6.483482274,6093.1.60-X32-d12-1.114.I,07:13:02,07:13:02,9, Earlsfort Terrace,3096.97,60-X32-d12-1,X32,d12
32,8260DB004000,"Springfield Hotel, stop 4000",53.36053966,-6.478314833,6093.1.60-X32-d12-1.114.I,07:13:45,07:13:45,10, Earlsfort Terrace,3469.16,60-X32-d12-1,X32,d12
33,8230DB004001,"Liffey Valley Golf, stop 4001",53.35892285,-6.472062381,6093.1.60-X32-d12-1.114.I,07:14:37,07:14:37,11, Earlsfort Terrace,3930.36,60-X32-d12-1,X32,d12
34,8230DB003949,"Leixlip Road, stop 3949",53.35551692,-6.460211074,6093.1.60-X32-d12-1.114.I,07:16:12,07:16:12,12, Earlsfort Terrace,4812.04,60-X32-d12-1,X32,d12
35,8230DB003950,"Ball Alley House, stop 3950",53.35560249,-6.455010094,6093.1.60-X32-d12-1.114.I,07:16:49,07:16:49,13, Earlsfort Terrace,5169.99,60-X32-d12-1,X32,d12
