Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
124,8220DB006074,"Earlsfort Terrace, stop 6074",53.33588573,-6.257540401,6095.1.60-X32-b12-1.113.O,17:05:00,17:05:00,1, Hewlett Packard,0.0,60-X32-b12-1,X32,b12
125,8220DB002905,"Merrion Sq West, stop 2905",53.34002881,-6.251980091,6095.1.60-X32-b12-1.113.O,17:07:29,17:07:29,2, Hewlett Packard,767.62,60-X32-b12-1,X32,b12
126,8220DB000494,"Clare Street, stop 494",53.34143558,-6.251682252,6095.1.60-X32-b12-1.113.O,17:11:21,17:11:21,3, Hewlett Packard,990.17,60-X32-b12-1,X32,b12
127,8220DB007587,"Science Gallery, stop 7587",53.34445793,-6.25122816,6095.1.60-X32-b12-1.113.O,17:14:35,17:14:35,4, Hewlett Packard,1577.66,60-X32-b12-1,X32,b12
128,8220DB007732,"Tara Street, Stop no 7732",53.34722107,-6.255170542,6095.1.60-X32-b12-1.113.O,17:17:17,17:17:17,5, Hewlett Packard,2068.86,60-X32-b12-1,X32,b12
129,8220DB007392,"Aston Quay, stop 7392",53.34640871,-6.261091564,6095.1.60-X32-b12-1.113.O,17:20:39,17:20:39,6, Hewlett Packard,2518.59,60-X32-b12-1,X32,b12
130,8220DB000312,"Wellington Quay, stop 312",53.34547647,-6.266206155,6095.1.60-X32-b12-1.113.O,17:23:21,17:23:21,7, Hewlett Packard,2873.84,60-X32-b12-1,X32,b12
131,8220DB007857,"Merchant's Quay, stop 7857",53.34504365,-6.274169038,6095.1.60-X32-b12-1.113.O,17:28:28,17:28:28,8, Hewlett Packard,3406.89,60-X32-b12-1,X32,b12
132,8220DB007855,"Usher's Quay, stop 7855",53.34592009,-6.279465664,6095.1.60-X32-b12-1.113.O,17:32:00,17:32:00,9, Hewlett Packard,3770.63,60-X32-b12-1,X32,b12
133,8220DB001447,"Victoria Quay, stop 1447",53.34650253,-6.285585386,6095.1.60-X32-b12-1.113.O,17:33:32,17:33:32,10, Hewlett Packard,4185.12,60-X32-b12-1,X32,b12
134,8220DB002637,"Heuston Station, stop 2637",53.34584559,-6.294308178,6095.1.60-X32-b12-1.113.O,17:35:51,17:35:51,11, Hewlett Packard,4811.59,60-X32-b12-1,X32,b12
135,8220DB002721,"South Circular Road, stop 2721",53.34327186,-6.310511085,6095.1.60-X32-b12-1.113.O,17:37:53,17:37:53,12, Hewlett Packard,5946.16,60-X32-b12-1,X32,b12
136,8220DB007012,"Memorial Gardens, stop 7012",53.34295414,-6.315374679,6095.1.60-X32-b12-1.113.O,17:38:28,17:38:28,13, Hewlett Packard,6270.58,60-X32-b12-1,X32,b12
